bri,hue,sat,watt
1,1,1,0.2
1,2001,1,0.23
1,4001,1,0.23
1,6001,1,0.21
1,8001,1,0.21
1,10001,1,0.22
1,12001,1,0.2
1,14001,1,0.2
1,16001,1,0.23
1,18001,1,0.23
1,20001,1,0.21
1,22001,1,0.2
1,24001,1,0.2
1,26001,1,0.23
1,28001,1,0.23
1,30001,1,0.2
1,32001,1,0.2
1,34001,1,0.2
1,36001,1,0.2
1,38001,1,0.2
1,40001,1,0.19
1,42001,1,0.19
1,44001,1,0.24
1,46001,1,0.24
1,48001,1,0.2
1,50001,1,0.2
1,52001,1,0.2
1,54001,1,0.2
1,56001,1,0.2
1,58001,1,0.2
1,60001,1,0.21
1,62001,1,0.21
1,64001,1,0.21
1,65535,1,0.2
1,1,11,0.21
1,2001,11,0.21
1,4001,11,0.23
1,6001,11,0.23
1,8001,11,0.26
1,10001,11,0.24
1,12001,11,0.22
1,14001,11,0.2
1,16001,11,0.21
1,18001,11,0.23
1,20001,11,0.21
1,22001,11,0.2
1,24001,11,0.2
1,26001,11,0.17
1,28001,11,0.17
1,30001,11,0.17
1,32001,11,0.23
1,34001,11,0.23
1,36001,11,0.21
1,38001,11,0.18
1,40001,11,0.21
1,42001,11,0.21
1,44001,11,0.21
1,46001,11,0.2
1,48001,11,0.2
1,50001,11,0.21
1,52001,11,0.23
1,54001,11,0.22
1,56001,11,0.2
1,58001,11,0.17
1,60001,11,0.26
1,62001,11,0.26
1,64001,11,0.21
1,65535,11,0.21
1,1,21,0.19
1,2001,21,0.26
1,4001,21,0.26
1,6001,21,0.25
1,8001,21,0.21
1,10001,21,0.2
1,12001,21,0.2
1,14001,21,0.2
1,16001,21,0.23
1,18001,21,0.23
1,20001,21,0.2
1,22001,21,0.2
1,24001,21,0.2
1,26001,21,0.2
1,28001,21,0.19
1,30001,21,0.19
1,32001,21,0.19
1,34001,21,0.23
1,36001,21,0.21
1,38001,21,0.21
1,40001,21,0.24
1,42001,21,0.24
1,44001,21,0.2
1,46001,21,0.18
1,48001,21,0.17
1,50001,21,0.18
1,52001,21,0.23
1,54001,21,0.23
1,56001,21,0.23
1,58001,21,0.23
1,60001,21,0.17
1,62001,21,0.19
1,64001,21,0.2
1,65535,21,0.24
1,1,31,0.19
1,2001,31,0.2
1,4001,31,0.2
1,6001,31,0.2
1,8001,31,0.2
1,10001,31,0.21
1,12001,31,0.26
1,14001,31,0.24
1,16001,31,0.22
1,18001,31,0.2
1,20001,31,0.2
1,22001,31,0.2
1,24001,31,0.23
1,26001,31,0.24
1,28001,31,0.24
1,30001,31,0.24
1,32001,31,0.24
1,34001,31,0.23
1,36001,31,0.2
1,38001,31,0.21
1,40001,31,0.21
1,42001,31,0.2
1,44001,31,0.2
1,46001,31,0.2
1,48001,31,0.21
1,50001,31,0.21
1,52001,31,0.21
1,54001,31,0.2
1,56001,31,0.2
1,58001,31,0.2
1,60001,31,0.2
1,62001,31,0.2
1,64001,31,0.19
1,65535,31,0.19
1,1,41,0.21
1,2001,41,0.24
1,4001,41,0.23
1,6001,41,0.21
1,8001,41,0.23
1,10001,41,0.24
1,12001,41,0.23
1,14001,41,0.24
1,16001,41,0.24
1,18001,41,0.24
1,20001,41,0.24
1,22001,41,0.23
1,24001,41,0.23
1,26001,41,0.23
1,28001,41,0.23
1,30001,41,0.21
1,32001,41,0.22
1,34001,41,0.23
1,36001,41,0.23
1,38001,41,0.18
1,40001,41,0.24
1,42001,41,0.24
1,44001,41,0.21
1,46001,41,0.21
1,48001,41,0.19
1,50001,41,0.2
1,52001,41,0.2
1,54001,41,0.2
1,56001,41,0.2
1,58001,41,0.2
1,60001,41,0.23
1,62001,41,0.21
1,64001,41,0.21
1,65535,41,0.21
1,1,51,0.21
1,2001,51,0.19
1,4001,51,0.22
1,6001,51,0.22
1,8001,51,0.2
1,10001,51,0.2
1,12001,51,0.21
1,14001,51,0.21
1,16001,51,0.2
1,18001,51,0.2
1,20001,51,0.2
1,22001,51,0.23
1,24001,51,0.23
1,26001,51,0.18
1,28001,51,0.17
1,30001,51,0.2
1,32001,51,0.2
1,34001,51,0.2
1,36001,51,0.2
1,38001,51,0.21
1,40001,51,0.22
1,42001,51,0.23
1,44001,51,0.21
1,46001,51,0.2
1,48001,51,0.2
1,50001,51,0.2
1,52001,51,0.2
1,54001,51,0.2
1,56001,51,0.2
1,58001,51,0.23
1,60001,51,0.22
1,62001,51,0.2
1,64001,51,0.2
1,65535,51,0.2
1,1,61,0.21
1,2001,61,0.2
1,4001,61,0.2
1,6001,61,0.21
1,8001,61,0.22
1,10001,61,0.2
1,12001,61,0.2
1,14001,61,0.21
1,16001,61,0.21
1,18001,61,0.17
1,20001,61,0.17
1,22001,61,0.2
1,24001,61,0.2
1,26001,61,0.2
1,28001,61,0.26
1,30001,61,0.26
1,32001,61,0.25
1,34001,61,0.23
1,36001,61,0.22
1,38001,61,0.21
1,40001,61,0.22
1,42001,61,0.2
1,44001,61,0.2
1,46001,61,0.2
1,48001,61,0.2
1,50001,61,0.2
1,52001,61,0.23
1,54001,61,0.21
1,56001,61,0.21
1,58001,61,0.23
1,60001,61,0.22
1,62001,61,0.22
1,64001,61,0.21
1,65535,61,0.2
1,1,71,0.23
1,2001,71,0.23
1,4001,71,0.24
1,6001,71,0.2
1,8001,71,0.2
1,10001,71,0.21
1,12001,71,0.23
1,14001,71,0.27
1,16001,71,0.24
1,18001,71,0.27
1,20001,71,0.28
1,22001,71,0.19
1,24001,71,0.19
1,26001,71,0.17
1,28001,71,0.17
1,30001,71,0.2
1,32001,71,0.2
1,34001,71,0.23
1,36001,71,0.2
1,38001,71,0.2
1,40001,71,0.21
1,42001,71,0.21
1,44001,71,0.21
1,46001,71,0.22
1,48001,71,0.23
1,50001,71,0.24
1,52001,71,0.24
1,54001,71,0.21
1,56001,71,0.2
1,58001,71,0.2
1,60001,71,0.2
1,62001,71,0.2
1,64001,71,0.21
1,65535,71,0.23
1,1,81,0.25
1,2001,81,0.25
1,4001,81,0.21
1,6001,81,0.21
1,8001,81,0.19
1,10001,81,0.18
1,12001,81,0.2
1,14001,81,0.23
1,16001,81,0.23
1,18001,81,0.2
1,20001,81,0.2
1,22001,81,0.2
1,24001,81,0.2
1,26001,81,0.23
1,28001,81,0.23
1,30001,81,0.21
1,32001,81,0.21
1,34001,81,0.21
1,36001,81,0.2
1,38001,81,0.2
1,40001,81,0.2
1,42001,81,0.2
