bri,watt
1,0.23
2,0.24
3,0.25
4,0.23
5,0.25
6,0.23
7,0.21
8,0.27
9,0.26
10,0.27
11,0.25
12,0.25
13,0.25
14,0.25
15,0.27
16,0.24
17,0.24
18,0.26
19,0.25
20,0.26
21,0.27
22,0.25
23,0.26
24,0.29
25,0.25
26,0.27
27,0.27
28,0.25
29,0.26
30,0.25
31,0.27
32,0.28
33,0.28
34,0.25
35,0.29
36,0.27
37,0.3
38,0.28
39,0.29
40,0.3
41,0.28
42,0.31
43,0.29
44,0.31
45,0.31
46,0.29
47,0.29
48,0.28
49,0.29
50,0.31
51,0.33
52,0.3
53,0.3
54,0.32
55,0.31
56,0.3
57,0.35
58,0.33
59,0.33
60,0.33
61,0.33
62,0.33
63,0.36
64,0.35
65,0.33
66,0.32
67,0.32
68,0.37
69,0.35
70,0.35
71,0.35
72,0.36
73,0.36
74,0.37
75,0.39
76,0.39
77,0.37
78,0.39
79,0.39
80,0.39
81,0.4
82,0.4
83,0.39
84,0.41
85,0.41
86,0.44
87,0.44
88,0.42
89,0.41
90,0.45
91,0.47
92,0.45
93,0.43
94,0.43
95,0.45
96,0.38
97,0.45
98,0.47
99,0.47
100,0.5
101,0.48
102,0.49
103,0.5
104,0.5
105,0.48
106,0.51
107,0.52
108,0.53
109,0.54
110,0.56
111,0.55
112,0.55
113,0.58
114,0.56
115,0.57
116,0.56
117,0.6
118,0.59
119,0.61
120,0.6
121,0.61
122,0.62
123,0.6
124,0.63
125,0.64
126,0.63
127,0.62
128,0.61
129,0.64
130,0.67
131,0.66
132,0.69
133,0.71
134,0.72
135,0.72
136,0.69
137,0.75
138,0.74
139,0.75
140,0.79
141,0.78
142,0.76
143,0.77
144,0.77
145,0.79
146,0.77
147,0.76
148,0.81
149,0.8
150,0.78
151,0.79
152,0.81
153,0.81
154,0.79
155,0.82
156,0.83
157,0.81
158,0.84
159,0.84
160,0.85
161,0.84
162,0.87
163,0.87
164,0.88
165,0.89
166,0.91
167,0.93
168,0.93
169,0.95
170,0.98
171,1.0
172,1.03
173,1.02
174,1.03
175,1.05
176,1.07
177,1.1
178,1.1
179,1.15
180,1.16
181,1.16
182,1.16
183,1.23
184,1.25
185,1.25
186,1.28
187,1.27
188,1.27
189,1.32
190,1.32
191,1.37
192,1.35
193,1.39
194,1.37
195,1.41
196,1.43
197,1.41
198,1.44
199,1.44
200,1.46
201,1.49
202,1.49
203,1.51
204,1.51
205,1.51
206,1.54
207,1.52
208,1.57
209,1.57
210,1.59
211,1.61
212,1.63
213,1.63
214,1.69
215,1.7
216,1.71
217,1.73
218,1.75
219,1.77
220,1.83
221,1.83
222,1.89
223,1.89
224,1.91
225,1.95
226,2.0
227,2.04
228,2.05
229,2.11
230,2.17
231,2.18
232,2.21
233,2.24
234,2.28
235,2.32
236,2.35
237,2.37
238,2.42
239,2.44
240,2.48
241,2.51
242,2.55
243,2.59
244,2.61
245,2.63
246,2.69
247,2.72
248,2.76
249,2.79
250,2.81
251,2.83
252,2.92
253,2.93
254,3.01
255,2.97
