bri,mired,watt
1,150,0.12
1,160,0.25
1,170,0.17
1,180,0.32
1,190,0.13
1,200,0.24
1,210,0.05
1,220,0.23
1,230,0.05
1,240,0.25
1,250,0.08
1,260,0.23
1,270,0.02
1,280,0.23
1,290,0.08
1,300,0.24
1,310,0.1
1,320,0.33
1,330,0.15
1,340,0.31
1,350,0.16
1,360,0.26
1,370,0.09
1,380,0.28
1,390,0.14
1,400,0.28
1,410,0.02
1,420,0.31
1,430,0.12
1,440,0.24
1,450,0.06
1,460,0.23
1,470,0.13
1,480,0.27
1,490,0.13
1,500,0.21
6,150,0.25
6,160,0.3
6,170,0.33
6,180,0.31
6,190,0.2
6,200,0.23
6,210,0.24
6,220,0.25
6,230,0.2
6,240,0.18
6,250,0.16
6,260,0.22
6,270,0.24
6,280,0.2
6,290,0.17
6,300,0.25
6,310,0.27
6,320,0.21
6,330,0.19
6,340,0.18
6,350,0.21
6,360,0.21
6,370,0.26
6,380,0.26
6,390,0.23
6,400,0.33
6,410,0.3
6,420,0.32
6,430,0.22
6,440,0.22
6,450,0.27
6,460,0.24
6,470,0.27
6,480,0.21
6,490,0.23
6,500,0.2
11,150,0.24
11,160,0.24
11,170,0.21
11,180,0.25
11,190,0.27
11,200,0.28
11,210,0.26
11,220,0.24
11,230,0.22
11,240,0.23
11,250,0.28
11,260,0.3
11,270,0.28
11,280,0.27
11,290,0.25
11,300,0.27
11,310,0.22
11,320,0.2
11,330,0.27
11,340,0.28
11,350,0.28
11,360,0.24
11,370,0.24
11,380,0.23
11,390,0.23
11,400,0.24
11,410,0.24
11,420,0.27
11,430,0.32
11,440,0.33
11,450,0.32
11,460,0.31
11,470,0.32
11,480,0.33
11,490,0.34
11,500,0.33
16,150,0.31
16,160,0.29
16,170,0.3
16,180,0.3
16,190,0.18
16,200,0.1
16,210,0.1
16,220,0.14
16,230,0.11
16,240,0.15
16,250,0.16
16,260,0.15
16,270,0.19
16,280,0.22
16,290,0.28
16,300,0.24
16,310,0.26
16,320,0.26
16,330,0.27
16,340,0.22
16,350,0.15
16,360,0.12
16,370,0.09
16,380,0.05
16,390,0.2
16,400,0.16
16,410,0.16
16,420,0.17
16,430,0.15
16,440,0.16
16,450,0.17
16,460,0.17
16,470,0.24
16,480,0.26
16,490,0.24
16,500,0.23
21,150,0.25
21,160,0.31
21,170,0.28
21,180,0.17
21,190,0.16
21,200,0.12
21,210,0.2
21,220,0.18
21,230,0.21
21,240,0.17
21,250,0.15
21,260,0.11
21,270,0.16
21,280,0.01
21,290,0.12
21,300,0.19
21,310,0.2
21,320,0.17
21,330,0.22
21,340,0.19
21,350,0.13
21,360,0.14
21,370,0.16
21,380,0.18
21,390,0.2
21,400,0.19
21,410,0.18
21,420,0.21
21,430,0.11
21,440,0.09
21,450,0.1
21,460,0.09
21,470,0.13
21,480,0.16
21,490,0.05
21,500,0.08
26,150,0.05
26,160,0.12
26,170,0.12
26,180,0.17
26,190,0.18
26,200,0.15
26,210,0.2
26,220,0.16
26,230,0.14
26,240,0.15
26,250,0.16
26,260,0.17
26,270,0.14
26,280,0.15
26,290,0.2
26,300,0.23
26,310,0.22
26,320,0.19
26,330,0.17
26,340,0.24
26,350,0.26
26,360,0.22
26,370,0.23
26,380,0.25
26,390,0.29
26,400,0.25
26,410,0.27
26,420,0.29
26,430,0.29
26,440,0.29
26,450,0.29
26,460,0.29
26,470,0.31
26,480,0.24
26,490,0.22
26,500,0.19
31,150,0.2
31,160,0.23
31,170,0.22
31,180,0.13
31,190,0.19
31,200,0.1
31,210,0.14
31,220,0.18
31,230,0.22
31,240,0.17
31,250,0.21
31,260,0.18
31,270,0.2
31,280,0.22
31,290,0.23
31,300,0.21
31,310,0.22
31,320,0.18
31,330,0.18
31,340,0.18
31,350,0.11
31,360,0.15
31,370,0.13
31,380,0.14
31,390,0.12
31,400,0.12
31,410,0.11
31,420,0.08
31,430,0.04
31,440,0.0
31,450,0.06
31,460,0.05
31,470,0.05
31,480,0.04
31,490,0.07
31,500,0.11
36,150,0.11
36,160,0.14
36,170,0.19
36,180,0.17
36,190,0.18
36,200,0.14
36,210,0.12
36,220,0.23
36,230,0.21
36,240,0.27
36,250,0.26
36,260,0.26
36,270,0.27
36,280,0.28
36,290,0.27
36,300,0.27
36,310,0.25
36,320,0.24
36,330,0.23
36,340,0.25
36,350,0.22
36,360,0.24
36,370,0.22
36,380,0.22
36,390,0.18
36,400,0.22
36,410,0.22
36,420,0.2
36,430,0.21
36,440,0.22
36,450,0.26
36,460,0.23
36,470,0.22
36,480,0.21
36,490,0.22
36,500,0.22
41,150,0.25
41,160,0.24
41,170,0.23
41,180,0.27
41,190,0.27
41,200,0.3
41,210,0.26
41,220,0.24
41,230,0.24
41,240,0.22
41,250,0.2
41,260,0.2
41,270,0.19
41,280,0.18
41,290,0.21
41,300,0.19
41,310,0.2
41,320,0.2
41,330,0.18
41,340,0.23
41,350,0.2
41,360,0.23
41,370,0.2
41,380,0.22
41,390,0.24
41,400,0.26
41,410,0.27
41,420,0.24
41,430,0.24
41,440,0.2
41,450,0.22
41,460,0.19
41,470,0.15
41,480,0.14
41,490,0.15
41,500,0.29
46,150,0.32
46,160,0.33
46,170,0.31
46,180,0.31
46,190,0.27
46,200,0.36
46,210,0.33
46,220,0.35
46,230,0.28
46,240,0.24
46,250,0.25
46,260,0.27
46,270,0.21
46,280,0.12
46,290,0.12
46,300,0.09
46,310,0.15
46,320,0.14
46,330,0.17
46,340,0.12
46,350,-0.02
46,360,0.03
46,370,0.07
46,380,0.05
46,390,0.04
46,400,-0.03
46,410,-0.05
46,420,-0.06
46,430,0.0
46,440,0.26
46,450,0.28
46,460,0.19
46,470,0.22
46,480,0.24
46,490,0.29
46,500,0.29
51,150,0.24
51,160,0.25
51,170,0.26
51,180,0.28
51,190,0.3
51,200,0.3
51,210,0.23
51,220,0.24
51,230,0.25
51,240,0.28
51,250,0.24
51,260,0.22
51,270,0.19
51,280,0.2
51,290,0.24
51,300,0.19
51,310,0.21
51,320,0.15
51,330,0.18
51,340,0.16
51,350,0.2
51,360,0.19
51,370,0.16
51,380,0.16
51,390,0.12
51,400,0.15
51,410,0.2
51,420,0.16
51,430,0.13
51,440,0.14
51,450,0.13
51,460,0.18
51,470,0.21
51,480,0.15
51,490,0.16
51,500,0.14
56,150,0.12
56,160,0.15
56,170,0.18
56,180,0.26
56,190,0.19
56,200,0.15
56,210,0.22
56,220,0.21
56,230,0.2
56,240,0.23
56,250,0.22
56,260,0.27
56,270,0.22
56,280,0.26
56,290,0.31
56,300,0.25
56,310,0.23
56,320,0.19
56,330,0.3
56,340,0.3
56,350,0.27
56,360,0.21
56,370,0.16
56,380,0.15
56,390,0.27
56,400,0.26
56,410,0.21
56,420,0.2
56,430,0.13
56,440,0.17
56,450,0.23
56,460,0.18
56,470,0.23
56,480,0.16
56,490,-0.27
56,500,0.26
61,150,0.22
61,160,0.3
61,170,0.16
61,180,0.18
61,190,0.21
61,200,0.33
61,210,0.31
61,220,0.34
61,230,0.27
61,240,0.29
61,250,0.32
61,260,0.34
61,270,0.35
61,280,0.28
61,290,0.29
61,300,0.25
61,310,0.35
61,320,0.41
61,330,0.35
61,340,0.32
61,350,0.32
61,360,0.29
61,370,0.4
61,380,0.39
61,390,0.37
61,400,0.36
61,410,0.32
61,420,0.41
61,430,0.42
61,440,0.34
61,450,0.39
61,460,0.25
61,470,0.31
61,480,0.33
61,490,0.3
61,500,0.29
66,150,0.21
66,160,0.27
66,170,0.3
66,180,0.34
66,190,0.3
66,200,0.24
66,210,0.25
66,220,0.22
66,230,0.31
66,240,0.36
66,250,0.42
66,260,0.33
66,270,0.29
66,280,0.39
66,290,0.41
66,300,0.36
66,310,0.32
66,320,0.28
66,330,0.31
66,340,0.37
66,350,0.35
66,360,0.34
66,370,0.32
66,380,0.26
66,390,0.33
66,400,0.32
66,410,0.34
66,420,0.42
66,430,0.36
66,440,0.39
66,450,0.39
66,460,0.4
66,470,0.46
66,480,0.38
66,490,0.39
66,500,0.39
71,150,0.43
71,160,0.44
71,170,0.41
71,180,0.37
71,190,0.4
71,200,0.39
71,210,0.49
71,220,0.48
71,230,0.48
71,240,0.46
71,250,0.44
71,260,0.48
71,270,0.45
71,280,0.45
71,290,0.43
71,300,0.4
71,310,0.43
71,320,0.51
71,330,0.47
71,340,0.41
71,350,0.33
71,360,0.36
71,370,0.42
71,380,0.35
71,390,0.37
71,400,0.31
71,410,0.31
71,420,0.4
71,430,0.39
71,440,0.48
71,450,0.46
71,460,0.38
71,470,0.43
71,480,0.45
71,490,0.44
71,500,0.41
76,150,0.37
76,160,0.33
76,170,0.34
76,180,0.48
76,190,0.45
76,200,0.45
76,210,0.37
76,220,0.39
76,230,0.38
76,240,0.44
76,250,0.43
76,260,0.41
76,270,0.34
76,280,0.34
76,290,0.41
76,300,0.41
76,310,-0.06
76,320,0.25
76,330,0.34
76,340,0.3
76,350,0.38
76,360,0.39
76,370,0.36
76,380,0.31
76,390,0.33
76,400,0.37
76,410,0.34
76,420,0.35
76,430,0.33
76,440,0.36
76,450,0.4
76,460,0.53
76,470,0.53
76,480,0.56
76,490,0.47
76,500,0.43
81,150,0.42
81,160,0.46
81,170,0.47
81,180,0.44
81,190,0.36
81,200,0.41
81,210,0.48
81,220,0.48
81,230,0.48
81,240,0.42
81,250,0.46
81,260,0.55
81,270,0.58
81,280,0.59
81,290,0.57
81,300,0.55
81,310,0.62
81,320,0.57
81,330,0.61
81,340,0.63
81,350,0.59
81,360,0.6
81,370,0.61
81,380,0.63
81,390,0.61
81,400,0.59
81,410,0.52
81,420,0.58
81,430,0.61
81,440,0.58
81,450,0.47
81,460,0.5
81,470,0.5
81,480,0.54
81,490,0.57
81,500,0.59
86,150,0.61
86,160,0.59
86,170,0.59
86,180,0.59
86,190,0.57
86,200,0.59
86,210,0.56
86,220,0.52
86,230,0.55
86,240,0.55
86,250,0.53
86,260,0.52
86,270,0.5
86,280,0.47
86,290,0.48
86,300,0.46
86,310,0.48
86,320,0.51
86,330,0.49
86,340,0.02
86,350,0.47
86,360,0.49
86,370,0.45
86,380,0.51
86,390,0.5
86,400,0.53
86,410,0.51
86,420,0.52
86,430,0.52
86,440,0.46
86,450,0.48
86,460,0.51
86,470,0.55
86,480,0.49
86,490,0.57
86,500,0.57
91,150,0.57
91,160,0.53
91,170,0.53
91,180,0.55
91,190,0.59
91,200,0.57
91,210,0.51
91,220,0.53
91,230,0.54
91,240,0.1
91,250,0.58
91,260,0.57
91,270,0.59
91,280,0.57
91,290,0.59
91,300,0.54
91,310,0.64
91,320,0.65
91,330,0.61
91,340,0.63
91,350,0.58
91,360,0.64
91,370,0.68
91,380,0.63
91,390,0.54
91,400,0.61
91,410,0.54
91,420,0.55
91,430,0.55
91,440,0.51
91,450,0.56
91,460,0.49
91,470,0.55
91,480,0.52
91,490,0.55
91,500,0.64
96,150,0.64
96,160,0.6
96,170,0.58
96,180,0.56
96,190,0.57
96,200,0.58
96,210,0.49
96,220,0.56
96,230,0.51
96,240,0.52
96,250,0.46
96,260,0.46
96,270,0.5
96,280,0.51
96,290,0.51
96,300,0.47
96,310,0.53
96,320,0.52
96,330,0.53
96,340,0.54
96,350,0.53
96,360,0.57
96,370,0.56
96,380,0.56
96,390,0.55
96,400,0.54
96,410,0.58
96,420,0.57
96,430,0.57
96,440,0.62
96,450,0.6
96,460,0.65
96,470,0.61
96,480,0.49
96,490,0.57
96,500,0.55
101,150,0.51
101,160,0.48
101,170,0.48
101,180,0.46
101,190,0.02
101,200,0.47
101,210,0.41
101,220,0.44
101,230,0.41
101,240,0.45
101,250,0.36
101,260,0.48
101,270,0.52
101,280,0.51
101,290,0.53
101,300,0.49
101,310,0.56
101,320,0.52
101,330,0.51
101,340,0.53
101,350,0.51
101,360,0.48
101,370,0.51
101,380,0.55
101,390,0.49
101,400,0.53
101,410,0.03
101,420,0.53
101,430,0.51
101,440,0.53
101,450,0.55
101,460,0.53
101,470,0.52
101,480,0.54
101,490,0.55
101,500,0.53
106,150,0.55
106,160,0.59
106,170,0.51
106,180,0.54
106,190,0.51
106,200,0.51
106,210,0.03
106,220,0.53
106,230,0.53
106,240,0.44
106,250,0.46
106,260,0.49
106,270,0.48
106,280,0.42
106,290,0.45
106,300,0.47
106,310,0.51
106,320,0.46
106,330,0.43
106,340,0.43
106,350,0.55
106,360,0.59
106,370,0.56
106,380,0.54
106,390,0.58
106,400,0.57
106,410,0.54
106,420,0.55
106,430,0.56
106,440,0.6
106,450,0.59
106,460,0.55
106,470,0.59
106,480,0.59
106,490,0.56
106,500,0.51
111,150,0.49
111,160,0.49
111,170,0.48
111,180,0.44
111,190,0.49
111,200,0.51
111,210,0.56
111,220,0.48
111,230,0.5
111,240,0.51
111,250,0.54
111,260,0.48
111,270,0.51
111,280,0.53
111,290,0.49
111,300,0.48
111,310,0.5
111,320,0.56
111,330,0.54
111,340,0.58
111,350,0.58
111,360,0.61
111,370,0.62
111,380,0.57
111,390,0.56
111,400,0.56
111,410,0.59
111,420,0.58
111,430,0.6
111,440,0.6
111,450,0.63
111,460,0.64
111,470,0.58
111,480,0.56
111,490,0.6
111,500,0.61
116,150,0.55
116,160,0.55
116,170,0.6
116,180,0.59
116,190,0.57
116,200,0.53
116,210,0.59
116,220,0.55
116,230,0.55
116,240,0.52
116,250,0.54
116,260,0.56
116,270,0.53
116,280,0.5
116,290,0.47
116,300,0.5
116,310,0.54
116,320,0.52
116,330,0.56
116,340,0.09
116,350,0.59
116,360,0.56
116,370,0.55
116,380,0.56
116,390,0.59
116,400,0.56
116,410,0.57
116,420,0.56
116,430,0.55
116,440,-0.01
116,450,0.46
116,460,0.52
116,470,0.57
116,480,0.61
116,490,0.58
116,500,0.59
121,150,0.64
121,160,0.63
121,170,0.58
121,180,0.52
121,190,0.58
121,200,0.58
121,210,0.52
121,220,0.55
121,230,0.53
121,240,0.53
121,250,0.51
121,260,0.47
121,270,0.54
121,280,0.52
121,290,0.48
121,300,0.48
121,310,0.03
121,320,0.54
121,330,0.48
121,340,0.48
121,350,0.47
121,360,0.54
121,370,0.55
121,380,0.53
121,390,0.53
121,400,0.6
121,410,0.65
121,420,0.68
121,430,0.66
121,440,0.7
121,450,0.63
121,460,0.6
121,470,0.56
121,480,0.66
121,490,0.7
121,500,0.68
126,150,0.55
126,160,0.54
126,170,0.66
126,180,0.69
126,190,0.64
126,200,0.59
126,210,0.62
126,220,0.67
126,230,0.68
126,240,0.66
126,250,0.66
126,260,0.61
126,270,0.59
126,280,0.65
126,290,0.61
126,300,0.63
126,310,0.56
126,320,0.51
126,330,0.53
126,340,0.61
126,350,0.62
126,360,0.57
126,370,0.53
126,380,0.58
126,390,0.61
126,400,0.59
126,410,0.55
126,420,0.49
126,430,0.46
126,440,0.52
126,450,0.49
126,460,0.52
126,470,0.54
126,480,0.57
126,490,0.44
126,500,0.47
131,150,0.52
131,160,0.55
131,170,0.52
131,180,0.45
131,190,0.52
131,200,0.52
131,210,0.51
131,220,0.47
131,230,0.51
131,240,0.48
131,250,0.5
131,260,0.48
131,270,0.47
131,280,0.47
131,290,0.61
131,300,0.51
131,310,0.55
131,320,0.56
131,330,0.56
131,340,0.58
131,350,0.52
131,360,0.44
131,370,0.38
131,380,0.42
131,390,0.4
131,400,0.38
131,410,0.44
131,420,0.44
131,430,0.43
131,440,0.47
131,450,0.53
131,460,0.42
131,470,0.41
131,480,0.42
131,490,0.32
131,500,0.46
136,150,0.49
136,160,0.43
136,170,0.42
136,180,0.45
136,190,-0.06
136,200,0.42
136,210,0.41
136,220,0.44
136,230,0.48
136,240,0.42
136,250,0.51
136,260,0.52
136,270,0.55
136,280,0.52
136,290,0.52
136,300,0.53
136,310,0.62
136,320,0.6
136,330,0.28
136,340,0.19
136,350,0.15
136,360,0.36
136,370,0.51
136,380,0.46
136,390,0.45
136,400,0.45
136,410,0.37
136,420,0.39
136,430,0.42
136,440,0.48
136,450,0.43
136,460,0.41
136,470,0.31
136,480,0.41
136,490,0.46
136,500,0.5
141,150,0.49
141,160,0.42
141,170,0.52
141,180,0.57
141,190,0.51
141,200,0.47
141,210,0.52
141,220,0.46
141,230,0.55
141,240,0.51
141,250,0.47
141,260,0.48
141,270,0.38
141,280,0.5
141,290,0.51
141,300,0.47
141,310,0.43
141,320,0.5
141,330,0.58
141,340,0.61
141,350,0.52
141,360,0.57
