bri,mired,watt
1,153,0.14
1,163,0.24
1,173,0.14
1,183,0.21
1,193,0.19
1,203,0.21
1,213,0.19
1,223,0.19
1,233,0.17
1,243,0.19
1,253,0.19
1,263,0.18
1,273,0.15
1,283,0.13
1,293,0.15
1,303,0.15
1,313,0.17
1,323,0.19
1,333,0.2
1,343,0.19
1,353,0.16
1,363,0.21
1,373,0.18
1,383,0.22
1,393,0.21
1,403,0.18
1,413,0.22
1,423,0.18
1,433,0.23
1,443,0.18
1,453,0.21
1,454,0.18
6,153,0.23
6,163,0.19
6,173,0.18
6,183,0.18
6,193,0.2
6,203,0.19
6,213,0.2
6,223,0.22
6,233,0.23
6,243,0.22
6,253,0.22
6,263,0.22
6,273,0.22
6,283,0.22
6,293,0.22
6,303,0.22
6,313,0.18
6,323,0.19
6,333,0.18
6,343,0.21
6,353,0.22
6,363,0.23
6,373,0.21
6,383,0.24
6,393,0.23
6,403,0.18
6,413,0.22
6,423,0.22
6,433,0.2
6,443,0.22
6,453,0.22
6,454,0.22
11,153,0.22
11,163,0.22
11,173,0.18
11,183,0.22
11,193,0.2
11,203,0.19
11,213,0.2
11,223,0.22
11,233,0.2
11,243,0.22
11,253,0.22
11,263,0.2
11,273,0.19
11,283,0.2
11,293,0.22
11,303,0.2
11,313,0.2
11,323,0.22
11,333,0.22
11,343,0.19
11,353,0.16
11,363,0.24
11,373,0.21
11,383,0.24
11,393,0.19
11,403,0.16
11,413,0.19
11,423,0.19
11,433,0.19
11,443,0.17
11,453,0.2
11,454,0.15
16,153,0.19
16,163,0.19
16,173,0.19
16,183,0.19
16,193,0.19
16,203,0.19
16,213,0.24
16,223,0.21
16,233,0.19
16,243,0.21
16,253,0.14
16,263,0.16
16,273,0.24
16,283,0.21
16,293,0.24
16,303,0.24
16,313,0.19
16,323,0.19
16,333,0.21
16,343,0.2
16,353,0.25
16,363,0.22
16,373,0.22
16,383,0.25
16,393,0.2
16,403,0.26
16,413,0.24
16,423,0.26
16,433,0.22
16,443,0.24
16,453,0.2
16,454,0.25
21,153,0.25
21,163,0.24
21,173,0.22
21,183,0.24
21,193,0.3
21,203,0.26
21,213,0.26
21,223,0.28
21,233,0.23
21,243,0.25
21,253,0.26
21,263,0.24
21,273,0.21
21,283,0.18
21,293,0.23
21,303,0.23
21,313,0.2
21,323,0.23
21,333,0.18
21,343,0.24
21,353,0.21
21,363,0.26
21,373,0.28
21,383,0.21
21,393,0.24
21,403,0.21
21,413,0.21
21,423,0.24
21,433,0.24
21,443,0.21
21,453,0.24
21,454,0.21
26,153,0.19
26,163,0.23
26,173,0.23
26,183,0.23
26,193,0.25
26,203,0.21
26,213,0.23
26,223,0.24
26,233,0.21
26,243,0.24
26,253,0.2
26,263,0.22
26,273,0.24
26,283,0.19
26,293,0.22
26,303,0.24
26,313,0.19
26,323,0.24
26,333,0.21
26,343,0.24
26,353,0.24
26,363,0.19
26,373,0.19
26,383,0.21
26,393,0.28
26,403,0.24
26,413,0.24
26,423,0.24
26,433,0.24
26,443,0.26
26,453,0.24
26,454,0.26
31,153,0.19
31,163,0.24
31,173,0.24
31,183,0.21
31,193,0.21
31,203,0.19
31,213,0.24
31,223,0.28
31,233,0.24
31,243,0.21
31,253,0.24
31,263,0.24
31,273,0.24
31,283,0.26
31,293,0.24
31,303,0.24
31,313,0.21
31,323,0.24
31,333,0.19
31,343,0.19
31,353,0.19
31,363,0.2
31,373,0.19
31,383,0.19
31,393,0.2
31,403,0.22
31,413,0.19
31,423,0.24
31,433,0.24
31,443,0.24
31,453,0.19
31,454,0.24
36,153,0.24
36,163,0.26
36,173,0.28
36,183,0.28
36,193,0.28
36,203,0.24
36,213,0.24
36,223,0.23
36,233,0.23
36,243,0.2
36,253,0.23
36,263,0.21
36,273,0.24
36,283,0.21
36,293,0.24
36,303,0.17
36,313,0.24
36,323,0.24
36,333,0.28
36,343,0.26
36,353,0.28
36,363,0.28
36,373,0.24
36,383,0.28
36,393,0.28
36,403,0.32
36,413,0.27
36,423,0.22
36,433,0.28
36,443,0.28
36,453,0.26
36,454,0.26
41,153,0.26
41,163,0.24
41,173,0.25
41,183,0.32
41,193,0.28
41,203,0.28
41,213,0.28
41,223,0.3
41,233,0.29
41,243,0.26
41,253,0.26
41,263,0.3
41,273,0.27
41,283,0.3
41,293,0.3
41,303,0.3
41,313,0.3
41,323,0.32
41,333,0.3
41,343,0.28
41,353,0.32
41,363,0.29
41,373,0.32
41,383,0.29
41,393,0.26
41,403,0.26
41,413,0.3
41,423,0.26
41,433,0.29
41,443,0.3
41,453,0.3
41,454,0.28
46,153,0.28
46,163,0.31
46,173,0.26
46,183,0.27
46,193,0.3
46,203,0.3
46,213,0.3
46,223,0.3
46,233,0.3
46,243,0.28
46,253,0.3
46,263,0.26
46,273,0.27
46,283,0.31
46,293,0.26
46,303,0.26
46,313,0.3
46,323,0.3
46,333,0.26
46,343,0.31
46,353,0.27
46,363,0.26
46,373,0.28
46,383,0.28
46,393,0.28
46,403,0.26
46,413,0.26
46,423,0.24
46,433,0.26
46,443,0.23
46,453,0.24
46,454,0.28
51,153,0.28
51,163,0.28
51,173,0.28
51,183,0.28
51,193,0.3
51,203,0.28
51,213,0.26
51,223,0.26
51,233,0.26
51,243,0.29
51,253,0.26
51,263,0.26
51,273,0.24
51,283,0.24
51,293,0.29
51,303,0.24
51,313,0.26
51,323,0.29
51,333,0.29
51,343,0.29
51,353,0.29
51,363,0.29
51,373,0.24
51,383,0.23
51,393,0.25
51,403,0.25
51,413,0.25
51,423,0.25
51,433,0.23
51,443,0.27
51,453,0.27
51,454,0.25
56,153,0.27
56,163,0.28
56,173,0.25
56,183,0.23
56,193,0.23
56,203,0.25
56,213,0.34
56,223,0.31
56,233,0.24
56,243,0.29
56,253,0.29
56,263,0.31
56,273,0.3
56,283,0.3
56,293,0.29
56,303,0.24
56,313,0.26
56,323,0.31
56,333,0.31
56,343,0.29
56,353,0.29
56,363,0.29
56,373,0.29
56,383,0.29
56,393,0.25
56,403,0.25
56,413,0.21
56,423,0.27
56,433,0.29
56,443,0.29
56,453,0.29
56,454,0.31
61,153,0.29
61,163,0.26
61,173,0.34
61,183,0.24
61,193,0.31
61,203,0.29
61,213,0.29
61,223,0.29
61,233,0.31
61,243,0.29
61,253,0.34
61,263,0.29
61,273,0.34
61,283,0.34
61,293,0.29
61,303,0.34
61,313,0.26
61,323,0.34
61,333,0.34
61,343,0.34
61,353,0.29
61,363,0.34
61,373,0.34
61,383,0.34
61,393,0.31
61,403,0.22
61,413,0.31
61,423,0.31
61,433,0.34
61,443,0.25
61,453,0.27
61,454,0.29
66,153,0.29
66,163,0.34
66,173,0.29
66,183,0.34
66,193,0.34
66,203,0.34
66,213,0.31
66,223,0.34
66,233,0.34
66,243,0.34
66,253,0.34
66,263,0.34
66,273,0.38
66,283,0.31
66,293,0.34
66,303,0.31
66,313,0.36
66,323,0.34
66,333,0.31
66,343,0.29
66,353,0.34
66,363,0.34
66,373,0.31
66,383,0.32
66,393,0.34
66,403,0.34
66,413,0.31
66,423,0.34
66,433,0.38
66,443,0.33
66,453,0.28
66,454,0.34
71,153,0.29
71,163,0.34
71,173,0.31
71,183,0.34
71,193,0.37
71,203,0.32
71,213,0.32
71,223,0.35
71,233,0.34
71,243,0.32
71,253,0.33
71,263,0.32
71,273,0.37
71,283,0.4
71,293,0.28
71,303,0.4
71,313,0.38
71,323,0.42
71,333,0.33
71,343,0.37
71,353,0.42
71,363,0.38
71,373,0.38
71,383,0.37
71,393,0.37
71,403,0.35
71,413,0.31
71,423,0.4
71,433,0.33
71,443,0.38
71,453,0.33
71,454,0.36
76,153,0.36
76,163,0.38
76,173,0.38
76,183,0.38
76,193,0.38
76,203,0.38
76,213,0.39
76,223,0.33
76,233,0.38
76,243,0.38
76,253,0.38
76,263,0.38
76,273,0.38
76,283,0.34
76,293,0.38
76,303,0.35
76,313,0.42
76,323,0.4
76,333,0.4
76,343,0.38
76,353,0.38
76,363,0.38
76,373,0.4
76,383,0.34
76,393,0.4
76,403,0.42
76,413,0.42
76,423,0.38
76,433,0.38
76,443,0.38
76,453,0.39
76,454,0.35
81,153,0.35
81,163,0.35
81,173,0.35
81,183,0.37
81,193,0.35
81,203,0.37
81,213,0.35
81,223,0.35
81,233,0.34
81,243,0.39
81,253,0.39
81,263,0.32
81,273,0.34
81,283,0.35
81,293,0.37
81,303,0.37
81,313,0.35
81,323,0.35
81,333,0.39
81,343,0.37
81,353,0.35
81,363,0.35
81,373,0.35
81,383,0.37
81,393,0.35
81,403,0.37
81,413,0.35
81,423,0.35
81,433,0.35
81,443,0.35
81,453,0.37
81,454,0.33
86,153,0.41
86,163,0.33
86,173,0.35
86,183,0.35
86,193,0.37
86,203,0.4
86,213,0.35
86,223,0.35
86,233,0.33
86,243,0.33
86,253,0.39
86,263,0.39
86,273,0.37
86,283,0.39
86,293,0.39
86,303,0.39
86,313,0.35
86,323,0.4
86,333,0.38
86,343,0.36
86,353,0.4
86,363,0.43
86,373,0.43
86,383,0.31
86,393,0.37
86,403,0.39
86,413,0.35
86,423,0.42
86,433,0.37
86,443,0.42
86,453,0.35
86,454,0.35
91,153,0.35
91,163,0.4
91,173,0.43
91,183,0.38
91,193,0.38
91,203,0.41
91,213,0.41
91,223,0.43
91,233,0.41
91,243,0.41
91,253,0.41
91,263,0.39
91,273,0.37
91,283,0.37
91,293,0.41
91,303,0.41
91,313,0.43
91,323,0.41
91,333,0.43
91,343,0.43
91,353,0.41
91,363,0.41
91,373,0.43
91,383,0.46
91,393,0.41
91,403,0.41
91,413,0.41
91,423,0.46
91,433,0.46
91,443,0.46
91,453,0.44
91,454,0.44
96,153,0.46
96,163,0.46
96,173,0.46
96,183,0.44
96,193,0.44
96,203,0.48
96,213,0.44
96,223,0.44
96,233,0.46
96,243,0.44
96,253,0.49
96,263,0.44
96,273,0.44
96,283,0.5
96,293,0.48
96,303,0.47
96,313,0.54
96,323,0.44
96,333,0.52
96,343,0.52
96,353,0.52
96,363,0.47
96,373,0.48
96,383,0.48
96,393,0.5
96,403,0.48
96,413,0.5
96,423,0.48
96,433,0.51
96,443,0.46
96,453,0.48
96,454,0.48
101,153,0.48
101,163,0.51
101,173,0.46
101,183,0.51
101,193,0.52
101,203,0.5
101,213,0.48
101,223,0.48
101,233,0.48
101,243,0.48
101,253,0.51
101,263,0.54
101,273,0.49
101,283,0.54
101,293,0.46
101,303,0.54
101,313,0.45
101,323,0.5
101,333,0.45
101,343,0.49
101,353,0.54
101,363,0.51
101,373,0.51
101,383,0.49
101,393,0.51
101,403,0.49
101,413,0.44
101,423,0.45
101,433,0.49
101,443,0.49
101,453,0.49
101,454,0.47
106,153,0.47
106,163,0.43
106,173,0.45
106,183,0.48
106,193,0.45
106,203,0.48
106,213,0.47
106,223,0.47
106,233,0.45
106,243,0.45
106,253,0.43
106,263,0.48
106,273,0.43
106,283,0.48
106,293,0.48
106,303,0.48
106,313,0.47
106,323,0.47
106,333,0.47
106,343,0.47
106,353,0.47
106,363,0.47
106,373,0.49
106,383,0.47
106,393,0.49
106,403,0.51
106,413,0.49
106,423,0.51
106,433,0.46
106,443,0.51
106,453,0.51
106,454,0.51
111,153,0.51
111,163,0.53
111,173,0.51
111,183,0.51
111,193,0.51
111,203,0.51
111,213,0.51
111,223,0.55
111,233,0.55
111,243,0.51
111,253,0.53
111,263,0.56
111,273,0.52
111,283,0.57
111,293,0.49
111,303,0.49
111,313,0.52
111,323,0.57
111,333,0.49
111,343,0.52
111,353,0.57
111,363,0.57
111,373,0.53
111,383,0.53
111,393,0.58
111,403,0.53
111,413,0.53
111,423,0.55
111,433,0.53
111,443,0.47
111,453,0.52
111,454,0.52
116,153,0.57
116,163,0.57
116,173,0.57
116,183,0.55
116,193,0.57
116,203,0.61
116,213,0.59
116,223,0.55
116,233,0.55
116,243,0.57
116,253,0.57
116,263,0.57
116,273,0.57
116,283,0.55
116,293,0.57
116,303,0.65
116,313,0.57
116,323,0.59
116,333,0.58
116,343,0.62
116,353,0.57
116,363,0.63
116,373,0.6
116,383,0.58
116,393,0.58
116,403,0.58
116,413,0.6
116,423,0.5
116,433,0.53
116,443,0.55
116,453,0.61
116,454,0.61
121,153,0.61
121,163,0.64
121,173,0.61
121,183,0.61
121,193,0.64
121,203,0.65
121,213,0.65
121,223,0.59
121,233,0.64
121,243,0.65
121,253,0.63
121,263,0.61
121,273,0.63
121,283,0.61
121,293,0.59
121,303,0.66
121,313,0.65
121,323,0.67
121,333,0.65
121,343,0.69
121,353,0.69
121,363,0.69
121,373,0.64
121,383,0.69
121,393,0.67
121,403,0.69
121,413,0.69
121,423,0.69
121,433,0.69
121,443,0.69
121,453,0.69
121,454,0.61
126,153,0.69
126,163,0.69
126,173,0.74
126,183,0.74
126,193,0.69
126,203,0.72
126,213,0.63
126,223,0.68
126,233,0.66
126,243,0.68
126,253,0.66
126,263,0.73
