bri,mired,watt
1,153,0.19
1,163,0.27
1,173,0.33
1,183,0.2
1,193,0.24
1,203,0.23
1,213,0.19
1,223,0.36
1,233,0.34
1,243,0.32
1,253,0.3
1,263,0.3
1,273,0.29
1,283,0.28
1,293,0.19
1,303,0.23
1,313,0.28
1,323,0.25
1,333,0.28
1,343,0.21
1,353,0.29
1,363,0.2
1,373,0.25
1,383,0.22
1,393,0.24
1,403,0.2
1,413,0.2
1,423,0.2
1,433,0.24
1,443,0.22
1,453,0.23
1,454,0.21
6,153,0.21
6,163,0.23
6,173,0.23
6,183,0.21
6,193,0.15
6,203,0.21
6,213,0.22
6,223,0.22
6,233,0.18
6,243,0.18
6,253,0.22
6,263,0.22
6,273,0.24
6,283,0.24
6,293,0.26
6,303,0.2
6,313,0.29
6,323,0.28
6,333,0.17
6,343,0.26
6,353,0.21
6,363,0.24
6,373,0.21
6,383,0.12
6,393,0.14
6,403,0.16
6,413,0.17
6,423,0.26
6,433,0.19
6,443,0.15
6,453,0.19
6,454,0.13
11,153,0.14
11,163,0.18
11,173,0.2
11,183,0.18
11,193,0.14
11,203,0.09
11,213,0.18
11,223,0.18
11,233,0.18
11,243,0.15
11,253,0.2
11,263,0.24
11,273,0.27
11,283,0.23
11,293,0.18
11,303,0.14
11,313,0.21
11,323,0.2
11,333,0.26
11,343,0.27
11,353,0.23
11,363,0.23
11,373,0.23
11,383,0.25
11,393,0.23
11,403,0.29
11,413,0.23
11,423,0.25
11,433,0.23
11,443,0.25
11,453,0.2
11,454,0.25
16,153,0.25
16,163,0.28
16,173,0.25
16,183,0.24
16,193,0.25
16,203,0.26
16,213,0.26
16,223,0.3
16,233,0.19
16,243,0.23
16,253,0.28
16,263,0.23
16,273,0.24
16,283,0.2
16,293,0.22
16,303,0.28
16,313,0.17
16,323,0.14
16,333,0.23
16,343,0.25
16,353,0.25
16,363,0.29
16,373,0.21
16,383,0.21
16,393,0.26
16,403,0.23
16,413,0.25
16,423,0.26
16,433,0.13
16,443,0.28
16,453,0.18
16,454,0.21
21,153,0.18
21,163,0.2
21,173,0.18
21,183,0.22
21,193,0.22
21,203,0.16
21,213,0.21
21,223,0.16
21,233,0.19
21,243,0.19
21,253,0.15
21,263,0.2
21,273,0.18
21,283,0.12
21,293,0.23
21,303,0.19
21,313,0.16
21,323,0.22
21,333,0.15
21,343,0.21
21,353,0.16
21,363,0.22
21,373,0.17
21,383,0.26
21,393,0.16
21,403,0.2
21,413,0.25
21,423,0.23
21,433,0.25
21,443,0.21
21,453,0.27
21,454,0.24
26,153,0.28
26,163,0.23
26,173,0.23
26,183,0.26
26,193,0.24
26,203,0.24
26,213,0.27
26,223,0.23
26,233,0.2
26,243,0.27
26,253,0.28
26,263,0.27
26,273,0.25
26,283,0.24
26,293,0.2
26,303,0.27
26,313,0.18
26,323,0.22
26,333,0.25
26,343,0.18
26,353,0.27
26,363,0.28
26,373,0.22
26,383,0.21
26,393,0.23
26,403,0.25
26,413,0.28
26,423,0.22
26,433,0.32
26,443,0.28
26,453,0.21
26,454,0.23
31,153,0.25
31,163,0.35
31,173,0.3
31,183,0.3
31,193,0.32
31,203,0.29
31,213,0.35
31,223,0.29
31,233,0.27
31,243,0.26
31,253,0.23
31,263,0.33
31,273,0.3
31,283,0.29
31,293,0.3
31,303,0.29
31,313,0.25
31,323,0.23
31,333,0.29
31,343,0.28
31,353,0.29
31,363,0.24
31,373,0.3
31,383,0.28
31,393,0.28
31,403,0.27
31,413,0.28
31,423,0.29
31,433,0.34
31,443,0.32
31,453,0.35
31,454,0.29
36,153,0.29
36,163,0.33
36,173,0.31
36,183,0.33
36,193,0.29
36,203,0.29
36,213,0.3
36,223,0.26
36,233,0.3
36,243,0.3
36,253,0.26
36,263,0.31
36,273,0.3
36,283,0.31
36,293,0.31
36,303,0.29
36,313,0.24
36,323,0.24
36,333,0.31
36,343,0.26
36,353,0.28
36,363,0.24
36,373,0.26
36,383,0.29
36,393,0.36
36,403,0.27
36,413,0.26
36,423,0.24
36,433,0.32
36,443,0.28
36,453,0.3
36,454,0.34
41,153,0.27
41,163,0.32
41,173,0.29
41,183,0.29
41,193,0.33
41,203,0.28
41,213,0.33
41,223,0.22
41,233,0.3
41,243,0.26
41,253,0.28
41,263,0.3
41,273,0.22
41,283,0.28
41,293,0.28
41,303,0.27
41,313,0.2
41,323,0.18
41,333,0.28
41,343,0.28
41,353,0.28
41,363,0.29
41,373,0.27
41,383,0.29
41,393,0.27
41,403,0.26
41,413,0.28
41,423,0.28
41,433,0.27
