bri,mired,watt
1,250,3.0
1,260,3.1
1,270,3.05
1,280,3.0
1,290,3.05
1,300,3.05
1,310,3.05
1,320,3.05
1,330,3.05
1,340,3.0
1,350,3.1
1,360,3.1
1,370,3.05
1,380,3.05
1,390,2.95
1,400,3.0
1,410,3.05
1,420,3.05
1,430,3.05
1,440,3.05
1,450,3.0
1,454,3.0
6,250,3.1
6,260,3.1
6,270,3.05
6,280,3.1
6,290,3.15
6,300,3.05
6,310,3.1
6,320,3.1
6,330,3.1
6,340,3.05
6,350,3.05
6,360,3.1
6,370,3.05
6,380,3.1
6,390,3.05
6,400,3.05
6,410,3.05
6,420,3.1
6,430,3.05
6,440,3.1
6,450,3.1
6,454,3.0
11,250,3.2
11,260,3.2
11,270,3.2
11,280,3.15
11,290,3.15
11,300,3.2
11,310,3.15
11,320,3.15
11,330,3.15
11,340,3.2
11,350,3.2
11,360,3.2
11,370,3.25
11,380,3.2
11,390,3.15
11,400,3.2
11,410,3.15
11,420,3.15
11,430,3.2
11,440,3.1
11,450,3.15
11,454,3.25
16,250,3.3
16,260,3.25
16,270,3.3
16,280,3.3
16,290,3.3
16,300,3.3
16,310,3.3
16,320,3.3
16,330,3.35
16,340,3.3
16,350,3.3
16,360,3.3
16,370,3.3
16,380,3.25
16,390,3.4
16,400,3.3
16,410,3.3
16,420,3.3
16,430,3.3
16,440,3.3
16,450,3.3
16,454,3.25
21,250,3.5
21,260,3.45
21,270,3.4
21,280,3.45
21,290,3.45
21,300,3.4
21,310,3.4
21,320,3.5
21,330,3.45
21,340,3.45
21,350,3.35
21,360,3.4
21,370,3.35
21,380,3.4
21,390,3.4
21,400,3.4
21,410,3.4
21,420,3.4
21,430,3.4
21,440,3.45
21,450,3.35
21,454,3.4
26,250,3.65
26,260,3.65
26,270,3.65
26,280,3.65
26,290,3.6
26,300,3.65
26,310,3.6
26,320,3.6
26,330,3.55
26,340,3.65
26,350,3.65
26,360,3.65
26,370,3.65
26,380,3.65
26,390,3.65
26,400,3.7
26,410,3.6
26,420,3.6
26,430,3.7
26,440,3.6
26,450,3.6
26,454,3.65
31,250,3.75
31,260,3.8
31,270,3.75
31,280,3.85
31,290,3.7
31,300,3.8
31,310,3.8
31,320,3.8
31,330,3.75
31,340,3.8
31,350,3.85
31,360,3.7
31,370,3.8
31,380,3.7
31,390,3.8
31,400,3.8
31,410,3.8
31,420,3.75
31,430,3.75
31,440,3.8
31,450,3.8
31,454,3.75
36,250,3.85
36,260,3.9
36,270,3.95
36,280,3.85
36,290,3.9
36,300,3.95
36,310,3.9
36,320,3.9
36,330,3.95
36,340,3.8
36,350,3.9
36,360,3.9
36,370,3.9
36,380,3.95
36,390,3.85
36,400,3.85
36,410,3.95
36,420,3.9
36,430,3.9
36,440,3.95
36,450,3.9
36,454,3.9
41,250,4.1
41,260,4.2
41,270,4.1
41,280,4.1
41,290,4.1
41,300,4.1
41,310,4.1
41,320,4.05
41,330,4.05
41,340,4.1
41,350,4.05
41,360,4.15
41,370,4.1
41,380,4.1
41,390,4.05
41,400,4.05
41,410,4.05
41,420,4.05
41,430,4.05
41,440,4.1
41,450,4.05
41,454,4.05
46,250,4.15
46,260,4.3
46,270,4.25
46,280,4.25
46,290,4.35
46,300,4.3
46,310,4.15
46,320,4.2
46,330,4.25
46,340,4.2
46,350,4.3
46,360,4.25
46,370,4.3
46,380,4.25
46,390,4.25
46,400,4.2
46,410,4.3
46,420,4.15
46,430,4.25
46,440,4.25
46,450,4.25
46,454,4.2
51,250,4.4
51,260,4.35
51,270,4.4
51,280,4.4
51,290,4.35
51,300,4.4
51,310,4.45
51,320,4.5
51,330,4.4
51,340,4.45
51,350,4.5
51,360,4.35
51,370,4.45
51,380,4.4
51,390,4.4
51,400,4.35
51,410,4.5
51,420,4.4
51,430,4.4
51,440,4.45
51,450,4.4
51,454,4.4
56,250,4.55
56,260,4.6
56,270,4.55
56,280,4.65
56,290,4.65
56,300,4.65
56,310,4.6
56,320,4.65
56,330,4.6
56,340,4.6
56,350,4.65
56,360,4.6
56,370,4.55
56,380,4.65
56,390,4.6
56,400,4.65
56,410,4.55
56,420,4.65
56,430,4.6
56,440,4.55
56,450,4.6
56,454,4.6
61,250,4.8
61,260,4.85
61,270,4.9
61,280,4.8
61,290,4.75
61,300,4.8
61,310,4.8
61,320,4.8
61,330,4.75
61,340,4.75
61,350,4.75
61,360,4.8
61,370,4.85
61,380,4.75
61,390,4.8
61,400,4.8
61,410,4.85
61,420,4.8
61,430,4.75
61,440,4.8
61,450,4.8
61,454,4.75
66,250,4.95
66,260,4.9
66,270,4.95
66,280,4.95
66,290,4.95
66,300,4.95
66,310,4.9
66,320,4.95
66,330,4.9
66,340,5.0
66,350,4.9
66,360,4.95
66,370,4.9
66,380,4.9
66,390,4.9
66,400,4.95
66,410,4.9
66,420,4.95
66,430,4.9
66,440,4.9
66,450,4.9
66,454,4.95
71,250,5.15
71,260,5.15
71,270,5.15
71,280,5.15
71,290,5.1
71,300,5.15
71,310,5.1
71,320,5.1
71,330,5.15
71,340,5.15
71,350,5.05
71,360,5.15
71,370,5.1
71,380,5.15
71,390,5.1
71,400,5.1
71,410,5.1
71,420,5.1
71,430,5.1
71,440,5.1
71,450,5.2
71,454,5.15
76,250,5.35
76,260,5.3
76,270,5.25
76,280,5.3
76,290,5.3
76,300,5.3
76,310,5.35
76,320,5.4
76,330,5.35
76,340,5.35
76,350,5.35
76,360,5.3
76,370,5.4
76,380,5.25
76,390,5.35
76,400,5.25
76,410,5.25
76,420,5.35
76,430,5.35
76,440,5.35
76,450,5.3
76,454,5.35
81,250,5.6
81,260,5.6
81,270,5.65
81,280,5.65
81,290,5.5
81,300,5.6
81,310,5.6
81,320,5.6
81,330,5.55
81,340,5.55
81,350,5.65
81,360,5.55
81,370,5.55
81,380,5.5
81,390,5.65
81,400,5.6
81,410,5.6
81,420,5.6
81,430,5.65
81,440,5.6
81,450,5.65
81,454,5.65
86,250,5.8
86,260,5.8
86,270,5.75
86,280,5.75
86,290,5.8
86,300,5.75
86,310,5.75
86,320,5.8
86,330,5.75
86,340,5.75
86,350,5.8
86,360,5.7
86,370,5.75
86,380,5.75
86,390,5.75
86,400,5.7
86,410,5.75
86,420,5.75
86,430,5.8
86,440,5.75
86,450,5.75
86,454,5.75
91,250,5.95
91,260,6.0
91,270,5.9
91,280,5.95
91,290,5.95
91,300,5.95
91,310,5.9
91,320,5.95
91,330,5.85
91,340,5.85
91,350,5.85
91,360,5.85
91,370,5.95
91,380,5.85
91,390,5.95
91,400,5.9
91,410,5.9
91,420,5.9
91,430,5.9
91,440,5.95
91,450,5.85
91,454,5.9
96,250,6.15
96,260,6.15
96,270,6.15
96,280,6.2
96,290,6.1
96,300,6.2
96,310,6.1
96,320,6.15
96,330,6.15
96,340,6.2
96,350,6.15
96,360,6.1
96,370,6.15
96,380,6.15
96,390,6.15
96,400,6.1
96,410,6.1
96,420,6.15
96,430,6.15
96,440,6.15
96,450,6.05
96,454,6.15
101,250,6.3
101,260,6.3
101,270,6.3
101,280,6.25
101,290,6.25
101,300,6.25
101,310,6.3
101,320,6.25
101,330,6.25
101,340,6.2
101,350,6.3
101,360,6.25
101,370,6.3
101,380,6.25
101,390,6.3
101,400,6.35
101,410,6.25
101,420,6.3
101,430,6.3
101,440,6.25
101,450,6.25
101,454,6.35
106,250,6.5
106,260,6.5
106,270,6.5
106,280,6.45
106,290,6.5
106,300,6.5
106,310,6.45
106,320,6.45
106,330,6.4
106,340,6.45
106,350,6.45
106,360,6.45
106,370,6.4
106,380,6.45
106,390,6.4
106,400,6.45
106,410,6.45
106,420,6.45
106,430,6.45
106,440,6.4
106,450,6.4
106,454,6.4
111,250,6.7
111,260,6.6
111,270,6.7
111,280,6.65
111,290,6.7
111,300,6.65
111,310,6.7
111,320,6.6
111,330,6.6
111,340,6.7
111,350,6.6
111,360,6.6
111,370,6.65
111,380,6.65
111,390,6.65
111,400,6.55
111,410,6.7
111,420,6.75
111,430,6.6
111,440,6.65
111,450,6.6
111,454,6.65
116,250,6.95
116,260,6.9
116,270,6.95
116,280,6.9
116,290,6.9
116,300,6.85
116,310,6.9
116,320,6.9
116,330,6.9
116,340,6.95
116,350,6.9
116,360,6.8
116,370,6.9
116,380,7.0
116,390,6.85
116,400,6.9
116,410,6.85
116,420,6.85
116,430,6.95
116,440,6.85
116,450,6.9
116,454,6.8
121,250,7.15
121,260,7.1
121,270,7.1
121,280,7.15
121,290,7.15
121,300,7.15
121,310,7.15
121,320,7.1
121,330,7.05
121,340,7.1
121,350,7.05
121,360,7.15
121,370,7.2
121,380,7.1
121,390,7.1
121,400,7.1
121,410,7.15
121,420,7.1
121,430,7.1
121,440,7.05
121,450,7.15
121,454,7.1
126,250,7.4
126,260,7.4
126,270,7.35
126,280,7.3
126,290,7.25
126,300,7.3
126,310,7.4
126,320,7.3
126,330,7.25
126,340,7.15
126,350,7.3
126,360,7.25
126,370,7.3
126,380,7.35
126,390,7.35
126,400,7.3
126,410,7.3
126,420,7.25
126,430,7.2
126,440,7.25
126,450,7.25
126,454,7.25
131,250,7.6
131,260,7.5
131,270,7.5
131,280,7.5
131,290,7.5
131,300,7.55
131,310,7.6
131,320,7.55
131,330,7.55
131,340,7.5
131,350,7.45
131,360,7.6
131,370,7.6
131,380,7.6
131,390,7.55
131,400,7.55
131,410,7.55
131,420,7.55
131,430,7.55
131,440,7.6
131,450,7.5
131,454,7.5
136,250,7.85
136,260,7.9
136,270,7.8
136,280,7.8
136,290,7.9
136,300,7.8
136,310,7.75
136,320,7.9
136,330,7.85
136,340,7.85
136,350,7.85
136,360,7.85
136,370,7.8
136,380,7.85
136,390,7.75
136,400,7.8
136,410,7.8
136,420,7.75
136,430,7.8
136,440,7.75
136,450,7.7
136,454,7.8
141,250,8.2
141,260,8.15
141,270,8.15
141,280,8.15
141,290,8.15
141,300,8.1
141,310,8.2
141,320,8.15
141,330,8.15
141,340,8.1
141,350,8.15
141,360,8.15
141,370,8.2
141,380,8.15
141,390,8.1
141,400,8.15
141,410,8.25
141,420,8.2
141,430,8.1
141,440,8.1
141,450,8.15
141,454,8.2
146,250,8.45
146,260,8.45
146,270,8.5
146,280,8.55
146,290,8.45
146,300,8.55
146,310,8.5
146,320,8.6
146,330,8.55
146,340,8.5
146,350,8.4
146,360,8.4
146,370,8.45
146,380,8.55
146,390,8.4
146,400,8.45
146,410,8.5
146,420,8.45
146,430,8.45
146,440,8.5
146,450,8.45
146,454,8.5
151,250,8.55
151,260,8.65
151,270,8.65
151,280,8.6
151,290,8.6
151,300,8.6
151,310,8.65
151,320,8.65
151,330,8.55
151,340,8.55
151,350,8.6
151,360,8.65
151,370,8.65
151,380,8.6
151,390,8.55
151,400,8.6
151,410,8.55
151,420,8.65
151,430,8.55
151,440,8.65
151,450,8.6
151,454,8.6
156,250,9.0
156,260,9.05
156,270,9.0
156,280,9.0
156,290,8.95
156,300,8.95
156,310,8.9
156,320,9.0
156,330,9.0
156,340,8.95
156,350,8.9
156,360,8.95
156,370,8.95
156,380,9.0
156,390,8.95
156,400,8.95
156,410,9.0
156,420,8.95
156,430,8.9
156,440,9.0
156,450,8.95
156,454,8.85
161,250,9.4
161,260,9.4
161,270,9.25
161,280,9.35
161,290,9.35
161,300,9.35
161,310,9.3
161,320,9.45
161,330,9.45
161,340,9.4
161,350,9.5
161,360,9.45
161,370,9.25
161,380,9.35
161,390,9.45
161,400,9.4
161,410,9.35
161,420,9.4
161,430,9.4
161,440,9.35
161,450,9.35
161,454,9.35
166,250,9.9
166,260,9.95
166,270,9.8
166,280,9.95
166,290,9.85
166,300,9.85
