bri,mired,watt
1,153,0.24
1,163,0.26
1,173,0.26
1,183,0.26
1,193,0.26
1,203,0.29
1,213,0.28
1,223,0.28
1,233,0.34
1,243,0.32
1,253,0.26
1,263,0.32
1,273,0.34
1,283,0.37
1,293,0.36
1,303,0.33
1,313,0.28
1,323,0.35
1,333,0.37
1,343,0.4
1,353,0.38
1,363,0.35
1,373,0.34
1,383,0.3
1,393,0.29
1,403,0.26
1,413,0.26
1,423,0.19
1,433,0.23
1,443,0.22
1,453,0.22
1,463,0.23
1,473,0.21
1,483,0.17
1,493,0.14
1,503,0.16
1,513,0.16
1,523,0.16
1,533,0.14
1,543,0.15
1,553,0.14
1,555,0.14
6,153,0.2
6,163,0.21
6,173,0.26
6,183,0.25
6,193,0.25
6,203,0.27
6,213,0.28
6,223,0.3
6,233,0.33
6,243,0.32
6,253,0.28
6,263,0.29
6,273,0.32
6,283,0.33
6,293,0.36
6,303,0.35
6,313,0.37
6,323,0.37
6,333,0.35
6,343,0.37
6,353,0.38
6,363,0.32
6,373,0.3
6,383,0.3
6,393,0.3
6,403,0.32
6,413,0.27
6,423,0.22
6,433,0.23
6,443,0.23
6,453,0.23
6,463,0.22
6,473,0.21
6,483,0.14
6,493,0.14
6,503,0.14
6,513,0.14
6,523,0.11
6,533,0.12
6,543,0.12
6,553,0.15
6,555,0.15
11,153,0.23
11,163,0.26
11,173,0.26
11,183,0.26
11,193,0.25
11,203,0.29
11,213,0.29
11,223,0.27
11,233,0.31
11,243,0.34
11,253,0.32
11,263,0.29
11,273,0.29
11,283,0.28
11,293,0.31
11,303,0.33
11,313,0.33
11,323,0.34
11,333,0.3
11,343,0.31
11,353,0.31
11,363,0.27
11,373,0.34
11,383,0.35
11,393,0.33
11,403,0.28
11,413,0.26
11,423,0.24
11,433,0.24
11,443,0.23
11,453,0.23
11,463,0.19
11,473,0.23
11,483,0.2
11,493,0.14
11,503,0.14
11,513,0.12
11,523,0.14
11,533,0.14
11,543,0.14
11,553,0.14
11,555,0.15
16,153,0.2
16,163,0.26
16,173,0.23
16,183,0.26
16,193,0.29
16,203,0.28
16,213,0.3
16,223,0.3
16,233,0.33
16,243,0.29
16,253,0.28
16,263,0.29
16,273,0.37
16,283,0.37
16,293,0.36
16,303,0.37
16,313,0.37
16,323,0.37
16,333,0.38
16,343,0.34
16,353,0.28
16,363,0.3
16,373,0.28
16,383,0.34
16,393,0.33
16,403,0.29
16,413,0.29
16,423,0.26
16,433,0.23
16,443,0.23
16,453,0.2
16,463,0.21
16,473,0.21
16,483,0.15
16,493,0.14
16,503,0.14
16,513,0.15
16,523,0.14
16,533,0.16
16,543,0.15
16,553,0.13
16,555,0.16
21,153,0.26
21,163,0.28
21,173,0.23
21,183,0.29
21,193,0.27
21,203,0.28
21,213,0.29
21,223,0.29
21,233,0.29
21,243,0.27
21,253,0.28
21,263,0.33
21,273,0.28
21,283,0.3
21,293,0.2
21,303,0.33
21,313,0.34
21,323,0.41
21,333,0.35
21,343,0.33
21,353,0.42
21,363,0.39
21,373,0.33
21,383,0.39
21,393,0.37
21,403,0.35
21,413,0.3
21,423,0.26
21,433,0.24
21,443,0.24
21,453,0.23
21,463,0.23
21,473,0.21
21,483,0.18
21,493,0.17
21,503,0.17
21,513,0.16
21,523,0.16
21,533,0.16
21,543,0.13
21,553,0.16
21,555,0.16
26,153,0.28
26,163,0.27
26,173,0.29
26,183,0.22
26,193,0.34
26,203,0.34
26,213,0.37
26,223,0.38
26,233,0.37
26,243,0.36
26,253,0.38
26,263,0.31
26,273,0.31
26,283,0.39
26,293,0.39
26,303,0.36
26,313,0.38
26,323,0.42
26,333,0.34
26,343,0.4
26,353,0.33
26,363,0.43
26,373,0.34
26,383,0.42
26,393,0.31
26,403,0.27
26,413,0.28
26,423,0.27
26,433,0.19
26,443,0.21
26,453,0.25
26,463,0.23
26,473,0.23
26,483,0.23
26,493,0.14
26,503,0.14
26,513,0.14
26,523,0.14
26,533,0.14
26,543,0.14
26,553,0.14
26,555,0.14
31,153,0.27
31,163,0.31
31,173,0.28
31,183,0.28
31,193,0.33
31,203,0.37
31,213,0.38
31,223,0.33
31,233,0.29
31,243,0.37
31,253,0.35
31,263,0.34
31,273,0.39
31,283,0.41
31,293,0.34
31,303,0.39
31,313,0.42
31,323,0.39
31,333,0.39
31,343,0.39
31,353,0.44
31,363,0.37
31,373,0.41
31,383,0.41
31,393,0.33
31,403,0.34
31,413,0.33
31,423,0.26
31,433,0.29
31,443,0.23
31,453,0.25
31,463,0.23
31,473,0.23
31,483,0.21
31,493,0.22
31,503,0.16
31,513,0.12
31,523,0.14
31,533,0.14
31,543,0.14
31,553,0.15
31,555,0.17
36,153,0.3
36,163,0.27
36,173,0.29
36,183,0.33
36,193,0.32
36,203,0.3
36,213,0.36
36,223,0.42
36,233,0.26
36,243,0.42
36,253,0.34
36,263,0.41
36,273,0.38
36,283,0.41
36,293,0.44
36,303,0.42
36,313,0.42
36,323,0.45
36,333,0.4
36,343,0.45
36,353,0.37
36,363,0.45
36,373,0.46
36,383,0.38
36,393,0.37
36,403,0.42
36,413,0.36
36,423,0.32
36,433,0.28
36,443,0.27
36,453,0.23
