bri,hue,sat,watt
1,1,1,0.29
1,2001,1,0.26
1,4001,1,0.29
1,6001,1,0.25
1,8001,1,0.29
1,10001,1,0.27
1,12001,1,0.29
1,14001,1,0.26
1,16001,1,0.28
1,18001,1,0.26
1,20001,1,0.27
1,22001,1,0.28
1,24001,1,0.27
1,26001,1,0.29
1,28001,1,0.27
1,30001,1,0.27
1,32001,1,0.25
1,34001,1,0.29
1,36001,1,0.27
1,38001,1,0.27
1,40001,1,0.27
1,42001,1,0.29
1,44001,1,0.27
1,46001,1,0.29
1,48001,1,0.26
1,50001,1,0.28
1,52001,1,0.28
1,54001,1,0.29
1,56001,1,0.29
1,58001,1,0.31
1,60001,1,0.29
1,62001,1,0.29
1,64001,1,0.29
1,65535,1,0.29
1,1,21,0.3
1,2001,21,0.32
1,4001,21,0.28
1,6001,21,0.3
1,8001,21,0.32
1,10001,21,0.26
1,12001,21,0.26
1,14001,21,0.26
1,16001,21,0.26
1,18001,21,0.24
1,20001,21,0.23
1,22001,21,0.23
1,24001,21,0.24
1,26001,21,0.25
1,28001,21,0.24
1,30001,21,0.24
1,32001,21,0.24
1,34001,21,0.26
1,36001,21,0.24
1,38001,21,0.24
1,40001,21,0.26
1,42001,21,0.25
1,44001,21,0.28
1,46001,21,0.27
1,48001,21,0.28
1,50001,21,0.26
1,52001,21,0.31
1,54001,21,0.28
1,56001,21,0.32
1,58001,21,0.32
1,60001,21,0.23
1,62001,21,0.31
1,64001,21,0.28
1,65535,21,0.28
1,1,41,0.34
1,2001,41,0.36
1,4001,41,0.29
1,6001,41,0.29
1,8001,41,0.29
1,10001,41,0.31
1,12001,41,0.28
1,14001,41,0.24
1,16001,41,0.24
1,18001,41,0.21
1,20001,41,0.21
1,22001,41,0.2
1,24001,41,0.22
1,26001,41,0.21
1,28001,41,0.23
1,30001,41,0.23
1,32001,41,0.22
1,34001,41,0.23
1,36001,41,0.23
1,38001,41,0.23
1,40001,41,0.21
1,42001,41,0.24
1,44001,41,0.26
1,46001,41,0.26
1,48001,41,0.25
1,50001,41,0.29
1,52001,41,0.22
1,54001,41,0.31
1,56001,41,0.28
1,58001,41,0.24
1,60001,41,0.32
1,62001,41,0.34
1,64001,41,0.36
1,65535,41,0.33
1,1,61,0.29
1,2001,61,0.22
1,4001,61,0.24
1,6001,61,0.29
1,8001,61,0.29
1,10001,61,0.29
1,12001,61,0.26
1,14001,61,0.23
1,16001,61,0.23
1,18001,61,0.23
1,20001,61,0.2
1,22001,61,0.22
1,24001,61,0.21
1,26001,61,0.21
1,28001,61,0.17
1,30001,61,0.21
1,32001,61,0.23
1,34001,61,0.23
1,36001,61,0.23
1,38001,61,0.19
1,40001,61,0.21
1,42001,61,0.26
1,44001,61,0.23
1,46001,61,0.23
1,48001,61,0.24
1,50001,61,0.22
1,52001,61,0.26
1,54001,61,0.25
1,56001,61,0.29
1,58001,61,0.25
1,60001,61,0.29
1,62001,61,0.32
1,64001,61,0.37
1,65535,61,0.34
1,1,81,0.28
1,2001,81,0.25
1,4001,81,0.34
1,6001,81,0.33
1,8001,81,0.28
1,10001,81,0.34
1,12001,81,0.24
1,14001,81,0.23
1,16001,81,0.21
1,18001,81,0.21
1,20001,81,0.19
1,22001,81,0.15
1,24001,81,0.15
1,26001,81,0.14
1,28001,81,0.12
1,30001,81,0.12
1,32001,81,0.14
1,34001,81,0.14
1,36001,81,0.21
1,38001,81,0.21
1,40001,81,0.25
1,42001,81,0.23
1,44001,81,0.2
1,46001,81,0.21
1,48001,81,0.21
1,50001,81,0.2
1,52001,81,0.23
1,54001,81,0.26
1,56001,81,0.28
1,58001,81,0.27
1,60001,81,0.3
1,62001,81,0.28
1,64001,81,0.31
1,65535,81,0.29
1,1,101,0.23
1,2001,101,0.26
1,4001,101,0.33
1,6001,101,0.34
1,8001,101,0.29
1,10001,101,0.32
1,12001,101,0.26
1,14001,101,0.23
1,16001,101,0.21
1,18001,101,0.19
1,20001,101,0.13
1,22001,101,0.11
1,24001,101,0.12
1,26001,101,0.15
1,28001,101,0.16
1,30001,101,0.1
1,32001,101,0.14
1,34001,101,0.14
1,36001,101,0.17
1,38001,101,0.22
1,40001,101,0.25
1,42001,101,0.23
1,44001,101,0.21
1,46001,101,0.21
1,48001,101,0.19
1,50001,101,0.22
1,52001,101,0.23
1,54001,101,0.23
1,56001,101,0.23
1,58001,101,0.23
