bri,watt
1,0.83
2,0.83
3,0.83
4,0.85
5,0.85
6,0.8
7,0.8
8,0.8
9,0.87
10,0.87
11,0.89
12,0.89
13,0.84
14,0.84
15,0.82
16,0.82
17,0.82
18,0.92
19,0.92
20,0.9
21,0.9
22,0.87
23,0.87
24,0.85
25,0.85
26,0.89
27,0.89
28,0.89
29,0.95
30,0.95
31,0.99
32,0.99
33,0.94
34,0.94
35,0.98
36,0.98
37,0.98
38,0.9
39,0.9
40,1.0
41,1.0
42,1.06
43,1.06
44,1.0
45,1.0
46,1.03
47,1.03
48,1.07
49,1.07
50,1.14
51,1.14
52,1.18
53,1.18
54,1.18
55,1.18
56,1.18
57,1.22
58,1.26
59,1.26
60,1.26
61,1.19
62,1.21
63,1.21
64,1.28
65,1.28
66,1.36
67,1.36
68,1.39
69,1.37
70,1.37
71,1.45
72,1.45
73,1.51
74,1.49
75,1.49
76,1.51
77,1.51
78,1.53
79,1.51
80,1.51
81,1.55
82,1.55
83,1.64
84,1.64
85,1.64
86,1.66
87,1.66
88,1.81
89,1.66
90,1.66
91,1.84
92,1.84
93,1.74
94,1.74
95,1.84
96,1.84
97,1.93
98,1.95
99,1.95
100,1.95
101,2.02
102,2.02
103,2.08
104,2.08
105,2.19
106,2.19
107,2.19
108,2.29
109,2.29
110,2.27
111,2.27
112,2.3
113,2.36
114,2.36
115,2.47
116,2.47
117,2.48
118,2.48
119,2.57
120,2.61
121,2.61
122,2.65
123,2.65
124,2.66
125,2.73
126,2.73
127,2.77
128,2.9
129,2.9
130,2.89
131,2.89
132,2.91
133,3.04
134,3.04
135,3.02
136,3.02
137,3.11
138,3.11
139,3.11
140,3.22
141,3.22
142,3.23
143,3.4
144,3.4
145,3.4
146,3.43
147,3.43
148,3.5
149,3.5
150,3.62
151,3.59
152,3.66
153,3.66
154,3.78
155,3.78
156,3.9
157,3.91
158,3.91
159,4.0
160,4.05
161,4.05
162,4.08
163,4.08
164,4.08
165,4.24
166,4.24
167,4.32
168,4.32
169,4.47
170,4.38
171,4.38
172,4.49
173,4.49
174,4.64
175,4.64
176,4.64
177,4.78
178,4.75
179,4.75
180,4.86
181,4.91
182,4.91
183,4.99
184,4.99
185,5.14
186,5.21
187,5.21
188,5.23
189,5.37
190,5.37
191,5.42
192,5.55
193,5.55
194,5.61
195,5.61
196,5.69
197,5.77
198,5.77
199,5.94
200,5.94
201,5.99
202,5.99
203,5.99
204,6.1
205,6.24
206,6.24
207,6.34
208,6.34
209,6.35
210,6.44
211,6.44
212,6.52
213,6.52
214,6.6
215,6.7
216,6.7
217,6.87
218,6.87
219,6.87
220,7.06
221,7.06
222,7.17
223,7.19
224,7.33
225,7.33
226,7.39
227,7.43
228,7.43
229,7.5
230,7.61
231,7.61
232,7.8
233,7.8
234,7.83
235,7.9
236,7.9
237,8.09
238,8.2
239,8.2
240,8.29
241,8.35
242,8.35
243,8.44
244,8.44
245,8.56
246,8.67
247,8.67
248,8.79
249,8.81
250,9.03
251,9.03
252,9.14
253,9.19
254,9.19
255,9.29
