bri,mired,watt
1,153,0.4
1,163,0.81
1,173,0.86
1,183,0.81
1,193,0.86
1,203,0.89
1,213,0.86
1,223,0.85
1,233,0.86
1,243,0.88
1,253,0.84
1,263,0.86
1,273,0.84
1,283,0.88
1,293,0.89
1,303,0.9
1,313,0.9
1,323,0.89
1,333,0.9
1,343,0.88
1,353,0.9
1,363,0.88
1,373,0.88
1,383,0.9
1,393,0.88
1,403,0.84
1,413,0.82
1,423,0.81
1,433,0.8
1,443,0.7
1,453,0.7
1,463,0.69
1,473,0.65
1,483,0.61
1,493,0.64
1,503,0.59
1,513,0.62
1,523,0.59
1,533,0.59
1,543,0.6
1,553,0.57
1,555,0.57
6,153,0.74
6,163,0.82
6,173,0.81
6,183,0.82
6,193,0.84
6,203,0.83
6,213,0.84
6,223,0.89
6,233,0.85
6,243,0.89
6,253,0.88
6,263,0.88
6,273,0.9
6,283,0.86
6,293,0.89
6,303,0.89
6,313,0.9
6,323,0.9
6,333,0.91
6,343,0.87
6,353,0.89
6,363,0.87
6,373,0.9
6,383,0.92
6,393,0.88
6,403,0.84
6,413,0.83
6,423,0.8
6,433,0.77
6,443,0.74
6,453,0.71
6,463,0.66
6,473,0.63
6,483,0.65
6,493,0.65
6,503,0.62
6,513,0.57
6,523,0.6
6,533,0.56
6,543,0.58
6,553,0.59
6,555,0.56
11,153,0.77
11,163,0.84
11,173,0.8
11,183,0.84
11,193,0.86
11,203,0.86
11,213,0.85
11,223,0.9
11,233,0.88
11,243,0.85
11,253,0.88
11,263,0.9
11,273,0.88
11,283,0.88
11,293,0.9
11,303,0.91
11,313,0.91
11,323,0.9
11,333,0.93
11,343,0.88
11,353,0.92
11,363,0.9
11,373,0.9
11,383,0.91
11,393,0.92
11,403,0.88
11,413,0.86
11,423,0.88
11,433,0.8
11,443,0.77
11,453,0.69
11,463,0.69
11,473,0.65
11,483,0.65
11,493,0.67
11,503,0.61
11,513,0.65
11,523,0.62
11,533,0.6
11,543,0.55
11,553,0.59
11,555,0.6
16,153,0.75
16,163,0.81
16,173,0.85
16,183,0.89
16,193,0.88
16,203,0.9
16,213,0.9
16,223,0.88
16,233,0.88
16,243,0.89
16,253,0.93
16,263,0.91
16,273,0.9
16,283,0.89
16,293,0.94
16,303,0.92
16,313,0.92
16,323,0.95
16,333,0.92
16,343,0.93
16,353,0.92
16,363,0.94
16,373,0.94
16,383,0.91
16,393,0.89
16,403,0.93
16,413,0.91
16,423,0.87
16,433,0.8
16,443,0.72
16,453,0.71
16,463,0.7
16,473,0.66
16,483,0.65
16,493,0.66
16,503,0.61
16,513,0.69
16,523,0.62
16,533,0.61
16,543,0.61
16,553,0.58
16,555,0.6
21,153,0.82
21,163,0.89
21,173,0.91
21,183,0.88
21,193,0.88
21,203,0.91
21,213,0.9
21,223,0.89
