bri,hue,sat,watt
1,1,1,0.86
1,2732,1,0.83
1,5463,1,0.84
1,8194,1,0.83
1,10925,1,0.85
1,13656,1,0.83
1,16387,1,0.81
1,19118,1,0.84
1,21849,1,0.83
1,24580,1,0.81
1,27311,1,0.85
1,30042,1,0.82
1,32773,1,0.82
1,35504,1,0.86
1,38235,1,0.84
1,40966,1,0.88
1,43697,1,0.84
1,46428,1,0.82
1,49159,1,0.84
1,51890,1,0.83
1,54621,1,0.82
1,57352,1,0.86
1,60083,1,0.84
1,62814,1,0.86
1,65535,1,0.82
1,1,33,0.85
1,2732,33,0.84
1,5463,33,0.83
1,8194,33,0.84
1,10925,33,0.85
1,13656,33,0.8
1,16387,33,0.8
1,19118,33,0.75
1,21849,33,0.73
1,24580,33,0.7
1,27311,33,0.66
1,30042,33,0.7
1,32773,33,0.72
1,35504,33,0.71
1,38235,33,0.78
1,40966,33,0.8
1,43697,33,0.81
1,46428,33,0.84
1,49159,33,0.85
1,51890,33,0.83
1,54621,33,0.82
1,57352,33,0.86
1,60083,33,0.85
1,62814,33,0.85
1,65535,33,0.91
1,1,65,0.88
1,2732,65,0.85
1,5463,65,0.88
1,8194,65,0.88
1,10925,65,0.81
1,13656,65,0.76
1,16387,65,0.72
1,19118,65,0.64
1,21849,65,0.64
1,24580,65,0.61
1,27311,65,0.61
1,30042,65,0.63
1,32773,65,0.61
1,35504,65,0.65
1,38235,65,0.71
1,40966,65,0.73
1,43697,65,0.78
1,46428,65,0.77
1,49159,65,0.82
1,51890,65,0.84
1,54621,65,0.83
1,57352,65,0.87
1,60083,65,0.89
1,62814,65,0.85
1,65535,65,0.89
1,1,97,0.75
1,2732,97,0.86
1,5463,97,0.86
1,8194,97,0.89
1,10925,97,0.83
1,13656,97,0.79
1,16387,97,0.68
1,19118,97,0.64
1,21849,97,0.56
1,24580,97,0.54
1,27311,97,0.58
1,30042,97,0.57
1,32773,97,0.57
1,35504,97,0.58
1,38235,97,0.65
1,40966,97,0.71
1,43697,97,0.69
1,46428,97,0.64
1,49159,97,0.71
1,51890,97,0.76
