bri,mired,watt
1,150,0.3
1,160,0.35
1,190,0.35
1,220,0.3
1,240,0.3
1,250,0.3
1,290,0.3
1,320,0.35
1,360,0.3
1,390,0.3
1,410,0.3
1,420,0.35
1,430,0.35
1,460,0.4
1,480,0.4
6,200,0.35
6,210,0.35
6,220,0.35
6,230,0.35
6,240,0.35
6,260,0.35
6,280,0.35
6,300,0.35
6,310,0.4
6,320,0.35
6,350,0.4
6,370,0.35
6,390,0.4
6,400,0.35
6,430,0.3
6,450,0.4
6,460,0.35
6,480,0.35
6,490,0.35
6,500,0.35
11,150,0.4
11,160,0.4
11,170,0.35
11,180,0.4
11,190,0.3
11,210,0.3
11,220,0.4
11,230,0.4
11,250,0.4
11,280,0.4
11,290,0.4
11,300,0.3
11,310,0.4
11,320,0.4
11,330,0.4
11,340,0.4
11,350,0.4
11,360,0.4
11,370,0.35
11,380,0.4
11,390,0.4
11,400,0.35
11,410,0.35
11,420,0.4
11,430,0.4
11,440,0.35
11,450,0.4
11,470,0.35
11,480,0.4
11,490,0.4
16,150,0.45
16,160,0.4
16,170,0.35
16,180,0.45
16,190,0.45
16,200,0.4
16,210,0.4
16,220,0.4
16,230,0.4
16,240,0.45
16,250,0.4
16,260,0.4
16,270,0.45
16,280,0.4
16,290,0.4
16,300,0.4
16,310,0.35
16,320,0.45
16,330,0.4
16,340,0.4
16,350,0.4
16,360,0.4
16,370,0.4
16,380,0.4
16,390,0.4
16,400,0.45
16,410,0.45
16,420,0.4
16,430,0.35
16,440,0.4
16,450,0.4
16,460,0.4
16,470,0.4
16,480,0.45
16,490,0.4
16,500,0.4
21,150,0.65
21,160,0.55
21,170,0.5
21,190,0.5
21,200,0.5
21,210,0.55
21,220,0.5
21,230,0.5
21,240,0.45
21,250,0.5
21,260,0.5
21,270,0.5
21,280,0.5
21,290,0.45
21,300,0.5
21,310,0.45
21,320,0.5
21,330,0.5
21,340,0.4
21,350,0.45
21,360,0.45
21,370,0.45
21,380,0.5
21,390,0.45
21,400,0.45
21,410,0.4
21,420,0.45
21,430,0.4
21,440,0.45
21,450,0.4
21,460,0.45
21,470,0.45
21,480,0.45
21,490,0.45
21,500,0.5
26,150,0.55
26,160,0.6
26,170,0.55
26,180,0.55
26,190,0.6
26,200,0.6
26,210,0.6
26,220,0.55
26,230,0.6
26,240,0.55
26,250,0.5
26,260,0.6
26,270,0.55
26,280,0.55
26,300,0.6
26,310,0.5
26,320,0.6
26,330,0.6
26,340,0.55
26,350,0.55
26,360,0.55
26,370,0.5
26,380,0.55
26,390,0.5
26,400,0.5
26,410,0.5
26,420,0.55
26,430,0.5
26,440,0.5
26,450,0.5
26,460,0.5
26,470,0.45
26,480,0.5
26,490,0.5
26,500,0.5
31,150,0.65
31,160,0.6
31,170,0.65
31,180,0.6
31,190,0.7
31,200,0.6
31,210,0.65
31,220,0.65
31,230,0.6
31,240,0.65
31,250,0.6
31,260,0.65
31,270,0.55
31,280,0.65
31,290,0.65
31,300,0.6
31,310,0.6
31,320,0.6
31,330,0.6
31,340,0.6
31,350,0.6
31,360,0.6
31,380,0.55
31,390,0.55
31,400,0.5
31,410,0.55
31,420,0.6
31,430,0.55
31,440,0.5
31,450,0.6
31,460,0.5
31,470,0.55
31,480,0.5
31,490,0.55
31,500,0.55
36,150,0.7
36,160,0.7
36,170,0.7
36,180,0.75
36,190,0.7
36,200,0.65
36,210,0.7
36,220,0.7
36,230,0.7
36,240,0.7
36,250,0.7
36,260,0.7
36,270,0.65
36,280,0.7
36,290,0.7
36,300,0.7
36,310,0.7
36,320,0.7
36,330,0.65
36,340,0.7
36,350,0.7
36,360,0.7
36,370,0.65
36,380,0.65
36,390,0.6
36,400,0.6
36,410,0.6
36,420,0.6
36,430,0.6
36,440,0.65
36,450,0.6
36,460,0.65
36,470,0.6
36,480,0.6
36,490,0.6
36,500,0.55
41,150,0.8
41,160,0.8
41,170,0.7
41,180,0.8
41,190,0.8
41,200,0.8
41,210,0.75
41,220,0.85
41,230,0.8
41,240,0.75
41,250,0.75
41,260,0.7
41,270,0.75
41,280,0.7
41,290,0.75
41,300,0.75
41,310,0.8
41,320,0.8
41,330,0.8
41,340,0.8
41,350,0.75
41,360,0.8
41,370,0.7
41,380,0.7
41,390,0.7
41,400,0.65
41,410,0.65
41,420,0.7
41,430,0.7
41,440,0.7
41,450,0.6
41,460,0.7
41,470,0.6
41,480,0.65
41,490,0.7
41,500,0.65
46,150,0.85
46,160,0.85
46,170,0.8
46,180,0.85
46,190,0.8
46,200,0.8
46,210,0.8
46,220,0.85
46,230,0.8
46,240,0.85
46,250,0.85
46,260,0.85
46,270,0.9
46,280,0.85
46,290,0.8
46,300,0.85
46,310,0.8
46,320,0.85
46,330,0.9
46,340,0.85
46,350,0.85
46,360,0.8
46,370,0.8
46,380,0.8
46,390,0.75
46,400,0.8
46,410,0.8
46,420,0.7
46,430,0.7
46,440,0.75
46,450,0.7
46,460,0.75
46,470,0.7
46,480,0.7
46,490,0.7
46,500,0.7
51,150,0.9
51,160,0.9
51,170,0.95
51,180,0.9
51,190,0.95
51,200,0.9
51,210,0.95
51,220,0.9
51,230,0.9
51,240,1.0
51,250,0.9
51,260,0.9
51,270,0.95
51,280,0.95
51,290,0.95
51,300,0.9
51,310,0.95
51,320,0.95
51,330,0.9
51,340,0.9
51,350,1.0
51,360,0.9
51,370,0.85
51,380,0.85
51,390,0.8
51,400,0.8
51,410,0.8
51,420,0.8
51,430,0.8
51,440,0.8
51,450,0.8
51,460,0.8
51,470,0.85
51,480,0.8
51,490,0.85
51,500,0.75
56,150,1.0
56,160,1.05
56,170,1.0
56,180,1.05
56,190,1.05
56,200,1.05
56,210,1.05
56,220,1.05
56,230,1.0
56,240,1.0
56,250,1.05
56,260,1.05
56,270,1.0
56,280,1.0
56,290,1.05
56,300,1.0
56,310,1.05
56,320,1.0
56,330,1.05
56,340,1.05
56,350,1.0
56,360,0.95
56,370,0.95
56,380,0.95
56,390,0.9
56,400,0.9
56,410,0.9
56,420,0.9
56,430,0.8
56,440,0.85
56,450,0.8
56,460,0.85
56,470,0.85
56,480,0.8
56,490,0.8
56,500,0.8
61,150,1.15
61,160,1.15
61,170,1.05
61,180,1.1
61,190,1.15
61,200,1.1
61,210,1.1
61,220,1.15
61,230,1.2
61,240,1.1
61,250,1.1
61,260,1.05
61,270,1.2
61,280,1.1
61,290,1.2
61,300,1.15
61,310,1.15
61,320,1.1
61,330,1.1
61,340,1.15
61,350,1.1
61,360,1.05
61,370,1.05
61,380,1.05
61,390,1.0
61,400,1.0
61,410,0.95
61,420,1.0
61,430,1.0
61,440,0.95
61,450,1.0
61,460,0.9
61,470,0.95
61,480,0.95
61,490,0.9
61,500,1.0
66,150,1.2
66,160,1.2
66,170,1.2
66,180,1.2
66,190,1.2
66,200,1.2
66,210,1.15
66,220,1.25
66,230,1.25
66,240,1.25
66,250,1.25
66,260,1.2
66,270,1.25
66,280,1.2
66,290,1.3
66,300,1.3
66,310,1.25
66,320,1.25
66,330,1.25
66,340,1.3
66,350,1.2
66,360,1.15
66,370,1.1
66,380,1.1
66,390,1.1
66,400,1.05
66,410,1.0
66,420,1.05
66,430,1.0
66,440,1.0
66,450,1.0
66,460,1.0
66,470,1.05
66,480,0.95
66,490,1.0
66,500,1.05
71,150,1.3
71,160,1.35
71,170,1.4
71,180,1.35
71,190,1.4
71,200,1.35
71,210,1.35
71,220,1.3
71,230,1.3
71,240,1.35
71,250,1.35
71,260,1.3
71,270,1.35
71,280,1.3
71,290,1.35
71,300,1.35
71,310,1.4
71,320,1.35
71,330,1.4
71,340,1.4
71,350,1.3
71,360,1.25
71,370,1.25
71,380,1.2
71,390,1.25
71,400,1.2
71,410,1.1
71,420,1.1
71,430,1.1
71,440,1.15
71,450,1.1
71,460,1.1
71,470,1.1
71,480,1.15
71,490,1.1
71,500,1.15
76,150,1.4
76,160,1.45
76,170,1.4
76,180,1.5
76,190,1.45
76,200,1.45
76,210,1.45
76,220,1.4
76,230,1.4
76,240,1.5
76,250,1.5
76,260,1.45
76,270,1.45
76,280,1.45
76,290,1.4
76,300,1.5
76,310,1.4
76,320,1.45
76,330,1.55
76,340,1.5
76,350,1.4
76,360,1.35
76,370,1.35
76,380,1.3
76,390,1.3
76,400,1.25
76,410,1.25
76,420,1.25
76,430,1.25
76,440,1.15
76,450,1.2
76,460,1.1
76,470,1.2
76,480,1.2
76,490,1.15
76,500,1.2
81,150,1.6
81,160,1.65
81,170,1.55
81,180,1.55
81,190,1.6
81,200,1.6
81,210,1.55
81,220,1.5
81,230,1.6
81,240,1.6
81,250,1.55
81,260,1.6
81,270,1.6
81,280,1.6
81,290,1.6
81,300,1.7
81,310,1.65
81,320,1.55
81,330,1.7
81,340,1.65
81,350,1.55
81,360,1.45
81,370,1.45
81,380,1.5
81,390,1.4
81,400,1.35
81,410,1.3
81,420,1.4
