bri,hue,sat,watt
1,1,1,0.3
1,8194,1,0.35
1,10925,1,0.4
1,13656,1,0.35
1,19118,1,0.4
1,24580,1,0.3
1,30042,1,0.4
1,32773,1,0.35
1,35504,1,0.4
1,38235,1,0.4
1,40966,1,0.35
1,49159,1,0.35
1,57352,1,0.35
1,62814,1,0.35
1,65535,1,0.35
1,2732,33,0.35
1,8194,33,0.35
1,13656,33,0.4
1,16387,33,0.35
1,27311,33,0.45
1,30042,33,0.35
1,32773,33,0.35
1,35504,33,0.35
1,40966,33,0.35
1,46428,33,0.35
1,51890,33,0.4
1,54621,33,0.4
1,1,65,0.4
1,2732,65,0.3
1,5463,65,0.4
1,8194,65,0.35
1,10925,65,0.4
1,13656,65,0.3
1,16387,65,0.35
1,19118,65,0.35
1,21849,65,0.35
1,24580,65,0.4
1,27311,65,0.35
1,38235,65,0.35
1,40966,65,0.35
1,46428,65,0.35
1,51890,65,0.3
1,57352,65,0.35
1,60083,65,0.3
1,62814,65,0.35
1,1,97,0.35
1,2732,97,0.4
1,10925,97,0.4
1,21849,97,0.4
1,27311,97,0.3
1,32773,97,0.35
1,35504,97,0.3
1,38235,97,0.35
1,40966,97,0.35
1,43697,97,0.35
1,60083,97,0.3
1,62814,97,0.3
1,65535,97,0.35
1,5463,129,0.3
1,10925,129,0.35
1,19118,129,0.4
1,21849,129,0.35
1,24580,129,0.35
1,30042,129,0.3
1,38235,129,0.35
1,40966,129,0.35
1,43697,129,0.3
1,49159,129,0.35
1,51890,129,0.35
1,60083,129,0.35
1,62814,129,0.4
1,2732,161,0.35
1,5463,161,0.4
1,10925,161,0.35
1,13656,161,0.4
1,19118,161,0.35
1,21849,161,0.4
1,24580,161,0.35
1,30042,161,0.35
1,32773,161,0.4
1,38235,161,0.35
1,43697,161,0.4
1,46428,161,0.4
1,49159,161,0.4
1,51890,161,0.35
1,54621,161,0.35
1,57352,161,0.3
1,62814,161,0.4
1,65535,161,0.35
1,1,193,0.4
1,2732,193,0.4
1,5463,193,0.35
1,13656,193,0.35
1,27311,193,0.35
1,30042,193,0.35
1,32773,193,0.4
1,35504,193,0.35
1,38235,193,0.35
