bri,watt
3,0.74
5,0.74
8,0.78
11,0.78
13,0.78
15,0.78
18,0.78
20,0.78
23,0.80
26,0.84
28,0.84
31,0.84
33,0.90
36,0.90
38,0.90
41,0.95
43,0.95
46,1.02
48,1.02
51,1.08
54,1.08
56,1.14
59,1.14
61,1.20
64,1.25
66,1.26
69,1.32
71,1.34
74,1.38
76,1.44
79,1.50
82,1.57
84,1.59
87,1.66
89,1.68
92,1.75
94,1.81
97,1.86
99,1.93
102,1.99
105,2.10
107,2.13
110,2.23
112,2.29
115,2.35
117,2.41
120,2.51
122,2.57
125,2.66
128,2.72
130,2.77
133,2.90
135,2.96
138,3.07
140,3.14
143,3.25
145,3.32
148,3.43
150,3.50
153,3.62
156,3.73
158,3.81
161,3.94
163,4.03
166,4.16
168,4.24
171,4.38
173,4.46
176,4.60
178,4.71
181,4.84
184,5.00
186,5.08
189,5.24
191,5.33
194,5.49
196,5.60
199,5.75
201,5.86
204,6.02
207,6.18
209,6.29
212,6.47
214,6.58
217,6.76
219,6.88
222,7.05
224,7.17
227,7.34
230,7.55
232,7.67
235,7.85
237,7.98
240,8.18
242,8.30
245,8.50
247,8.63
250,8.85
252,8.98
255,9.17
