bri,mired,watt
1,200,0.55
1,210,0.6
1,220,0.45
1,230,0.3
1,240,0.4
1,250,0.35
1,260,0.3
1,270,0.4
1,280,0.5
1,290,0.6
1,300,0.5
1,310,0.5
1,320,0.55
1,330,0.4
1,340,0.4
1,350,0.4
1,360,0.4
1,370,0.5
1,380,0.35
1,390,0.45
1,400,0.4
1,410,0.5
1,420,0.6
1,430,0.5
1,440,0.65
1,450,0.55
1,454,0.5
6,200,0.45
6,210,0.5
6,220,0.55
6,230,0.2
6,240,0.3
6,250,0.55
6,260,0.4
6,270,0.35
6,280,0.5
6,290,0.35
6,300,0.35
6,310,0.55
6,320,0.7
6,330,0.5
6,340,0.3
6,350,0.7
6,360,0.5
6,370,0.5
6,380,0.8
6,390,0.3
6,400,0.5
6,410,0.65
6,420,0.35
6,430,0.45
6,440,0.4
6,450,0.55
6,454,0.4
11,200,0.45
11,210,0.65
11,220,0.45
11,230,0.35
11,240,0.4
11,250,0.55
11,260,0.55
11,270,0.4
11,280,0.5
11,290,0.35
11,300,0.55
11,310,0.45
11,320,0.45
11,330,0.5
11,340,0.55
11,350,0.45
11,360,0.5
11,370,0.45
11,380,0.55
11,390,0.5
11,400,0.45
11,410,0.55
11,420,0.65
11,430,0.4
11,440,0.7
11,450,0.5
11,454,0.5
16,200,0.4
16,210,0.45
16,220,0.4
16,230,0.4
16,240,0.4
16,250,0.45
16,260,0.3
16,270,0.3
16,280,0.4
16,290,0.45
16,300,0.4
16,310,0.5
16,320,0.45
16,330,0.4
16,340,0.55
16,350,0.4
16,360,0.35
16,370,0.4
16,380,0.5
16,390,0.7
16,400,0.5
16,410,0.5
16,420,0.5
16,430,0.6
16,440,0.4
16,450,0.45
16,454,0.5
21,200,0.4
21,210,0.5
21,220,0.3
21,230,0.35
21,240,0.5
21,250,0.45
21,260,0.55
21,270,0.55
21,280,0.45
21,290,0.5
21,300,0.45
21,310,0.45
21,320,0.5
21,330,0.35
21,340,0.5
21,350,0.65
21,360,0.65
21,370,0.65
21,380,0.5
21,390,0.5
21,400,0.4
21,410,0.8
21,420,0.5
21,430,0.5
21,440,0.55
21,450,0.45
21,454,0.6
26,200,0.5
26,210,0.45
26,220,0.4
26,230,0.4
26,240,0.45
26,250,0.7
26,260,0.45
26,270,0.5
26,280,0.5
26,290,0.6
26,300,0.45
26,310,0.65
26,320,0.55
26,330,0.5
26,340,0.4
26,350,0.35
26,360,0.45
26,370,0.6
26,380,0.4
26,390,0.5
26,400,0.6
26,410,0.45
26,420,0.45
26,430,0.55
26,440,0.5
26,450,0.4
26,454,0.45
31,200,0.5
31,210,0.75
31,220,0.4
31,230,0.45
31,240,0.55
31,250,0.4
31,260,0.5
31,270,0.65
31,280,0.55
31,290,0.45
31,300,0.55
31,310,0.5
31,320,0.5
31,330,0.4
31,340,0.7
31,350,0.55
31,360,0.65
31,370,0.5
31,380,0.75
31,390,0.55
31,400,0.35
31,410,0.6
31,420,0.6
31,430,0.65
31,440,0.3
31,450,0.5
31,454,0.7
36,200,0.45
36,210,0.5
36,220,0.5
36,230,0.6
36,240,0.45
36,250,0.45
36,260,0.5
36,270,0.45
36,280,0.45
36,290,0.6
36,300,0.45
36,310,0.5
36,320,0.6
36,330,0.5
36,340,0.55
36,350,0.55
36,360,0.5
36,370,0.55
36,380,0.65
36,390,0.55
36,400,0.45
36,410,0.45
36,420,0.45
36,430,0.6
36,440,0.8
36,450,0.65
36,454,0.65
41,200,0.45
41,210,0.85
41,220,0.65
41,230,0.5
41,240,0.65
41,250,0.5
41,260,0.9
41,270,0.75
41,280,0.6
41,290,0.7
41,300,0.55
41,310,0.5
41,320,0.65
41,330,0.8
41,340,0.75
41,350,0.65
41,360,0.4
41,370,0.5
41,380,0.55
41,390,0.65
41,400,0.6
41,410,0.4
41,420,0.65
41,430,0.6
41,440,0.5
41,450,0.6
41,454,0.6
46,200,0.75
46,210,0.6
46,220,0.65
46,230,0.7
46,240,0.55
46,250,0.35
46,260,0.6
46,270,0.5
46,280,0.75
46,290,0.7
46,300,0.5
46,310,0.75
46,320,0.8
46,330,0.6
46,340,0.6
46,350,0.85
46,360,0.4
46,370,0.7
46,380,0.5
46,390,0.65
46,400,0.8
46,410,0.75
46,420,0.55
46,430,0.65
46,440,0.65
46,450,0.65
46,454,0.6
51,200,1.05
51,210,0.55
51,220,0.85
51,230,0.55
51,240,0.5
51,250,0.7
51,260,0.4
51,270,0.5
51,280,0.8
51,290,0.55
51,300,0.8
51,310,0.65
51,320,0.55
51,330,0.45
51,340,0.5
51,350,0.4
51,360,0.8
51,370,0.55
51,380,0.6
51,390,0.55
51,400,0.6
51,410,0.55
51,420,0.6
51,430,0.6
51,440,0.55
51,450,0.85
51,454,0.5
56,200,0.9
56,210,1.1
56,220,0.6
56,230,0.6
56,240,0.7
56,250,0.85
56,260,0.7
56,270,0.6
56,280,0.4
56,290,0.6
56,300,0.55
56,310,0.65
56,320,0.9
56,330,0.6
56,340,0.8
56,350,0.7
56,360,0.6
56,370,0.7
56,380,0.9
56,390,1.0
56,400,0.55
56,410,0.65
56,420,0.95
56,430,1.0
56,440,0.65
56,450,0.95
56,454,0.65
61,200,0.75
61,210,0.65
61,220,0.55
61,230,0.8
61,240,0.7
61,250,0.7
61,260,1.1
61,270,0.9
61,280,0.9
61,290,0.75
61,300,0.6
61,310,0.85
61,320,0.5
61,330,0.75
61,340,1.0
61,350,0.7
61,360,0.85
61,370,0.9
61,380,0.9
61,390,0.6
61,400,0.6
61,410,0.85
61,420,0.8
61,430,0.75
61,440,1.05
61,450,0.75
61,454,0.8
66,200,0.55
66,210,1.05
66,220,0.65
66,230,0.95
66,240,0.8
66,250,0.6
66,260,0.7
66,270,0.8
66,280,1.05
66,290,0.7
66,300,0.7
66,310,0.8
66,320,0.45
66,330,0.6
66,340,0.7
66,350,0.6
66,360,0.65
66,370,0.65
66,380,1.15
66,390,0.65
66,400,0.75
66,410,0.7
66,420,1.0
66,430,0.95
66,440,0.95
66,450,0.75
66,454,1.1
71,200,0.7
71,210,1.05
71,220,1.25
71,230,0.9
71,240,1.15
71,250,0.95
71,260,0.85
71,270,1.05
71,280,0.6
71,290,0.7
71,300,1.2
71,310,1.1
71,320,0.9
71,330,0.85
71,340,0.95
71,350,0.95
71,360,1.05
71,370,0.75
71,380,1.0
71,390,0.6
71,400,0.85
71,410,0.55
71,420,0.85
71,430,0.8
71,440,0.8
71,450,0.8
71,454,0.65
76,200,0.95
76,210,0.9
76,220,0.8
76,230,0.8
76,240,0.65
76,250,0.85
76,260,0.85
76,270,0.65
76,280,0.8
76,290,0.8
76,300,0.85
76,310,1.15
76,320,0.9
76,330,1.0
76,340,0.75
76,350,0.85
76,360,0.75
76,370,0.9
76,380,0.85
76,390,0.85
76,400,0.75
76,410,1.05
76,420,0.7
76,430,0.75
76,440,0.6
76,450,0.7
76,454,0.75
81,200,0.85
