bri,watt
1,0.26
2,0.59
3,0.59
4,0.59
5,0.61
6,0.59
7,0.59
8,0.57
9,0.61
10,0.59
11,0.57
12,0.59
13,0.61
14,0.59
15,0.66
16,0.59
17,0.67
18,0.64
19,0.66
20,0.59
21,0.64
22,0.64
23,0.67
24,0.66
25,0.66
26,0.69
27,0.67
28,0.72
29,0.74
30,0.69
31,0.69
32,0.77
33,0.74
34,0.79
35,0.79
36,0.82
37,0.79
38,0.79
39,0.84
40,0.84
41,0.84
42,0.84
43,0.86
44,0.89
45,0.91
46,0.97
47,0.92
48,0.84
49,0.94
50,0.94
51,0.94
52,0.97
53,0.99
54,1.01
55,1.01
56,1.02
57,1.04
58,1.04
59,1.04
60,1.04
61,1.07
62,1.09
63,1.14
64,1.17
65,1.17
66,1.19
67,1.24
68,1.29
69,1.22
70,1.26
71,1.24
72,1.29
73,1.31
74,1.29
75,1.34
76,1.39
77,1.39
78,1.42
79,1.41
80,1.42
81,1.47
82,1.47
83,1.49
84,1.52
85,1.57
86,1.57
87,1.61
88,1.59
89,1.66
90,1.66
91,1.69
92,1.67
93,1.69
94,1.79
95,1.76
96,1.79
97,1.89
98,1.89
99,1.89
100,1.84
101,1.97
102,2.02
103,1.99
104,1.99
105,2.09
106,2.04
107,2.12
108,2.12
109,2.14
110,2.19
111,2.21
112,2.21
113,2.26
114,2.29
115,2.34
116,2.34
117,2.39
118,2.39
119,2.42
120,2.42
121,2.49
122,2.54
123,2.57
124,2.54
125,2.64
126,2.59
127,2.69
128,2.74
129,2.76
130,2.79
131,2.81
132,2.89
133,2.92
134,2.94
135,2.96
136,3.06
137,3.09
138,3.09
139,3.14
140,3.21
141,3.16
142,3.21
143,3.29
144,3.37
145,3.39
146,3.39
147,3.39
148,3.49
149,3.46
150,3.49
151,3.52
152,3.62
153,3.62
154,3.69
155,3.69
156,3.79
157,3.79
158,3.87
159,3.89
160,3.92
161,3.99
162,4.04
163,4.02
164,4.09
165,4.12
166,4.16
167,4.21
168,4.24
169,4.31
170,4.34
171,4.39
172,4.39
173,4.49
174,4.56
175,4.59
176,4.62
177,4.66
178,4.66
179,4.71
180,4.82
181,4.79
182,4.89
183,4.89
184,4.97
185,4.99
186,4.99
187,5.14
188,5.12
189,5.19
190,5.24
191,5.27
192,5.26
193,5.34
194,5.39
195,5.39
196,5.44
197,5.49
198,5.59
199,5.62
200,5.66
201,5.69
202,5.79
203,5.84
204,5.84
205,5.89
206,5.96
207,6.06
208,6.09
209,6.09
210,6.21
211,6.29
212,6.37
213,6.39
214,6.42
215,6.54
216,6.56
217,6.66
218,6.64
219,6.74
220,6.77
221,6.84
222,6.89
223,6.94
224,6.94
225,7.02
226,7.14
227,7.19
228,7.31
229,7.37
230,7.44
231,7.52
232,7.59
233,7.62
234,7.76
235,7.76
236,7.79
237,7.92
238,7.99
239,8.09
240,8.14
241,8.17
242,8.29
243,8.31
244,8.44
245,8.44
246,8.49
247,8.49
248,8.46
249,8.46
250,8.42
251,8.49
252,8.46
253,8.44
254,8.49
255,8.49
