bri,mired,watt
1,153,0.33
1,163,0.3
1,173,0.41
1,183,0.31
1,193,0.37
1,203,0.27
1,213,0.32
1,223,0.39
1,233,0.28
1,243,0.41
1,253,0.33
1,263,0.29
1,273,0.3
1,283,0.29
1,293,0.35
1,303,0.34
1,313,0.31
1,323,0.29
1,333,0.39
1,343,0.34
1,353,0.33
1,363,0.38
1,373,0.27
1,383,0.27
1,393,0.38
1,403,0.34
1,413,0.3
1,423,0.36
1,433,0.43
1,443,0.28
1,453,0.34
1,463,0.38
1,473,0.34
1,483,0.41
1,493,0.29
1,503,0.32
1,513,0.4
1,523,0.33
1,533,0.38
1,543,0.29
1,553,0.34
1,556,0.38
6,153,0.29
6,163,0.35
6,173,0.28
6,183,0.33
6,193,0.36
6,203,0.44
6,213,0.27
6,223,0.34
6,233,0.37
6,243,0.38
6,253,0.4
6,263,0.3
6,273,0.39
6,283,0.33
6,293,0.34
6,303,0.34
6,313,0.31
6,323,0.44
6,333,0.35
6,343,0.4
6,353,0.43
6,363,0.32
6,373,0.36
6,383,0.39
6,393,0.28
6,403,0.34
6,413,0.43
6,423,0.31
6,433,0.37
6,443,0.33
6,453,0.32
6,463,0.35
6,473,0.34
6,483,0.39
6,493,0.44
6,503,0.36
6,513,0.38
6,523,0.38
6,533,0.35
6,543,0.3
6,553,0.35
6,556,0.31
11,153,0.35
11,163,0.32
11,173,0.37
11,183,0.36
11,193,0.32
11,203,0.28
11,213,0.31
11,223,0.39
11,233,0.31
11,243,0.28
11,253,0.35
11,263,0.32
11,273,0.34
11,283,0.27
11,293,0.37
11,303,0.39
11,313,0.32
11,323,0.42
11,333,0.4
11,343,0.28
11,353,0.34
11,363,0.3
11,373,0.31
11,383,0.41
11,393,0.39
11,403,0.39
11,413,0.39
11,423,0.36
11,433,0.4
11,443,0.37
11,453,0.34
11,463,0.28
11,473,0.39
11,483,0.35
11,493,0.31
11,503,0.31
11,513,0.32
11,523,0.35
11,533,0.44
11,543,0.3
11,553,0.36
11,556,0.43
16,153,0.4
16,163,0.38
16,173,0.4
16,183,0.35
16,193,0.31
16,203,0.39
16,213,0.38
16,223,0.42
16,233,0.27
16,243,0.36
16,253,0.43
16,263,0.38
16,273,0.32
16,283,0.38
16,293,0.34
16,303,0.42
16,313,0.32
16,323,0.43
16,333,0.4
16,343,0.32
16,353,0.3
16,363,0.39
16,373,0.35
16,383,0.37
16,393,0.35
16,403,0.4
16,413,0.42
16,423,0.49
16,433,0.43
16,443,0.34
16,453,0.39
16,463,0.33
16,473,0.31
16,483,0.38
16,493,0.37
16,503,0.38
16,513,0.31
16,523,0.37
16,533,0.4
16,543,0.37
16,553,0.32
16,556,0.33
21,153,0.49
21,163,0.33
21,173,0.4
21,183,0.37
21,193,0.34
21,203,0.5
21,213,0.38
21,223,0.44
21,233,0.4
21,243,0.31
21,253,0.31
21,263,0.4
21,273,0.46
21,283,0.49
21,293,0.43
21,303,0.39
21,313,0.4
21,323,0.39
21,333,0.32
21,343,0.31
21,353,0.29
21,363,0.46
21,373,0.36
21,383,0.35
21,393,0.32
21,403,0.34
21,413,0.41
21,423,0.45
21,433,0.34
21,443,0.43
21,453,0.42
21,463,0.38
21,473,0.34
21,483,0.47
21,493,0.33
21,503,0.43
21,513,0.34
21,523,0.43
21,533,0.41
21,543,0.39
21,553,0.41
21,556,0.33
26,153,0.41
26,163,0.36
26,173,0.47
26,183,0.38
26,193,0.44
26,203,0.36
26,213,0.4
26,223,0.45
26,233,0.47
26,243,0.46
26,253,0.5
26,263,0.49
26,273,0.36
26,283,0.38
26,293,0.4
26,303,0.36
26,313,0.42
26,323,0.44
26,333,0.57
26,343,0.38
26,353,0.43
26,363,0.38
26,373,0.39
26,383,0.46
26,393,0.4
26,403,0.35
26,413,0.44
26,423,0.43
26,433,0.48
26,443,0.45
26,453,0.41
26,463,0.52
26,473,0.48
26,483,0.43
26,493,0.42
26,503,0.32
26,513,0.41
26,523,0.41
26,533,0.48
26,543,0.39
26,553,0.48
26,556,0.42
31,153,0.44
31,163,0.49
31,173,0.42
31,183,0.57
31,193,0.5
31,203,0.39
