bri,watt
1,0.36
2,0.51
3,0.41
4,0.42
5,0.43
6,0.45
7,0.4
8,0.36
9,0.4
10,0.39
11,0.39
12,0.38
13,0.46
14,0.44
15,0.43
16,0.43
17,0.45
18,0.46
19,0.36
20,0.44
21,0.38
22,0.38
23,0.43
24,0.49
25,0.44
26,0.53
27,0.45
28,0.41
29,0.42
30,0.48
31,0.49
32,0.43
33,0.53
34,0.45
35,0.5
36,0.52
37,0.42
38,0.46
39,0.5
40,0.44
41,0.56
42,0.51
43,0.49
44,0.47
45,0.53
46,0.6
47,0.51
48,0.6
49,0.56
50,0.46
51,0.68
52,0.59
53,0.53
54,0.6
55,0.51
56,0.56
57,0.54
58,0.54
59,0.55
60,0.6
61,0.6
62,0.56
63,0.6
64,0.62
65,0.66
66,0.54
67,0.6
68,0.74
69,0.62
70,0.59
71,0.71
72,0.63
73,0.69
74,0.76
75,0.71
76,0.69
77,0.72
78,0.85
79,0.72
80,0.69
81,0.7
82,0.77
83,0.68
84,0.82
85,0.82
86,0.8
87,0.88
88,0.86
89,0.88
90,0.74
91,0.89
92,0.88
93,0.94
94,0.93
95,0.88
96,0.95
97,0.86
98,0.92
99,0.94
100,0.91
101,0.94
102,0.98
103,1.02
104,0.98
105,1.01
106,1.1
107,1.06
108,1.04
109,1.03
110,1.01
111,1.08
112,1.19
113,1.15
114,1.15
115,1.15
116,1.11
117,1.25
118,1.26
119,1.2
120,1.23
121,1.2
122,1.3
123,1.36
124,1.23
125,1.34
126,1.33
127,1.37
128,1.41
129,1.39
130,1.36
131,1.54
132,1.44
133,1.47
134,1.56
135,1.53
136,1.56
137,1.68
138,1.64
139,1.6
140,1.73
141,1.76
142,1.77
143,1.81
144,1.77
145,1.94
146,1.82
147,1.85
148,1.94
149,1.96
150,1.92
151,1.97
152,2.04
153,2.12
154,2.12
155,2.23
156,2.1
157,2.21
158,2.19
159,2.42
160,2.41
161,2.39
162,2.43
163,2.55
164,2.52
165,2.73
166,2.64
167,2.68
168,2.77
169,2.76
170,2.91
171,3.01
172,2.95
173,3.08
174,3.08
175,3.18
176,3.32
177,3.21
178,3.3
179,3.48
180,3.62
181,3.58
182,3.75
183,3.69
184,3.76
185,3.96
186,3.94
187,4.02
188,4.11
189,4.18
190,4.42
191,4.39
192,4.66
193,4.63
194,4.75
195,4.86
196,4.93
197,5.14
198,5.12
199,5.23
200,5.53
201,5.56
202,5.61
203,5.74
204,5.92
205,6.08
206,6.21
207,6.28
208,6.48
209,6.62
210,6.96
211,6.98
212,7.11
213,7.25
214,7.48
215,7.76
216,7.75
217,7.95
218,8.2
219,8.24
220,8.82
221,8.73
222,9.04
223,9.38
224,9.64
225,10.05
226,10.11
227,10.34
228,10.56
229,10.91
230,11.37
231,11.44
232,11.76
233,12.05
234,12.43
235,12.99
236,13.01
237,13.34
238,13.57
239,14.07
240,14.85
241,14.8
242,15.22
243,15.59
244,15.96
245,16.7
246,16.73
247,17.04
248,17.64
249,17.97
250,19.02
251,19.01
252,19.54
253,19.98
254,20.61
255,20.54
