effect,bri,watt
blink,5,0.6
blink,45,0.91
blink,85,1.27
blink,125,2.17
blink,165,3.23
blink,205,4.45
blink,245,6.15
blink,255,6.63
breathe,5,0.82
breathe,45,1.11
breathe,85,1.6
breathe,125,1.8
breathe,165,2.81
breathe,205,4.14
breathe,245,5.62
breathe,255,6.0
okay,5,0.53
okay,45,0.81
okay,85,1.24
okay,125,1.95
okay,165,2.81
okay,205,4.1
okay,245,5.93
okay,255,6.44
channel_change,5,0.57
channel_change,45,1.0
channel_change,85,1.36
channel_change,125,1.94
channel_change,165,2.9
channel_change,205,4.34
channel_change,245,5.64
channel_change,255,6.35
