bri,mired,watt
1,153,0.19
1,163,0.2
1,173,0.21
1,183,0.2
1,193,0.2
1,203,0.15
1,213,0.15
1,223,0.15
1,233,0.2
1,243,0.15
1,253,0.2
1,263,0.2
1,273,0.2
1,283,0.14
1,293,0.15
1,303,0.2
1,313,0.21
1,323,0.27
1,333,0.17
1,343,0.23
1,353,0.13
1,363,0.17
1,373,0.13
1,383,0.18
1,393,0.17
1,403,0.12
1,413,0.23
1,423,0.17
1,433,0.22
1,443,0.23
1,453,0.18
1,463,0.18
1,473,0.16
1,483,0.17
1,493,0.17
1,503,0.17
1,513,0.17
1,523,0.17
1,533,0.27
1,543,0.17
1,553,0.22
1,556,0.22
6,153,0.37
6,163,0.38
6,173,0.39
6,183,0.44
6,193,0.38
6,203,0.43
6,213,0.39
6,223,0.49
6,233,0.39
6,243,0.39
6,253,0.37
6,263,0.41
6,273,0.36
6,283,0.42
6,293,0.45
6,303,0.45
6,313,0.44
6,323,0.43
6,333,0.46
6,343,0.45
6,353,0.45
6,363,0.42
6,373,0.42
6,383,0.36
6,393,0.41
6,403,0.36
6,413,0.36
6,423,0.36
6,433,0.36
6,443,0.37
6,453,0.42
6,463,0.42
6,473,0.36
6,483,0.42
6,493,0.42
6,503,0.41
6,513,0.38
6,523,0.38
6,533,0.37
6,543,0.37
6,553,0.37
6,556,0.32
11,153,0.37
11,163,0.37
11,173,0.37
11,183,0.47
11,193,0.43
11,203,0.43
11,213,0.43
11,223,0.48
11,233,0.38
11,243,0.43
11,253,0.42
11,263,0.42
11,273,0.42
11,283,0.42
11,293,0.42
11,303,0.46
11,313,0.46
11,323,0.41
11,333,0.46
11,343,0.41
11,353,0.36
11,363,0.48
11,373,0.42
11,383,0.36
11,393,0.41
11,403,0.41
11,413,0.4
11,423,0.36
11,433,0.41
11,443,0.46
11,453,0.4
11,463,0.45
11,473,0.41
11,483,0.45
11,493,0.45
11,503,0.4
11,513,0.4
11,523,0.4
11,533,0.35
11,543,0.34
11,553,0.38
11,556,0.39
16,153,0.34
16,163,0.44
16,173,0.39
16,183,0.39
16,193,0.39
16,203,0.4
16,213,0.4
16,223,0.36
16,233,0.45
16,243,0.4
16,253,0.4
16,263,0.41
16,273,0.35
16,283,0.4
16,293,0.39
16,303,0.44
16,313,0.44
16,323,0.44
16,333,0.38
16,343,0.44
16,353,0.43
16,363,0.43
16,373,0.38
16,383,0.39
16,393,0.44
16,403,0.44
16,413,0.44
16,423,0.45
16,433,0.36
16,443,0.46
16,453,0.4
16,463,0.41
16,473,0.41
16,483,0.41
16,493,0.46
16,503,0.42
16,513,0.42
16,523,0.46
16,533,0.42
16,543,0.36
16,553,0.37
16,556,0.42
21,153,0.36
21,163,0.37
21,173,0.42
21,183,0.46
21,193,0.41
21,203,0.47
21,213,0.46
21,223,0.47
21,233,0.44
21,243,0.39
21,253,0.41
21,263,0.42
21,273,0.41
