bri,mired,watt
3,153,1.37
3,163,1.36
3,173,1.68
3,183,1.33
3,193,1.74
3,203,1.75
3,213,1.56
3,223,1.55
3,233,1.85
3,243,1.46
3,253,1.68
3,263,1.64
3,273,1.59
3,283,1.29
3,293,1.54
3,303,1.55
3,313,1.55
3,323,1.59
3,333,1.67
3,343,1.6
3,353,1.42
3,363,1.49
3,370,1.59
8,153,1.55
8,163,1.91
8,173,1.74
8,183,1.78
8,193,1.53
8,203,1.48
8,213,1.79
8,223,1.62
8,233,1.8
8,243,1.7
8,253,1.67
8,263,1.58
8,273,1.79
8,283,1.83
8,293,1.7
8,303,1.55
8,313,1.54
8,323,1.56
8,333,1.76
8,343,1.48
8,353,1.68
8,363,1.49
8,370,1.37
13,153,1.66
13,163,1.78
13,173,1.87
13,183,1.53
13,193,1.87
13,203,1.96
13,213,1.82
13,223,1.91
13,233,1.74
13,243,1.77
13,253,1.76
13,263,1.67
13,273,1.82
13,283,1.84
13,293,1.77
13,303,1.84
13,313,1.76
13,323,1.84
13,333,1.81
13,343,1.84
13,353,2.17
13,363,1.84
13,370,1.67
18,153,1.87
18,163,1.82
18,173,1.97
18,183,1.95
18,193,1.99
18,203,1.95
18,213,2.1
18,223,1.96
18,233,1.79
18,243,2.0
18,253,1.81
18,263,1.99
18,273,2.12
18,283,2.21
18,293,2.0
18,303,2.02
18,313,2.06
18,323,2.09
18,333,1.98
18,343,1.95
18,353,1.91
18,363,2.12
18,370,1.88
23,153,2.4
23,163,2.27
23,173,2.2
23,183,2.02
23,193,2.15
23,203,2.27
23,213,2.14
23,223,2.45
23,233,2.12
23,243,2.07
23,253,2.03
23,263,2.08
23,273,2.14
23,283,2.19
23,293,2.09
23,303,2.5
23,313,2.08
23,323,1.96
23,333,2.12
23,343,2.02
23,353,2.34
23,363,2.22
23,370,2.23
28,153,2.27
28,163,2.36
28,173,2.19
28,183,2.52
28,193,2.17
28,203,2.32
28,213,2.25
28,223,2.37
28,233,2.52
28,243,2.07
28,253,2.47
28,263,2.36
28,273,2.25
28,283,2.39
28,293,2.38
28,303,2.23
28,313,2.42
28,323,2.25
28,333,2.3
28,343,2.41
28,353,2.31
28,363,2.22
28,370,2.21
33,153,2.54
33,163,2.44
33,173,2.56
33,183,2.48
33,193,2.58
33,203,2.51
33,213,2.34
33,223,2.65
33,233,2.48
33,243,2.42
33,253,2.42
33,263,2.45
33,273,2.45
