bri,hue,sat,watt
3,1,1,0.77
3,2732,1,0.65
3,5463,1,0.62
3,8194,1,0.54
3,10925,1,0.78
3,13656,1,0.7
3,16387,1,0.52
3,19118,1,0.55
3,21849,1,0.76
3,24580,1,0.52
3,27311,1,0.93
3,30042,1,0.48
3,32773,1,0.76
3,35504,1,0.59
3,38235,1,0.55
3,40966,1,0.58
3,43697,1,0.61
3,46428,1,0.61
3,49159,1,0.67
3,51890,1,0.49
3,54621,1,0.72
3,57352,1,0.68
3,60083,1,0.88
3,62814,1,0.6
3,65535,1,0.59
3,1,33,0.59
3,2732,33,0.73
3,5463,33,0.52
3,8194,33,0.56
3,10925,33,0.73
3,13656,33,0.57
3,16387,33,0.63
3,19118,33,0.78
3,21849,33,0.53
3,24580,33,0.48
3,27311,33,0.67
3,30042,33,0.7
3,32773,33,0.75
3,35504,33,0.6
3,38235,33,0.6
3,40966,33,0.75
3,43697,33,0.56
3,46428,33,1.05
3,49159,33,0.69
3,51890,33,0.68
3,54621,33,0.58
3,57352,33,0.67
3,60083,33,0.75
3,62814,33,0.63
3,65535,33,0.54
3,1,65,0.59
3,2732,65,0.67
3,5463,65,0.6
3,8194,65,0.84
3,10925,65,0.55
3,13656,65,0.7
3,16387,65,0.73
3,19118,65,0.6
3,21849,65,0.56
3,24580,65,0.51
3,27311,65,0.57
3,30042,65,0.63
3,32773,65,0.54
3,35504,65,0.58
3,38235,65,0.95
3,40966,65,0.67
3,43697,65,0.59
3,46428,65,0.86
3,49159,65,0.54
3,51890,65,0.61
3,54621,65,0.59
3,57352,65,0.66
3,60083,65,0.71
3,62814,65,0.72
3,65535,65,0.59
3,1,97,0.62
3,2732,97,0.78
3,5463,97,0.65
3,8194,97,0.47
3,10925,97,0.57
3,13656,97,0.78
3,16387,97,0.65
3,19118,97,0.58
3,21849,97,0.77
3,24580,97,0.55
3,27311,97,0.56
3,30042,97,0.75
3,32773,97,0.69
3,35504,97,0.66
3,38235,97,0.6
3,40966,97,0.59
3,43697,97,0.63
3,46428,97,0.67
3,49159,97,0.45
3,51890,97,0.72
3,54621,97,0.62
3,57352,97,0.69
3,60083,97,0.54
3,62814,97,0.63
3,65535,97,0.57
3,1,129,0.56
3,2732,129,0.51
3,5463,129,0.6
3,8194,129,0.57
3,10925,129,0.54
3,13656,129,0.46
3,16387,129,0.45
3,19118,129,0.7
3,21849,129,0.51
3,24580,129,0.58
3,27311,129,0.78
3,30042,129,0.73
3,32773,129,0.67
3,35504,129,0.52
3,38235,129,0.69
3,40966,129,0.49
3,43697,129,0.48
3,46428,129,0.67
3,49159,129,0.67
3,51890,129,0.61
3,54621,129,0.51
3,57352,129,0.68
3,60083,129,0.6
3,62814,129,0.57
3,65535,129,0.58
3,1,161,0.76
3,2732,161,0.83
3,5463,161,0.52
3,8194,161,0.77
3,10925,161,0.75
3,13656,161,0.74
3,16387,161,0.71
3,19118,161,0.41
3,21849,161,0.55
3,24580,161,0.57
3,27311,161,0.45
3,30042,161,0.54
3,32773,161,0.63
3,35504,161,0.56
3,38235,161,0.7
3,40966,161,0.46
3,43697,161,0.47
3,46428,161,0.75
3,49159,161,0.66
3,51890,161,0.55
3,54621,161,0.71
3,57352,161,0.66
3,60083,161,0.65
3,62814,161,0.68
3,65535,161,0.6
3,1,193,0.48
3,2732,193,0.68
3,5463,193,0.54
3,8194,193,0.62
3,10925,193,0.59
3,13656,193,0.72
3,16387,193,0.66
3,19118,193,0.64
3,21849,193,0.5
3,24580,193,0.36
3,27311,193,0.48
3,30042,193,0.55
3,32773,193,0.68
3,35504,193,0.51
3,38235,193,0.64
3,40966,193,0.47
3,43697,193,0.46
3,46428,193,0.64
3,49159,193,0.64
3,51890,193,1.02
3,54621,193,0.63
3,57352,193,0.54
3,60083,193,0.63
3,62814,193,0.65
3,65535,193,0.62
3,1,225,0.59
3,2732,225,0.76
3,5463,225,0.94
3,8194,225,0.56
3,10925,225,0.61
3,13656,225,0.55
3,16387,225,0.47
3,19118,225,0.54
3,21849,225,0.54
3,24580,225,0.51
3,27311,225,0.61
3,30042,225,0.42
3,32773,225,0.54
3,35504,225,0.77
3,38235,225,0.5
3,40966,225,0.55
3,43697,225,0.53
3,46428,225,0.45
3,49159,225,0.52
3,51890,225,0.42
3,54621,225,0.72
3,57352,225,0.7
3,60083,225,0.61
3,62814,225,0.72
3,65535,225,0.81
3,1,255,0.87
3,2732,255,0.5
3,5463,255,0.7
3,8194,255,0.79
3,10925,255,0.61
3,13656,255,0.51
3,16387,255,0.61
3,19118,255,0.52
3,21849,255,0.69
3,24580,255,0.59
3,27311,255,0.54
3,30042,255,0.58
3,32773,255,0.58
3,35504,255,0.52
3,38235,255,0.52
3,40966,255,0.47
3,43697,255,0.36
3,46428,255,0.53
3,49159,255,0.5
3,51890,255,0.57
3,54621,255,0.74
3,57352,255,0.67
3,60083,255,0.5
3,62814,255,0.55
3,65535,255,0.61
35,1,1,0.97
35,2732,1,0.97
35,5463,1,0.87
35,8194,1,1.11
35,10925,1,1.08
35,13656,1,1.14
35,16387,1,1.07
35,19118,1,0.8
35,21849,1,1.27
35,24580,1,0.92
35,27311,1,1.03
35,30042,1,1.14
35,32773,1,1.0
35,35504,1,0.89
35,38235,1,1.0
35,40966,1,1.15
35,43697,1,0.98
35,46428,1,0.94
35,49159,1,1.11
35,51890,1,0.99
35,54621,1,0.96
35,57352,1,0.88
35,60083,1,1.04
35,62814,1,0.79
35,65535,1,0.99
35,1,33,0.85
35,2732,33,0.99
35,5463,33,1.1
35,8194,33,0.82
35,10925,33,1.14
35,13656,33,0.85
35,16387,33,0.87
35,19118,33,0.89
35,21849,33,0.88
35,24580,33,0.84
35,27311,33,0.82
35,30042,33,0.79
35,32773,33,1.01
35,35504,33,0.92
35,38235,33,0.94
35,40966,33,1.11
35,43697,33,0.86
35,46428,33,0.98
35,49159,33,0.89
35,51890,33,1.02
35,54621,33,0.85
35,57352,33,1.25
35,60083,33,1.17
35,62814,33,0.99
35,65535,33,0.87
35,1,65,0.89
35,2732,65,0.86
35,5463,65,0.93
35,8194,65,1.08
35,10925,65,0.84
35,13656,65,0.98
35,16387,65,1.1
35,19118,65,0.92
35,21849,65,0.91
35,24580,65,0.86
35,27311,65,0.91
35,30042,65,0.98
35,32773,65,0.55
35,35504,65,0.88
35,38235,65,0.78
35,40966,65,0.75
35,43697,65,0.81
35,46428,65,1.18
35,49159,65,0.84
35,51890,65,0.89
35,54621,65,1.07
35,57352,65,0.86
35,60083,65,0.93
35,62814,65,0.72
35,65535,65,0.96
35,1,97,0.87
35,2732,97,0.83
35,5463,97,0.77
35,8194,97,0.71
35,10925,97,0.79
35,13656,97,0.85
35,16387,97,0.99
35,19118,97,0.8
35,21849,97,0.74
35,24580,97,1.06
35,27311,97,0.87
35,30042,97,0.9
35,32773,97,0.81
35,35504,97,0.89
35,38235,97,0.97
35,40966,97,0.92
35,43697,97,0.75
35,46428,97,0.8
35,49159,97,0.83
35,51890,97,0.78
35,54621,97,0.88
35,57352,97,0.95
35,60083,97,0.88
35,62814,97,1.03
35,65535,97,0.92
35,1,129,0.84
35,2732,129,0.92
35,5463,129,0.73
35,8194,129,1.01
35,10925,129,0.82
35,13656,129,0.78
35,16387,129,0.99
35,19118,129,0.66
35,21849,129,0.95
35,24580,129,1.05
35,27311,129,0.58
35,30042,129,0.81
35,32773,129,0.77
35,35504,129,0.8
35,38235,129,1.11
35,40966,129,0.8
35,43697,129,0.68
35,46428,129,0.72
35,49159,129,0.86
35,51890,129,0.84
35,54621,129,0.92
35,57352,129,0.95
35,60083,129,0.92
35,62814,129,0.87
35,65535,129,0.77
35,1,161,0.96
35,2732,161,0.92
35,5463,161,0.73
35,8194,161,0.67
35,10925,161,0.98
35,13656,161,0.79
35,16387,161,0.77
35,19118,161,0.66
35,21849,161,0.77
35,24580,161,0.66
35,27311,161,0.79
35,30042,161,0.91
35,32773,161,0.77
35,35504,161,0.68
35,38235,161,0.74
35,40966,161,0.69
35,43697,161,0.64
35,46428,161,0.74
35,49159,161,0.93
35,51890,161,0.81
35,54621,161,1.0
35,57352,161,0.8
35,60083,161,0.75
