bri,watt
1,0.5
2,0.47
3,0.45
4,0.5
5,0.5
6,0.47
7,0.47
8,0.47
9,0.47
10,0.45
11,0.45
12,0.5
13,0.47
14,0.47
15,0.47
16,0.5
17,0.5
18,0.47
19,0.47
20,0.47
21,0.47
22,0.45
23,0.47
24,0.47
25,0.5
26,0.47
27,0.5
28,0.5
29,0.47
30,0.47
31,0.47
32,0.47
33,0.5
34,0.53
35,0.53
36,0.45
37,0.53
38,0.5
39,0.47
40,0.5
41,0.5
42,0.53
43,0.5
44,0.53
45,0.53
46,0.47
47,0.55
48,0.55
49,0.53
50,0.55
51,0.5
52,0.5
53,0.55
54,0.55
55,0.55
56,0.53
57,0.55
58,0.55
59,0.57
60,0.55
61,0.55
62,0.57
63,0.55
64,0.55
65,0.55
66,0.57
67,0.57
68,0.57
69,0.55
70,0.57
71,0.57
72,0.62
73,0.57
74,0.6
75,0.62
76,0.65
77,0.65
78,0.62
79,0.6
80,0.68
81,0.6
82,0.68
83,0.65
84,0.68
85,0.68
86,0.62
87,0.65
88,0.68
89,0.7
90,0.75
91,0.7
92,0.75
93,0.78
94,0.72
95,0.75
96,0.75
97,0.75
98,0.72
99,0.8
100,0.78
101,0.75
102,0.78
103,0.82
104,0.85
105,0.82
106,0.82
107,0.85
108,0.9
109,0.88
110,0.9
111,0.9
112,0.9
113,0.9
114,0.88
115,0.9
116,0.93
117,0.97
118,0.95
119,0.97
120,0.97
121,1.02
122,1.05
123,1.0
124,1.08
125,1.08
126,1.08
127,1.1
128,1.12
129,1.1
130,1.1
131,1.2
132,1.15
133,1.17
134,1.17
135,1.25
136,1.25
137,1.23
138,1.25
139,1.27
140,1.3
141,1.27
142,1.33
143,1.3
144,1.38
145,1.35
146,1.35
147,1.38
148,1.48
149,1.45
150,1.5
151,1.52
152,1.5
153,1.52
154,1.52
155,1.58
156,1.6
157,1.62
158,1.65
159,1.65
160,1.65
161,1.7
162,1.75
163,1.77
164,1.8
165,1.83
166,1.83
167,1.85
168,1.9
169,1.92
170,1.95
171,1.95
172,2.02
173,2.02
174,2.0
175,2.1
176,2.1
177,2.17
178,2.2
179,2.15
180,2.23
181,2.3
182,2.33
183,2.33
184,2.4
185,2.38
186,2.45
187,2.45
188,2.48
189,2.48
190,2.55
191,2.62
192,2.62
193,2.67
194,2.67
195,2.67
196,2.8
197,2.8
198,2.88
199,2.85
200,2.88
201,2.98
202,2.98
203,3.02
204,3.05
205,3.17
206,3.15
207,3.23
208,3.25
209,3.2
210,3.35
211,3.4
212,3.45
213,3.48
214,3.52
215,3.58
216,3.62
217,3.6
218,3.7
219,3.8
220,3.85
221,3.83
222,3.9
223,3.92
224,3.98
225,4.07
226,4.1
227,4.18
228,4.25
229,4.32
230,4.32
231,4.38
232,4.43
233,4.53
234,4.55
235,4.62
236,4.68
237,4.72
238,4.8
239,4.82
240,4.9
241,5.05
242,4.97
243,5.1
244,5.15
245,5.2
246,5.28
247,5.35
248,5.43
249,5.43
250,5.53
251,5.55
252,5.62
253,5.75
254,5.75
255,5.8
