bri,mired,watt
1,151,0.47
1,161,0.5
1,171,0.47
1,181,0.5
1,191,0.5
1,201,0.47
1,211,0.47
1,221,0.5
1,231,0.5
1,241,0.45
1,251,0.53
1,261,0.53
1,271,0.5
1,281,0.53
1,291,0.5
1,301,0.53
1,311,0.5
1,321,0.5
1,331,0.53
1,341,0.5
1,351,0.5
1,357,0.5
6,151,0.45
6,161,0.53
6,171,0.5
6,181,0.53
6,191,0.53
6,201,0.47
6,211,0.5
6,221,0.55
6,231,0.55
6,241,0.47
6,251,0.5
6,261,0.55
6,271,0.5
6,281,0.5
6,291,0.5
6,301,0.5
6,311,0.5
6,321,0.5
6,331,0.53
6,341,0.5
6,351,0.5
6,357,0.5
11,151,0.47
11,161,0.5
11,171,0.53
11,181,0.5
11,191,0.55
11,201,0.5
11,211,0.5
11,221,0.5
11,231,0.53
11,241,0.47
11,251,0.5
11,261,0.5
11,271,0.53
11,281,0.47
11,291,0.5
11,301,0.47
11,311,0.5
11,321,0.53
11,331,0.53
11,341,0.53
11,351,0.5
11,357,0.53
16,151,0.47
16,161,0.53
16,171,0.5
16,181,0.5
16,191,0.53
16,201,0.47
16,211,0.5
16,221,0.53
16,231,0.5
16,241,0.5
16,251,0.47
16,261,0.47
16,271,0.53
16,281,0.5
16,291,0.45
16,301,0.53
16,311,0.5
16,321,0.5
16,331,0.53
16,341,0.55
16,351,0.5
16,357,0.5
21,151,0.47
21,161,0.5
21,171,0.5
21,181,0.5
21,191,0.47
21,201,0.5
21,211,0.5
21,221,0.5
21,231,0.47
21,241,0.53
21,251,0.47
21,261,0.5
21,271,0.47
21,281,0.5
21,291,0.5
21,301,0.53
21,311,0.53
21,321,0.53
21,331,0.5
21,341,0.5
21,351,0.53
21,357,0.5
26,151,0.5
26,161,0.5
26,171,0.45
26,181,0.5
26,191,0.53
26,201,0.5
26,211,0.47
26,221,0.5
26,231,0.5
26,241,0.47
26,251,0.47
26,261,0.47
26,271,0.5
26,281,0.53
26,291,0.53
26,301,0.5
26,311,0.53
26,321,0.53
26,331,0.5
26,341,0.5
26,351,0.47
26,357,0.5
31,151,0.53
31,161,0.53
31,171,0.47
31,181,0.53
31,191,0.53
31,201,0.5
31,211,0.5
31,221,0.5
31,231,0.5
31,241,0.47
31,251,0.5
31,261,0.5
31,271,0.53
31,281,0.53
31,291,0.47
31,301,0.53
31,311,0.5
31,321,0.5
31,331,0.47
31,341,0.5
31,351,0.53
31,357,0.5
36,151,0.53
36,161,0.5
36,171,0.5
36,181,0.5
36,191,0.5
36,201,0.5
36,211,0.5
36,221,0.55
36,231,0.53
36,241,0.5
36,251,0.5
36,261,0.5
36,271,0.53
36,281,0.47
36,291,0.53
36,301,0.5
36,311,0.47
36,321,0.53
36,331,0.55
36,341,0.5
36,351,0.5
36,357,0.53
41,151,0.53
41,161,0.5
41,171,0.53
41,181,0.55
41,191,0.53
41,201,0.53
41,211,0.55
41,221,0.53
41,231,0.55
41,241,0.53
41,251,0.55
41,261,0.53
41,271,0.53
41,281,0.55
41,291,0.5
41,301,0.53
41,311,0.55
41,321,0.55
41,331,0.5
41,341,0.57
41,351,0.55
41,357,0.5
46,151,0.5
46,161,0.5
46,171,0.53
46,181,0.55
46,191,0.53
46,201,0.55
46,211,0.55
46,221,0.53
46,231,0.55
46,241,0.55
46,251,0.53
46,261,0.53
46,271,0.55
46,281,0.55
46,291,0.5
46,301,0.5
46,311,0.55
46,321,0.5
46,331,0.57
46,341,0.55
46,351,0.55
46,357,0.55
51,151,0.57
51,161,0.6
51,171,0.55
51,181,0.55
51,191,0.55
51,201,0.55
51,211,0.55
51,221,0.53
51,231,0.57
51,241,0.55
51,251,0.6
51,261,0.55
51,271,0.55
51,281,0.55
51,291,0.55
51,301,0.55
51,311,0.57
51,321,0.57
51,331,0.55
51,341,0.55
51,351,0.6
51,357,0.57
56,151,0.62
56,161,0.55
56,171,0.6
56,181,0.57
56,191,0.55
56,201,0.57
56,211,0.57
56,221,0.62
56,231,0.57
56,241,0.6
56,251,0.57
56,261,0.57
56,271,0.57
56,281,0.6
56,291,0.6
56,301,0.6
56,311,0.62
56,321,0.57
56,331,0.62
56,341,0.55
56,351,0.6
56,357,0.6
61,151,0.57
61,161,0.57
61,171,0.6
61,181,0.62
61,191,0.6
61,201,0.6
61,211,0.6
61,221,0.62
61,231,0.6
61,241,0.57
61,251,0.62
61,261,0.62
61,271,0.6
61,281,0.6
