bri,mired,watt
1,153,1.86
1,163,1.87
1,173,1.91
1,183,1.91
1,193,1.89
1,203,1.86
1,213,1.9
1,223,1.87
1,233,1.82
1,243,1.83
1,253,1.89
1,263,1.83
1,273,1.87
1,283,1.94
1,293,1.85
1,303,1.85
1,313,1.84
1,323,1.85
1,333,1.83
1,343,1.87
1,353,1.86
1,363,1.88
1,373,1.84
1,383,1.85
1,393,1.85
1,403,1.88
1,413,1.83
1,423,1.88
1,433,1.86
1,443,1.88
1,453,1.87
1,463,1.88
1,473,1.91
1,483,1.88
1,493,1.88
1,500,1.83
6,153,1.97
6,163,1.98
6,173,2.11
6,183,2.09
6,193,2.07
6,203,2.04
6,213,2.13
6,223,2.06
6,233,2.09
6,243,2.06
6,253,2.09
6,263,2.07
6,273,2.02
6,283,2.1
6,293,2.1
6,303,2.11
6,313,2.07
6,323,2.06
6,333,2.07
6,343,2.11
6,353,2.13
6,363,2.06
6,373,2.15
6,383,2.05
6,393,2.1
6,403,2.09
6,413,2.12
6,423,2.09
6,433,2.1
6,443,2.05
6,453,2.08
6,463,2.09
6,473,2.03
6,483,2.13
6,493,2.13
6,500,2.03
11,153,2.22
11,163,2.43
11,173,2.38
11,183,2.33
11,193,2.32
11,203,2.37
11,213,2.27
11,223,2.3
11,233,2.27
11,243,2.28
11,253,2.31
11,263,2.3
11,273,2.3
11,283,2.28
11,293,2.33
11,303,2.25
11,313,2.32
11,323,2.22
11,333,2.29
11,343,2.32
11,353,2.31
11,363,2.3
11,373,2.27
11,383,2.26
11,393,2.27
11,403,2.23
11,413,2.33
11,423,2.31
11,433,2.32
11,443,2.28
11,453,2.29
11,463,2.29
11,473,2.35
11,483,2.34
11,493,2.34
11,500,2.35
16,153,2.55
16,163,2.58
16,173,2.63
16,183,2.55
16,193,2.56
16,203,2.63
16,213,2.56
16,223,2.57
16,233,2.45
16,243,2.54
16,253,2.6
16,263,2.51
16,273,2.5
16,283,2.48
16,293,2.51
16,303,2.53
16,313,2.54
16,323,2.52
16,333,2.5
16,343,2.53
16,353,2.51
16,363,2.6
16,373,2.51
16,383,2.58
16,393,2.54
