effect,bri,watt
blink,5,1.16
blink,45,1.39
blink,85,1.51
blink,125,1.76
blink,165,2.0
blink,205,2.22
blink,245,2.49
blink,255,2.48
breathe,5,1.17
breathe,45,1.31
breathe,85,1.53
breathe,125,1.75
breathe,165,1.96
breathe,205,2.21
breathe,245,2.49
breathe,255,2.48
okay,5,1.15
okay,45,1.41
okay,85,1.53
okay,125,1.76
okay,165,1.98
okay,205,2.24
okay,245,2.46
okay,255,2.48
channel_change,5,1.15
channel_change,45,1.36
channel_change,85,1.56
channel_change,125,1.78
channel_change,165,1.99
channel_change,205,2.2
channel_change,245,2.41
channel_change,255,2.48
finish_effect,5,1.14
finish_effect,45,1.39
finish_effect,85,1.59
finish_effect,125,1.77
finish_effect,165,2.03
finish_effect,205,2.2
finish_effect,245,2.47
finish_effect,255,2.52
stop_effect,5,1.2
stop_effect,45,1.37
stop_effect,85,1.61
stop_effect,125,1.82
stop_effect,165,2.02
stop_effect,205,2.24
stop_effect,245,2.51
stop_effect,255,2.5
colorloop,5,1.14
colorloop,45,1.34
colorloop,85,1.56
colorloop,125,1.84
colorloop,165,2.15
colorloop,205,2.5
colorloop,245,2.96
colorloop,255,2.98
stop_colorloop,5,2.02
stop_colorloop,45,2.07
stop_colorloop,85,2.02
stop_colorloop,125,2.04
stop_colorloop,165,2.04
stop_colorloop,205,2.04
stop_colorloop,245,2.1
stop_colorloop,255,2.11
