bri,mired,watt
1,150,1.2
1,160,1.31
1,170,1.33
1,180,1.26
1,190,1.2
1,200,1.25
1,210,1.21
1,220,1.17
1,230,1.29
1,240,1.3
1,250,1.19
1,260,1.28
1,270,1.31
1,280,1.24
1,290,1.26
1,300,1.21
1,310,1.12
1,320,1.13
1,330,1.06
1,340,1.04
1,350,1.12
1,360,1.04
1,370,0.92
1,380,0.88
1,390,0.96
1,400,0.79
1,410,0.91
1,420,0.92
1,430,0.96
1,440,0.94
1,450,0.84
1,460,0.93
1,470,0.9
1,480,0.89
1,490,0.88
1,500,0.96
6,150,1.29
6,160,1.29
6,170,1.31
6,180,1.21
6,190,1.26
6,200,1.21
6,210,1.29
6,220,1.27
6,230,1.22
6,240,1.22
6,250,1.18
6,260,1.28
6,270,1.29
6,280,1.33
6,290,1.29
6,300,1.26
6,310,1.15
6,320,1.15
6,330,1.09
6,340,1.08
6,350,1.13
6,360,1.03
6,370,1.06
6,380,0.9
6,390,0.92
6,400,0.92
6,410,0.95
6,420,0.96
6,430,1.0
6,440,0.98
6,450,0.96
6,460,0.96
6,470,0.92
6,480,0.88
6,490,0.94
6,500,0.99
11,150,1.3
11,160,1.35
11,170,1.28
11,180,1.39
11,190,1.35
11,200,1.32
11,210,1.34
11,220,1.36
11,230,1.38
11,240,1.26
11,250,1.33
11,260,1.23
11,270,1.4
11,280,1.44
11,290,1.29
11,300,1.31
11,310,1.2
11,320,1.2
11,330,1.08
11,340,1.12
11,350,1.12
11,360,1.13
11,370,1.06
11,380,0.93
11,390,0.96
11,400,0.94
11,410,0.94
11,420,0.95
11,430,1.0
11,440,0.96
11,450,0.93
11,460,0.96
11,470,0.93
11,480,0.86
11,490,1.03
11,500,0.94
16,150,1.38
16,160,1.37
16,170,1.36
16,180,1.31
16,190,1.37
16,200,1.38
16,210,1.29
16,220,1.29
16,230,1.29
16,240,1.3
16,250,1.41
16,260,1.4
16,270,1.44
16,280,1.38
16,290,1.2
16,300,1.31
16,310,1.24
16,320,1.24
16,330,1.05
16,340,1.1
16,350,1.13
16,360,1.04
16,370,1.03
16,380,1.01
16,390,1.0
16,400,1.01
16,410,1.06
16,420,1.03
16,430,1.01
16,440,0.96
16,450,0.97
16,460,1.03
16,470,0.96
16,480,0.95
16,490,0.97
16,500,1.08
21,150,1.44
21,160,1.44
21,170,1.41
21,180,1.42
21,190,1.46
21,200,1.45
21,210,1.34
21,220,1.3
21,230,1.36
21,240,1.4
21,250,1.43
21,260,1.42
21,270,1.42
21,280,1.49
21,290,1.35
21,300,1.31
21,310,1.25
21,320,1.27
21,330,1.15
21,340,1.17
21,350,1.12
21,360,1.04
21,370,1.18
21,380,1.01
21,390,1.02
21,400,1.04
21,410,0.93
21,420,0.98
21,430,1.02
21,440,1.05
21,450,1.06
21,460,0.99
21,470,1.04
21,480,0.99
21,490,0.95
21,500,1.05
26,150,1.43
26,160,1.53
26,170,1.49
26,180,1.51
26,190,1.49
26,200,1.47
26,210,1.51
26,220,1.47
26,230,1.45
26,240,1.48
26,250,1.51
26,260,1.48
26,270,1.56
26,280,1.51
26,290,1.54
26,300,1.44
26,310,1.32
26,320,1.29
26,330,1.19
26,340,1.15
26,350,1.19
26,360,1.24
26,370,1.16
26,380,1.06
26,390,1.12
26,400,1.05
26,410,1.01
26,420,1.02
26,430,1.06
26,440,1.05
26,450,1.04
26,460,1.04
26,470,1.03
26,480,0.99
26,490,0.97
26,500,1.03
31,150,1.62
31,160,1.56
31,170,1.55
31,180,1.59
31,190,1.54
31,200,1.44
31,210,1.44
31,220,1.48
31,230,1.46
31,240,1.4
31,250,1.54
31,260,1.55
31,270,1.51
31,280,1.45
31,290,1.49
31,300,1.46
31,310,1.24
31,320,1.26
31,330,1.17
31,340,1.17
31,350,1.04
31,360,1.16
31,370,1.22
31,380,1.08
31,390,1.17
31,400,0.97
31,410,0.99
31,420,1.04
31,430,1.05
31,440,1.03
31,450,1.01
31,460,0.96
31,470,0.92
31,480,1.07
31,490,1.05
31,500,1.01
