bri,hue,sat,watt
1,1,1,1.35
1,2001,1,1.4
1,4001,1,1.34
1,6001,1,1.4
1,8001,1,1.41
1,10001,1,1.36
1,12001,1,1.4
1,14001,1,1.44
1,16001,1,1.31
1,18001,1,1.37
1,20001,1,1.32
1,22001,1,1.36
1,24001,1,1.41
1,26001,1,1.31
1,28001,1,1.43
1,30001,1,1.37
1,32001,1,1.44
1,34001,1,1.45
1,36001,1,1.38
1,38001,1,1.39
1,40001,1,1.4
1,42001,1,1.4
1,44001,1,1.37
1,46001,1,1.32
1,48001,1,1.34
1,50001,1,1.42
1,52001,1,1.3
1,54001,1,1.41
1,56001,1,1.45
1,58001,1,1.4
1,60001,1,1.36
1,62001,1,1.36
1,64001,1,1.41
1,65535,1,1.46
1,1,11,1.41
1,2001,11,1.53
1,4001,11,1.28
1,6001,11,1.36
1,8001,11,1.35
1,10001,11,1.38
1,12001,11,1.41
1,14001,11,1.39
1,16001,11,1.39
1,18001,11,1.38
1,20001,11,1.38
1,22001,11,1.39
1,24001,11,1.33
1,26001,11,1.4
1,28001,11,1.38
1,30001,11,1.29
1,32001,11,1.37
1,34001,11,1.3
1,36001,11,1.32
1,38001,11,1.35
1,40001,11,1.33
1,42001,11,1.41
1,44001,11,1.33
1,46001,11,1.35
1,48001,11,1.36
1,50001,11,1.32
1,52001,11,1.44
1,54001,11,1.35
1,56001,11,1.34
1,58001,11,1.41
1,60001,11,1.35
1,62001,11,1.42
1,64001,11,1.28
1,65535,11,1.41
1,1,21,1.35
1,2001,21,1.37
1,4001,21,1.43
1,6001,21,1.3
1,8001,21,1.4
1,10001,21,1.29
1,12001,21,1.36
1,14001,21,1.4
1,16001,21,1.43
1,18001,21,1.34
1,20001,21,1.32
1,22001,21,1.35
1,24001,21,1.42
1,26001,21,1.32
1,28001,21,1.33
1,30001,21,1.3
1,32001,21,1.41
1,34001,21,1.3
1,36001,21,1.41
1,38001,21,1.38
1,40001,21,1.34
1,42001,21,1.31
1,44001,21,1.36
1,46001,21,1.41
1,48001,21,1.37
1,50001,21,1.32
1,52001,21,1.33
1,54001,21,1.36
1,56001,21,1.32
1,58001,21,1.4
1,60001,21,1.39
1,62001,21,1.37
1,64001,21,1.36
1,65535,21,1.37
1,1,31,1.35
1,2001,31,1.45
1,4001,31,1.35
1,6001,31,1.38
1,8001,31,1.4
1,10001,31,1.36
1,12001,31,1.48
1,14001,31,1.3
1,16001,31,1.43
1,18001,31,1.35
1,20001,31,1.42
1,22001,31,1.33
1,24001,31,1.39
1,26001,31,1.39
1,28001,31,1.27
1,30001,31,1.33
1,32001,31,1.33
1,34001,31,1.36
1,36001,31,1.39
1,38001,31,1.37
1,40001,31,1.44
1,42001,31,1.36
1,44001,31,1.37
1,46001,31,1.38
1,48001,31,1.32
1,50001,31,1.44
1,52001,31,1.42
1,54001,31,1.41
1,56001,31,1.3
1,58001,31,1.33
1,60001,31,1.44
1,62001,31,1.36
1,64001,31,1.26
1,65535,31,1.36
1,1,41,1.37
1,2001,41,1.33
1,4001,41,1.45
1,6001,41,1.38
1,8001,41,1.41
1,10001,41,1.45
1,12001,41,1.41
1,14001,41,1.38
1,16001,41,1.29
1,18001,41,1.29
1,20001,41,1.35
1,22001,41,1.36
1,24001,41,1.39
1,26001,41,1.38
1,28001,41,1.41
1,30001,41,1.28
1,32001,41,1.35
1,34001,41,1.3
1,36001,41,1.29
1,38001,41,1.35
1,40001,41,1.31
1,42001,41,1.38
1,44001,41,1.35
1,46001,41,1.36
1,48001,41,1.42
1,50001,41,1.3
1,52001,41,1.3
1,54001,41,1.35
1,56001,41,1.41
1,58001,41,1.46
1,60001,41,1.4
1,62001,41,1.39
1,64001,41,1.37
1,65535,41,1.41
1,1,51,1.3
1,2001,51,1.37
1,4001,51,1.34
1,6001,51,1.31
1,8001,51,1.31
1,10001,51,1.17
1,12001,51,1.38
1,14001,51,1.36
1,16001,51,1.28
1,18001,51,1.33
1,20001,51,1.41
1,22001,51,1.37
1,24001,51,1.31
1,26001,51,1.34
1,28001,51,1.31
1,30001,51,1.29
1,32001,51,1.34
1,34001,51,1.38
1,36001,51,1.33
1,38001,51,1.38
1,40001,51,1.34
1,42001,51,1.32
1,44001,51,1.31
1,46001,51,1.38
1,48001,51,1.38
1,50001,51,1.35
1,52001,51,1.31
1,54001,51,1.42
1,56001,51,1.42
1,58001,51,1.39
1,60001,51,1.35
1,62001,51,1.37
1,64001,51,1.39
1,65535,51,1.29
1,1,61,1.41
1,2001,61,1.31
1,4001,61,1.31
1,6001,61,1.32
1,8001,61,1.44
1,10001,61,1.37
1,12001,61,1.39
1,14001,61,1.4
1,16001,61,1.32
1,18001,61,1.32
1,20001,61,1.32
1,22001,61,1.36
1,24001,61,1.41
1,26001,61,1.28
1,28001,61,1.3
1,30001,61,1.32
1,32001,61,1.33
1,34001,61,1.38
1,36001,61,1.33
1,38001,61,1.31
1,40001,61,1.38
1,42001,61,1.32
1,44001,61,1.3
1,46001,61,1.42
1,48001,61,1.26
1,50001,61,1.31
1,52001,61,1.26
1,54001,61,1.33
1,56001,61,1.26
1,58001,61,1.35
1,60001,61,1.39
1,62001,61,1.37
1,64001,61,1.36
1,65535,61,1.23
1,1,71,1.3
1,2001,71,1.3
1,4001,71,1.39
1,6001,71,1.32
1,8001,71,1.39
1,10001,71,1.36
1,12001,71,1.36
1,14001,71,1.32
1,16001,71,1.35
1,18001,71,1.3
1,20001,71,1.36
1,22001,71,1.29
1,24001,71,1.28
1,26001,71,1.42
1,28001,71,1.29
1,30001,71,1.38
1,32001,71,1.37
1,34001,71,1.28
1,36001,71,1.26
1,38001,71,1.32
1,40001,71,1.31
1,42001,71,1.4
1,44001,71,1.25
1,46001,71,1.3
1,48001,71,1.25
1,50001,71,1.29
1,52001,71,1.31
1,54001,71,1.4
1,56001,71,1.32
1,58001,71,1.36
1,60001,71,1.36
1,62001,71,1.39
1,64001,71,1.37
1,65535,71,1.34
1,1,81,1.37
1,2001,81,1.36
1,4001,81,1.36
1,6001,81,1.28
1,8001,81,1.36
1,10001,81,1.24
1,12001,81,1.28
1,14001,81,1.36
1,16001,81,1.32
1,18001,81,1.39
1,20001,81,1.32
1,22001,81,1.31
1,24001,81,1.25
1,26001,81,1.26
1,28001,81,1.3
1,30001,81,1.24
1,32001,81,1.29
1,34001,81,1.33
1,36001,81,1.34
1,38001,81,1.26
1,40001,81,1.27
1,42001,81,1.28
1,44001,81,1.28
1,46001,81,1.33
1,48001,81,1.32
1,50001,81,1.35
1,52001,81,1.29
1,54001,81,1.34
1,56001,81,1.38
1,58001,81,1.3
1,60001,81,1.36
1,62001,81,1.43
1,64001,81,1.31
1,65535,81,1.3
1,1,91,1.38
1,2001,91,1.37
1,4001,91,1.34
1,6001,91,1.47
1,8001,91,1.36
1,10001,91,1.33
1,12001,91,1.18
1,14001,91,1.34
1,16001,91,1.24
1,18001,91,1.31
1,20001,91,1.27
1,22001,91,1.28
1,24001,91,1.23
1,26001,91,1.25
1,28001,91,1.34
1,30001,91,1.33
1,32001,91,1.34
1,34001,91,1.31
1,36001,91,1.36
1,38001,91,1.24
1,40001,91,1.27
1,42001,91,1.33
1,44001,91,1.26
1,46001,91,1.29
1,48001,91,1.34
1,50001,91,1.34
1,52001,91,1.35
1,54001,91,1.42
1,56001,91,1.22
1,58001,91,1.35
1,60001,91,1.47
1,62001,91,1.26
1,64001,91,1.39
1,65535,91,1.29
1,1,101,1.34
1,2001,101,1.37
1,4001,101,1.34
1,6001,101,1.29
1,8001,101,1.33
1,10001,101,1.28
1,12001,101,1.32
1,14001,101,1.38
1,16001,101,1.28
1,18001,101,1.32
1,20001,101,1.31
1,22001,101,1.26
1,24001,101,1.14
1,26001,101,1.27
1,28001,101,1.19
1,30001,101,1.2
1,32001,101,1.31
1,34001,101,1.24
1,36001,101,1.24
1,38001,101,1.32
1,40001,101,1.29
1,42001,101,1.3
1,44001,101,1.23
1,46001,101,1.3
1,48001,101,1.3
1,50001,101,1.3
1,52001,101,1.36
1,54001,101,1.39
1,56001,101,1.3
1,58001,101,1.34
1,60001,101,1.32
1,62001,101,1.31
1,64001,101,1.38
1,65535,101,1.43
1,1,111,1.25
1,2001,111,1.31
1,4001,111,1.37
1,6001,111,1.34
1,8001,111,1.34
1,10001,111,1.31
1,12001,111,1.4
1,14001,111,1.25
1,16001,111,1.41
1,18001,111,1.21
1,20001,111,1.22
1,22001,111,1.31
1,24001,111,1.29
1,26001,111,1.29
1,28001,111,1.27
1,30001,111,1.34
1,32001,111,1.23
1,34001,111,1.3
1,36001,111,1.29
1,38001,111,1.32
1,40001,111,1.3
1,42001,111,1.29
1,44001,111,1.33
1,46001,111,1.3
1,48001,111,1.27
1,50001,111,1.3
1,52001,111,1.34
1,54001,111,1.38
1,56001,111,1.22
1,58001,111,1.36
1,60001,111,1.35
1,62001,111,1.37
1,64001,111,1.36
1,65535,111,1.27
1,1,121,1.28
1,2001,121,1.29
1,4001,121,1.37
1,6001,121,1.33
1,8001,121,1.41
1,10001,121,1.26
1,12001,121,1.35
1,14001,121,1.49
1,16001,121,1.37
1,18001,121,1.3
1,20001,121,1.21
1,22001,121,1.2
1,24001,121,1.23
1,26001,121,1.26
1,28001,121,1.26
1,30001,121,1.24
1,32001,121,1.37
1,34001,121,1.25
1,36001,121,1.27
1,38001,121,1.24
1,40001,121,1.24
1,42001,121,1.19
1,44001,121,1.21
1,46001,121,1.2
1,48001,121,1.15
1,50001,121,1.4
1,52001,121,1.36
1,54001,121,1.28
1,56001,121,1.36
1,58001,121,1.21
1,60001,121,1.3
1,62001,121,1.23
1,64001,121,1.36
1,65535,121,1.33
1,1,131,1.34
1,2001,131,1.24
1,4001,131,1.26
1,6001,131,1.28
1,8001,131,1.23
1,10001,131,1.36
1,12001,131,1.32
1,14001,131,1.37
1,16001,131,1.31
1,18001,131,1.36
1,20001,131,1.36
1,22001,131,1.27
1,24001,131,1.21
1,26001,131,1.29
1,28001,131,1.29
1,30001,131,1.23
1,32001,131,1.21
1,34001,131,1.3
1,36001,131,1.16
1,38001,131,1.3
1,40001,131,1.24
1,42001,131,1.38
1,44001,131,1.3
1,46001,131,1.2
1,48001,131,1.22
1,50001,131,1.28
1,52001,131,1.23
1,54001,131,1.33
1,56001,131,1.42
1,58001,131,1.32
1,60001,131,1.31
1,62001,131,1.34
1,64001,131,1.24
1,65535,131,1.25
1,1,141,1.46
1,2001,141,1.27
1,4001,141,1.28
1,6001,141,1.23
1,8001,141,1.24
1,10001,141,1.35
1,12001,141,1.33
1,14001,141,1.37
1,16001,141,1.3
1,18001,141,1.28
1,20001,141,1.28
1,22001,141,1.29
1,24001,141,1.2
1,26001,141,1.22
1,28001,141,1.23
