bri,mired,watt
2,153,0.67
2,163,0.61
2,173,0.64
2,183,0.68
2,193,0.66
2,203,0.68
2,213,0.66
2,223,0.68
2,233,0.7
2,243,0.63
2,253,0.67
2,263,0.67
2,273,0.66
2,283,0.67
2,293,0.69
2,303,0.72
2,313,0.66
2,323,0.69
2,333,0.71
2,343,0.71
2,353,0.64
2,363,0.66
2,373,0.68
2,383,0.68
2,393,0.65
2,403,0.6
2,413,0.56
2,423,0.56
2,433,0.56
2,443,0.56
2,453,0.54
2,463,0.54
2,473,0.51
2,483,0.54
2,493,0.54
2,500,0.56
7,153,0.8
7,163,0.79
7,173,0.84
7,183,0.84
7,193,0.84
7,203,0.8
7,213,0.82
7,223,0.83
7,233,0.82
7,243,0.83
7,253,0.82
7,263,0.8
7,273,0.8
7,283,0.82
7,293,0.83
7,303,0.82
7,313,0.85
7,323,0.84
7,333,0.81
7,343,0.84
7,353,0.84
7,363,0.8
7,373,0.79
7,383,0.78
7,393,0.71
7,403,0.69
7,413,0.67
7,423,0.6
7,433,0.58
7,443,0.58
7,453,0.61
7,463,0.59
7,473,0.56
7,483,0.58
7,493,0.59
7,500,0.59
12,153,0.82
12,163,0.88
12,173,0.89
12,183,0.89
12,193,0.92
12,203,0.9
12,213,0.9
12,223,0.91
12,233,0.91
12,243,0.91
12,253,0.88
12,263,0.88
12,273,0.89
12,283,0.89
12,293,0.91
12,303,0.87
12,313,0.91
12,323,0.89
12,333,0.85
12,343,0.89
12,353,0.9
12,363,0.85
12,373,0.9
12,383,0.82
12,393,0.77
12,403,0.69
12,413,0.69
12,423,0.71
12,433,0.65
12,443,0.61
12,453,0.63
12,463,0.63
12,473,0.63
12,483,0.61
12,493,0.62
12,500,0.61
17,153,0.84
17,163,0.95
17,173,0.91
17,183,0.88
17,193,0.89
17,203,0.93
17,213,0.89
17,223,0.93
17,233,0.88
17,243,0.91
17,253,0.91
17,263,0.92
17,273,0.88
17,283,0.89
17,293,0.91
17,303,0.91
17,313,0.89
17,323,0.9
17,333,0.91
17,343,0.9
17,353,0.91
17,363,0.88
17,373,0.91
17,383,0.86
17,393,0.79
17,403,0.73
17,413,0.7
17,423,0.73
17,433,0.71
17,443,0.66
17,453,0.68
17,463,0.66
17,473,0.68
17,483,0.66
17,493,0.66
17,500,0.68
22,153,0.94
22,163,0.97
22,173,0.9
22,183,0.94
22,193,0.91
22,203,0.91
22,213,0.94
22,223,0.95
22,233,0.95
22,243,0.96
22,253,0.93
22,263,0.94
22,273,0.94
22,283,0.93
22,293,0.92
22,303,0.93
22,313,0.91
22,323,0.91
22,333,0.97
22,343,0.93
22,353,0.95
22,363,0.91
22,373,0.93
22,383,0.9
22,393,0.78
22,403,0.73
22,413,0.73
22,423,0.72
22,433,0.72
22,443,0.66
22,453,0.65
22,463,0.69
22,473,0.67
22,483,0.68
22,493,0.69
22,500,0.65
27,153,0.95
27,163,1.01
27,173,1.03
27,183,1.01
