bri,mired,watt
1,153,2.25
1,163,2.2
1,173,2.2
1,183,2.2
1,193,2.35
1,203,2.3
1,213,2.3
1,223,2.25
1,233,2.3
1,243,2.3
1,253,2.25
1,263,2.3
1,273,2.25
1,283,2.3
1,293,2.2
1,303,2.3
1,313,2.2
1,323,2.25
1,333,2.3
6,153,2.5
6,163,2.55
6,173,2.6
6,183,2.6
6,193,2.6
6,203,2.6
6,213,2.6
6,223,2.55
6,233,2.55
6,243,2.6
6,253,2.55
6,263,2.65
6,273,2.6
6,283,2.6
6,293,2.65
6,303,2.6
6,313,2.6
6,323,2.55
6,333,2.6
11,153,2.9
11,163,2.9
11,173,2.9
11,183,2.85
11,193,2.9
11,203,2.9
11,213,2.95
11,223,2.9
11,233,2.95
11,243,2.95
11,253,2.9
11,263,2.85
11,273,2.9
11,283,2.9
11,293,2.95
11,303,2.95
11,313,2.95
11,323,2.95
11,333,2.9
16,153,3.2
16,163,3.2
16,173,3.2
16,183,3.2
16,193,3.2
16,203,3.25
16,213,3.2
16,223,3.25
16,233,3.2
16,243,3.25
16,253,3.2
16,263,3.25
16,273,3.2
16,283,3.25
16,293,3.25
16,303,3.25
16,313,3.15
16,323,3.25
16,333,3.2
21,153,3.6
21,163,3.6
21,173,3.5
21,183,3.6
21,193,3.55
21,203,3.6
21,213,3.6
21,223,3.55
21,233,3.55
21,243,3.6
21,253,3.6
21,263,3.65
21,273,3.6
21,283,3.55
21,293,3.55
21,303,3.65
21,313,3.6
21,323,3.55
21,333,3.6
26,153,3.75
26,163,3.95
26,173,3.85
26,183,3.85
26,193,3.95
26,203,3.85
26,213,3.9
26,223,3.9
26,233,3.9
26,243,3.95
26,253,4.0
26,263,3.95
26,273,3.9
26,283,3.9
26,293,3.85
26,303,3.85
26,313,3.9
26,323,3.95
26,333,3.85
31,153,4.2
31,163,4.2
31,173,4.2
31,183,4.2
31,193,4.2
31,203,4.25
31,213,4.2
31,223,4.2
31,233,4.2
31,243,4.2
31,253,4.25
31,263,4.3
31,273,4.25
31,283,4.2
31,293,4.25
31,303,4.2
31,313,4.25
31,323,4.2
31,333,4.25
36,153,4.5
36,163,4.55
36,173,4.6
36,183,4.5
36,193,4.55
36,203,4.5
36,213,4.5
36,223,4.5
36,233,4.5
36,243,4.55
36,253,4.6
36,263,4.55
36,273,4.55
36,283,4.5
36,293,4.55
36,303,4.55
36,313,4.6
36,323,4.5
36,333,4.65
41,153,4.9
41,163,4.9
41,173,4.8
41,183,4.8
41,193,4.85
41,203,4.85
41,213,4.9
41,223,4.9
41,233,4.9
41,243,4.85
41,253,4.9
41,263,4.85
41,273,4.9
41,283,4.85
41,293,4.85
41,303,4.85
41,313,4.9
41,323,4.9
41,333,4.85
46,153,5.15
46,163,5.15
46,173,5.15
46,183,5.25
46,193,5.2
46,203,5.15
46,213,5.15
46,223,5.15
46,233,5.15
46,243,5.15
46,253,5.15
46,263,5.15
46,273,5.25
46,283,5.2
46,293,5.15
46,303,5.15
46,313,5.25
46,323,5.25
46,333,5.2
51,153,5.45
51,163,5.5
51,173,5.5
51,183,5.5
51,193,5.5
51,203,5.5
51,213,5.5
51,223,5.5
51,233,5.5
51,243,5.5
51,253,5.45
51,263,5.5
51,273,5.5
51,283,5.5
51,293,5.5
51,303,5.5
51,313,5.55
51,323,5.5
51,333,5.55
56,153,5.75
56,163,5.8
56,173,5.75
56,183,5.8
56,193,5.75
56,203,5.7
56,213,5.8
56,223,5.8
56,233,5.75
56,243,5.75
56,253,5.8
56,263,5.8
56,273,5.75
56,283,5.7
56,293,5.8
56,303,5.85
56,313,5.8
56,323,5.8
56,333,5.85
61,153,6.05
61,163,6.05
61,173,6.1
61,183,6.1
61,193,6.1
61,203,6.05
61,213,6.1
61,223,6.05
61,233,6.15
61,243,6.15
61,253,6.1
61,263,6.1
61,273,6.1
61,283,6.1
61,293,6.2
61,303,6.15
61,313,6.1
61,323,6.15
61,333,6.2
66,153,6.4
66,163,6.4
66,173,6.45
66,183,6.4
66,193,6.4
66,203,6.45
66,213,6.4
66,223,6.45
66,233,6.4
66,243,6.4
66,253,6.4
66,263,6.45
66,273,6.45
66,283,6.4
66,293,6.4
66,303,6.4
66,313,6.45
66,323,6.4
66,333,6.45
71,153,6.7
71,163,6.75
71,173,6.75
71,183,6.65
71,193,6.8
71,203,6.75
71,213,6.75
71,223,6.75
71,233,6.75
71,243,6.8
71,253,6.8
71,263,6.85
71,273,6.8
71,283,6.8
71,293,6.8
71,303,6.75
71,313,6.8
71,323,6.75
71,333,6.8
76,153,7.05
76,163,7.05
76,173,7.05
76,183,7.05
76,193,7.05
76,203,7.1
76,213,7.1
76,223,7.05
76,233,7.05
76,243,7.1
76,253,7.15
76,263,7.1
76,273,7.15
76,283,7.1
