bri,mired,watt
1,153,0.4
1,163,0.4
1,173,0.4
1,183,0.4
1,193,0.4
1,203,0.4
1,213,0.4
1,223,0.4
1,233,0.4
1,243,0.4
1,253,0.4
1,263,0.4
1,273,0.4
1,283,0.4
1,293,0.4
1,303,0.4
1,313,0.4
1,323,0.4
1,333,0.4
1,343,0.4
1,353,0.4
1,363,0.4
1,370,0.4
6,153,0.9
6,163,0.9
6,173,0.8
6,183,0.8
6,193,0.9
6,203,0.9
6,213,0.8
6,223,0.9
6,233,0.9
6,243,0.9
6,253,0.8
6,263,0.9
6,273,0.8
6,283,0.9
6,293,0.8
6,303,0.9
6,313,0.9
6,323,0.8
6,333,0.8
6,343,0.8
6,353,0.9
6,363,0.8
6,370,0.9
11,153,0.9
11,163,0.9
11,173,0.8
11,183,0.9
11,193,0.9
11,203,0.9
11,213,0.9
11,223,0.8
11,233,0.9
11,243,0.9
11,253,0.8
11,263,0.9
11,273,0.9
11,283,0.9
11,293,0.9
11,303,0.9
11,313,0.9
11,323,0.9
11,333,0.9
11,343,0.9
11,353,0.9
11,363,0.9
11,370,0.9
16,153,0.9
16,163,0.9
16,173,0.9
16,183,0.9
16,193,0.9
16,203,0.9
16,213,0.9
16,223,0.9
16,233,0.9
16,243,0.9
16,253,0.9
16,263,0.9
16,273,0.9
16,283,0.9
16,293,0.9
16,303,0.9
16,313,0.9
16,323,0.9
16,333,0.9
16,343,0.9
16,353,0.9
16,363,0.9
16,370,0.9
21,153,0.9
21,163,0.9
21,173,0.9
21,183,0.9
21,193,0.9
21,203,0.9
21,213,0.9
21,223,1.0
21,233,0.9
21,243,0.9
21,253,0.9
21,263,1.0
21,273,0.9
21,283,0.9
21,293,0.9
21,303,0.9
21,313,0.9
21,323,0.9
21,333,0.9
21,343,0.9
21,353,0.9
21,363,0.9
21,370,1.0
26,153,1.0
26,163,1.0
26,173,1.0
26,183,0.9
26,193,1.0
26,203,1.0
26,213,1.0
26,223,1.0
26,233,1.0
26,243,1.0
26,253,1.0
26,263,1.0
26,273,1.0
26,283,1.0
26,293,1.0
26,303,1.0
26,313,1.0
26,323,1.0
26,333,1.0
26,343,1.0
26,353,1.0
26,363,1.0
26,370,1.0
31,153,1.0
31,163,1.0
31,173,1.0
31,183,1.0
31,193,1.1
31,203,1.0
31,213,1.0
31,223,1.0
31,233,1.0
31,243,1.0
31,253,1.0
31,263,1.0
31,273,1.0
31,283,1.0
31,293,1.0
31,303,1.0
31,313,1.0
31,323,1.0
31,333,1.0
31,343,1.0
31,353,1.0
31,363,1.0
31,370,1.0
36,153,1.1
36,163,1.1
36,173,1.1
36,183,1.1
36,193,1.1
36,203,1.1
36,213,1.1
36,223,1.1
36,233,1.1
36,243,1.1
36,253,1.1
36,263,1.1
36,273,1.1
36,283,1.1
36,293,1.1
36,303,1.1
36,313,1.1
36,323,1.1
36,333,1.1
36,343,1.1
36,353,1.1
36,363,1.1
36,370,1.1
41,153,1.2
41,163,1.2
41,173,1.2
41,183,1.2
41,193,1.2
41,203,1.1
41,213,1.2
41,223,1.2
41,233,1.2
41,243,1.2
41,253,1.2
41,263,1.2
41,273,1.2
41,283,1.2
41,293,1.2
41,303,1.2
41,313,1.2
41,323,1.2
41,333,1.2
41,343,1.1
41,353,1.2
41,363,1.2
41,370,1.2
46,153,1.2
46,163,1.3
46,173,1.3
46,183,1.2
46,193,1.3
46,203,1.2
46,213,1.3
46,223,1.2
46,233,1.2
46,243,1.2
46,253,1.2
46,263,1.2
46,273,1.2
46,283,1.2
46,293,1.2
46,303,1.3
46,313,1.3
46,323,1.2
46,333,1.2
46,343,1.2
46,353,1.2
46,363,1.2
46,370,1.2
51,153,1.3
51,163,1.3
51,173,1.3
51,183,1.3
51,193,1.3
51,203,1.3
51,213,1.3
51,223,1.3
51,233,1.3
51,243,1.3
51,253,1.3
51,263,1.3
51,273,1.3
51,283,1.3
51,293,1.3
51,303,1.3
51,313,1.3
51,323,1.3
51,333,1.3
51,343,1.3
51,353,1.3
51,363,1.3
51,370,1.3
56,153,1.4
56,163,1.4
56,173,1.4
56,183,1.4
56,193,1.4
56,203,1.4
56,213,1.4
56,223,1.4
56,233,1.4
56,243,1.4
56,253,1.4
56,263,1.4
56,273,1.4
56,283,1.4
56,293,1.4
56,303,1.4
56,313,1.4
56,323,1.5
56,333,1.4
56,343,1.4
56,353,1.4
56,363,1.4
56,370,1.4
61,153,1.6
61,163,1.6
61,173,1.5
61,183,1.5
61,193,1.5
61,203,1.5
61,213,1.6
61,223,1.5
61,233,1.6
61,243,1.5
61,253,1.5
61,263,1.5
61,273,1.5
61,283,1.6
61,293,1.6
61,303,1.5
61,313,1.5
61,323,1.6
61,333,1.5
61,343,1.5
61,353,1.5
61,363,1.5
61,370,1.5
66,153,1.7
66,163,1.7
66,173,1.7
66,183,1.7
66,193,1.7
66,203,1.6
66,213,1.7
66,223,1.7
66,233,1.7
66,243,1.7
66,253,1.7
66,263,1.7
66,273,1.6
66,283,1.6
66,293,1.6
66,303,1.7
66,313,1.7
66,323,1.7
66,333,1.7
66,343,1.7
66,353,1.7
66,363,1.6
66,370,1.7
71,153,1.8
71,163,1.8
71,173,1.8
71,183,1.8
71,193,1.8
71,203,1.8
71,213,1.8
71,223,1.8
71,233,1.8
71,243,1.8
71,253,1.8
71,263,1.8
71,273,1.8
71,283,1.8
71,293,1.8
71,303,1.8
71,313,1.8
71,323,1.8
71,333,1.8
71,343,1.8
71,353,1.8
71,363,1.8
71,370,1.8
76,153,1.9
76,163,1.9
76,173,1.9
76,183,1.9
76,193,1.9
76,203,1.9
76,213,1.9
76,223,1.9
76,233,1.9
76,243,1.9
76,253,1.9
76,263,1.9
76,273,1.9
76,283,1.9
76,293,1.9
76,303,1.9
76,313,1.9
76,323,1.9
76,333,1.9
76,343,1.9
76,353,1.9
76,363,1.9
76,370,1.9
81,153,2.1
81,163,2.0
81,173,2.1
81,183,2.1
81,193,2.1
81,203,2.1
81,213,2.1
81,223,2.1
81,233,2.1
81,243,2.0
81,253,2.1
81,263,2.0
81,273,2.0
81,283,2.1
81,293,2.0
81,303,2.1
