bri,hue,sat,watt
1,1,1,0.66
1,2732,1,0.56
1,5463,1,0.69
1,8194,1,0.63
1,10925,1,0.67
1,13656,1,0.66
1,16387,1,0.64
1,19118,1,0.65
1,21849,1,0.7
1,24580,1,0.68
1,27311,1,0.63
1,30042,1,0.64
1,32773,1,0.7
1,35504,1,0.75
1,38235,1,0.62
1,40966,1,0.62
1,43697,1,0.71
1,46428,1,0.67
1,49159,1,0.66
1,51890,1,0.62
1,54621,1,0.66
1,57352,1,0.66
1,60083,1,0.66
1,62814,1,0.61
1,65535,1,0.71
1,1,33,0.61
1,2732,33,0.63
1,5463,33,0.63
1,8194,33,0.64
1,10925,33,0.65
1,13656,33,0.66
1,16387,33,0.59
1,19118,33,0.61
1,21849,33,0.6
1,24580,33,0.6
1,27311,33,0.53
1,30042,33,0.59
1,32773,33,0.6
1,35504,33,0.62
1,38235,33,0.57
1,40966,33,0.56
1,43697,33,0.51
1,46428,33,0.57
1,49159,33,0.56
1,51890,33,0.61
1,54621,33,0.6
1,57352,33,0.65
1,60083,33,0.6
1,62814,33,0.6
1,65535,33,0.61
1,1,65,0.49
1,2732,65,0.55
1,5463,65,0.53
1,8194,65,0.57
1,10925,65,0.57
1,13656,65,0.55
1,16387,65,0.54
1,19118,65,0.51
1,21849,65,0.52
1,24580,65,0.45
1,27311,65,0.52
1,30042,65,0.54
1,32773,65,0.58
1,35504,65,0.55
1,38235,65,0.52
1,40966,65,0.47
1,43697,65,0.45
1,46428,65,0.5
1,49159,65,0.5
1,51890,65,0.5
1,54621,65,0.56
1,57352,65,0.54
1,60083,65,0.53
1,62814,65,0.53
1,65535,65,0.52
1,1,97,0.4
1,2732,97,0.46
1,5463,97,0.51
1,8194,97,0.52
1,10925,97,0.45
1,13656,97,0.43
1,16387,97,0.43
1,19118,97,0.39
1,21849,97,0.4
1,24580,97,0.4
1,27311,97,0.35
1,30042,97,0.55
1,32773,97,0.53
1,35504,97,0.49
1,38235,97,0.45
1,40966,97,0.4
1,43697,97,0.35
1,46428,97,0.4
1,49159,97,0.44
1,51890,97,0.49
1,54621,97,0.52
1,57352,97,0.48
1,60083,97,0.52
1,62814,97,0.47
1,65535,97,0.42
1,1,129,0.32
1,2732,129,0.43
1,5463,129,0.44
1,8194,129,0.54
1,10925,129,0.47
1,13656,129,0.47
1,16387,129,0.41
1,19118,129,0.37
1,21849,129,0.41
1,24580,129,0.4
1,27311,129,0.4
1,30042,129,0.47
1,32773,129,0.51
1,35504,129,0.43
1,38235,129,0.38
1,40966,129,0.39
1,43697,129,0.38
1,46428,129,0.32
1,49159,129,0.37
1,51890,129,0.41
1,54621,129,0.46
1,57352,129,0.5
1,60083,129,0.39
1,62814,129,0.41
1,65535,129,0.41
1,1,161,0.31
1,2732,161,0.31
1,5463,161,0.42
1,8194,161,0.48
1,10925,161,0.47
1,13656,161,0.37
1,16387,161,0.36
1,19118,161,0.3
1,21849,161,0.28
1,24580,161,0.35
1,27311,161,0.39
1,30042,161,0.47
1,32773,161,0.44
1,35504,161,0.42
1,38235,161,0.32
1,40966,161,0.33
1,43697,161,1.27
1,46428,161,1.32
1,49159,161,1.36
1,51890,161,1.4
1,54621,161,1.41
1,57352,161,0.4
1,60083,161,0.35
1,62814,161,0.35
1,65535,161,0.31
1,1,193,0.3
1,2732,193,0.29
1,5463,193,0.34
1,8194,193,0.45
1,10925,193,0.48
1,13656,193,0.39
1,16387,193,0.4
1,19118,193,0.29
1,21849,193,0.3
1,24580,193,0.35
1,27311,193,0.34
1,30042,193,0.42
1,32773,193,0.53
1,35504,193,0.38
1,38235,193,0.37
1,40966,193,0.27
1,43697,193,0.28
1,46428,193,0.3
1,49159,193,0.28
1,51890,193,0.38
1,54621,193,0.48
1,57352,193,0.38
1,60083,193,1.22
1,62814,193,0.81
1,65535,193,0.25
1,1,225,1.16
1,2732,225,0.25
1,5463,225,0.27
1,8194,225,0.36
1,10925,225,0.42
1,13656,225,0.37
1,16387,225,0.35
1,19118,225,0.21
1,21849,225,0.3
1,24580,225,0.29
1,27311,225,0.41
1,30042,225,0.37
1,32773,225,0.48
1,35504,225,0.38
1,38235,225,0.32
1,40966,225,0.3
1,43697,225,0.27
1,46428,225,0.26
1,49159,225,0.3
1,51890,225,0.41
1,54621,225,0.37
1,57352,225,0.39
1,60083,225,0.29
1,62814,225,0.25
1,65535,225,1.19
1,1,255,0.19
1,2732,255,0.24
1,5463,255,0.34
1,8194,255,0.39
1,10925,255,0.45
1,13656,255,0.48
1,16387,255,0.41
1,19118,255,0.41
1,21849,255,0.42
1,24580,255,0.43
1,27311,255,0.5
1,30042,255,0.49
1,32773,255,0.6
1,35504,255,0.48
1,38235,255,0.43
1,40966,255,0.43
1,43697,255,0.47
1,46428,255,0.46
1,49159,255,0.48
1,51890,255,0.53
1,54621,255,0.53
