bri,mired,watt
1,153,3.0
1,163,2.9
1,173,2.9
1,183,2.75
1,193,2.8
1,203,2.8
1,213,2.8
1,223,2.7
1,233,2.75
1,243,2.75
1,253,2.8
1,263,2.85
1,273,0.8
1,283,2.8
1,293,2.8
1,303,2.8
1,313,2.8
1,323,2.9
1,333,2.8
1,343,2.8
1,353,2.9
1,363,2.9
1,373,2.85
1,383,2.85
1,393,2.9
1,403,2.9
1,413,2.85
1,423,2.8
1,433,2.8
1,443,2.75
1,453,2.75
1,463,2.8
1,473,2.9
1,483,2.9
1,493,3.0
1,500,3.0
6,153,3.3
6,163,3.3
6,173,3.1
6,183,3.1
6,193,3.15
6,203,3.1
6,213,3.1
6,223,3.1
6,233,3.1
6,243,3.05
6,253,3.1
6,263,3.15
6,273,3.15
6,283,3.15
6,293,3.05
6,303,3.1
6,313,3.15
6,323,3.1
6,333,3.2
6,343,3.2
6,353,3.1
6,363,3.15
6,373,3.2
6,383,3.15
6,393,3.1
6,403,3.15
6,413,3.1
6,423,3.15
6,433,3.1
6,443,3.1
6,453,3.1
6,463,3.15
6,473,3.1
6,483,3.1
6,493,3.2
6,500,3.3
11,153,3.75
11,163,3.6
11,173,3.5
11,183,3.55
11,193,3.5
11,203,3.5
11,213,3.5
11,223,3.5
11,233,3.5
11,243,3.55
11,253,3.55
11,263,3.55
11,273,3.5
11,283,3.6
11,293,3.5
11,303,3.5
11,313,3.55
11,323,3.5
11,333,3.6
11,343,3.55
11,353,3.55
11,363,3.6
11,373,3.5
11,383,3.6
11,393,3.55
11,403,3.6
11,413,3.55
11,423,3.6
11,433,3.5
11,443,3.5
11,453,3.5
11,463,3.5
11,473,3.55
11,483,3.55
11,493,3.65
11,500,3.6
16,153,4.1
16,163,4.0
16,173,3.95
16,183,3.9
16,193,3.85
16,203,3.9
16,213,3.9
16,223,3.95
16,233,3.95
16,243,3.95
16,253,3.95
16,263,3.95
16,273,3.8
16,283,4.0
16,293,3.9
16,303,3.9
16,313,3.9
16,323,3.95
16,333,3.9
16,343,4.0
16,353,3.95
16,363,4.0
16,373,3.95
16,383,3.95
16,393,3.95
16,403,3.9
16,413,3.95
16,423,3.95
16,433,4.0
16,443,3.85
16,453,3.9
16,463,3.9
16,473,3.9
16,483,3.95
16,493,4.0
16,500,4.1
21,153,4.55
21,163,4.45
21,173,4.3
21,183,4.3
21,193,4.2
21,203,4.3
21,213,4.3
21,223,4.35
21,233,4.35
21,243,4.3
21,253,4.3
21,263,4.35
21,273,4.3
21,283,4.3
21,293,4.4
21,303,4.35
21,313,4.35
21,323,4.3
21,333,4.4
21,343,4.35
21,353,4.35
21,363,4.35
21,373,4.4
21,383,4.3
21,393,4.35
21,403,4.3
21,413,4.3
21,423,4.35
21,433,4.3
21,443,4.3
21,453,4.25
21,463,4.2
21,473,4.3
21,483,4.3
21,493,4.4
21,500,4.5
26,153,4.9
26,163,4.8
26,173,4.7
26,183,4.65
26,193,4.65
26,203,4.75
26,213,4.7
26,223,4.65
26,233,4.75
26,243,4.7
26,253,4.75
26,263,4.65
26,273,4.7
26,283,4.7
26,293,4.65
26,303,4.65
26,313,4.7
26,323,4.65
26,333,4.75
26,343,4.7
26,353,4.6
26,363,4.7
26,373,4.65
26,383,4.75
26,393,4.7
26,403,4.65
26,413,4.65
26,423,4.75
26,433,4.7
26,443,4.7
26,453,4.7
26,463,4.6
26,473,4.6
26,483,4.7
26,493,4.8
26,500,4.9
31,153,5.3
31,163,5.2
31,173,5.1
31,183,5.05
31,193,5.1
31,203,5.1
31,213,5.15
31,223,5.15
31,233,5.2
31,243,5.1
31,253,5.15
31,263,5.1
31,273,5.1
31,283,5.15
31,293,5.1
31,303,5.1
31,313,5.05
31,323,5.2
31,333,5.1
31,343,5.1
31,353,5.15
31,363,5.1
31,373,5.15
31,383,5.1
31,393,5.1
31,403,5.1
31,413,5.1
31,423,5.15
31,433,5.15
31,443,5.1
31,453,5.1
31,463,5.05
31,473,5.05
31,483,5.1
31,493,5.2
31,500,5.25
36,153,5.85
36,163,5.6
36,173,5.5
36,183,5.55
36,193,5.6
36,203,5.55
36,213,5.5
36,223,5.5
36,233,5.55
36,243,5.5
36,253,5.6
36,263,5.6
36,273,5.5
36,283,5.5
36,293,5.55
36,303,5.5
36,313,5.55
36,323,5.55
36,333,5.55
36,343,5.55
36,353,5.55
36,363,5.55
36,373,5.6
36,383,5.55
36,393,5.5
36,403,5.6
36,413,5.6
36,423,5.55
