bri,hue,sat,watt
1,1,1,1.5
1,2732,1,1.5
1,5463,1,1.65
1,8194,1,1.6
1,10925,1,1.65
1,13656,1,1.7
1,16387,1,1.6
1,19118,1,1.7
1,21849,1,1.7
1,24580,1,1.6
1,27311,1,1.7
1,30042,1,1.65
1,32773,1,1.7
1,35504,1,1.7
1,38235,1,1.65
1,40966,1,1.65
1,43697,1,1.7
1,46428,1,1.65
1,49159,1,1.7
1,51890,1,1.7
1,54621,1,1.65
1,57352,1,1.7
1,60083,1,1.7
1,62814,1,1.6
1,65535,1,1.7
1,1,33,1.5
1,2732,33,1.5
1,5463,33,1.5
1,8194,33,1.6
1,10925,33,1.5
1,13656,33,1.5
1,16387,33,1.45
1,19118,33,1.5
1,21849,33,1.45
1,24580,33,1.5
1,27311,33,1.6
1,30042,33,1.55
1,32773,33,1.55
1,35504,33,1.55
1,38235,33,1.5
1,40966,33,1.45
1,43697,33,1.4
1,46428,33,1.45
1,49159,33,1.45
1,51890,33,1.6
1,54621,33,1.5
1,57352,33,1.65
1,60083,33,1.6
1,62814,33,1.6
1,65535,33,1.5
1,1,65,1.35
1,2732,65,1.4
1,5463,65,1.4
1,8194,65,1.5
1,10925,65,1.4
1,13656,65,1.4
1,16387,65,1.3
1,19118,65,1.35
1,21849,65,1.3
1,24580,65,1.3
1,27311,65,1.35
1,30042,65,1.45
1,32773,65,1.6
1,35504,65,1.4
1,38235,65,1.3
1,40966,65,1.3
1,43697,65,1.35
1,46428,65,1.2
1,49159,65,1.35
1,51890,65,1.35
1,54621,65,1.45
1,57352,65,1.5
1,60083,65,1.45
1,62814,65,1.4
1,65535,65,1.35
1,1,97,1.05
1,2732,97,1.3
1,5463,97,1.3
1,8194,97,1.4
1,10925,97,1.4
1,13656,97,1.25
1,16387,97,1.2
1,19118,97,1.05
1,21849,97,1.05
1,24580,97,1.15
1,27311,97,1.3
1,30042,97,1.35
1,32773,97,1.45
1,35504,97,1.35
1,38235,97,1.25
1,40966,97,1.1
1,49159,97,1.25
1,51890,97,1.25
1,54621,97,1.35
1,57352,97,1.4
1,60083,97,1.3
1,62814,97,1.15
1,65535,97,1.15
1,5463,129,1.25
1,8194,129,1.3
1,10925,129,1.3
1,13656,129,1.15
1,16387,129,1.1
1,27311,129,1.1
1,30042,129,1.3
1,32773,129,1.4
1,35504,129,1.3
1,38235,129,1.1
1,51890,129,1.2
1,54621,129,1.3
1,57352,129,1.2
1,60083,129,1.1
1,8194,161,1.25
1,10925,161,1.3
1,13656,161,1.0
1,30042,161,1.05
1,32773,161,1.35
1,35504,161,1.15
1,54621,161,1.25
1,57352,161,1.15
1,8194,193,1.1
1,10925,193,1.15
1,32773,193,1.35
1,35504,193,1.15
1,54621,193,1.1
1,8194,225,1.25
1,10925,225,1.15
1,30042,225,1.15
1,32773,225,1.3
1,35504,225,1.0
1,54621,225,1.2
1,8194,255,1.1
1,10925,255,1.15
1,32773,255,1.35
1,54621,255,1.2
33,1,1,5.0
33,2732,1,5.0
33,5463,1,5.0
33,8194,1,5.05
33,10925,1,5.05
33,13656,1,5.0
33,16387,1,5.0
33,19118,1,5.0
33,21849,1,5.0
33,24580,1,5.0
33,27311,1,5.0
33,30042,1,5.0
33,32773,1,4.95
33,35504,1,5.0
33,38235,1,4.9
33,40966,1,4.95
33,43697,1,4.95
33,46428,1,4.95
33,49159,1,5.0
33,51890,1,5.0
33,54621,1,5.0
33,57352,1,4.95
33,60083,1,5.0
33,62814,1,5.0
33,65535,1,5.0
33,1,33,4.5
33,2732,33,4.55
33,5463,33,4.7
33,8194,33,4.7
33,10925,33,4.6
33,13656,33,4.45
33,16387,33,4.35
33,19118,33,4.3
33,21849,33,4.25
33,24580,33,4.35
33,27311,33,4.45
33,30042,33,4.55
33,32773,33,4.65
33,35504,33,4.55
33,38235,33,4.4
33,40966,33,4.25
33,43697,33,4.15
33,46428,33,4.3
33,49159,33,4.3
33,51890,33,4.4
33,54621,33,4.5
33,57352,33,4.7
33,60083,33,4.6
33,62814,33,4.5
33,65535,33,4.5
33,1,65,3.75
33,2732,65,4.0
33,5463,65,4.2
33,8194,65,4.35
33,10925,65,4.25
33,13656,65,4.0
33,16387,65,3.8
33,19118,65,3.7
33,21849,65,3.55
33,24580,65,3.7
33,27311,65,4.0
33,30042,65,4.25
33,32773,65,4.4
33,35504,65,4.2
33,38235,65,3.95
33,40966,65,3.7
33,43697,65,3.55
33,46428,65,3.7
33,49159,65,3.8
33,51890,65,4.0
33,54621,65,4.2
33,57352,65,4.3
33,60083,65,4.1
33,62814,65,3.95
33,65535,65,3.75
33,1,97,3.2
33,2732,97,3.5
33,5463,97,3.7
33,8194,97,4.05
33,10925,97,3.95
33,13656,97,3.7
33,16387,97,3.5
33,19118,97,3.25
33,21849,97,3.1
33,24580,97,3.35
33,27311,97,3.6
33,30042,97,3.95
33,32773,97,4.15
33,35504,97,3.8
33,38235,97,3.5
33,40966,97,3.25
33,43697,97,3.0
33,46428,97,3.1
33,49159,97,3.4
33,51890,97,3.65
33,54621,97,3.85
33,57352,97,3.9
33,60083,97,3.7
33,62814,97,3.4
33,65535,97,3.25
33,1,129,2.8
33,2732,129,3.05
33,5463,129,3.3
33,8194,129,3.75
33,10925,129,3.65
33,13656,129,3.35
33,16387,129,3.1
33,19118,129,2.9
33,21849,129,2.75
33,24580,129,2.95
33,27311,129,3.2
33,30042,129,3.6
33,32773,129,4.0
33,35504,129,3.55
33,38235,129,3.2
33,40966,129,2.9
33,46428,129,2.75
33,49159,129,3.0
33,51890,129,3.2
33,54621,129,3.55
33,57352,129,3.6
33,60083,129,3.25
33,62814,129,3.0
33,65535,129,2.8
33,1,161,2.5
33,2732,161,2.7
33,5463,161,3.1
33,8194,161,3.5
33,10925,161,3.5
33,13656,161,3.2
33,16387,161,2.9
33,19118,161,2.6
33,21849,161,2.5
33,24580,161,2.7
33,27311,161,3.0
33,30042,161,3.4
33,32773,161,3.9
