bri,watt
1,0.84
2,0.81
3,0.85
4,0.84
5,0.85
6,0.85
7,0.92
8,0.94
9,0.94
10,0.97
11,0.97
12,1.04
13,1.05
14,1.1
15,1.11
16,1.13
17,1.15
18,1.21
19,1.2
20,1.25
21,1.28
22,1.24
23,1.29
24,1.33
25,1.35
26,1.37
27,1.38
28,1.39
29,1.38
30,1.42
31,1.44
32,1.52
33,1.54
34,1.54
35,1.58
36,1.61
37,1.62
38,1.61
39,1.7
40,1.69
41,1.72
42,1.7
43,1.71
44,1.79
45,1.85
46,1.8
47,1.86
48,1.93
49,1.88
50,1.91
51,1.96
52,1.95
53,1.94
54,2.01
55,2.07
56,2.1
57,2.06
58,2.1
59,2.09
60,2.17
61,2.15
62,2.22
63,2.24
64,2.2
65,2.25
66,2.28
67,2.33
68,2.4
69,2.35
70,2.38
71,2.41
72,2.44
73,2.47
74,2.5
75,2.49
76,2.55
77,2.46
78,2.54
79,2.58
80,2.6
81,2.63
82,2.66
83,2.67
84,2.74
85,2.71
86,2.74
87,2.72
88,2.83
89,2.83
90,2.87
91,2.84
92,2.89
93,2.97
94,2.95
95,2.96
96,3.01
97,3.01
98,3.04
99,3.05
100,3.13
101,3.18
102,3.15
103,3.19
104,3.16
105,3.2
106,3.27
107,3.28
108,3.29
109,3.28
110,3.28
111,3.35
112,3.39
113,3.39
114,3.41
115,3.43
116,3.45
117,3.48
118,3.49
119,3.51
120,3.56
121,3.6
122,3.56
123,3.59
124,3.62
125,3.72
126,3.68
127,3.7
128,3.71
129,3.73
130,3.7
131,3.76
132,3.77
133,3.79
134,3.87
135,3.87
136,3.92
137,3.91
138,3.91
139,3.98
140,3.98
141,4.09
142,4.01
143,4.11
144,4.06
145,4.08
146,4.14
147,4.19
148,4.17
149,4.24
150,4.23
151,4.26
152,4.28
153,4.29
154,4.29
155,4.3
156,4.28
157,4.31
158,4.33
159,4.3
160,4.36
161,4.42
162,4.47
163,4.52
164,4.57
165,4.61
166,4.58
167,4.69
168,4.6
169,4.64
170,4.76
171,4.71
172,4.73
173,4.82
174,4.78
175,4.82
176,4.91
177,4.87
178,4.84
179,4.92
180,4.91
181,4.92
182,4.89
183,4.95
184,5.0
185,4.98
186,5.04
187,5.13
188,5.13
189,5.15
190,5.1
191,5.14
192,5.16
193,5.11
194,5.28
195,5.28
196,5.25
197,5.33
198,5.31
199,5.33
200,5.32
201,5.38
202,5.4
203,5.4
204,5.45
205,5.46
206,5.44
207,5.48
208,5.47
209,5.55
210,5.6
211,5.59
212,5.59
213,5.61
214,5.64
215,5.65
216,5.71
217,5.61
218,5.67
219,5.72
220,5.68
221,5.75
222,5.75
223,5.79
224,5.83
225,5.8
226,5.83
227,5.83
228,5.88
229,5.91
230,5.9
231,5.91
232,5.95
233,5.93
234,6.05
235,6.03
236,6.02
237,6.0
238,6.04
239,6.13
240,6.11
241,6.05
242,6.14
243,6.11
244,6.17
245,6.13
246,6.12
247,6.18
248,6.21
249,6.19
250,6.26
251,6.26
252,6.24
253,6.31
254,6.25
255,6.36
