bri,mired,watt
1,153,0.79
1,163,0.8
1,173,0.82
1,183,0.81
1,193,0.94
1,203,0.84
1,213,0.69
1,223,0.77
1,233,0.82
1,243,0.78
1,253,0.74
1,263,0.72
1,273,0.83
1,283,0.81
1,293,0.81
1,303,0.83
1,313,0.83
1,323,0.79
1,333,0.78
1,343,0.84
1,353,0.79
1,363,0.91
1,373,0.8
1,383,0.81
1,393,0.81
1,403,0.88
1,413,0.88
1,423,0.8
1,433,0.8
1,443,0.84
1,453,0.81
1,463,0.78
1,473,0.93
1,483,0.85
1,493,0.86
1,500,0.87
6,153,0.89
6,163,0.79
6,173,0.96
6,183,0.99
6,193,0.94
6,203,0.88
6,213,0.88
6,223,0.94
6,233,0.88
6,243,0.92
6,253,0.85
6,263,0.87
6,273,0.9
6,283,0.97
6,293,0.89
6,303,0.9
6,313,0.86
6,323,0.84
6,333,0.88
6,343,0.89
6,353,0.93
6,363,0.79
6,373,0.91
6,383,0.97
6,393,0.91
6,403,0.95
6,413,0.94
6,423,0.93
6,433,0.97
6,443,0.97
6,453,0.87
6,463,0.97
6,473,0.97
6,483,1.0
6,493,0.98
6,500,0.9
11,153,1.11
11,163,0.99
11,173,1.09
11,183,0.98
11,193,0.92
11,203,1.04
11,213,0.96
11,223,1.1
11,233,1.04
11,243,1.06
11,253,1.0
11,263,1.01
11,273,1.05
11,283,0.99
11,293,0.96
11,303,0.95
11,313,0.97
11,323,0.99
11,333,1.01
11,343,0.97
11,353,0.97
11,363,0.98
11,373,1.02
11,383,1.1
11,393,1.02
11,403,0.98
11,413,0.99
11,423,0.98
11,433,0.96
11,443,0.96
11,453,1.05
11,463,1.03
11,473,0.96
11,483,1.13
11,493,1.09
11,500,1.03
16,153,1.02
16,163,1.15
16,173,1.06
16,183,1.16
16,193,1.12
16,203,1.13
16,213,1.18
16,223,1.13
16,233,1.17
16,243,1.05
16,253,1.2
16,263,1.08
16,273,1.11
16,283,1.12
16,293,1.06
16,303,1.08
16,313,1.1
16,323,1.07
16,333,1.05
16,343,1.02
16,353,1.09
16,363,1.22
16,373,1.11
16,383,1.08
16,393,1.18
16,403,1.05
16,413,1.07
16,423,1.12
16,433,1.03
16,443,1.17
16,453,1.11
16,463,1.15
16,473,1.13
16,483,1.1
16,493,1.1
16,500,1.15
21,153,1.24
21,163,1.17
21,173,1.22
21,183,1.13
21,193,1.27
21,203,1.29
21,213,1.15
21,223,1.36
21,233,1.17
21,243,1.22
21,253,1.28
21,263,1.31
21,273,1.16
