bri,mired,watt
1,153,0.34
1,163,0.37
1,173,0.35
1,183,0.38
1,193,0.41
1,203,0.33
1,213,0.39
1,223,0.36
1,233,0.31
1,243,0.4
1,253,0.38
1,263,0.4
1,273,0.35
1,283,0.34
1,293,0.37
1,303,0.35
1,313,0.36
1,323,0.38
1,333,0.42
1,343,0.35
1,353,0.34
1,363,0.31
1,373,0.4
1,383,0.37
1,393,0.36
1,403,0.28
1,413,0.31
1,423,0.34
1,433,0.36
1,443,0.35
1,453,0.3
1,463,0.39
1,473,0.29
1,483,0.35
1,500,0.3
6,153,0.48
6,163,0.45
6,173,0.4
6,183,0.43
6,193,0.43
6,203,0.38
6,213,0.41
6,223,0.45
6,233,0.42
6,243,0.39
6,253,0.48
6,263,0.44
6,273,0.42
6,283,0.47
6,293,0.41
6,303,0.46
6,313,0.46
6,323,0.43
6,333,0.42
6,343,0.41
6,353,0.36
6,363,0.46
6,373,0.42
6,383,0.42
6,393,0.45
6,403,0.38
6,413,0.41
6,423,0.46
6,433,0.43
6,443,0.4
6,453,0.4
6,463,0.41
6,473,0.37
6,483,0.41
6,493,0.38
6,500,0.45
11,153,0.41
11,163,0.52
11,173,0.48
11,183,0.55
11,193,0.51
11,203,0.47
11,213,0.55
11,223,0.51
11,233,0.45
11,243,0.52
11,253,0.54
11,263,0.5
11,273,0.46
11,283,0.51
11,293,0.46
11,303,0.43
11,313,0.5
11,323,0.49
11,333,0.47
11,343,0.48
11,353,0.51
11,363,0.51
11,373,0.47
11,383,0.47
11,393,0.49
11,403,0.44
11,413,0.53
11,423,0.46
11,433,0.42
11,443,0.38
11,453,0.4
11,463,0.48
11,473,0.47
11,483,0.41
11,493,0.41
11,500,0.44
16,153,0.58
16,163,0.63
16,173,0.6
16,183,0.62
16,193,0.61
16,203,0.56
16,213,0.58
16,223,0.6
16,233,0.56
16,243,0.56
16,253,0.57
16,263,0.57
16,273,0.57
16,283,0.51
16,293,0.6
16,303,0.57
16,313,0.53
16,323,0.54
16,333,0.54
16,343,0.6
16,353,0.53
16,363,0.52
16,373,0.53
16,383,0.57
16,393,0.51
16,403,0.53
16,413,0.5
16,423,0.52
16,433,0.49
16,443,0.5
16,453,0.48
16,463,0.5
16,473,0.57
16,483,0.51
16,493,0.47
16,500,0.49
21,153,0.52
21,163,0.75
21,173,0.71
21,183,0.72
21,193,0.71
21,203,0.7
21,213,0.69
21,223,0.69
21,233,0.63
21,243,0.68
21,253,0.66
21,263,0.62
21,273,0.66
21,283,0.63
21,293,0.66
21,303,0.63
21,313,0.59
21,323,0.6
21,333,0.61
21,343,0.62
21,353,0.58
21,363,0.62
21,373,0.64
21,383,0.6
21,393,0.65
21,403,0.54
21,413,0.55
21,423,0.55
21,433,0.57
21,443,0.55
21,453,0.56
21,463,0.55
21,473,0.51
21,483,0.53
21,493,0.54
21,500,0.53
26,153,0.61
26,163,0.79
26,173,0.73
26,183,0.81
26,193,0.69
26,203,0.73
26,213,0.75
26,223,0.73
26,233,0.71
26,243,0.75
26,253,0.72
26,263,0.71
26,273,0.69
26,283,0.69
26,293,0.71
26,303,0.73
26,313,0.73
26,323,0.71
26,333,0.7
26,343,0.69
26,353,0.69
26,363,0.65
26,373,0.73
26,383,0.67
26,393,0.66
26,403,0.61
26,413,0.68
26,423,0.64
26,433,0.59
26,443,0.59
26,453,0.57
26,463,0.62
