bri,hue,sat,watt
1,1,1,0.58
1,2001,1,0.5
1,4001,1,0.51
1,6001,1,0.47
1,8001,1,0.51
1,10001,1,0.51
1,12001,1,0.49
1,14001,1,0.51
1,16001,1,0.48
1,18001,1,0.41
1,20001,1,0.43
1,22001,1,0.54
1,24001,1,0.39
1,26001,1,0.44
1,28001,1,0.51
1,30001,1,0.55
1,32001,1,0.46
1,34001,1,0.5
1,36001,1,0.38
1,38001,1,0.49
1,40001,1,0.43
1,42001,1,0.49
1,44001,1,0.49
1,46001,1,0.57
1,48001,1,0.52
1,50001,1,0.46
1,52001,1,0.42
1,54001,1,0.47
1,56001,1,0.53
1,58001,1,0.52
1,60001,1,0.53
1,62001,1,0.51
1,64001,1,0.43
1,65535,1,0.48
1,1,11,0.48
1,2001,11,0.52
1,4001,11,0.48
1,6001,11,0.47
1,8001,11,0.53
1,10001,11,0.5
1,12001,11,0.41
1,14001,11,0.51
1,16001,11,0.43
1,18001,11,0.44
1,20001,11,0.5
1,22001,11,0.48
1,24001,11,0.51
1,26001,11,0.42
1,28001,11,0.4
1,30001,11,0.4
1,32001,11,0.46
1,34001,11,0.5
1,36001,11,0.53
1,38001,11,0.55
1,40001,11,0.44
1,42001,11,0.44
1,44001,11,0.48
1,46001,11,0.52
1,48001,11,0.45
1,50001,11,0.55
1,52001,11,0.46
1,54001,11,0.47
1,56001,11,0.52
1,58001,11,0.4
1,60001,11,0.46
1,62001,11,0.45
1,64001,11,0.51
1,65535,11,0.53
1,1,21,0.51
1,2001,21,0.52
1,4001,21,0.45
1,6001,21,0.49
1,8001,21,0.45
1,10001,21,0.52
1,12001,21,0.5
1,14001,21,0.4
1,16001,21,0.39
1,18001,21,0.46
1,20001,21,0.51
1,22001,21,0.48
1,24001,21,0.46
1,26001,21,0.49
1,28001,21,0.47
1,30001,21,0.42
1,32001,21,0.59
1,34001,21,0.43
1,36001,21,0.56
1,38001,21,0.45
1,40001,21,0.53
1,42001,21,0.51
1,44001,21,0.4
1,46001,21,0.43
1,48001,21,0.43
1,50001,21,0.43
1,52001,21,0.44
1,54001,21,0.46
1,56001,21,0.45
1,58001,21,0.44
1,60001,21,0.57
1,62001,21,0.45
1,64001,21,0.44
1,65535,21,0.52
1,1,31,0.51
1,2001,31,0.52
1,4001,31,0.44
1,6001,31,0.47
1,8001,31,0.42
1,10001,31,0.37
1,12001,31,0.54
1,14001,31,0.5
1,16001,31,0.5
1,18001,31,0.49
1,20001,31,0.49
1,22001,31,0.47
1,24001,31,0.4
1,26001,31,0.44
1,28001,31,0.44
1,30001,31,0.51
1,32001,31,0.43
1,34001,31,0.57
1,36001,31,0.5
1,38001,31,0.56
1,40001,31,0.38
1,42001,31,0.44
1,44001,31,0.41
1,46001,31,0.47
1,48001,31,0.41
1,50001,31,0.42
1,52001,31,0.43
1,54001,31,0.51
1,56001,31,0.51
1,58001,31,0.52
1,60001,31,0.42
1,62001,31,0.51
1,64001,31,0.48
1,65535,31,0.48
1,1,41,0.45
1,2001,41,0.46
1,4001,41,0.39
1,6001,41,0.43
1,8001,41,0.52
1,10001,41,0.45
1,12001,41,0.49
1,14001,41,0.5
1,16001,41,0.49
1,18001,41,0.44
1,20001,41,0.41
1,22001,41,0.42
1,24001,41,0.54
1,26001,41,0.51
1,28001,41,0.51
1,30001,41,0.46
1,32001,41,0.47
1,34001,41,0.54
1,36001,41,0.44
1,38001,41,0.47
1,40001,41,0.48
1,42001,41,0.51
1,44001,41,0.47
1,46001,41,0.46
1,48001,41,0.46
1,50001,41,0.43
1,52001,41,0.46
1,54001,41,0.4
1,56001,41,0.52
1,58001,41,0.5
1,60001,41,0.44
1,62001,41,0.49
1,64001,41,0.49
1,65535,41,0.43
1,1,51,0.54
1,2001,51,0.44
1,4001,51,0.44
1,6001,51,0.54
1,8001,51,0.49
1,10001,51,0.46
1,12001,51,0.38
1,14001,51,0.49
1,16001,51,0.44
1,18001,51,0.46
1,20001,51,0.39
1,22001,51,0.49
1,24001,51,0.51
1,26001,51,0.38
1,28001,51,0.44
1,30001,51,0.38
1,32001,51,0.47
1,34001,51,0.55
1,36001,51,0.46
1,38001,51,0.48
1,40001,51,0.38
1,42001,51,0.48
1,44001,51,0.39
1,46001,51,0.54
1,48001,51,0.39
1,50001,51,0.46
1,52001,51,0.47
1,54001,51,0.47
1,56001,51,0.5
1,58001,51,0.54
1,60001,51,0.51
1,62001,51,0.5
1,64001,51,0.52
1,65535,51,0.47
1,1,61,0.48
1,2001,61,0.53
1,4001,61,0.46
1,6001,61,0.54
1,8001,61,0.42
1,10001,61,0.52
1,12001,61,0.5
1,14001,61,0.53
1,16001,61,0.38
1,18001,61,0.44
1,20001,61,0.55
1,22001,61,0.39
1,24001,61,0.45
1,26001,61,0.47
1,28001,61,0.51
1,30001,61,0.48
1,32001,61,0.5
1,34001,61,0.47
1,36001,61,0.44
1,38001,61,0.47
1,40001,61,0.43
1,42001,61,0.43
1,44001,61,0.42
1,46001,61,0.38
1,48001,61,0.38
1,50001,61,0.55
1,52001,61,0.46
1,54001,61,0.41
1,56001,61,0.48
1,58001,61,0.44
1,60001,61,0.47
1,62001,61,0.47
1,64001,61,0.38
1,65535,61,0.54
1,1,71,0.46
1,2001,71,0.36
1,4001,71,0.5
1,6001,71,0.42
1,8001,71,0.42
1,10001,71,0.45
1,12001,71,0.44
1,14001,71,0.45
1,16001,71,0.43
1,18001,71,0.41
1,20001,71,0.52
1,22001,71,0.42
1,24001,71,0.46
1,26001,71,0.41
1,28001,71,0.54
1,30001,71,0.42
1,32001,71,0.47
1,34001,71,0.46
1,36001,71,0.51
1,38001,71,0.49
1,40001,71,0.42
1,42001,71,0.51
1,44001,71,0.48
1,46001,71,0.43
1,48001,71,0.49
1,50001,71,0.35
1,52001,71,0.44
1,54001,71,0.44
1,56001,71,0.42
1,58001,71,0.44
1,60001,71,0.51
1,62001,71,0.47
1,64001,71,0.45
1,65535,71,0.38
1,1,81,0.47
1,2001,81,0.48
1,4001,81,0.6
1,6001,81,0.53
1,8001,81,0.39
1,10001,81,0.48
1,12001,81,0.47
1,14001,81,0.36
1,16001,81,0.45
1,18001,81,0.45
1,20001,81,0.42
1,22001,81,0.48
1,24001,81,0.37
1,26001,81,0.42
1,28001,81,0.47
1,30001,81,0.43
1,32001,81,0.48
1,34001,81,0.32
1,36001,81,0.62
1,38001,81,0.44
1,40001,81,0.48
1,42001,81,0.41
1,44001,81,0.36
1,46001,81,0.34
1,48001,81,0.55
1,50001,81,0.38
1,52001,81,0.39
1,54001,81,0.44
1,56001,81,0.43
1,58001,81,0.52
1,60001,81,0.52
1,62001,81,0.41
1,64001,81,0.46
1,65535,81,0.52
1,1,91,0.46
1,2001,91,0.47
1,4001,91,0.46
1,6001,91,0.47
1,8001,91,0.51
1,10001,91,0.45
1,12001,91,0.39
1,14001,91,0.43
1,16001,91,0.42
1,18001,91,0.55
1,20001,91,0.5
1,22001,91,0.43
1,24001,91,0.54
1,26001,91,0.43
1,28001,91,0.39
1,30001,91,0.45
1,32001,91,0.48
1,34001,91,0.46
1,36001,91,0.45
1,38001,91,0.47
1,40001,91,0.37
1,42001,91,0.46
1,44001,91,0.43
1,46001,91,0.44
1,48001,91,0.51
1,50001,91,0.41
1,52001,91,0.44
1,54001,91,0.48
1,56001,91,0.4
1,58001,91,0.46
1,60001,91,0.47
1,62001,91,0.45
1,64001,91,0.48
1,65535,91,0.48
1,1,101,0.42
1,2001,101,0.42
1,4001,101,0.46
1,6001,101,0.45
1,8001,101,0.54
1,10001,101,0.46
1,12001,101,0.44
1,14001,101,0.41
1,16001,101,0.39
1,18001,101,0.42
1,20001,101,0.33
1,22001,101,0.4
1,24001,101,0.55
1,26001,101,0.48
1,28001,101,0.47
1,30001,101,0.38
1,32001,101,0.38
1,34001,101,0.43
1,36001,101,0.4
1,38001,101,0.44
1,40001,101,0.43
1,42001,101,0.51
1,44001,101,0.36
1,46001,101,0.33
1,48001,101,0.45
1,50001,101,0.49
1,52001,101,0.39
1,54001,101,0.42
1,56001,101,0.4
1,58001,101,0.33
1,60001,101,0.38
1,62001,101,0.49
1,64001,101,0.39
1,65535,101,0.41
1,1,111,0.51
1,2001,111,0.5
1,4001,111,0.54
1,6001,111,0.48
1,8001,111,0.45
1,10001,111,0.43
1,12001,111,0.47
1,14001,111,0.5
1,16001,111,0.41
1,18001,111,0.4
1,20001,111,0.53
1,22001,111,0.44
1,24001,111,0.38
1,26001,111,0.56
1,28001,111,0.48
1,30001,111,0.43
1,32001,111,0.47
1,34001,111,0.52
1,36001,111,0.4
1,38001,111,0.54
1,40001,111,0.39
1,42001,111,0.32
1,44001,111,0.48
1,46001,111,0.54
1,48001,111,0.44
1,50001,111,0.48
1,52001,111,0.4
1,54001,111,0.46
1,56001,111,0.44
1,58001,111,0.36
1,60001,111,0.45
1,62001,111,0.41
1,64001,111,0.45
1,65535,111,0.46
1,1,121,0.41
1,2001,121,0.47
1,4001,121,0.42
1,6001,121,0.43
1,8001,121,0.5
1,10001,121,0.5
1,12001,121,0.4
