bri,mired,watt
1,153,2.32
1,163,2.34
1,173,2.24
1,183,2.31
1,193,2.27
1,203,2.33
1,213,2.28
1,223,2.26
1,233,2.32
1,243,2.2
1,253,2.29
1,263,2.29
1,273,2.31
1,283,2.33
1,293,2.26
1,303,2.24
1,313,2.36
1,323,2.37
1,333,2.25
1,343,2.37
1,353,2.26
1,363,2.38
1,373,2.33
1,383,2.38
1,393,2.13
1,403,2.38
1,413,2.33
1,423,2.25
1,433,2.29
1,443,2.25
1,453,2.31
1,463,2.3
1,473,2.21
1,483,2.35
1,493,2.38
1,500,2.19
6,153,2.56
6,163,2.58
6,173,2.57
6,183,2.59
6,193,2.54
6,203,2.45
6,213,2.43
6,223,2.6
6,233,2.54
6,243,2.52
6,253,2.54
6,263,2.55
6,273,2.5
6,283,2.54
6,293,2.51
6,303,2.45
6,313,2.6
6,323,2.54
6,333,2.5
6,343,2.6
6,353,2.56
6,363,2.6
6,373,2.71
6,383,2.71
6,393,2.54
6,403,2.46
6,413,2.55
6,423,2.56
6,433,2.53
6,443,2.54
6,453,2.59
6,463,2.67
6,473,2.6
6,483,2.52
6,493,2.63
6,500,2.58
11,153,3.0
11,163,2.88
11,173,2.96
11,183,2.95
11,193,2.91
11,203,2.9
11,213,2.87
11,223,2.96
11,233,3.1
11,243,2.93
11,253,2.98
11,263,2.93
11,273,3.06
11,283,2.92
11,293,2.94
11,303,2.98
11,313,2.99
11,323,2.97
11,333,2.92
11,343,3.08
11,353,2.99
11,363,2.99
11,373,2.92
11,383,2.92
11,393,2.89
11,403,2.88
11,413,2.81
11,423,2.98
11,433,2.88
11,443,2.79
11,453,2.96
11,463,2.9
11,473,2.83
11,483,2.86
11,493,2.84
11,500,2.9
16,153,3.32
16,163,3.31
16,173,3.31
16,183,3.33
16,193,3.31
16,203,3.38
16,213,3.23
16,223,3.32
16,233,3.17
16,243,3.21
16,253,3.18
16,263,3.13
16,273,3.17
16,283,3.25
16,293,3.34
16,303,3.26
16,313,3.27
16,323,3.27
16,333,3.26
16,343,3.28
16,353,3.3
16,363,3.2
16,373,3.31
16,383,3.34
16,393,3.31
16,403,3.28
16,413,3.34
16,423,3.25
16,433,3.24
16,443,3.29
16,453,3.24
16,463,3.22
16,473,3.16
16,483,3.09
16,493,3.27
16,500,3.3
21,153,3.67
21,163,3.74
21,173,3.62
21,183,3.56
21,193,3.67
21,203,3.7
21,213,3.7
21,223,3.62
21,233,3.58
21,243,3.5
21,253,3.5
21,263,3.6
21,273,3.62
21,283,3.51
21,293,3.63
21,303,3.64
21,313,3.55
21,323,3.66
21,333,3.78
21,343,3.79
21,353,3.6
21,363,3.46
21,373,3.62
21,383,3.65
21,393,3.62
21,403,3.5
21,413,3.58
21,423,3.67
21,433,3.68
21,443,3.63
21,453,3.62
21,463,3.59
21,473,3.65
21,483,3.76
21,493,3.55
21,500,3.67
26,153,3.96
26,163,4.02
26,173,4.03
26,183,4.02
26,193,3.96
26,203,4.01
26,213,4.02
26,223,3.98
26,233,3.89
26,243,3.94
26,253,4.0
26,263,3.91
26,273,3.92
26,283,4.08
26,293,3.92
26,303,3.96
26,313,3.93
26,323,3.85
26,333,3.9
26,343,3.96
26,353,3.92
26,363,4.01
26,373,3.88
26,383,3.87
26,393,4.0
26,403,4.02
26,413,3.87
26,423,3.95
26,433,3.85
26,443,4.01
26,453,3.98
26,463,3.87
26,473,4.03
26,483,4.05
26,493,3.89
26,500,3.88
31,153,4.45
31,163,4.27
31,173,4.38
31,183,4.3
31,193,4.21
31,203,4.36
31,213,4.34
31,223,4.34
31,233,4.33
31,243,4.29
31,253,4.35
31,263,4.31
31,273,4.34
31,283,4.34
31,293,4.29
31,303,4.19
31,313,4.27
31,323,4.34
31,333,4.33
31,343,4.24
31,353,4.29
31,363,4.38
31,373,4.27
31,383,4.32
31,393,4.33
31,403,4.23
31,413,4.25
31,423,4.31
31,433,4.35
31,443,4.35
31,453,4.29
31,463,4.29
31,473,4.23
31,483,4.39
31,493,4.47
31,500,4.37
36,153,4.79
36,163,4.69
36,173,4.73
36,183,4.67
36,193,4.81
36,203,4.71
36,213,4.74
36,223,4.64
36,233,4.71
36,243,4.69
36,253,4.7
36,263,4.65
36,273,4.73
36,283,4.61
36,293,4.71
36,303,4.62
36,313,4.73
36,323,4.69
36,333,4.64
36,343,4.71
36,353,4.66
36,363,4.77
36,373,4.67
36,383,4.66
36,393,4.78
36,403,4.7
36,413,4.8
36,423,4.74
36,433,4.66
36,443,4.7
36,453,4.69
36,463,4.71
