bri,mired,watt
1,153,0.5
1,163,0.4
1,173,0.45
1,183,0.4
1,193,0.5
1,203,0.45
1,213,0.5
1,223,0.5
1,233,0.4
1,243,0.45
1,253,0.4
1,263,0.5
1,273,0.45
1,283,0.4
1,293,0.45
1,303,0.4
1,313,0.45
1,323,0.4
1,333,0.4
1,343,0.35
1,353,0.45
1,363,0.45
1,373,0.4
1,383,0.45
1,393,0.5
1,403,0.45
1,413,0.45
1,423,0.45
1,433,0.45
1,443,0.45
1,453,0.4
1,463,0.4
1,473,0.4
1,483,0.45
1,493,0.4
1,500,0.35
6,153,0.6
6,163,0.5
6,173,0.55
6,183,0.55
6,193,0.45
6,203,0.6
6,213,0.55
6,223,0.55
6,233,0.55
6,243,0.6
6,253,0.55
6,263,0.5
6,273,0.55
6,283,0.55
6,293,0.55
6,303,0.6
6,313,0.55
6,323,0.55
6,333,0.6
6,343,0.55
6,353,0.6
6,363,0.6
6,373,0.6
6,383,0.6
6,393,0.6
6,403,0.6
6,413,0.55
6,423,0.55
6,433,0.55
6,443,0.55
6,453,0.55
6,463,0.55
6,473,0.5
6,483,0.55
6,493,0.5
6,500,0.55
11,153,0.75
11,163,0.8
11,173,0.8
11,183,0.8
11,193,0.75
11,203,0.7
11,213,0.75
11,223,0.7
11,233,0.7
11,243,0.75
11,253,0.7
11,263,0.8
11,273,0.8
11,283,0.75
11,293,0.7
11,303,0.7
11,313,0.7
11,323,0.7
11,333,0.65
11,343,0.6
11,353,0.65
11,363,0.6
11,373,0.65
11,383,0.6
11,393,0.6
11,403,0.7
11,413,0.65
11,423,0.65
11,433,0.7
11,443,0.6
11,453,0.7
11,463,0.6
11,473,0.6
11,483,0.6
11,493,0.65
11,500,0.6
16,153,1.0
16,163,0.9
16,173,0.95
16,183,0.9
16,193,0.9
16,203,0.9
16,213,0.9
16,223,0.9
16,233,0.9
16,243,0.9
16,253,0.9
16,263,0.85
16,273,0.85
16,283,0.9
16,293,0.9
16,303,0.85
16,313,0.9
16,323,0.85
16,333,0.85
16,343,0.8
16,353,0.8
16,363,0.85
16,373,0.8
16,383,0.8
16,393,0.8
16,403,0.8
16,413,0.75
16,423,0.8
16,433,0.8
16,443,0.7
16,453,0.75
16,463,0.8
16,473,0.75
16,483,0.8
16,493,0.7
16,500,0.65
21,153,1.15
21,163,1.1
21,173,1.15
21,183,1.1
21,193,1.1
21,203,1.1
21,213,1.05
21,223,1.05
21,233,1.0
21,243,1.05
21,253,1.05
21,263,1.0
21,273,1.0
21,283,0.9
21,293,0.9
21,303,1.0
21,313,1.0
21,323,1.0
21,333,1.0
21,343,0.95
21,353,0.9
21,363,0.95
21,373,0.95
21,383,0.9
21,393,0.85
21,403,0.9
21,413,0.95
21,423,0.9
21,433,0.85
21,443,0.8
21,453,0.85
21,463,0.8
21,473,0.85
21,483,0.85
21,493,0.8
21,500,0.85
26,153,1.35
26,163,1.4
26,173,1.35
26,183,1.3
26,193,1.3
26,203,1.2
26,213,1.25
26,223,1.3
26,233,1.25
26,243,1.25
26,253,1.2
26,263,1.2
26,273,1.1
26,283,1.2
26,293,1.2
26,303,1.15
26,313,1.1
26,323,1.1
26,333,1.1
26,343,1.1
26,353,1.1
26,363,1.05
26,373,1.05
26,383,1.0
26,393,1.0
26,403,0.95
26,413,0.9
26,423,0.95
26,433,0.95
26,443,0.95
26,453,0.95
26,463,0.95
26,473,0.9
26,483,0.8
26,493,0.85
26,500,0.85
31,153,1.5
31,163,1.5
31,173,1.45
31,183,1.45
31,193,1.4
31,203,1.4
31,213,1.4
31,223,1.4
31,233,1.4
31,243,1.4
31,253,1.3
31,263,1.35
31,273,1.35
31,283,1.3
31,293,1.25
31,303,1.3
31,313,1.3
31,323,1.2
31,333,1.25
31,343,1.2
31,353,1.2
31,363,1.2
31,373,1.2
31,383,1.1
31,393,1.15
31,403,1.1
31,413,1.15
31,423,1.05
31,433,1.0
31,443,1.0
31,453,1.0
31,463,1.0
31,473,1.0
31,483,1.0
31,493,1.0
31,500,1.0
36,153,1.65
36,163,1.65
36,173,1.6
36,183,1.65
36,193,1.6
36,203,1.65
36,213,1.6
36,223,1.6
36,233,1.55
36,243,1.55
36,253,1.55
36,263,1.5
36,273,1.5
36,283,1.45
36,293,1.45
36,303,1.45
36,313,1.4
36,323,1.3
36,333,1.35
36,343,1.3
36,353,1.3
36,363,1.35
36,373,1.25
36,383,1.2
36,393,1.3
36,403,1.3
36,413,1.25
36,423,1.2
36,433,1.2
36,443,1.15
36,453,1.15
36,463,1.15
36,473,1.1
36,483,1.1
36,493,1.1
36,500,1.05
41,153,1.9
41,163,1.9
41,173,1.8
41,183,1.8
41,193,1.8
41,203,1.75
41,213,1.75
41,223,1.7
41,233,1.7
41,243,1.65
41,253,1.7
41,263,1.65
41,273,1.6
41,283,1.6
41,293,1.55
41,303,1.6
41,313,1.6
41,323,1.5
41,333,1.5
