bri,mired,watt
1,111,2.41
1,121,2.41
1,131,2.41
1,141,2.44
1,151,2.44
1,161,2.44
1,171,2.42
1,181,2.42
1,191,2.5
1,201,2.5
1,211,2.5
1,221,2.49
1,231,2.49
1,241,2.42
1,251,2.42
1,261,2.42
1,271,2.39
1,281,2.39
1,291,2.48
1,301,2.48
1,311,2.44
1,321,2.44
1,331,2.44
1,341,2.44
1,351,2.44
1,361,2.39
1,371,2.39
1,381,2.39
1,391,2.45
1,400,2.45
6,111,2.52
6,121,2.46
6,131,2.46
6,141,2.46
6,151,2.42
6,161,2.42
6,171,2.46
6,181,2.46
6,191,2.46
6,201,2.41
6,211,2.41
6,221,2.42
6,231,2.42
6,241,2.42
6,251,2.42
6,261,2.42
6,271,2.54
6,281,2.54
6,291,2.54
6,301,2.49
6,311,2.49
6,321,2.44
6,331,2.44
6,341,2.44
6,351,2.46
6,361,2.46
6,371,2.43
6,381,2.43
6,391,2.43
6,400,2.5
11,111,2.5
11,121,2.5
11,131,2.56
11,141,2.56
11,151,2.44
11,161,2.44
11,171,2.44
11,181,2.51
11,191,2.51
11,201,2.56
11,211,2.56
11,221,2.48
11,231,2.48
11,241,2.48
11,251,2.52
11,261,2.52
11,271,2.52
11,281,2.45
11,291,2.45
11,301,2.5
11,311,2.5
11,321,2.5
11,331,2.47
11,341,2.47
11,351,2.49
11,361,2.49
11,371,2.49
11,381,2.54
11,391,2.54
11,400,2.53
16,111,2.53
16,121,2.53
16,131,2.57
16,141,2.57
16,151,2.6
16,161,2.6
16,171,2.6
16,181,2.56
16,191,2.56
16,201,2.46
16,211,2.46
16,221,2.46
16,231,2.55
16,241,2.55
16,251,2.59
16,261,2.59
16,271,2.59
16,281,2.56
16,291,2.56
16,301,2.55
16,311,2.55
16,321,2.52
16,331,2.52
16,341,2.52
16,351,2.51
16,361,2.51
16,371,2.56
16,381,2.56
16,391,2.56
16,400,2.51
21,111,2.61
21,121,2.61
21,131,2.61
21,141,2.61
21,151,2.65
21,161,2.65
21,171,2.65
21,181,2.71
21,191,2.71
21,201,2.65
21,211,2.65
21,221,2.65
21,231,2.63
21,241,2.63
21,251,2.57
21,261,2.57
21,271,2.62
21,281,2.62
21,291,2.62
21,301,2.59
21,311,2.59
21,321,2.62
21,331,2.62
21,341,2.62
21,351,2.77
21,361,2.77
21,371,2.6
21,381,2.6
21,391,2.63
21,400,2.63
26,111,2.62
26,121,2.72
26,131,2.72
26,141,2.72
26,151,2.7
26,161,2.7
26,171,2.77
26,181,2.77
26,191,2.77
26,201,2.79
26,211,2.79
26,221,2.73
26,231,2.73
26,241,2.85
26,251,2.85
26,261,2.85
26,271,2.75
26,281,2.75
26,291,2.75
26,301,2.75
26,311,2.75
26,321,2.76
26,331,2.76
26,341,2.9
26,351,2.9
26,361,2.9
26,371,2.76
26,381,2.76
26,391,2.67
26,400,2.67
31,111,2.71
31,121,2.84
31,131,2.84
31,141,2.84
31,151,2.98
31,161,2.98
31,171,2.96
