bri,hue,sat,watt
1,1,1,2.52
1,4001,1,2.52
1,8001,1,2.52
1,12001,1,2.53
1,16001,1,2.53
1,20001,1,2.53
1,24001,1,2.49
1,28001,1,2.49
1,32001,1,2.4
1,36001,1,2.4
1,40001,1,2.4
1,44001,1,2.5
1,48001,1,2.5
1,52001,1,2.54
1,56001,1,2.54
1,60001,1,2.54
1,64001,1,2.54
1,65535,1,2.54
1,1,21,2.5
1,4001,21,2.5
1,8001,21,2.49
1,12001,21,2.49
1,16001,21,2.48
1,20001,21,2.48
1,24001,21,2.48
1,28001,21,2.45
1,32001,21,2.45
1,36001,21,2.45
1,40001,21,2.45
1,44001,21,2.45
1,48001,21,2.52
1,52001,21,2.52
1,56001,21,2.56
1,60001,21,2.56
1,64001,21,2.56
1,65535,21,2.56
1,1,41,2.43
1,4001,41,2.43
1,8001,41,2.43
1,12001,41,2.54
1,16001,41,2.54
1,20001,41,2.42
1,24001,41,2.42
1,28001,41,2.42
1,32001,41,2.38
1,36001,41,2.38
1,40001,41,2.39
1,44001,41,2.39
1,48001,41,2.39
1,52001,41,2.52
1,56001,41,2.52
1,60001,41,2.42
1,64001,41,2.42
1,65535,41,2.42
1,1,61,2.52
1,4001,61,2.45
1,8001,61,2.45
1,12001,61,2.45
1,16001,61,2.56
1,20001,61,2.56
1,24001,61,2.46
1,28001,61,2.46
1,32001,61,2.46
1,36001,61,2.42
1,40001,61,2.42
1,44001,61,2.47
1,48001,61,2.47
1,52001,61,2.47
1,56001,61,2.49
1,60001,61,2.49
1,64001,61,2.46
1,65535,61,2.46
1,1,81,2.54
1,4001,81,2.54
1,8001,81,2.52
1,12001,81,2.52
1,16001,81,2.52
1,20001,81,2.43
1,24001,81,2.43
1,28001,81,2.57
1,32001,81,2.57
1,36001,81,2.57
1,40001,81,2.48
1,44001,81,2.48
1,48001,81,2.57
1,52001,81,2.57
1,56001,81,2.57
1,60001,81,2.52
1,64001,81,2.52
1,65535,81,2.53
1,1,101,2.53
1,4001,101,2.47
1,8001,101,2.47
1,12001,101,2.51
1,16001,101,2.51
1,20001,101,2.51
1,24001,101,2.51
1,28001,101,2.51
1,32001,101,2.51
1,36001,101,2.51
1,40001,101,2.51
1,44001,101,2.51
1,48001,101,2.51
1,52001,101,2.52
1,56001,101,2.52
1,60001,101,2.52
1,64001,101,2.45
1,65535,101,2.45
1,1,121,2.53
1,4001,121,2.53
1,8001,121,2.45
1,12001,121,2.45
1,16001,121,2.52
1,20001,121,2.52
1,24001,121,2.52
1,28001,121,2.42
1,32001,121,2.42
1,36001,121,2.5
1,40001,121,2.5
1,44001,121,2.5
1,48001,121,2.54
1,52001,121,2.54
1,56001,121,2.44
1,60001,121,2.44
1,64001,121,2.44
1,65535,121,2.49
1,1,141,2.48
1,4001,141,2.48
1,8001,141,2.48
1,12001,141,2.52
1,16001,141,2.52
1,20001,141,2.44
1,24001,141,2.44
1,28001,141,2.44
1,32001,141,2.52
1,36001,141,2.52
1,40001,141,2.53
1,44001,141,2.53
1,48001,141,2.43
1,52001,141,2.43
1,56001,141,2.43
1,60001,141,2.5
1,64001,141,2.5
1,65535,141,2.53
1,1,161,2.53
1,4001,161,2.53
1,8001,161,2.53
1,12001,161,2.51
1,16001,161,2.51
1,20001,161,2.51
1,24001,161,2.51
1,28001,161,2.51
1,32001,161,2.51
1,36001,161,2.51
1,40001,161,2.51
1,44001,161,2.55
1,48001,161,2.55
1,52001,161,2.47
1,56001,161,2.47
1,60001,161,2.47
1,64001,161,2.43
1,65535,161,2.43
1,1,181,2.52
1,4001,181,2.52
1,8001,181,2.49
1,12001,181,2.49
1,16001,181,2.48
1,20001,181,2.48
1,24001,181,2.48
1,28001,181,2.44
1,32001,181,2.44
1,36001,181,2.39
1,40001,181,2.39
1,44001,181,2.41
1,48001,181,2.41
1,52001,181,2.41
1,56001,181,2.41
1,60001,181,2.41
1,64001,181,2.54
1,65535,181,2.54
1,1,201,2.54
1,4001,201,2.54
1,8001,201,2.49
1,12001,201,2.49
1,16001,201,2.49
1,20001,201,2.54
1,24001,201,2.54
1,28001,201,2.49
1,32001,201,2.49
1,36001,201,2.49
1,40001,201,2.51
1,44001,201,2.51
1,48001,201,2.49
1,52001,201,2.49
1,56001,201,2.49
1,60001,201,2.43
1,64001,201,2.43
1,65535,201,2.57
1,1,221,2.57
1,4001,221,2.47
1,8001,221,2.47
1,12001,221,2.51
1,16001,221,2.51
1,20001,221,2.51
1,24001,221,2.46
1,28001,221,2.46
1,32001,221,2.48
1,36001,221,2.48
1,40001,221,2.48
1,44001,221,2.48
1,48001,221,2.48
1,52001,221,2.56
1,56001,221,2.56
1,60001,221,2.56
1,64001,221,2.46
1,65535,221,2.46
1,1,241,2.55
1,4001,241,2.55
1,8001,241,2.46
1,12001,241,2.46
1,16001,241,2.42
1,20001,241,2.42
1,24001,241,2.49
1,28001,241,2.49
1,32001,241,2.49
1,36001,241,2.39
1,40001,241,2.39
1,44001,241,2.47
1,48001,241,2.47
1,52001,241,2.47
1,56001,241,2.48
1,60001,241,2.48
1,64001,241,2.47
1,65535,241,2.47
1,1,254,2.51
1,4001,254,2.51
1,8001,254,2.54
1,12001,254,2.54
1,16001,254,2.54
1,20001,254,2.44
1,24001,254,2.44
1,28001,254,2.5
1,32001,254,2.5
1,36001,254,2.47
1,40001,254,2.47
1,44001,254,2.47
1,48001,254,2.55
1,52001,254,2.55
1,56001,254,2.46
1,60001,254,2.46
1,64001,254,2.46
1,65535,254,2.47
21,1,1,2.67
21,4001,1,2.59
21,8001,1,2.59
21,12001,1,2.61
21,16001,1,2.61
21,20001,1,2.61
21,24001,1,2.62
21,28001,1,2.62
21,32001,1,2.69
21,36001,1,2.69
21,40001,1,2.57
21,44001,1,2.57
21,48001,1,2.57
21,52001,1,2.62
21,56001,1,2.62
21,60001,1,2.6
21,64001,1,2.6
21,65535,1,2.6
21,1,21,2.64
21,4001,21,2.65
21,8001,21,2.65
21,12001,21,2.65
21,16001,21,2.59
21,20001,21,2.59
21,24001,21,2.57
21,28001,21,2.57
21,32001,21,2.57
21,36001,21,2.67
21,40001,21,2.67
21,44001,21,2.68
21,48001,21,2.68
21,52001,21,2.68
21,56001,21,2.66
21,60001,21,2.66
21,64001,21,2.67
21,65535,21,2.67
21,1,41,2.65
21,4001,41,2.65
21,8001,41,2.56
21,12001,41,2.56
21,16001,41,2.56
21,20001,41,2.65
21,24001,41,2.65
21,28001,41,2.58
21,32001,41,2.58
21,36001,41,2.58
21,40001,41,2.55
21,44001,41,2.55
21,48001,41,2.62
21,52001,41,2.62
21,56001,41,2.62
21,60001,41,2.62
21,64001,41,2.62
21,65535,41,2.58
21,1,61,2.5
21,4001,61,2.5
21,8001,61,2.5
21,12001,61,2.59
21,16001,61,2.59
21,20001,61,2.64
21,24001,61,2.64
21,28001,61,2.64
21,32001,61,2.51
21,36001,61,2.51
21,40001,61,2.67
21,44001,61,2.67
21,48001,61,2.67
21,52001,61,2.6
21,56001,61,2.6
21,60001,61,2.61
21,64001,61,2.61
21,65535,61,2.61
21,1,81,2.53
21,4001,81,2.53
21,8001,81,2.53
21,12001,81,2.53
21,16001,81,2.69
21,20001,81,2.69
21,24001,81,2.63
21,28001,81,2.63
21,32001,81,2.63
21,36001,81,2.71
21,40001,81,2.71
21,44001,81,2.61
21,48001,81,2.61
21,52001,81,2.61
21,56001,81,2.55
21,60001,81,2.55
21,64001,81,2.55
21,65535,81,2.55
21,1,101,2.54
21,4001,101,2.54
21,8001,101,2.51
21,12001,101,2.51
21,16001,101,2.51
21,20001,101,2.71
21,24001,101,2.71
21,28001,101,2.67
21,32001,101,2.67
21,36001,101,2.67
21,40001,101,2.66
21,44001,101,2.66
21,48001,101,2.59
21,52001,101,2.59
21,56001,101,2.52
21,60001,101,2.52
21,64001,101,2.52
21,65535,101,2.58
21,1,121,2.54
21,4001,121,2.54
21,8001,121,2.54
21,12001,121,2.48
21,16001,121,2.48
21,20001,121,2.59
21,24001,121,2.59
21,28001,121,2.59
21,32001,121,2.61
21,36001,121,2.61
21,40001,121,2.6
21,44001,121,2.6
21,48001,121,2.6
21,52001,121,2.56
21,56001,121,2.56
21,60001,121,2.53
21,64001,121,2.53
21,65535,121,2.53
21,1,141,2.54
21,4001,141,2.58
21,8001,141,2.58
21,12001,141,2.58
21,16001,141,2.54
21,20001,141,2.54
21,24001,141,2.57
21,28001,141,2.57
21,32001,141,2.57
21,36001,141,2.6
21,40001,141,2.6
21,44001,141,2.58
21,48001,141,2.58
21,52001,141,2.58
21,56001,141,2.58
21,60001,141,2.58
21,64001,141,2.56
21,65535,141,2.56
21,1,161,2.52
21,4001,161,2.52
21,8001,161,2.55
21,12001,161,2.55
21,16001,161,2.54
21,20001,161,2.54
21,24001,161,2.54
21,28001,161,2.64
21,32001,161,2.64
21,36001,161,2.51
21,40001,161,2.51
21,44001,161,2.51
21,48001,161,2.59
21,52001,161,2.59
21,56001,161,2.56
21,60001,161,2.56
21,64001,161,2.56
21,65535,161,2.56
21,1,181,2.57
21,4001,181,2.57
21,8001,181,2.57
21,12001,181,2.48
21,16001,181,2.48
21,20001,181,2.63
21,24001,181,2.63
21,28001,181,2.63
21,32001,181,2.58
21,36001,181,2.58
21,40001,181,2.59
21,44001,181,2.59
21,48001,181,2.64
21,52001,181,2.64
21,56001,181,2.64
21,60001,181,2.56
21,64001,181,2.56
21,65535,181,2.54
21,1,201,2.54
21,4001,201,2.5
21,8001,201,2.5
21,12001,201,2.53
21,16001,201,2.53
21,20001,201,2.53
21,24001,201,2.5
21,28001,201,2.5
21,32001,201,2.51
21,36001,201,2.51
21,40001,201,2.51
21,44001,201,2.61
21,48001,201,2.61
21,52001,201,2.58
21,56001,201,2.58
21,60001,201,2.58
21,64001,201,2.54
21,65535,201,2.54
21,1,221,2.55
21,4001,221,2.55
21,8001,221,2.54
21,12001,221,2.54
21,16001,221,2.56
21,20001,221,2.56
21,24001,221,2.56
21,28001,221,2.54
21,32001,221,2.54
21,36001,221,2.62
21,40001,221,2.62
21,44001,221,2.62
21,48001,221,2.54
