bri,mired,watt
1,111,1.13
1,121,1.13
1,131,1.13
1,141,1.13
1,151,1.13
1,161,1.2
1,171,1.2
1,181,1.2
1,191,1.12
1,201,1.12
1,211,1.12
1,221,1.09
1,231,1.09
1,241,1.09
1,251,1.09
1,261,1.17
1,271,1.17
1,281,1.17
1,291,1.09
1,301,1.09
1,311,1.09
1,321,1.12
1,331,1.12
1,341,1.12
1,351,1.12
1,361,1.15
1,371,1.15
1,381,1.15
1,391,1.1
1,401,1.1
1,411,1.1
1,421,1.07
1,431,1.07
1,441,1.07
1,451,1.12
1,461,1.12
1,471,1.12
1,481,1.11
1,491,1.11
1,501,1.11
1,511,1.11
1,521,1.07
1,531,1.07
1,541,1.07
1,551,1.2
1,561,1.2
1,571,1.2
1,581,1.09
1,591,1.09
1,601,1.09
1,611,1.11
1,621,1.11
1,631,1.11
1,641,1.01
1,651,1.01
1,661,1.01
1,666,1.03
6,111,1.03
6,121,1.12
6,131,1.12
6,141,1.12
6,151,1.11
6,161,1.11
6,171,1.11
6,181,1.07
6,191,1.07
6,201,1.07
6,211,1.07
6,221,1.03
6,231,1.03
6,241,1.03
6,251,1.09
6,261,1.09
6,271,1.11
6,281,1.11
6,291,1.11
6,301,1.14
6,311,1.14
6,321,1.14
6,331,1.12
6,341,1.12
6,351,1.02
6,361,1.02
6,371,1.02
6,381,1.12
6,391,1.12
6,401,1.12
6,411,1.05
6,421,1.05
6,431,1.05
6,441,1.05
6,451,1.07
6,461,1.07
6,471,1.07
6,481,1.09
6,491,1.09
6,501,1.09
6,511,1.07
6,521,1.07
6,531,1.07
6,541,1.11
6,551,1.11
6,561,1.11
6,571,1.11
6,581,1.13
6,591,1.13
6,601,1.13
6,611,1.07
6,621,1.07
6,631,1.07
6,641,1.12
6,651,1.12
6,661,1.12
6,666,1.06
11,111,1.12
11,121,1.12
11,131,1.12
11,141,1.08
11,151,1.08
11,161,1.08
11,171,1.1
11,181,1.1
11,191,1.1
11,201,1.04
11,211,1.04
11,221,1.04
11,231,1.08
11,241,1.08
11,251,1.08
11,261,1.18
11,271,1.18
11,281,1.18
11,291,1.03
11,301,1.03
11,311,1.12
11,321,1.12
11,331,1.12
11,341,1.09
11,351,1.09
11,361,1.09
11,371,1.08
11,381,1.08
11,391,1.08
11,401,1.06
11,411,1.06
11,421,1.06
11,431,1.12
11,441,1.12
11,451,1.12
11,461,1.09
11,471,1.09
11,481,1.09
11,491,1.12
11,501,1.12
11,511,1.12
11,521,1.19
11,531,1.19
11,541,1.19
11,551,1.03
11,561,1.03
11,571,1.03
11,581,1.06
11,591,1.06
11,601,1.06
11,611,1.08
11,621,1.08
11,631,1.08
11,641,1.08
11,651,1.13
11,661,1.13
11,666,1.13
16,111,1.15
16,121,1.15
16,131,1.15
16,141,1.11
16,151,1.11
16,161,1.11
16,171,1.11
16,181,1.11
16,191,1.11
16,201,1.1
16,211,1.1
