bri,mired,watt
1,111,0.62
1,121,0.62
1,131,0.66
1,141,0.66
1,151,0.66
1,161,0.66
1,171,0.66
1,181,0.61
1,191,0.61
1,201,0.61
1,211,0.62
1,221,0.62
1,231,0.6
1,241,0.6
1,251,0.6
1,261,0.62
1,271,0.62
1,281,0.62
1,291,0.6
1,301,0.6
1,311,0.62
1,321,0.62
1,331,0.62
1,341,0.64
1,351,0.64
1,361,0.66
1,371,0.66
1,381,0.62
1,391,0.62
1,401,0.62
1,411,0.59
1,421,0.59
1,431,0.58
1,441,0.58
1,451,0.58
1,461,0.57
1,471,0.57
1,481,0.57
1,491,0.59
1,501,0.59
1,511,0.6
1,521,0.6
1,531,0.6
1,541,0.6
1,551,0.6
1,561,0.6
1,571,0.6
1,581,0.6
1,591,0.59
1,601,0.59
1,611,0.59
1,621,0.56
1,631,0.56
1,641,0.56
1,651,0.56
1,661,0.56
1,666,0.57
6,111,0.67
6,121,0.67
6,131,0.69
6,141,0.69
6,151,0.69
6,161,0.68
6,171,0.68
6,181,0.69
6,191,0.69
6,201,0.68
6,211,0.68
6,221,0.66
6,231,0.66
6,241,0.66
6,251,0.64
6,261,0.64
6,271,0.61
6,281,0.61
6,291,0.61
6,301,0.64
6,311,0.64
6,321,0.67
6,331,0.67
6,341,0.73
6,351,0.73
6,361,0.73
6,371,0.68
6,381,0.68
6,391,0.66
6,401,0.66
6,411,0.66
6,421,0.61
6,431,0.61
6,441,0.62
6,451,0.62
6,461,0.6
6,471,0.6
6,481,0.6
6,491,0.61
6,501,0.61
6,511,0.61
6,521,0.61
6,531,0.61
6,541,0.59
6,551,0.59
6,561,0.59
6,571,0.59
6,581,0.59
6,591,0.59
6,601,0.58
6,611,0.58
6,621,0.6
6,631,0.6
6,641,0.6
6,651,0.6
6,661,0.6
6,666,0.6
11,111,0.74
11,121,0.74
11,131,0.75
11,141,0.75
11,151,0.75
11,161,0.75
11,171,0.76
11,181,0.76
11,191,0.71
11,201,0.71
11,211,0.71
11,221,0.69
11,231,0.69
11,241,0.63
11,251,0.63
11,261,0.65
11,271,0.65
11,281,0.65
11,291,0.67
11,301,0.67
11,311,0.66
11,321,0.66
11,331,0.76
11,341,0.76
11,351,0.76
11,361,0.72
11,371,0.72
11,381,0.69
11,391,0.69
11,401,0.69
11,411,0.69
11,421,0.69
11,431,0.69
11,441,0.65
11,451,0.65
11,461,0.66
11,471,0.66
11,481,0.65
11,491,0.65
11,501,0.65
11,511,0.62
11,521,0.62
11,531,0.61
11,541,0.61
11,551,0.61
11,561,0.62
11,571,0.62
11,581,0.63
11,591,0.63
11,601,0.63
11,611,0.63
11,621,0.63
11,631,0.59
11,641,0.59
11,651,0.59
16,111,0.78
16,121,0.78
16,131,0.78
16,141,0.81
16,151,0.8
16,161,0.8
16,171,0.79
16,181,0.79
16,191,0.77
16,201,0.77
16,211,0.76
16,221,0.76
16,231,0.76
16,241,0.69
16,251,0.69
16,261,0.67
16,271,0.67
16,281,0.65
16,291,0.65
16,301,0.65
16,311,0.71
16,321,0.71
16,331,0.74
16,341,0.74
16,351,0.77
16,361,0.77
16,371,0.76
16,381,0.76
16,391,0.76
16,401,0.71
16,411,0.72
16,421,0.72
16,431,0.72
16,441,0.67
16,451,0.67
16,461,0.67
16,471,0.67
16,481,0.67
16,491,0.65
16,501,0.65
16,511,0.65
16,521,0.65
16,531,0.68
16,541,0.68
16,551,0.7
16,561,0.7
16,571,0.7
16,581,0.63
16,591,0.63
16,601,0.63
16,611,0.63
16,621,0.63
16,631,0.62
16,641,0.62
16,651,0.62
16,661,0.62
16,666,0.62
21,111,0.87
21,121,0.87
21,131,0.86
21,141,0.86
21,151,0.89
21,161,0.89
21,171,0.85
21,181,0.85
21,191,0.84
21,201,0.84
21,211,0.79
21,221,0.79
21,231,0.76
21,241,0.76
21,251,0.74
21,261,0.74
21,271,0.74
21,281,0.71
21,291,0.71
21,301,0.71
21,311,0.71
21,321,0.81
21,331,0.81
21,341,0.86
21,351,0.86
21,361,0.8
21,371,0.8
21,381,0.8
21,391,0.74
21,401,0.72
21,411,0.72
21,421,0.72
21,431,0.72
21,441,0.72
21,451,0.7
21,461,0.7
21,471,0.7
21,481,0.69
21,491,0.69
21,501,0.68
21,511,0.68
21,521,0.68
21,531,0.69
21,541,0.69
21,551,0.69
21,561,0.67
21,571,0.67
21,581,0.66
21,591,0.66
21,601,0.69
21,611,0.69
21,621,0.69
21,631,0.68
21,641,0.68
21,651,0.66
21,661,0.66
21,666,0.63
26,111,0.92
26,121,0.92
26,131,0.93
26,141,0.93
26,151,0.99
26,161,0.99
26,171,0.96
26,181,0.96
26,191,0.86
26,201,0.86
26,211,0.86
26,221,0.86
26,231,0.81
26,241,0.81
26,251,0.77
26,261,0.76
26,271,0.76
26,281,0.76
26,291,0.72
26,301,0.72
26,311,0.77
26,321,0.86
26,331,0.86
26,341,0.91
26,351,0.91
26,361,0.91
26,371,0.86
26,381,0.82
26,391,0.82
26,401,0.78
26,411,0.78
26,421,0.78
26,431,0.72
26,441,0.72
26,451,0.77
26,461,0.77
26,471,0.74
26,481,0.74
26,491,0.73
26,501,0.73
26,511,0.73
26,521,0.71
26,531,0.71
26,541,0.68
26,551,0.68
26,561,0.69
26,571,0.69
26,581,0.7
26,591,0.7
26,601,0.7
26,611,0.7
26,621,0.7
26,631,0.68
26,641,0.68
26,651,0.71
26,661,0.71
26,666,0.71
31,111,1.01
31,121,1.01
31,131,1.01
31,141,1.03
31,151,1.04
31,161,1.04
31,171,0.98
31,181,0.98
31,191,0.91
31,201,0.91
31,211,0.88
31,221,0.88
31,231,0.89
31,241,0.89
31,251,0.82
31,261,0.82
31,271,0.79
31,281,0.79
31,291,0.8
31,301,0.8
31,311,0.85
31,321,0.85
31,331,0.92
31,341,0.92
31,351,1.0
31,361,0.96
31,371,0.96
31,381,0.91
31,391,0.91
31,401,0.86
31,411,0.86
31,421,0.85
31,431,0.85
31,441,0.79
31,451,0.79
31,461,0.78
31,471,0.78
31,481,0.77
31,491,0.77
31,501,0.77
31,511,0.74
31,521,0.74
31,531,0.75
31,541,0.75
31,551,0.75
31,561,0.74
31,571,0.74
31,581,0.75
31,591,0.75
31,601,0.73
31,611,0.73
31,621,0.74
31,631,0.74
31,641,0.75
31,651,0.75
31,661,0.75
31,666,0.69
36,111,1.09
36,121,1.11
36,131,1.11
36,141,1.14
36,151,1.14
36,161,1.07
36,171,1.07
36,181,1.07
36,191,1.07
36,201,0.97
36,211,0.97
36,221,0.97
36,231,0.93
36,241,0.93
36,251,0.88
36,261,0.88
36,271,0.89
36,281,0.89
36,291,0.89
36,301,0.81
36,311,0.81
36,321,0.94
36,331,1.05
36,341,1.05
36,351,1.04
36,361,1.04
36,371,1.04
36,381,0.95
36,391,0.95
36,401,0.93
36,411,0.93
36,421,0.88
36,431,0.88
36,441,0.85
36,451,0.85
36,461,0.83
36,471,0.83
36,481,0.8
36,491,0.8
36,501,0.8
36,511,0.8
36,521,0.78
36,531,0.76
36,541,0.76
36,551,0.76
36,561,0.77
36,571,0.78
36,581,0.78
36,591,0.77
36,601,0.77
36,611,0.74
36,621,0.74
36,631,0.75
36,641,0.75
36,651,0.71
36,661,0.71
36,666,0.76
41,111,1.2
41,121,1.16
41,131,1.16
41,141,1.28
41,151,1.28
41,161,1.22
41,171,1.17
41,181,1.17
