bri,mired,watt
1,111,0.69
1,121,0.73
1,131,0.77
1,141,0.72
1,151,0.82
1,161,0.76
1,171,0.73
1,181,0.73
1,191,0.75
1,201,0.68
1,211,0.74
1,221,0.6
1,231,0.72
1,241,0.67
1,251,0.82
1,261,0.68
1,271,0.65
1,281,0.66
1,291,0.71
1,301,0.73
1,311,0.71
1,321,0.74
1,331,0.77
1,341,0.73
1,351,0.71
1,361,0.7
1,371,0.75
1,381,0.71
1,391,0.69
1,401,0.7
1,411,0.65
1,421,0.73
1,431,0.72
1,441,0.7
1,451,0.6
1,461,0.67
1,471,0.76
1,481,0.65
1,491,0.68
1,501,0.67
1,511,0.65
1,521,0.71
1,531,0.58
1,541,0.68
1,551,0.65
1,561,0.61
1,571,0.62
1,581,0.55
1,591,0.53
1,601,0.65
1,611,0.66
1,621,0.56
1,631,0.64
1,641,0.65
1,651,0.64
1,661,0.74
1,666,0.61
6,111,0.82
6,121,0.64
6,131,0.78
6,141,0.82
6,151,0.83
6,161,0.86
6,171,0.8
6,181,0.8
6,191,0.74
6,201,0.64
6,211,0.76
6,221,0.77
6,231,0.78
6,241,0.7
6,251,0.61
6,261,0.61
6,271,0.73
6,281,0.71
6,291,0.66
6,301,0.68
6,311,0.77
6,321,0.71
6,331,0.78
6,341,0.77
6,351,0.8
6,361,0.76
6,371,0.73
6,381,0.74
6,391,0.71
6,401,0.66
6,411,0.69
6,421,0.71
6,431,0.73
6,441,0.72
6,451,0.69
6,461,0.69
6,471,0.68
6,481,0.74
6,491,0.71
6,501,0.69
6,511,0.67
6,521,0.76
6,531,0.77
6,541,0.68
6,551,0.7
6,561,0.74
6,571,0.7
6,581,0.64
6,591,0.7
6,601,0.67
6,611,0.71
6,621,0.74
6,631,0.74
6,641,0.64
6,651,0.74
6,661,0.63
6,666,0.44
11,111,0.79
11,121,0.89
11,131,0.86
11,141,0.84
11,151,0.83
11,161,0.78
11,171,0.87
11,181,0.86
11,191,0.97
11,201,0.86
11,211,0.79
11,221,0.83
11,231,0.76
11,241,0.75
11,251,0.76
11,261,0.76
11,271,0.74
11,281,0.75
11,291,0.74
11,301,0.75
11,311,0.82
11,321,0.77
11,331,0.81
11,341,0.83
11,351,0.83
11,361,0.85
11,371,0.8
11,381,0.87
11,391,0.78
11,401,0.92
11,411,0.77
11,421,0.72
11,431,0.78
11,441,0.77
11,451,0.74
11,461,0.78
11,471,0.73
11,481,0.78
11,491,0.68
11,501,0.75
11,511,0.7
11,521,0.71
11,531,0.67
11,541,0.74
11,551,0.78
11,561,0.76
11,571,0.68
11,581,0.75
11,591,0.74
11,601,0.75
11,611,0.67
11,621,0.75
11,631,0.75
11,641,0.69
11,651,0.72
11,661,0.69
11,666,0.67
16,111,0.93
16,121,0.98
16,131,0.95
16,141,0.96
16,151,0.9
16,161,0.97
16,171,1.0
16,181,0.91
16,191,0.82
16,201,0.88
16,211,0.86
16,221,0.83
16,231,0.83
16,241,0.75
16,251,0.81
16,261,0.75
16,271,0.86
16,281,0.77
16,291,0.83
16,301,0.78
16,311,0.82
16,321,0.89
16,331,0.96
16,341,0.98
16,351,0.92
16,361,0.91
16,371,0.83
16,381,0.84
16,391,0.76
16,401,0.82
16,411,0.83
16,421,0.7
16,431,0.82
16,441,0.79
16,451,0.79
16,461,0.71
16,471,0.74
16,481,0.79
16,491,0.72
16,501,0.73
16,511,0.77
16,521,0.73
16,531,0.75
16,541,0.61
16,551,0.7
16,561,0.71
16,571,0.81
16,581,0.72
16,591,0.69
16,601,0.68
16,611,0.69
16,621,0.7
16,631,0.73
16,641,0.73
16,651,0.65
16,661,0.81
16,666,0.71
21,111,0.96
21,121,0.92
21,131,1.02
21,141,1.08
21,151,1.03
21,161,1.08
21,171,0.95
21,181,1.03
21,191,0.9
21,201,1.05
21,211,0.9
21,221,0.87
21,231,0.92
21,241,0.92
21,251,0.85
21,261,0.83
21,271,0.79
21,281,0.81
21,291,0.84
21,301,0.83
21,311,0.85
21,321,0.99
21,331,0.97
21,341,1.01
21,351,1.18
21,361,0.95
21,371,0.89
21,381,0.85
21,391,0.88
21,401,0.86
21,411,0.97
21,421,0.84
21,431,0.87
21,441,0.82
21,451,0.77
21,461,0.79
21,471,0.77
21,481,0.83
21,491,0.84
21,501,0.76
21,511,0.8
21,521,0.8
21,531,0.73
21,541,0.77
21,551,0.77
21,561,0.75
21,571,0.81
21,581,0.76
21,591,0.8
21,601,0.72
21,611,0.72
21,621,0.73
21,631,0.78
21,641,0.79
21,651,0.71
21,661,0.66
21,666,0.74
26,111,0.89
26,121,1.01
26,131,1.12
26,141,1.13
26,151,1.12
26,161,1.19
26,171,1.14
26,181,0.96
26,191,0.98
26,201,1.05
26,211,0.98
26,221,1.0
26,231,0.94
26,241,0.89
26,251,0.91
26,261,0.9
26,271,0.83
26,281,0.86
26,291,0.87
26,301,0.87
26,311,0.93
26,321,0.93
26,331,0.98
26,341,1.04
26,351,1.02
26,361,1.01
26,371,1.1
26,381,0.88
26,391,0.97
26,401,0.98
26,411,0.87
26,421,0.92
26,431,0.96
26,441,0.91
26,451,0.9
26,461,0.97
26,471,0.85
26,481,0.78
26,491,0.83
26,501,0.76
26,511,0.79
26,521,0.83
26,531,0.89
26,541,0.81
26,551,0.82
26,561,0.85
26,571,0.77
26,581,0.95
26,591,0.74
26,601,0.81
26,611,0.76
26,621,0.81
26,631,0.82
26,641,0.84
26,651,0.74
26,661,0.81
26,666,0.78
31,111,0.91
31,121,1.08
31,131,1.15
31,141,1.25
31,151,1.16
31,161,1.09
31,171,1.16
31,181,1.16
31,191,1.0
31,201,1.05
31,211,0.93
31,221,1.07
31,231,0.99
31,241,0.99
31,251,0.85
31,261,0.7
31,271,0.72
31,281,0.9
31,291,0.91
31,301,0.95
31,311,0.92
31,321,1.17
31,331,1.06
31,341,1.07
31,351,1.06
31,361,1.13
31,371,1.1
31,381,1.04
31,391,0.91
31,401,0.96
31,411,0.94
31,421,0.97
31,431,0.9
31,441,0.92
31,451,0.91
31,461,0.89
31,471,0.89
31,481,0.9
31,491,0.85
31,501,0.86
31,511,0.94
31,521,0.9
31,531,0.87
31,541,0.82
31,551,0.86
31,561,0.9
31,571,0.91
31,581,0.93
31,591,0.84
31,601,0.67
31,611,0.88
31,621,0.78
31,631,0.89
31,641,0.86
31,651,0.96
31,661,0.77
31,666,0.77
36,111,1.01
36,121,1.2
36,131,1.2
36,141,1.34
36,151,1.37
36,161,1.24
36,171,1.21
36,181,1.17
36,191,1.16
36,201,1.09
36,211,1.06
36,221,1.19
36,231,1.11
36,241,1.07
36,251,1.0
36,261,1.01
36,271,0.99
36,281,1.0
36,291,0.94
36,301,0.94
36,311,1.07
36,321,1.17
36,331,1.14
36,341,1.26
36,351,1.24
36,361,1.15
36,371,1.17
36,381,1.08
36,391,1.05
36,401,1.02
36,411,0.94
36,421,0.95
36,431,0.98
36,441,0.89
36,451,0.89
36,461,0.98
36,471,0.93
36,481,0.91
36,491,0.97
36,501,0.94
36,511,0.83
36,521,0.82
36,531,0.88
36,541,0.85
36,551,0.88
36,561,0.9
36,571,0.92
36,581,0.96
36,591,0.88
36,601,0.92
36,611,0.89
36,621,0.86
36,631,0.92
36,641,0.88
36,651,0.88
36,661,0.94
36,666,0.81
41,111,1.21
41,121,1.29
41,131,1.43
41,141,1.46
41,151,1.31
41,161,1.34
41,171,1.28
41,181,1.3
41,191,1.29
41,201,1.19
41,211,1.24
41,221,1.2
41,231,1.02
41,241,1.2
41,251,1.12
41,261,1.11
41,271,1.0
41,281,1.05
41,291,0.95
41,301,1.13
41,311,1.16
41,321,1.25
41,331,1.29
41,341,1.27
41,351,1.25
41,361,1.21
41,371,1.18
41,381,1.19
41,391,1.05
41,401,1.19
41,411,1.05
41,421,1.08
41,431,1.1
41,441,1.09
41,451,0.91
41,461,1.01
41,471,0.88
41,481,0.99
41,491,0.99
41,501,1.05
41,511,0.93
41,521,0.95
41,531,0.98
41,541,1.02
41,551,0.96
41,561,0.96
41,571,0.92
41,581,1.05
41,591,0.84
41,601,0.92
41,611,0.86
41,621,0.98
41,631,0.92
41,641,0.86
41,651,0.91
41,661,0.88
41,666,0.92
46,111,1.52
46,121,1.53
46,131,1.45
46,141,1.47
46,151,1.46
46,161,1.4
46,171,1.45
46,181,1.42
46,191,1.35
46,201,1.26
46,211,1.28
46,221,1.16
46,231,1.16
46,241,1.18
46,251,1.13
46,261,1.07
46,271,1.08
46,281,1.05
46,291,1.06
46,301,1.13
46,311,1.19
46,321,1.32
46,331,1.43
46,341,1.32
46,351,1.4
46,361,1.3
46,371,1.33
46,381,1.23
46,391,1.22
46,401,1.19
46,411,1.24
46,421,1.13
46,431,1.08
46,441,0.96
46,451,1.02
46,461,1.05
46,471,1.06
46,481,1.03
46,491,0.96
46,501,1.07
46,511,0.97
46,521,1.04
46,531,1.01
46,541,0.92
46,551,0.92
46,561,0.99
46,571,1.0
46,581,0.93
46,591,1.02
46,601,0.93
46,611,1.0
46,621,0.94
46,631,0.96
46,641,0.82
46,651,0.98
46,661,0.86
46,666,0.94
51,111,1.56
51,121,1.58
51,131,1.61
51,141,1.56
51,151,1.59
51,161,1.61
51,171,1.46
51,181,1.54
51,191,1.42
51,201,1.33
51,211,1.32
51,221,1.3
51,231,1.34
51,241,1.19
51,251,1.19
51,261,1.23
51,271,1.17
51,281,1.17
51,291,1.1
51,301,1.15
51,311,1.26
51,321,1.24
51,331,1.49
51,341,1.35
51,351,1.51
51,361,1.3
51,371,1.44
51,381,1.34
51,391,1.23
51,401,1.28
51,411,1.28
51,421,1.22
51,431,1.14
51,441,1.15
51,451,1.13
51,461,1.08
51,471,1.16
51,481,1.18
51,491,1.08
51,501,1.07
51,511,1.04
51,521,1.04
51,531,1.1
51,541,1.07
51,551,1.12
51,561,1.03
51,571,0.95
51,581,1.07
51,591,1.04
51,601,0.99
51,611,0.99
51,621,1.03
51,631,1.0
51,641,1.03
51,651,0.97
51,661,0.98
51,666,1.05
56,111,1.33
56,121,1.73
56,131,1.77
56,141,1.74
56,151,1.72
56,161,1.58
56,171,1.61
56,181,1.57
56,191,1.53
56,201,1.54
56,211,1.46
56,221,1.4
56,231,1.43
56,241,1.34
56,251,1.23
56,261,1.24
56,271,1.21
56,281,1.17
56,291,1.21
56,301,1.28
56,311,1.31
56,321,1.49
56,331,1.64
56,341,1.64
56,351,1.54
56,361,1.5
