bri,hue,sat,watt
1,1,1,1.14
1,2732,1,1.24
1,5463,1,1.24
1,8194,1,1.24
1,10925,1,1.24
1,13656,1,1.38
1,16387,1,1.24
1,19118,1,1.24
1,21849,1,1.28
1,24580,1,1.31
1,27311,1,1.21
1,30042,1,1.24
1,32773,1,1.21
1,35504,1,1.24
1,38235,1,1.18
1,40966,1,1.31
1,43697,1,1.14
1,46428,1,1.18
1,49159,1,1.18
1,51890,1,1.28
1,54621,1,1.21
1,57352,1,1.21
1,60083,1,1.28
1,62814,1,1.31
1,65535,1,1.11
1,1,33,1.21
1,2732,33,1.24
1,5463,33,1.18
1,8194,33,1.18
1,10925,33,1.14
1,13656,33,1.21
1,16387,33,1.31
1,19118,33,1.21
1,21849,33,1.08
1,24580,33,1.14
1,27311,33,1.14
1,30042,33,1.18
1,32773,33,1.18
1,35504,33,1.18
1,38235,33,1.11
1,40966,33,1.21
1,43697,33,1.18
1,46428,33,1.18
1,49159,33,1.08
1,51890,33,1.11
1,54621,33,1.14
1,57352,33,1.11
1,60083,33,1.21
1,62814,33,1.18
1,65535,33,1.18
1,1,65,1.14
1,2732,65,1.08
1,5463,65,1.14
1,8194,65,1.21
1,10925,65,1.18
1,13656,65,1.21
1,16387,65,1.24
1,19118,65,1.18
1,21849,65,1.21
1,24580,65,1.08
1,27311,65,1.18
1,30042,65,1.04
1,32773,65,1.18
1,35504,65,1.08
1,38235,65,0.98
1,40966,65,1.01
1,43697,65,1.04
1,46428,65,1.14
1,49159,65,1.08
1,51890,65,1.11
1,54621,65,1.01
1,57352,65,1.08
1,60083,65,1.08
1,62814,65,1.08
1,65535,65,1.11
1,1,97,1.08
1,2732,97,1.11
1,5463,97,1.01
1,8194,97,1.14
1,10925,97,1.04
1,13656,97,1.11
1,16387,97,1.04
1,19118,97,0.98
1,21849,97,1.01
1,24580,97,1.01
1,27311,97,1.11
1,30042,97,1.11
1,32773,97,1.04
1,35504,97,1.18
1,38235,97,1.04
1,40966,97,1.18
1,43697,97,1.04
1,46428,97,1.11
1,49159,97,1.04
1,51890,97,1.04
1,54621,97,1.01
1,57352,97,1.01
1,60083,97,1.04
1,62814,97,1.04
1,65535,97,1.11
1,1,129,1.11
1,2732,129,1.11
1,5463,129,1.08
1,8194,129,1.04
1,10925,129,1.08
1,13656,129,1.14
1,16387,129,1.18
1,19118,129,1.11
1,21849,129,1.14
1,24580,129,1.08
1,27311,129,1.01
1,30042,129,1.18
1,32773,129,1.11
1,35504,129,1.11
1,38235,129,1.11
1,40966,129,1.11
1,43697,129,1.14
1,46428,129,1.08
1,49159,129,1.14
1,51890,129,1.14
1,54621,129,1.21
1,57352,129,1.01
1,60083,129,1.01
1,62814,129,1.11
1,65535,129,1.11
1,1,161,1.04
1,2732,161,1.11
1,5463,161,1.01
1,8194,161,1.08
1,10925,161,1.08
1,13656,161,1.08
1,16387,161,1.11
1,19118,161,1.14
1,21849,161,1.11
1,24580,161,1.08
1,27311,161,1.01
1,30042,161,1.08
1,32773,161,1.08
1,35504,161,1.08
1,38235,161,1.11
1,40966,161,1.14
1,43697,161,0.98
1,46428,161,1.08
1,49159,161,0.98
1,51890,161,0.98
1,54621,161,1.14
1,57352,161,1.14
1,60083,161,1.18
1,62814,161,1.08
1,65535,161,1.18
1,1,193,1.18
1,2732,193,1.14
1,5463,193,1.18
1,8194,193,1.01
1,10925,193,1.14
1,13656,193,1.18
1,16387,193,1.21
1,19118,193,1.24
1,21849,193,1.11
1,24580,193,1.11
1,27311,193,1.11
1,30042,193,1.18
1,32773,193,1.11
1,35504,193,1.11
1,38235,193,1.14
1,40966,193,1.14
1,43697,193,1.14
1,46428,193,1.18
1,49159,193,1.21
1,51890,193,1.14
1,54621,193,1.11
1,57352,193,1.18
1,60083,193,1.21
1,62814,193,1.18
1,65535,193,1.21
1,1,225,1.08
1,2732,225,1.11
1,5463,225,1.18
1,8194,225,1.14
1,10925,225,1.11
1,13656,225,1.11
1,16387,225,1.18
1,19118,225,1.11
1,21849,225,1.21
1,24580,225,1.08
1,27311,225,1.14
1,30042,225,1.11
1,32773,225,1.08
1,35504,225,1.04
1,38235,225,1.08
1,40966,225,1.11
1,43697,225,1.11
1,46428,225,1.08
1,49159,225,1.08
1,51890,225,1.08
1,54621,225,1.08
1,57352,225,1.11
1,60083,225,1.11
1,62814,225,1.18
1,65535,225,1.11
1,1,255,1.01
1,2732,255,1.11
1,5463,255,1.01
1,8194,255,1.14
1,10925,255,1.08
1,13656,255,1.14
1,16387,255,1.04
1,19118,255,1.14
1,21849,255,1.08
1,24580,255,1.18
1,27311,255,1.04
1,30042,255,1.08
1,32773,255,1.11
1,35504,255,1.04
1,38235,255,1.18
1,40966,255,1.08
1,43697,255,1.14
1,46428,255,1.08
1,49159,255,1.08
1,51890,255,1.08
1,54621,255,1.11
1,57352,255,1.08
1,60083,255,1.18
1,62814,255,1.04
1,65535,255,1.04
33,1,1,1.44
33,2732,1,1.58
33,5463,1,1.48
33,8194,1,1.48
33,10925,1,1.48
33,13656,1,1.44
33,16387,1,1.48
33,19118,1,1.51
33,21849,1,1.41
33,24580,1,1.41
33,27311,1,1.48
33,30042,1,1.51
33,32773,1,1.54
33,35504,1,1.51
33,38235,1,1.48
33,40966,1,1.41
33,43697,1,1.48
33,46428,1,1.44
33,49159,1,1.58
33,51890,1,1.48
33,54621,1,1.51
33,57352,1,1.44
33,60083,1,1.44
33,62814,1,1.51
33,65535,1,1.44
33,1,33,1.48
33,2732,33,1.54
33,5463,33,1.48
33,8194,33,1.48
33,10925,33,1.58
33,13656,33,1.58
33,16387,33,1.51
33,19118,33,1.48
33,21849,33,1.48
33,24580,33,1.51
33,27311,33,1.48
33,30042,33,1.54
33,32773,33,1.34
33,35504,33,1.41
33,38235,33,1.34
33,40966,33,1.41
33,43697,33,1.41
33,46428,33,1.31
33,49159,33,1.44
33,51890,33,1.41
33,54621,33,1.38
33,57352,33,1.41
33,60083,33,1.41
33,62814,33,1.34
33,65535,33,1.38
33,1,65,1.38
33,2732,65,1.54
33,5463,65,1.44
33,8194,65,1.51
33,10925,65,1.34
33,13656,65,1.44
33,16387,65,1.41
33,19118,65,1.41
33,21849,65,1.48
33,24580,65,1.48
33,27311,65,1.41
33,30042,65,1.48
33,32773,65,1.54
33,35504,65,1.44
33,38235,65,1.41
33,40966,65,1.48
33,43697,65,1.54
33,46428,65,1.51
33,49159,65,1.48
33,51890,65,1.58
33,54621,65,1.44
33,57352,65,1.48
33,60083,65,1.54
33,62814,65,1.51
33,65535,65,1.51
33,1,97,1.38
33,2732,97,1.28
33,5463,97,1.51
33,8194,97,1.48
33,10925,97,1.54
33,13656,97,1.51
33,16387,97,1.51
33,19118,97,1.44
33,21849,97,1.51
33,24580,97,1.58
33,27311,97,1.48
33,30042,97,1.51
33,32773,97,1.48
33,35504,97,1.68
33,38235,97,1.51
33,40966,97,1.48
33,43697,97,1.51
33,46428,97,1.48
33,49159,97,1.48
33,51890,97,1.44
33,54621,97,1.48
33,57352,97,1.41
33,60083,97,1.44
33,62814,97,1.34
33,65535,97,1.44
33,1,129,1.31
33,2732,129,1.41
33,5463,129,1.51
33,8194,129,1.38
33,10925,129,1.51
33,13656,129,1.44
33,16387,129,1.54
33,19118,129,1.44
33,21849,129,1.44
33,24580,129,1.48
33,27311,129,1.41
33,30042,129,1.44
33,32773,129,1.48
33,35504,129,1.54
33,38235,129,1.58
33,40966,129,1.48
33,43697,129,1.34
33,46428,129,1.51
33,49159,129,1.44
33,51890,129,1.41
33,54621,129,1.44
33,57352,129,1.28
33,60083,129,1.31
33,62814,129,1.31
33,65535,129,1.38
33,1,161,1.38
33,2732,161,1.34
33,5463,161,1.41
33,8194,161,1.38
33,10925,161,1.58
33,13656,161,1.61
33,16387,161,1.51
33,19118,161,1.41
33,21849,161,1.51
33,24580,161,1.58
33,27311,161,1.48
33,30042,161,1.51
33,32773,161,1.48
33,35504,161,1.44
33,38235,161,1.58
33,40966,161,1.54
33,43697,161,1.58
33,46428,161,1.54
33,49159,161,1.48
33,51890,161,1.44
33,54621,161,1.44
33,57352,161,1.38
33,60083,161,1.48
33,62814,161,1.34
33,65535,161,1.41
33,1,193,1.28
33,2732,193,1.28
33,5463,193,1.38
33,8194,193,1.48
33,10925,193,1.41
33,13656,193,1.48
33,16387,193,1.58
33,19118,193,1.48
33,21849,193,1.54
33,24580,193,1.54
33,27311,193,1.51
33,30042,193,1.54
33,32773,193,1.51
33,35504,193,1.48
33,38235,193,1.54
33,40966,193,1.54
33,43697,193,1.48
33,46428,193,1.44
33,49159,193,1.54
33,51890,193,1.44
33,54621,193,1.38
33,57352,193,1.38
33,60083,193,1.38
33,62814,193,1.31
33,65535,193,1.38
33,1,225,1.38
33,2732,225,1.34
33,5463,225,1.34
33,8194,225,1.41
33,10925,225,1.41
33,13656,225,1.44
33,16387,225,1.51
33,19118,225,1.41
33,21849,225,1.44
33,24580,225,1.48
33,27311,225,1.38
33,30042,225,1.51
33,32773,225,1.48
33,35504,225,1.48
33,38235,225,1.51
33,40966,225,1.54
33,43697,225,1.48
33,46428,225,1.44
33,49159,225,1.51
33,51890,225,1.41
33,54621,225,1.38
33,57352,225,1.28
33,60083,225,1.31
33,62814,225,1.24
33,65535,225,1.21
33,1,255,1.21
33,2732,255,1.28
33,5463,255,1.34
33,8194,255,1.34
33,10925,255,1.51
33,13656,255,1.44
33,16387,255,1.51
33,19118,255,1.44
33,21849,255,1.38
33,24580,255,1.41
33,27311,255,1.54
33,30042,255,1.48
33,32773,255,1.48
33,35504,255,1.54
33,38235,255,1.54
33,40966,255,1.61
33,43697,255,1.51
33,46428,255,1.48
33,49159,255,1.58
33,51890,255,1.38
33,54621,255,1.38
33,57352,255,1.34
33,60083,255,1.24
33,62814,255,1.21
33,65535,255,1.18
65,1,1,2.08
65,2732,1,2.08
65,5463,1,2.01
65,8194,1,2.08
65,10925,1,2.04
65,13656,1,2.11
65,16387,1,2.08
65,19118,1,2.14
65,21849,1,2.14
65,24580,1,2.04
65,27311,1,2.04
65,30042,1,2.11
65,32773,1,2.18
65,35504,1,2.14
65,38235,1,2.01
65,40966,1,2.08
65,43697,1,2.08
65,46428,1,2.04
65,49159,1,2.14
65,51890,1,2.14
65,54621,1,2.08
65,57352,1,2.18
65,60083,1,2.14
65,62814,1,2.11
65,65535,1,2.14
65,1,33,2.18
65,2732,33,2.21
65,5463,33,2.18
65,8194,33,2.18
65,10925,33,2.24
65,13656,33,2.21
65,16387,33,2.31
65,19118,33,2.18
65,21849,33,2.24
65,24580,33,2.28
65,27311,33,2.28
65,30042,33,2.24
65,32773,33,2.24
65,35504,33,2.28
65,38235,33,2.21
65,40966,33,2.18
65,43697,33,2.21
65,46428,33,2.28
65,49159,33,2.28
65,51890,33,2.14
65,54621,33,2.24
65,57352,33,2.18
65,60083,33,2.21
65,62814,33,2.21
65,65535,33,2.11
65,1,65,2.28
65,2732,65,2.01
65,5463,65,2.08
65,8194,65,2.04
65,10925,65,2.18
65,13656,65,2.14
65,16387,65,2.14
65,19118,65,2.08
65,21849,65,2.18
65,24580,65,2.28
65,27311,65,2.28
65,30042,65,2.24
65,32773,65,2.21
65,35504,65,2.24
65,38235,65,2.24
65,40966,65,2.28
65,43697,65,2.21
65,46428,65,2.14
65,49159,65,2.18
65,51890,65,2.28
65,54621,65,2.14
65,57352,65,2.08
65,60083,65,2.18
65,62814,65,2.14
65,65535,65,2.11
65,1,97,1.94
65,2732,97,2.08
65,5463,97,2.31
65,8194,97,2.21
65,10925,97,2.24
65,13656,97,2.31
65,16387,97,2.28
65,19118,97,2.38
65,21849,97,2.34
65,24580,97,2.34
65,27311,97,2.24
65,30042,97,2.24
65,32773,97,2.28
65,35504,97,2.18
65,38235,97,2.21
65,40966,97,2.14
65,43697,97,2.11
65,46428,97,2.28
65,49159,97,2.14
65,51890,97,2.04
65,54621,97,1.78
65,57352,97,1.74
65,60083,97,1.74
65,62814,97,1.71
65,65535,97,1.61
65,1,129,1.51
65,2732,129,1.61
65,5463,129,1.78
65,8194,129,1.91
65,10925,129,1.94
65,13656,129,1.94
65,16387,129,1.94
65,19118,129,1.98
65,21849,129,1.88
65,24580,129,1.88
65,27311,129,1.98
65,30042,129,1.98
65,32773,129,1.94
65,35504,129,2.04
65,38235,129,1.98
65,40966,129,1.91
65,43697,129,2.18
65,46428,129,2.14
65,49159,129,2.14
65,51890,129,2.04
65,54621,129,1.94
65,57352,129,1.94
65,60083,129,1.88
65,62814,129,1.84
65,65535,129,1.68
65,1,161,1.68
65,2732,161,1.81
65,5463,161,1.98
65,8194,161,2.18
65,10925,161,2.21
65,13656,161,2.28
65,16387,161,2.21
65,19118,161,2.21
65,21849,161,2.08
65,24580,161,2.14
65,27311,161,2.11
65,30042,161,2.34
65,32773,161,2.41
65,35504,161,2.24
65,38235,161,2.21
65,40966,161,2.28
65,43697,161,2.21
65,46428,161,2.21
65,49159,161,2.18
65,51890,161,2.11
65,54621,161,1.91
65,57352,161,1.78
65,60083,161,1.84
65,62814,161,1.74
