bri,mired,watt
1,111,0.55
1,121,0.5
1,131,0.55
1,141,0.5
1,151,0.5
1,161,0.45
1,171,0.55
1,181,0.55
1,191,0.55
1,201,0.6
1,211,0.5
1,221,0.55
1,231,0.6
1,241,0.5
1,251,0.5
1,261,0.5
1,271,0.6
1,281,0.6
1,291,0.55
1,301,0.55
1,311,0.55
1,321,0.55
1,331,0.6
1,341,0.5
1,351,0.5
1,361,0.6
1,371,0.6
1,381,0.6
1,391,0.55
1,401,0.55
1,411,0.55
1,421,0.55
1,431,0.55
1,441,0.55
1,451,0.55
1,461,0.55
1,471,0.55
1,481,0.5
1,491,0.5
1,501,0.5
1,511,0.5
1,521,0.5
1,531,0.55
1,541,0.5
1,551,0.5
1,561,0.5
1,571,0.55
1,581,0.55
1,591,0.5
1,601,0.55
1,611,0.55
1,621,0.55
1,631,0.65
1,641,0.55
1,651,0.5
1,661,0.5
1,666,0.55
6,111,0.5
6,121,0.5
6,131,0.5
6,141,0.55
6,151,0.55
6,161,0.55
6,171,0.6
6,181,0.55
6,191,0.55
6,201,0.65
6,211,0.55
6,221,0.6
6,231,0.6
6,241,0.6
6,251,0.6
6,261,0.55
6,271,0.55
6,281,0.55
6,291,0.55
6,301,0.55
6,311,0.55
6,321,0.6
6,331,0.55
6,341,0.6
6,351,0.65
6,361,0.65
6,371,0.6
6,381,0.5
6,391,0.55
6,401,0.5
6,411,0.5
6,421,0.55
6,431,0.55
6,441,0.55
6,451,0.5
6,461,0.5
6,471,0.55
6,481,0.5
6,491,0.55
6,501,0.6
6,511,0.6
6,521,0.6
6,531,0.55
6,541,0.6
6,551,0.55
6,561,0.55
6,571,0.55
6,581,0.5
6,591,0.55
6,601,0.6
6,611,0.55
6,621,0.5
6,631,0.5
6,641,0.55
6,651,0.5
6,661,0.6
6,666,0.55
11,111,0.5
11,121,0.55
11,131,0.6
11,141,0.6
11,151,0.6
11,161,0.6
11,171,0.65
11,181,0.6
11,191,0.55
11,201,0.55
11,211,0.65
11,221,0.55
11,231,0.6
11,241,0.55
11,251,0.55
11,261,0.6
11,271,0.55
11,281,0.55
11,291,0.55
