bri,mired,watt
1,111,0.64
1,121,0.63
1,131,0.65
1,141,0.64
1,151,0.62
1,161,0.63
1,171,0.64
1,181,0.63
1,191,0.65
1,201,0.62
1,211,0.64
1,221,0.66
1,231,0.63
1,241,0.63
1,251,0.64
1,261,0.65
1,271,0.66
1,281,0.63
1,291,0.65
1,301,0.63
1,311,0.61
1,321,0.65
1,331,0.6
1,341,0.62
1,351,0.62
1,361,0.62
1,371,0.63
1,381,0.63
1,391,0.64
1,401,0.66
1,411,0.66
1,421,0.65
1,431,0.63
1,441,0.63
1,451,0.64
1,461,0.61
1,471,0.65
1,481,0.66
1,491,0.64
1,501,0.66
1,511,0.64
1,521,0.66
1,531,0.64
1,541,0.64
1,551,0.65
1,561,0.64
1,571,0.64
1,581,0.63
1,591,0.64
1,601,0.62
1,611,0.62
1,621,0.63
1,631,0.64
1,641,0.67
1,651,0.65
1,661,0.63
1,666,0.61
6,111,0.66
6,121,0.66
6,131,0.67
6,141,0.65
6,151,0.65
6,161,0.66
6,171,0.68
6,181,0.64
6,191,0.66
6,201,0.65
6,211,0.69
6,221,0.67
6,231,0.71
6,241,0.66
6,251,0.66
6,261,0.7
6,271,0.68
6,281,0.69
6,291,0.67
6,301,0.68
6,311,0.68
6,321,0.68
6,331,0.69
6,341,0.67
6,351,0.69
6,361,0.69
6,371,0.68
6,381,0.66
6,391,0.69
6,401,0.67
6,411,0.68
6,421,0.68
6,431,0.66
6,441,0.68
6,451,0.66
6,461,0.66
6,471,0.69
6,481,0.65
6,491,0.71
6,501,0.66
6,511,0.67
6,521,0.66
6,531,0.67
6,541,0.66
6,551,0.67
6,561,0.64
6,571,0.65
6,581,0.67
6,591,0.68
6,601,0.68
6,611,0.67
6,621,0.64
6,631,0.71
6,641,0.65
6,651,0.66
6,661,0.66
6,666,0.65
11,111,0.68
11,121,0.7
11,131,0.69
11,141,0.67
11,151,0.72
11,161,0.7
11,171,0.69
11,181,0.71
11,191,0.68
11,201,0.69
11,211,0.7
11,221,0.71
11,231,0.66
11,241,0.7
11,251,0.69
11,261,0.66
11,271,0.72
11,281,0.69
11,291,0.7
11,301,0.71
11,311,0.7
