bri,hue,sat,watt
1,1,1,2.63
1,4001,1,2.65
1,8001,1,2.65
1,12001,1,2.64
1,16001,1,2.64
1,20001,1,2.62
1,24001,1,2.62
1,28001,1,2.60
1,32001,1,2.60
1,36001,1,2.60
1,40001,1,2.60
1,44001,1,2.60
1,48001,1,2.59
1,52001,1,2.59
1,56001,1,2.59
1,60001,1,2.59
1,64001,1,2.60
1,65535,1,2.67
1,1,21,2.68
1,4001,21,2.68
1,8001,21,2.68
1,12001,21,2.63
1,16001,21,2.63
1,20001,21,2.63
1,24001,21,2.59
1,28001,21,2.58
1,32001,21,2.58
1,36001,21,2.61
1,40001,21,2.61
1,44001,21,2.61
1,48001,21,2.61
1,52001,21,2.62
1,56001,21,2.62
1,60001,21,2.62
1,64001,21,2.64
1,65535,21,2.62
1,1,41,2.62
1,4001,41,2.68
1,8001,41,2.68
1,12001,41,2.68
1,16001,41,2.68
1,20001,41,2.64
1,24001,41,2.64
1,28001,41,2.61
1,32001,41,2.61
1,36001,41,2.60
1,40001,41,2.64
1,44001,41,2.64
1,48001,41,2.65
1,52001,41,2.56
1,56001,41,2.54
1,60001,41,2.54
1,64001,41,2.56
1,65535,41,2.64
1,1,61,2.61
1,4001,61,2.62
1,8001,61,2.60
1,12001,61,2.60
1,16001,61,2.61
1,20001,61,2.61
1,24001,61,2.64
1,28001,61,2.66
1,32001,61,2.63
1,36001,61,2.63
1,40001,61,2.66
1,44001,61,2.66
1,48001,61,2.64
1,52001,61,2.61
1,56001,61,2.61
1,60001,61,2.61
1,64001,61,2.61
1,65535,61,2.61
1,1,81,2.61
1,4001,81,2.64
1,8001,81,2.64
1,12001,81,2.64
1,16001,81,2.64
1,20001,81,2.64
1,24001,81,2.61
1,28001,81,2.62
1,32001,81,2.62
1,36001,81,2.62
1,40001,81,2.61
1,44001,81,2.61
1,48001,81,2.58
1,52001,81,2.58
1,56001,81,2.58
1,60001,81,2.58
1,64001,81,2.58
1,65535,81,2.59
1,1,101,2.61
1,4001,101,2.61
1,8001,101,2.60
1,12001,101,2.60
1,16001,101,2.69
1,20001,101,2.67
1,24001,101,2.67
1,28001,101,2.59
1,32001,101,2.59
1,36001,101,2.59
1,40001,101,2.60
1,44001,101,2.63
1,48001,101,2.63
1,52001,101,2.63
1,56001,101,2.62
1,60001,101,2.60
1,64001,101,2.60
1,65535,101,2.60
1,1,121,2.57
1,4001,121,2.57
1,8001,121,2.63
1,12001,121,2.61
1,16001,121,2.61
1,20001,121,2.63
1,24001,121,2.59
1,28001,121,2.59
1,32001,121,2.57
1,36001,121,2.57
1,40001,121,2.58
1,44001,121,2.58
1,48001,121,2.60
1,52001,121,2.60
1,56001,121,2.66
1,60001,121,2.65
1,64001,121,2.65
1,65535,121,2.62
1,1,141,2.62
1,4001,141,2.63
1,8001,141,2.63
1,12001,141,2.58
1,16001,141,2.58
1,20001,141,2.59
1,24001,141,2.59
1,28001,141,2.67
1,32001,141,2.67
1,36001,141,2.68
1,40001,141,2.68
1,44001,141,2.61
1,48001,141,2.60
1,52001,141,2.60
1,56001,141,2.59
1,60001,141,2.59
1,64001,141,2.61
1,65535,141,2.61
1,1,161,2.60
1,4001,161,2.60
1,8001,161,2.64
1,12001,161,2.64
1,16001,161,2.63
1,20001,161,2.63
1,24001,161,2.61
1,28001,161,2.61
1,32001,161,2.61
1,36001,161,2.59
1,40001,161,2.59
1,44001,161,2.59
1,48001,161,2.62
1,52001,161,2.63
1,56001,161,2.61
1,60001,161,2.61
1,64001,161,2.61
1,65535,161,2.61
1,1,181,2.62
1,4001,181,2.62
1,8001,181,2.60
1,12001,181,2.59
1,16001,181,2.60
1,20001,181,2.60
1,24001,181,2.61
1,28001,181,2.61
1,32001,181,2.62
1,36001,181,2.62
1,40001,181,2.61
1,44001,181,2.59
1,48001,181,2.59
1,52001,181,2.63
1,56001,181,2.63
1,60001,181,2.66
1,64001,181,2.66
1,65535,181,2.66
1,1,201,2.63
1,4001,201,2.63
1,8001,201,2.62
1,12001,201,2.62
1,16001,201,2.60
1,20001,201,2.60
1,24001,201,2.60
1,28001,201,2.58
1,32001,201,2.58
1,36001,201,2.58
1,40001,201,2.58
1,44001,201,2.58
1,48001,201,2.58
1,52001,201,2.61
1,56001,201,2.61
1,60001,201,2.61
1,64001,201,2.58
1,65535,201,2.59
1,1,221,2.62
1,4001,221,2.62
1,8001,221,2.61
1,12001,221,2.61
1,16001,221,2.61
1,20001,221,2.61
1,24001,221,2.59
1,28001,221,2.59
1,32001,221,2.59
1,36001,221,2.59
1,40001,221,2.61
1,44001,221,2.60
1,48001,221,2.60
1,52001,221,2.63
1,56001,221,2.61
1,60001,221,2.61
1,64001,221,2.61
1,65535,221,2.61
1,1,241,2.59
1,4001,241,2.59
1,8001,241,2.59
1,12001,241,2.61
1,16001,241,2.65
1,20001,241,2.65
1,24001,241,2.65
1,28001,241,2.66
1,32001,241,2.58
1,36001,241,2.57
1,40001,241,2.57
1,44001,241,2.61
1,48001,241,2.59
1,52001,241,2.59
1,56001,241,2.60
1,60001,241,2.60
1,64001,241,2.60
1,65535,241,2.60
1,1,254,2.60
1,4001,254,2.60
1,8001,254,2.57
1,12001,254,2.59
1,16001,254,2.59
1,20001,254,2.58
1,24001,254,2.62
1,28001,254,2.64
1,32001,254,2.64
1,36001,254,2.65
1,40001,254,2.65
1,44001,254,2.67
1,48001,254,2.67
1,52001,254,2.66
1,56001,254,2.62
1,60001,254,2.62
1,64001,254,2.65
1,65535,254,2.56
21,1,1,2.71
21,4001,1,2.71
21,8001,1,2.71
21,12001,1,2.78
21,16001,1,2.78
21,20001,1,2.74
21,24001,1,2.74
21,28001,1,2.79
21,32001,1,2.70
21,36001,1,2.67
21,40001,1,2.67
21,44001,1,2.68
21,48001,1,2.66
21,52001,1,2.66
21,56001,1,2.67
21,60001,1,2.66
21,64001,1,2.67
21,65535,1,2.67
21,1,21,2.69
21,4001,21,2.69
21,8001,21,2.70
21,12001,21,2.70
21,16001,21,2.68
21,20001,21,2.68
21,24001,21,2.68
21,28001,21,2.70
21,32001,21,2.73
21,36001,21,2.71
21,40001,21,2.71
21,44001,21,2.72
21,48001,21,2.67
21,52001,21,2.67
21,56001,21,2.70
21,60001,21,2.70
21,64001,21,2.68
21,65535,21,2.68
21,1,41,2.68
21,4001,41,2.67
21,8001,41,2.67
21,12001,41,2.68
21,16001,41,2.66
21,20001,41,2.66
21,24001,41,2.64
21,28001,41,2.64
21,32001,41,2.69
21,36001,41,2.69
21,40001,41,2.70
21,44001,41,2.70
21,48001,41,2.70
21,52001,41,2.71
21,56001,41,2.71
21,60001,41,2.64
21,64001,41,2.64
21,65535,41,2.62
21,1,61,2.66
21,4001,61,2.69
21,8001,61,2.69
21,12001,61,2.72
21,16001,61,2.72
21,20001,61,2.72
21,24001,61,2.70
21,28001,61,2.69
21,32001,61,2.69
21,36001,61,2.69
21,40001,61,2.66
21,44001,61,2.67
21,48001,61,2.67
21,52001,61,2.72
21,56001,61,2.72
21,60001,61,2.72
21,64001,61,2.71
21,65535,61,2.66
21,1,81,2.66
21,4001,81,2.65
21,8001,81,2.66
21,12001,81,2.66
21,16001,81,2.62
21,20001,81,2.62
21,24001,81,2.64
21,28001,81,2.68
21,32001,81,2.66
21,36001,81,2.66
21,40001,81,2.69
21,44001,81,2.69
21,48001,81,2.69
21,52001,81,2.73
21,56001,81,2.73
21,60001,81,2.73
21,64001,81,2.73
21,65535,81,2.63
21,1,101,2.60
21,4001,101,2.60
21,8001,101,2.61
21,12001,101,2.65
21,16001,101,2.64
21,20001,101,2.64
21,24001,101,2.64
21,28001,101,2.64
21,32001,101,2.64
21,36001,101,2.64
21,40001,101,2.66
21,44001,101,2.66
21,48001,101,2.66
21,52001,101,2.69
21,56001,101,2.69
21,60001,101,2.69
21,64001,101,2.70
21,65535,101,2.66
21,1,121,2.65
21,4001,121,2.66
21,8001,121,2.66
21,12001,121,2.66
21,16001,121,2.67
21,20001,121,2.70
21,24001,121,2.67
21,28001,121,2.67
21,32001,121,2.70
21,36001,121,2.64
21,40001,121,2.64
21,44001,121,2.64
21,48001,121,2.70
21,52001,121,2.70
21,56001,121,2.71
21,60001,121,2.71
21,64001,121,2.69
21,65535,121,2.64
21,1,141,2.65
21,4001,141,2.64
21,8001,141,2.66
21,12001,141,2.67
21,16001,141,2.67
21,20001,141,2.66
21,24001,141,2.64
21,28001,141,2.64
21,32001,141,2.63
21,36001,141,2.63
21,40001,141,2.65
21,44001,141,2.69
21,48001,141,2.71
21,52001,141,2.71
21,56001,141,2.71
21,60001,141,2.68
21,64001,141,2.68
21,65535,141,2.69
21,1,161,2.66
21,4001,161,2.66
21,8001,161,2.66
21,12001,161,2.65
21,16001,161,2.66
21,20001,161,2.67
21,24001,161,2.67
21,28001,161,2.67
21,32001,161,2.67
21,36001,161,2.65
21,40001,161,2.66
21,44001,161,2.66
21,48001,161,2.67
21,52001,161,2.67
21,56001,161,2.68
21,60001,161,2.68
21,64001,161,2.68
21,65535,161,2.61
21,1,181,2.62
21,4001,181,2.62
21,8001,181,2.68
21,12001,181,2.66
21,16001,181,2.66
21,20001,181,2.65
21,24001,181,2.65
21,28001,181,2.64
21,32001,181,2.64
21,36001,181,2.68
21,40001,181,2.68
21,44001,181,2.69
21,48001,181,2.71
21,52001,181,2.70
21,56001,181,2.70
21,60001,181,2.68
21,64001,181,2.68
21,65535,181,2.68
21,1,201,2.67
21,4001,201,2.62
21,8001,201,2.62
21,12001,201,2.62
21,16001,201,2.60
21,20001,201,2.62
21,24001,201,2.66
21,28001,201,2.66
21,32001,201,2.66
21,36001,201,2.66
21,40001,201,2.66
21,44001,201,2.66
21,48001,201,2.66
21,52001,201,2.66
21,56001,201,2.66
21,60001,201,2.66
21,64001,201,2.67
21,65535,201,2.67
21,1,221,2.61
21,4001,221,2.63
21,8001,221,2.63
21,12001,221,2.63
21,16001,221,2.67
21,20001,221,2.67
21,24001,221,2.66
21,28001,221,2.65
21,32001,221,2.65
21,36001,221,2.65
21,40001,221,2.68
21,44001,221,2.66
21,48001,221,2.66
21,52001,221,2.66
21,56001,221,2.66
21,60001,221,2.66
21,64001,221,2.69
21,65535,221,2.69
21,1,241,2.69
21,4001,241,2.59
21,8001,241,2.59
21,12001,241,2.56
21,16001,241,2.56
21,20001,241,2.59
21,24001,241,2.61
21,28001,241,2.61
21,32001,241,2.61
21,36001,241,2.64
21,40001,241,2.64
21,44001,241,2.64
21,48001,241,2.64
21,52001,241,2.63
21,56001,241,2.63
21,60001,241,2.63
21,64001,241,2.63
21,65535,241,2.62
21,1,254,2.62
21,4001,254,2.67
21,8001,254,2.67
21,12001,254,2.66
21,16001,254,2.66
21,20001,254,2.65
21,24001,254,2.65
21,28001,254,2.65
21,32001,254,2.66
21,36001,254,2.66
21,40001,254,2.59
21,44001,254,2.59
21,48001,254,2.61
21,52001,254,2.61
21,56001,254,2.62
21,60001,254,2.62
21,64001,254,2.60
21,65535,254,2.60
41,1,1,1.38
41,4001,1,1.09
41,8001,1,1.09
41,12001,1,1.07
41,16001,1,1.03
41,20001,1,1.03
41,24001,1,0.96
41,28001,1,0.95
41,32001,1,0.95
41,36001,1,0.96
41,40001,1,0.96
41,44001,1,0.96
41,48001,1,0.96
41,52001,1,1.00
41,56001,1,1.01
41,60001,1,1.01
41,64001,1,1.05
41,65535,1,1.08
41,1,21,0.98
41,4001,21,0.95
41,8001,21,0.95
41,12001,21,0.95
41,16001,21,1.02
41,20001,21,1.02
41,24001,21,1.02
41,28001,21,1.01
41,32001,21,1.01
41,36001,21,1.01
41,40001,21,0.97
41,44001,21,0.97
41,48001,21,0.97
41,52001,21,0.97
41,56001,21,0.97
41,60001,21,0.97
41,64001,21,0.97
41,65535,21,0.98
41,1,41,0.98
41,4001,41,0.94
41,8001,41,0.94
41,12001,41,0.94
41,16001,41,0.94
41,20001,41,1.04
41,24001,41,1.04
41,28001,41,1.04
41,32001,41,0.97
41,36001,41,0.97
41,40001,41,1.03
41,44001,41,1.03
41,48001,41,1.03
41,52001,41,1.01
41,56001,41,0.98
41,60001,41,0.98
41,64001,41,0.98
41,65535,41,1.00
41,1,61,1.00
41,4001,61,0.94
41,8001,61,0.94
41,12001,61,0.94
41,16001,61,0.97
41,20001,61,0.97
41,24001,61,0.97
41,28001,61,0.91
41,32001,61,0.91
41,36001,61,0.91
41,40001,61,0.91
41,44001,61,1.03
41,48001,61,1.03
41,52001,61,1.03
41,56001,61,1.01
41,60001,61,0.95
41,64001,61,0.95
41,65535,61,0.97
41,1,81,0.93
41,4001,81,0.90
41,8001,81,0.91
41,12001,81,0.91
41,16001,81,0.93
41,20001,81,0.93
41,24001,81,0.88
41,28001,81,0.88
41,32001,81,0.89
41,36001,81,0.89
41,40001,81,0.93
41,44001,81,0.93
41,48001,81,0.95
41,52001,81,0.95
41,56001,81,0.94
41,60001,81,0.98
41,64001,81,0.99
41,65535,81,0.99
41,1,101,0.92
41,4001,101,0.90
41,8001,101,0.90
41,12001,101,0.91
41,16001,101,0.93
41,20001,101,0.93
41,24001,101,0.91
41,28001,101,0.90
41,32001,101,0.90
41,36001,101,0.90
41,40001,101,0.90
41,44001,101,0.90
41,48001,101,0.92
41,52001,101,0.96
41,56001,101,0.96
41,60001,101,0.96
41,64001,101,0.86
41,65535,101,0.86
41,1,121,0.90
41,4001,121,0.89
41,8001,121,0.89
41,12001,121,0.90
41,16001,121,0.92
41,20001,121,0.92
41,24001,121,0.91
41,28001,121,0.91
41,32001,121,0.87
41,36001,121,0.87
41,40001,121,0.88
41,44001,121,0.89
41,48001,121,0.89
41,52001,121,0.90
41,56001,121,0.91
41,60001,121,0.91
41,64001,121,0.88
41,65535,121,0.88
41,1,141,0.87
41,4001,141,0.85
41,8001,141,0.85
41,12001,141,0.85
41,16001,141,0.92
41,20001,141,0.92
41,24001,141,0.91
41,28001,141,0.91
41,32001,141,0.83
41,36001,141,0.84
41,40001,141,0.84
41,44001,141,0.94
41,48001,141,0.94
41,52001,141,0.95
41,56001,141,0.95
41,60001,141,0.91
41,64001,141,0.89
41,65535,141,0.89
41,1,161,0.85
41,4001,161,0.85
41,8001,161,0.85
41,12001,161,0.90
41,16001,161,0.90
41,20001,161,0.90
41,24001,161,0.84
41,28001,161,0.84
41,32001,161,0.84
41,36001,161,0.89
41,40001,161,0.89
41,44001,161,0.89
41,48001,161,0.89
41,52001,161,0.92
41,56001,161,0.92
41,60001,161,0.92
41,64001,161,0.89
41,65535,161,0.89
41,1,181,0.89
41,4001,181,0.83
41,8001,181,0.83
41,12001,181,0.83
41,16001,181,0.88
41,20001,181,0.92
41,24001,181,0.92
41,28001,181,0.84
41,32001,181,0.82
41,36001,181,0.82
41,40001,181,0.84
41,44001,181,0.90
41,48001,181,0.90
41,52001,181,0.90
41,56001,181,0.90
41,60001,181,0.90
41,64001,181,0.88
41,65535,181,0.88
41,1,201,0.83
41,4001,201,0.83
