bri,mired,watt
1,111,4.72
1,121,4.83
1,131,4.83
1,141,4.83
1,151,4.79
1,161,4.79
1,171,4.77
1,181,4.77
1,191,4.77
1,201,4.77
1,211,4.77
1,221,4.75
1,231,4.75
1,241,4.78
1,251,4.78
1,261,4.74
1,271,4.74
1,281,4.69
1,291,4.69
1,301,4.78
1,311,4.78
1,321,4.78
1,331,4.75
1,341,4.75
1,351,4.71
1,361,4.71
1,371,4.71
1,381,4.71
1,391,4.71
1,401,4.76
1,411,4.76
1,421,4.73
1,431,4.73
1,441,4.67
1,451,4.67
1,461,4.75
1,471,4.75
1,481,4.75
1,491,4.83
1,501,4.83
1,511,4.74
1,521,4.74
1,531,4.64
1,541,4.64
1,551,4.64
1,561,4.74
1,571,4.74
1,581,4.79
1,591,4.79
1,601,4.79
1,611,4.77
1,621,4.77
1,631,4.74
1,641,4.74
1,651,4.74
1,661,4.81
1,666,4.81
6,111,4.74
6,121,4.74
6,131,4.78
6,141,4.78
6,151,4.76
6,161,4.76
6,171,4.59
6,181,4.59
6,191,4.61
6,201,4.61
6,211,4.66
6,221,4.64
6,231,4.55
6,241,4.55
6,251,4.55
6,261,4.67
6,271,4.67
6,281,4.60
6,291,4.60
6,301,4.60
6,311,4.62
6,321,4.62
6,331,4.59
6,341,4.56
6,351,4.58
6,361,4.58
6,371,4.63
6,381,4.63
6,391,4.63
6,401,4.56
6,411,4.57
6,421,4.64
6,431,4.64
6,441,4.64
6,451,4.64
6,461,4.66
6,471,4.66
6,481,4.56
6,491,4.56
6,501,4.59
6,511,4.59
6,521,4.53
6,531,4.53
6,541,4.53
6,551,4.60
6,561,4.60
6,571,4.56
6,581,4.56
6,591,4.56
6,601,4.62
6,611,4.63
6,621,4.62
6,631,4.62
6,641,4.63
6,651,4.59
6,661,4.56
6,666,4.56
11,111,4.59
11,121,4.59
11,131,4.59
11,141,4.61
11,151,4.61
11,161,4.61
11,171,4.59
11,181,4.59
11,191,4.64
11,201,4.64
11,211,4.62
11,221,4.62
11,231,4.62
11,241,4.62
11,251,4.64
11,261,4.64
11,271,4.61
11,281,4.61
11,291,4.61
11,301,4.63
11,311,4.63
11,321,4.58
11,331,4.59
11,341,4.63
11,351,4.63
11,361,4.59
11,371,4.60
11,381,4.66
11,391,4.66
11,401,4.59
11,411,4.59
11,421,4.60
11,431,4.60
11,441,4.62
11,451,4.58
11,461,4.58
11,471,4.59
11,481,4.59
11,491,4.59
11,501,4.63
11,511,4.63
11,521,4.60
11,531,4.58
11,541,4.58
11,551,4.58
11,561,4.62
11,571,4.62
11,581,4.62
11,591,4.59
11,601,4.59
11,611,4.60
11,621,4.60
11,631,4.56
11,641,4.56
11,651,4.61
11,661,4.61
11,666,4.58
16,111,4.61
16,121,4.59
16,131,4.63
16,141,4.66
16,151,4.66
16,161,4.67
16,171,4.67
16,181,4.68
16,191,4.68
16,201,4.63
16,211,4.63
16,221,4.62
16,231,4.62
16,241,4.63
16,251,4.66
16,261,4.66
16,271,4.67
16,281,4.67
16,291,4.67
16,301,4.63
16,311,4.63
16,321,4.63
16,331,4.63
16,341,4.69
16,351,4.69
16,361,4.67
16,371,4.62
16,381,4.62
16,391,4.62
16,401,4.64
16,411,4.64
16,421,4.61
16,431,4.63
16,441,4.66
16,451,4.68
16,461,4.64
16,471,4.61
16,481,4.61
16,491,4.63
16,501,4.64
16,511,4.60
16,521,4.60
16,531,4.65
