bri,mired,watt
1,111,0.73
1,121,0.67
1,131,0.67
1,141,0.67
1,151,0.67
1,161,0.7
1,171,0.705
1,181,0.705
1,191,0.705
1,201,0.71
1,211,0.71
1,221,0.71
1,231,0.665
1,241,0.665
1,251,0.665
1,261,0.715
1,271,0.715
1,281,0.72
1,291,0.72
1,301,0.685
1,311,0.685
1,321,0.68
1,331,0.67
1,341,0.67
1,351,0.7
1,361,0.715
1,371,0.715
1,381,0.7
1,391,0.7
1,401,0.715
1,411,0.715
1,421,0.715
1,431,0.715
1,441,0.715
1,451,0.715
1,461,0.73
1,471,0.73
1,481,0.735
1,491,0.735
1,501,0.68
1,511,0.65
1,521,0.65
1,531,0.68
1,541,0.68
1,551,0.645
1,561,0.645
1,571,0.65
1,581,0.71
1,591,0.71
1,601,0.71
1,611,0.71
1,621,0.715
1,631,0.69
1,641,0.69
1,651,0.69
1,661,0.675
1,666,0.675
6,111,0.675
6,121,0.675
6,131,0.74
6,141,0.74
6,151,0.74
6,161,0.74
6,171,0.71
6,181,0.71
6,191,0.71
6,201,0.71
6,211,0.71
6,221,0.67
6,231,0.67
6,241,0.67
6,251,0.67
6,261,0.77
6,271,0.77
6,281,0.77
6,291,0.77
6,301,0.77
6,311,0.74
6,321,0.74
6,331,0.74
6,341,0.68
6,351,0.68
6,361,0.68
6,371,0.73
6,381,0.73
6,391,0.73
6,401,0.73
6,411,0.75
6,421,0.75
6,431,0.75
6,441,0.83
6,451,0.83
6,461,0.83
6,471,0.83
6,481,0.66
6,491,0.66
6,501,0.66
6,511,0.67
6,521,0.67
6,531,0.67
6,541,0.67
6,551,0.72
6,561,0.72
6,571,0.72
6,581,0.73
6,591,0.73
6,601,0.73
6,611,0.76
6,621,0.76
6,631,0.76
6,641,0.76
6,651,0.68
6,661,0.68
6,666,0.68
11,111,0.72
11,121,0.72
11,131,0.72
11,141,0.77
11,151,0.77
11,161,0.77
11,171,0.73
11,181,0.73
11,191,0.73
11,201,0.73
11,211,0.73
11,221,0.73
11,231,0.73
11,241,0.73
11,251,0.75
11,261,0.75
11,271,0.75
11,281,0.75
11,291,0.74
11,301,0.74
11,311,0.74
11,321,0.74
11,331,0.77
11,341,0.77
11,351,0.77
11,361,0.77
11,371,0.79
11,381,0.79
11,391,0.79
11,401,0.73
11,411,0.73
11,421,0.73
11,431,0.73
11,441,0.76
11,451,0.76
11,461,0.76
11,471,0.77
11,481,0.77
11,491,0.77
11,501,0.77
11,511,0.77
11,521,0.77
11,531,0.72
11,541,0.72
11,551,0.72
11,561,0.75
11,571,0.75
11,581,0.75
11,591,0.75
11,601,0.75
11,611,0.72
11,621,0.72
11,631,0.72
11,641,0.72
11,651,0.69
11,661,0.69
11,666,0.69
16,111,0.75
16,121,0.75
16,131,0.83
16,141,0.83
16,151,0.83
16,161,0.86
16,171,0.86
16,181,0.86
16,191,0.86
16,201,0.77
16,211,0.77
16,221,0.77
16,231,0.77
16,241,0.79
16,251,0.79
16,261,0.79
16,271,0.79
16,281,0.79
16,291,0.79
16,301,0.79
16,311,0.79
16,321,0.77
16,331,0.77
16,341,0.77
16,351,0.77
16,361,0.73
16,371,0.73
16,381,0.73
16,391,0.73
16,401,0.77
16,411,0.77
16,421,0.77
16,431,0.82
16,441,0.82
16,451,0.82
16,461,0.74
16,471,0.74
16,481,0.74
16,491,0.74
16,501,0.75
16,511,0.75
16,521,0.75
16,531,0.84
16,541,0.84
16,551,0.84
16,561,0.84
16,571,0.8
16,581,0.8
16,591,0.8
16,601,0.71
16,611,0.71
16,621,0.71
16,631,0.75
16,641,0.75
16,651,0.75
16,661,0.75
16,666,0.75
21,111,0.83
21,121,0.81
21,131,0.81
21,141,0.81
21,151,0.79
21,161,0.79
21,171,0.79
21,181,0.79
21,191,0.84
21,201,0.84
21,211,0.84
21,221,0.84
21,231,0.86
21,241,0.86
21,251,0.86
21,261,0.86
21,271,0.82
21,281,0.82
21,291,0.82
21,301,0.82
21,311,0.82
21,321,0.82
21,331,0.82
21,341,0.81
21,351,0.81
21,361,0.81
21,371,0.81
21,381,0.77
21,391,0.77
21,401,0.77
21,411,0.77
21,421,0.84
21,431,0.84
21,441,0.84
21,451,0.84
21,461,0.79
21,471,0.79
21,481,0.79
21,491,0.79
21,501,0.85
21,511,0.85
21,521,0.85
21,531,0.85
21,541,0.73
21,551,0.73
21,561,0.73
21,571,0.77
21,581,0.77
21,591,0.77
21,601,0.77
21,611,0.77
21,621,0.77
21,631,0.77
21,641,0.77
21,651,0.76
21,661,0.76
21,666,0.76
26,111,0.75
26,121,0.75
26,131,0.86
26,141,0.86
26,151,0.86
26,161,0.79
26,171,0.79
26,181,0.79
26,191,0.79
26,201,0.85
26,211,0.85
26,221,0.85
26,231,0.85
26,241,0.93
26,251,0.93
26,261,0.93
26,271,0.84
26,281,0.84
26,291,0.84
26,301,0.84
26,311,0.89
26,321,0.89
26,331,0.89
26,341,0.86
26,351,0.86
26,361,0.86
26,371,0.89
26,381,0.89
26,391,0.89
26,401,0.89
26,411,0.86
26,421,0.86
26,431,0.86
26,441,0.86
26,451,0.85
26,461,0.85
26,471,0.85
26,481,0.85
26,491,0.8
26,501,0.8
26,511,0.8
26,521,0.8
26,531,0.79
26,541,0.79
26,551,0.79
26,561,0.82
26,571,0.82
26,581,0.82
26,591,0.82
26,601,0.78
26,611,0.78
26,621,0.78
26,631,0.78
26,641,0.78
26,651,0.76
26,661,0.76
26,666,0.76
31,111,0.8
31,121,0.8
31,131,0.89
31,141,0.89
31,151,0.89
31,161,0.89
31,171,0.86
31,181,0.86
31,191,0.86
