bri,hue,sat,watt
1,1,1,8.48
1,2732,1,8.48
1,5463,1,8.47
1,8194,1,8.46
1,10925,1,8.46
1,13656,1,8.45
1,16387,1,8.46
1,19118,1,8.45
1,21849,1,8.44
1,24580,1,8.44
1,27311,1,8.44
1,30042,1,8.45
1,32773,1,8.43
1,35504,1,8.43
1,38235,1,8.43
1,40966,1,8.42
1,43697,1,8.45
1,46428,1,8.42
1,49159,1,8.41
1,51890,1,8.42
1,54621,1,8.42
1,57352,1,8.42
1,60083,1,8.41
1,62814,1,8.39
1,65535,1,8.41
1,1,33,8.41
1,2732,33,8.4
1,5463,33,8.4
1,8194,33,8.38
1,10925,33,8.39
1,13656,33,8.38
1,16387,33,8.37
1,19118,33,8.36
1,21849,33,8.38
1,24580,33,8.37
1,27311,33,8.37
1,30042,33,8.37
1,32773,33,8.37
1,35504,33,8.35
1,38235,33,8.36
1,40966,33,8.36
1,43697,33,8.36
1,46428,33,8.35
1,49159,33,8.35
1,51890,33,8.35
1,54621,33,8.34
1,57352,33,8.34
1,60083,33,8.33
1,62814,33,8.35
1,65535,33,8.34
1,1,65,8.33
1,2732,65,8.34
1,5463,65,8.34
1,8194,65,8.34
1,10925,65,8.35
1,13656,65,8.32
1,16387,65,8.33
1,19118,65,8.33
1,21849,65,8.34
1,24580,65,8.33
1,27311,65,8.32
1,30042,65,8.32
1,32773,65,8.32
1,35504,65,8.32
1,38235,65,8.32
1,40966,65,8.31
1,43697,65,8.32
1,46428,65,8.33
1,49159,65,8.32
1,51890,65,8.31
1,54621,65,8.31
1,57352,65,8.31
1,60083,65,8.31
1,62814,65,8.32
1,65535,65,8.32
1,1,97,8.3
1,2732,97,8.3
1,5463,97,8.3
1,8194,97,8.3
1,10925,97,8.3
1,13656,97,8.29
1,16387,97,8.3
1,19118,97,8.29
1,21849,97,8.29
1,24580,97,8.28
1,27311,97,8.29
1,30042,97,8.3
1,32773,97,8.29
1,35504,97,8.27
1,38235,97,8.28
1,40966,97,8.28
1,43697,97,8.29
1,46428,97,8.29
1,49159,97,8.29
1,51890,97,8.28
1,54621,97,8.28
1,57352,97,8.29
1,60083,97,8.28
1,62814,97,8.27
1,65535,97,8.28
1,1,129,8.28
1,2732,129,8.27
1,5463,129,8.26
1,8194,129,8.27
1,10925,129,8.27
1,13656,129,8.27
1,16387,129,8.26
1,19118,129,8.25
1,21849,129,8.25
1,24580,129,8.26
1,27311,129,8.27
1,30042,129,8.26
1,32773,129,8.27
1,35504,129,8.28
1,38235,129,8.24
1,40966,129,8.25
1,43697,129,8.23
1,46428,129,8.24
1,49159,129,8.24
1,51890,129,8.25
1,54621,129,8.24
1,57352,129,8.23
1,60083,129,8.24
1,62814,129,8.24
1,65535,129,8.25
1,1,161,8.23
1,2732,161,8.23
1,5463,161,8.23
1,8194,161,8.23
1,10925,161,8.25
1,13656,161,8.24
1,16387,161,8.23
1,19118,161,8.24
1,21849,161,8.22
1,24580,161,8.25
1,27311,161,8.24
1,30042,161,8.22
1,32773,161,8.22
1,35504,161,8.22
1,38235,161,8.23
1,40966,161,8.23
1,43697,161,8.23
1,46428,161,8.25
1,49159,161,8.24
1,51890,161,8.23
1,54621,161,8.21
1,57352,161,8.21
1,60083,161,8.22
1,62814,161,8.22
1,65535,161,8.21
1,1,193,8.22
1,2732,193,8.2
1,5463,193,8.21
1,8194,193,8.21
1,10925,193,8.2
1,13656,193,8.21
1,16387,193,8.21
1,19118,193,8.22
1,21849,193,8.21
1,24580,193,8.21
1,27311,193,8.21
1,30042,193,8.2
1,32773,193,8.21
1,35504,193,8.19
1,38235,193,8.2
1,40966,193,8.2
1,43697,193,8.21
1,46428,193,8.21
1,49159,193,8.22
1,51890,193,8.2
1,54621,193,8.19
1,57352,193,8.21
1,60083,193,8.21
1,62814,193,8.2
1,65535,193,8.2
1,1,225,8.2
1,2732,225,8.2
1,5463,225,8.19
1,8194,225,8.21
1,10925,225,8.2
1,13656,225,8.19
1,16387,225,8.2
1,19118,225,8.19
1,21849,225,8.2
1,24580,225,8.18
1,27311,225,8.2
1,30042,225,8.19
1,32773,225,8.19
1,35504,225,8.2
1,38235,225,8.2
1,40966,225,8.2
1,43697,225,8.19
1,46428,225,8.19
1,49159,225,8.19
1,51890,225,8.19
1,54621,225,8.19
1,57352,225,8.19
1,60083,225,8.2
1,62814,225,8.19
1,65535,225,8.19
1,1,255,8.19
1,2732,255,8.18
1,5463,255,8.18
1,8194,255,8.18
1,10925,255,8.19
1,13656,255,8.21
1,16387,255,8.18
1,19118,255,8.18
1,21849,255,8.17
1,24580,255,8.19
1,27311,255,8.17
1,30042,255,8.17
1,32773,255,8.18
1,35504,255,8.18
1,38235,255,8.19
1,40966,255,8.17
1,43697,255,8.18
1,46428,255,8.19
1,49159,255,8.19
1,51890,255,8.19
1,54621,255,8.18
1,57352,255,8.18
1,60083,255,8.19
1,62814,255,8.19
1,65535,255,8.17
33,1,1,0.66
33,2732,1,0.67
33,5463,1,0.67
33,8194,1,0.66
33,10925,1,0.68
33,13656,1,0.66
33,16387,1,0.66
33,19118,1,0.66
33,21849,1,0.68
33,24580,1,0.66
33,27311,1,0.67
33,30042,1,0.67
33,32773,1,0.69
33,35504,1,0.67
33,38235,1,0.68
33,40966,1,0.68
33,43697,1,0.66
33,46428,1,0.67
33,49159,1,0.67
33,51890,1,0.66
33,54621,1,0.68
33,57352,1,0.67
33,60083,1,0.66
33,62814,1,0.67
33,65535,1,0.66
33,1,33,0.66
33,2732,33,0.65
33,5463,33,0.66
33,8194,33,0.66
33,10925,33,0.67
33,13656,33,0.69
33,16387,33,0.67
33,19118,33,0.66
33,21849,33,0.67
33,24580,33,0.66
33,27311,33,0.68
33,30042,33,0.69
33,32773,33,0.68
33,35504,33,0.67
33,38235,33,0.67
33,40966,33,0.69
33,43697,33,0.68
33,46428,33,0.66
33,49159,33,0.66
33,51890,33,0.65
33,54621,33,8.47
33,57352,33,8.45
33,60083,33,0.64
33,62814,33,0.65
33,65535,33,0.65
33,1,65,8.45
33,2732,65,8.46
33,5463,65,0.64
33,8194,65,8.46
33,10925,65,8.45
33,13656,65,0.66
33,16387,65,0.67
33,19118,65,0.66
33,21849,65,0.61
33,24580,65,0.64
33,27311,65,0.65
33,30042,65,0.65
33,32773,65,0.64
33,35504,65,0.68
33,38235,65,0.68
33,40966,65,0.67
33,43697,65,0.66
33,46428,65,0.64
33,49159,65,8.49
33,51890,65,8.46
33,54621,65,8.44
33,57352,65,8.43
33,60083,65,8.43
33,62814,65,8.43
33,65535,65,8.42
33,1,97,8.4
33,2732,97,8.41
33,5463,97,8.42
33,8194,97,8.44
33,10925,97,0.64
33,13656,97,0.63
33,16387,97,0.62
33,19118,97,0.61
33,21849,97,0.6
33,24580,97,0.59
33,27311,97,0.6
33,30042,97,0.59
33,32773,97,0.62
33,35504,97,0.63
33,38235,97,0.67
33,40966,97,8.5
33,43697,97,0.66
33,46428,97,8.49
33,49159,97,8.45
33,51890,97,8.42
33,54621,97,8.42
33,57352,97,8.41
33,60083,97,8.42
33,62814,97,8.41
33,65535,97,8.4
33,1,129,8.38
33,2732,129,8.4
33,5463,129,8.43
33,8194,129,0.64
33,10925,129,0.62
33,13656,129,0.61
33,16387,129,0.6
33,19118,129,0.61
33,21849,129,0.58
33,24580,129,0.57
33,27311,129,0.56
33,30042,129,0.6
33,32773,129,0.59
33,35504,129,0.6
33,38235,129,0.64
33,40966,129,0.66
33,43697,129,0.67
33,46428,129,0.64
33,49159,129,8.47
33,51890,129,8.45
33,54621,129,8.42
33,57352,129,8.42
33,60083,129,8.41
33,62814,129,8.4
33,65535,129,8.39
33,1,161,8.37
33,2732,161,8.4
33,5463,161,8.4
33,8194,161,0.62
33,10925,161,0.61
33,13656,161,0.61
33,16387,161,0.59
33,19118,161,0.58
33,21849,161,0.57
33,24580,161,0.58
33,27311,161,0.57
33,30042,161,0.58
33,32773,161,0.59
33,35504,161,0.6
33,38235,161,0.63
33,40966,161,0.68
33,43697,161,0.62
33,46428,161,0.63
33,49159,161,0.63
33,51890,161,8.46
33,54621,161,8.43
33,57352,161,8.42
33,60083,161,8.39
33,62814,161,8.39
33,65535,161,8.41
33,1,193,8.38
33,2732,193,8.38
33,5463,193,8.41
33,8194,193,0.61
33,10925,193,0.61
33,13656,193,0.59
33,16387,193,0.57
33,19118,193,0.57
33,21849,193,0.57
33,24580,193,0.58
33,27311,193,0.56
33,30042,193,0.58
33,32773,193,0.57
33,35504,193,0.61
33,38235,193,0.62
33,40966,193,0.62
33,43697,193,0.61
33,46428,193,0.61
33,49159,193,0.63
33,51890,193,8.47
33,54621,193,8.44
33,57352,193,8.41
33,60083,193,8.41
33,62814,193,8.4
33,65535,193,8.4
33,1,225,8.38
33,2732,225,8.39
33,5463,225,8.43
33,8194,225,0.61
33,10925,225,0.59
33,13656,225,0.58
33,16387,225,0.57
33,19118,225,0.56
33,21849,225,0.57
33,24580,225,0.57
33,27311,225,0.56
33,30042,225,0.57
33,32773,225,0.58
33,35504,225,0.6
33,38235,225,0.63
33,40966,225,0.6
33,43697,225,0.6
33,46428,225,0.6
33,49159,225,0.63
33,51890,225,8.48
33,54621,225,8.44
33,57352,225,8.44
33,60083,225,8.42
33,62814,225,8.4
33,65535,225,8.39
33,1,255,8.39
33,2732,255,8.41
33,5463,255,8.41
33,8194,255,0.62
33,10925,255,0.62
33,13656,255,0.59
33,16387,255,0.56
33,19118,255,0.57
33,21849,255,0.56
33,24580,255,0.57
33,27311,255,0.57
33,30042,255,0.58
33,32773,255,0.57
33,35504,255,0.6
33,38235,255,0.65
33,40966,255,0.6
33,43697,255,0.6
33,46428,255,0.6
33,49159,255,0.62
33,51890,255,0.61
33,54621,255,8.47
33,57352,255,8.43
33,60083,255,8.41
33,62814,255,8.39
33,65535,255,8.4
65,1,1,1.08
65,2732,1,1.08
65,5463,1,1.09
65,8194,1,1.07
65,10925,1,1.08
65,13656,1,1.08
65,16387,1,1.09
65,19118,1,1.07
65,21849,1,1.1
65,24580,1,1.11
65,27311,1,1.09
65,30042,1,1.08
65,32773,1,1.1
65,35504,1,1.1
65,38235,1,1.09
65,40966,1,1.08
65,43697,1,1.09
65,46428,1,1.07
65,49159,1,1.1
65,51890,1,1.07
65,54621,1,1.08
65,57352,1,1.08
65,60083,1,1.09
65,62814,1,1.07
65,65535,1,1.08
65,1,33,1.01
65,2732,33,1.03
65,5463,33,1.06
65,8194,33,1.09
65,10925,33,1.12
65,13656,33,1.1
65,16387,33,1.1
65,19118,33,1.11
65,21849,33,1.1
65,24580,33,1.09
65,27311,33,1.1
65,30042,33,1.09
65,32773,33,1.11
65,35504,33,1.08
65,38235,33,1.11
65,40966,33,1.09
65,43697,33,1.08
65,46428,33,1.06
65,49159,33,1.05
65,51890,33,1.03
65,54621,33,1.02
65,57352,33,1.02
65,60083,33,1.04
65,62814,33,1.01
65,65535,33,1.01
65,1,65,0.96
65,2732,65,0.99
65,5463,65,1.03
65,8194,65,1.03
65,10925,65,1.03
65,13656,65,1.05
65,16387,65,1.1
65,19118,65,1.04
65,21849,65,0.95
65,24580,65,0.95
65,27311,65,0.98
65,30042,65,0.99
65,32773,65,1.0
65,35504,65,1.09
65,38235,65,1.09
65,40966,65,1.12
65,43697,65,1.11
65,46428,65,1.04
65,49159,65,1.02
65,51890,65,0.98
65,54621,65,0.98
65,57352,65,0.96
65,60083,65,0.96
65,62814,65,0.96
65,65535,65,0.95
65,1,97,0.88
65,2732,97,0.95
65,5463,97,0.96
65,8194,97,0.99
65,10925,97,0.99
65,13656,97,1.0
65,16387,97,0.93
65,19118,97,0.9
65,21849,97,0.82
65,24580,97,0.85
65,27311,97,0.86
65,30042,97,0.85
65,32773,97,0.89
65,35504,97,0.94
65,38235,97,1.11
65,40966,97,1.09
65,43697,97,1.1
65,46428,97,1.03
65,49159,97,1.0
65,51890,97,0.96
65,54621,97,0.92
65,57352,97,0.92
65,60083,97,0.91
65,62814,97,0.9
65,65535,97,0.89
65,1,129,0.8
65,2732,129,0.88
65,5463,129,0.92
65,8194,129,0.96
65,10925,129,0.95
65,13656,129,0.89
65,16387,129,0.85
65,19118,129,0.83
65,21849,129,0.79
65,24580,129,0.78
65,27311,129,0.8
65,30042,129,0.81
65,32773,129,0.84
65,35504,129,0.88
65,38235,129,0.98
65,40966,129,1.1
65,43697,129,1.07
65,46428,129,1.03
65,49159,129,0.96
65,51890,129,0.92
65,54621,129,0.87
65,57352,129,0.87
65,60083,129,0.85
65,62814,129,0.81
65,65535,129,0.8
65,1,161,0.76
