bri,mired,watt
1,111,0.5
1,121,0.55
1,131,0.5
1,141,0.5
1,151,0.5
1,161,0.4
1,171,0.5
1,181,0.45
1,191,0.45
1,201,0.4
1,211,0.45
1,221,0.45
1,231,0.4
1,241,0.45
1,251,0.45
1,261,0.4
1,271,0.4
1,281,0.45
1,291,0.4
1,301,0.5
1,311,0.45
1,321,0.45
1,331,0.45
1,341,0.5
1,351,0.5
1,361,0.4
1,371,0.5
1,381,0.5
1,391,0.4
1,401,0.45
1,411,0.45
1,421,0.5
1,431,0.45
1,441,0.4
1,451,0.45
1,461,0.45
1,471,0.4
1,481,0.5
1,491,0.45
1,501,0.5
1,511,0.45
1,521,0.4
1,531,0.5
1,541,0.45
1,551,0.45
1,561,0.45
1,571,0.5
1,581,0.45
1,591,0.45
1,601,0.45
1,611,0.45
1,621,0.5
1,631,0.4
1,641,0.4
1,651,0.45
1,661,0.5
1,666,0.5
6,111,0.45
6,121,0.5
6,131,0.5
6,141,0.45
6,151,0.5
6,161,0.5
6,171,0.5
6,181,0.5
6,191,0.45
6,201,0.5
6,211,0.5
6,221,0.5
6,231,0.5
6,241,0.4
6,251,0.45
6,261,0.45
6,271,0.4
6,281,0.45
6,291,0.4
6,301,0.45
6,311,0.4
6,321,0.4
6,331,0.5
6,341,0.5
6,351,0.45
6,361,0.5
6,371,0.5
6,381,0.55
6,391,0.5
6,401,0.45
6,411,0.5
6,421,0.45
6,431,0.4
6,441,0.4
6,451,0.4
6,461,0.5
6,471,0.5
6,481,0.4
6,491,0.5
6,501,0.45
6,511,0.4
6,521,0.45
6,531,0.45
6,541,0.5
6,551,0.45
6,561,0.4
6,571,0.4
6,581,0.45
6,591,0.45
6,601,0.45
6,611,0.45
6,621,0.4
6,631,0.4
6,641,0.45
6,651,0.4
6,661,0.45
6,666,0.45
11,111,0.45
11,121,0.5
11,131,0.5
11,141,0.5
11,151,0.5
11,161,0.5
11,171,0.55
11,181,0.5
11,191,0.45
11,201,0.45
11,211,0.5
11,221,0.45
11,231,0.5
11,241,0.4
11,251,0.4
11,261,0.4
11,271,0.4
11,281,0.45
11,291,0.4
11,301,0.45
11,311,0.5
11,321,0.5
11,331,0.5
11,341,0.45
11,351,0.5
11,361,0.45
11,371,0.5
11,381,0.5
11,391,0.45
11,401,0.5
11,411,0.4
11,421,0.4
11,431,0.45
11,441,0.4
11,451,0.4
11,461,0.45
11,471,0.4
11,481,0.45
11,491,0.45
11,501,0.5
11,511,0.45
11,521,0.45
11,531,0.4
11,541,0.45
11,551,0.4
11,561,0.4
11,571,0.4
11,581,0.4
11,591,0.45
11,601,0.4
11,611,0.4
11,621,0.45
11,631,0.45
11,641,0.5
11,651,0.4
11,661,0.4
11,666,0.4
16,111,0.5
16,121,0.5
16,131,0.55
16,141,0.5
16,151,0.5
16,161,0.5
16,171,0.5
16,181,0.5
16,191,0.5
16,201,0.5
16,211,0.5
16,221,0.45
16,231,0.5
16,241,0.5
16,251,0.45
16,261,0.4
16,271,0.5
16,281,0.45
16,291,0.5
16,301,0.5
16,311,0.5
16,321,0.5
16,331,0.5
16,341,0.5
16,351,0.5
16,361,0.55
16,371,0.5
16,381,0.5
16,391,0.5
16,401,0.5
16,411,0.5
16,421,0.5
16,431,0.5
16,441,0.5
16,451,0.45
16,461,0.5
16,471,0.5
16,481,0.5
16,491,0.45
16,501,0.5
16,511,0.5
16,521,0.5
16,531,0.5
16,541,0.5
16,551,0.5
16,561,0.4
16,571,0.45
16,581,0.5
16,591,0.45
16,601,0.45
16,611,0.4
16,621,0.4
16,631,0.45
16,641,0.4
16,651,0.45
16,661,0.4
16,666,0.4
21,111,0.5
21,121,0.5
21,131,0.55
21,141,0.5
21,151,0.5
21,161,0.5
21,171,0.55
21,181,0.5
21,191,0.5
21,201,0.5
21,211,0.5
21,221,0.5
21,231,0.5
21,241,0.45
21,251,0.5
21,261,0.5
21,271,0.4
21,281,0.4
21,291,0.5
21,301,0.5
21,311,0.5
21,321,0.5
21,331,0.5
21,341,0.5
21,351,0.6
21,361,0.5
21,371,0.55
21,381,0.5
21,391,0.45
21,401,0.5
21,411,0.5
21,421,0.5
21,431,0.45
21,441,0.5
21,451,0.45
21,461,0.5
21,471,0.45
21,481,0.5
21,491,0.5
21,501,0.5
21,511,0.5
21,521,0.5
21,531,0.5
21,541,0.5
21,551,0.5
21,561,0.5
21,571,0.5
21,581,0.4
21,591,0.45
21,601,0.45
21,611,0.45
21,621,0.5
21,631,0.45
21,641,0.5
21,651,0.5
21,661,0.45
21,666,0.5
26,111,0.6
26,121,0.6
26,131,0.55
26,141,0.55
26,151,0.65
26,161,0.6
26,171,0.6
26,181,0.5
26,191,0.6
26,201,0.6
26,211,0.5
26,221,0.5
26,231,0.5
26,241,0.5
26,251,0.5
26,261,0.5
26,271,0.5
26,281,0.5
26,291,0.45
26,301,0.5
26,311,0.5
26,321,0.55
26,331,0.55
26,341,0.6
26,351,0.6
26,361,0.6
26,371,0.55
26,381,0.6
26,391,0.6
26,401,0.6
26,411,0.55
26,421,0.55
26,431,0.55
26,441,0.5
26,451,0.5
26,461,0.5
26,471,0.5
26,481,0.5
26,491,0.5
26,501,0.5
26,511,0.5
26,521,0.5
26,531,0.5
26,541,0.5
26,551,0.45
26,561,0.5
26,571,0.5
26,581,0.5
26,591,0.5
26,601,0.5
26,611,0.5
26,621,0.5
26,631,0.45
26,641,0.45
26,651,0.5
26,661,0.4
26,666,0.4
31,111,0.6
31,121,0.65
31,131,0.65
31,141,0.6
31,151,0.6
31,161,0.6
31,171,0.65
31,181,0.6
31,191,0.6
