bri,hue,sat,watt
1,1,1,1.315
1,4001,1,1.455
1,8001,1,1.205
1,12001,1,1.1
1,16001,1,1.07
1,20001,1,1.055
1,24001,1,1.05
1,28001,1,1.08
1,32001,1,1.05
1,36001,1,1.06
1,40001,1,1.095
1,44001,1,1.095
1,48001,1,1.065
1,52001,1,1.075
1,56001,1,1.115
1,60001,1,1.115
1,64001,1,1.065
1,65535,1,1.08
1,1,21,1.075
1,4001,21,1.09
1,8001,21,1.105
1,12001,21,1.095
1,16001,21,1.09
1,20001,21,1.08
1,24001,21,1.065
1,28001,21,1.045
1,32001,21,1.055
1,36001,21,1.075
1,40001,21,1.075
1,44001,21,1.115
1,48001,21,1.09
1,52001,21,1.08
1,56001,21,1.12
1,60001,21,1.11
1,64001,21,1.14
1,65535,21,1.115
1,1,41,1.065
1,4001,41,1.085
1,8001,41,1.095
1,12001,41,1.12
1,16001,41,1.11
1,20001,41,1.13
1,24001,41,1.075
1,28001,41,1.06
1,32001,41,1.08
1,36001,41,1.095
1,40001,41,1.06
1,44001,41,1.06
1,48001,41,1.075
1,52001,41,1.085
1,56001,41,1.14
1,60001,41,1.1
1,64001,41,1.07
1,65535,41,1.05
1,1,61,1.09
1,4001,61,1.095
1,8001,61,1.07
1,12001,61,1.115
1,16001,61,1.13
1,20001,61,1.05
1,24001,61,1.035
1,28001,61,1.055
1,32001,61,1.06
1,36001,61,1.085
1,40001,61,1.125
1,44001,61,1.085
1,48001,61,1.105
1,52001,61,1.085
1,56001,61,1.11
1,60001,61,1.13
1,64001,61,1.09
1,65535,61,1.06
1,1,81,1.115
1,4001,81,1.105
1,8001,81,1.11
1,12001,81,1.11
1,16001,81,1.085
1,20001,81,1.08
1,24001,81,1.1
1,28001,81,1.1
1,32001,81,1.065
1,36001,81,1.095
1,40001,81,1.09
1,44001,81,1.08
1,48001,81,1.07
1,52001,81,1.1
1,56001,81,1.085
1,60001,81,1.13
1,64001,81,1.11
1,65535,81,1.05
1,1,101,1.115
1,4001,101,1.065
1,8001,101,1.06
1,12001,101,1.05
1,16001,101,1.11
1,20001,101,1.085
1,24001,101,1.045
1,28001,101,1.045
1,32001,101,1.09
1,36001,101,1.105
1,40001,101,1.105
1,44001,101,1.065
1,48001,101,1.07
1,52001,101,1.11
1,56001,101,1.095
1,60001,101,1.08
1,64001,101,1.125
1,65535,101,1.125
1,1,121,1.11
1,4001,121,1.11
1,8001,121,1.13
1,12001,121,1.1
1,16001,121,1.135
1,20001,121,1.12
1,24001,121,1.125
1,28001,121,1.095
1,32001,121,1.11
1,36001,121,1.085
1,40001,121,1.07
1,44001,121,1.08
1,48001,121,1.115
1,52001,121,1.085
1,56001,121,1.085
1,60001,121,1.1
1,64001,121,1.13
1,65535,121,1.08
1,1,141,1.115
1,4001,141,1.085
1,8001,141,1.1
1,12001,141,1.075
1,16001,141,1.07
1,20001,141,1.065
1,24001,141,1.055
1,28001,141,1.05
1,32001,141,1.07
1,36001,141,1.05
1,40001,141,1.065
1,44001,141,1.08
1,48001,141,1.08
1,52001,141,1.09
1,56001,141,1.09
1,60001,141,1.09
1,64001,141,1.095
1,65535,141,1.075
1,1,161,1.06
1,4001,161,1.07
1,8001,161,1.09
1,12001,161,1.11
1,16001,161,1.09
1,20001,161,1.095
1,24001,161,1.07
1,28001,161,1.065
1,32001,161,1.105
1,36001,161,1.065
1,40001,161,1.08
1,44001,161,1.085
1,48001,161,1.065
1,52001,161,1.11
1,56001,161,1.105
1,60001,161,1.11
1,64001,161,1.105
1,65535,161,1.07
1,1,181,1.085
1,4001,181,1.095
1,8001,181,1.13
1,12001,181,1.095
1,16001,181,1.1
1,20001,181,1.075
1,24001,181,1.07
1,28001,181,1.05
1,32001,181,1.115
1,36001,181,1.11
1,40001,181,1.11
1,44001,181,1.07
1,48001,181,1.06
1,52001,181,1.1
1,56001,181,1.09
1,60001,181,1.105
1,64001,181,1.085
1,65535,181,1.075
1,1,201,1.085
1,4001,201,1.075
1,8001,201,1.06
1,12001,201,1.105
1,16001,201,1.1
1,20001,201,1.075
1,24001,201,1.06
1,28001,201,1.09
1,32001,201,1.08
1,36001,201,1.025
1,40001,201,1.045
1,44001,201,1.04
1,48001,201,1.045
1,52001,201,1.03
1,56001,201,1.05
1,60001,201,1.09
1,64001,201,1.075
1,65535,201,1.04
1,1,221,1.065
1,4001,221,1.04
1,8001,221,1.04
1,12001,221,1.045
1,16001,221,1.09
1,20001,221,1.025
1,24001,221,1.035
1,28001,221,1.08
1,32001,221,1.07
1,36001,221,1.05
1,40001,221,1.015
1,44001,221,1.05
1,48001,221,1.03
1,52001,221,1.035
1,56001,221,1.055
1,60001,221,1.075
1,64001,221,1.04
1,65535,221,1.035
1,1,241,1.02
1,4001,241,1.065
1,8001,241,1.065
1,12001,241,1.015
1,16001,241,1.03
1,20001,241,1.05
1,24001,241,1.03
1,28001,241,1.05
1,32001,241,1.03
1,36001,241,1.035
1,40001,241,1.03
1,44001,241,1.08
1,48001,241,1.06
1,52001,241,1.075
1,56001,241,1.055
1,60001,241,1.11
1,64001,241,1.095
1,65535,241,1.035
1,1,254,1.055
1,4001,254,1.05
1,8001,254,1.05
1,12001,254,1.035
1,16001,254,1.055
1,20001,254,1.055
1,24001,254,1.025
1,28001,254,1.02
1,32001,254,1.04
1,36001,254,1.01
1,40001,254,1.05
1,44001,254,1.015
1,48001,254,1.06
1,52001,254,1.09
1,56001,254,1.075
1,60001,254,1.13
1,64001,254,1.085
1,65535,254,1.075
21,1,1,1.155
21,4001,1,1.145
21,8001,1,1.145
21,12001,1,1.13
21,16001,1,1.13
21,20001,1,1.095
21,24001,1,1.105
21,28001,1,1.085
21,32001,1,1.11
21,36001,1,1.12
21,40001,1,1.13
21,44001,1,1.135
21,48001,1,1.135
21,52001,1,1.115
21,56001,1,1.12
21,60001,1,1.15
21,64001,1,1.18
21,65535,1,1.165
21,1,21,1.195
21,4001,21,1.17
21,8001,21,1.165
21,12001,21,1.155
21,16001,21,1.14
21,20001,21,1.145
21,24001,21,1.08
21,28001,21,1.1
21,32001,21,1.12
21,36001,21,1.105
21,40001,21,1.095
21,44001,21,1.195
21,48001,21,1.19
21,52001,21,1.18
21,56001,21,1.18
21,60001,21,1.185
21,64001,21,1.19
21,65535,21,1.17
21,1,41,1.165
21,4001,41,1.11
21,8001,41,1.14
21,12001,41,1.155
21,16001,41,1.16
21,20001,41,1.14
21,24001,41,1.11
21,28001,41,1.09
21,32001,41,1.1
21,36001,41,1.11
21,40001,41,1.15
21,44001,41,1.135
21,48001,41,1.13
21,52001,41,1.145
21,56001,41,1.155
21,60001,41,1.195
21,64001,41,1.18
21,65535,41,1.155
21,1,61,1.115
21,4001,61,1.105
21,8001,61,1.155
21,12001,61,1.16
21,16001,61,1.145
21,20001,61,1.125
21,24001,61,1.12
21,28001,61,1.14
21,32001,61,1.14
21,36001,61,1.155
21,40001,61,1.155
21,44001,61,1.13
21,48001,61,1.14
21,52001,61,1.165
21,56001,61,1.185
21,60001,61,1.16
21,64001,61,1.165
21,65535,61,1.17
21,1,81,1.145
21,4001,81,1.135
21,8001,81,1.17
21,12001,81,1.14
21,16001,81,1.155
21,20001,81,1.135
21,24001,81,1.125
21,28001,81,1.13
21,32001,81,1.1
21,36001,81,1.12
21,40001,81,1.145
21,44001,81,1.12
21,48001,81,1.145
21,52001,81,1.125
21,56001,81,1.165
21,60001,81,1.145
21,64001,81,1.15
21,65535,81,1.105
21,1,101,1.115
21,4001,101,1.12
21,8001,101,1.135
21,12001,101,1.15
21,16001,101,1.15
21,20001,101,1.165
21,24001,101,1.155
21,28001,101,1.135
21,32001,101,1.185
21,36001,101,1.195
21,40001,101,1.15
21,44001,101,1.135
21,48001,101,1.12
21,52001,101,1.125
21,56001,101,1.16
21,60001,101,1.165
21,64001,101,1.15
21,65535,101,1.14
21,1,121,1.12
21,4001,121,1.145
21,8001,121,1.12
21,12001,121,1.165
21,16001,121,1.125
21,20001,121,1.145
21,24001,121,1.125
21,28001,121,1.11
21,32001,121,1.165
21,36001,121,1.18
21,40001,121,1.135
21,44001,121,1.13
21,48001,121,1.12
21,52001,121,1.155
21,56001,121,1.13
21,60001,121,1.16
21,64001,121,1.205
21,65535,121,1.165
21,1,141,1.15
21,4001,141,1.11
21,8001,141,1.145
21,12001,141,1.14
21,16001,141,1.16
21,20001,141,1.165
21,24001,141,1.145
21,28001,141,1.11
21,32001,141,1.135
21,36001,141,1.13
21,40001,141,1.11
21,44001,141,1.145
21,48001,141,1.11
21,52001,141,1.165
21,56001,141,1.135
21,60001,141,1.18
21,64001,141,1.175
21,65535,141,1.095
21,1,161,1.13
21,4001,161,1.115
21,8001,161,1.095
21,12001,161,1.135
21,16001,161,1.13
21,20001,161,1.135
21,24001,161,1.075
21,28001,161,1.105
21,32001,161,1.115
21,36001,161,1.13
21,40001,161,1.115
21,44001,161,1.11
21,48001,161,1.115
21,52001,161,1.155
21,56001,161,1.145
21,60001,161,1.145
21,64001,161,1.155
21,65535,161,1.11
21,1,181,1.11
21,4001,181,1.125
21,8001,181,1.145
21,12001,181,1.14
21,16001,181,1.155
21,20001,181,1.145
21,24001,181,1.105
21,28001,181,1.11
21,32001,181,1.1
21,36001,181,1.155
21,40001,181,1.15
21,44001,181,1.15
21,48001,181,1.15
21,52001,181,1.085
21,56001,181,1.15
21,60001,181,1.145
21,64001,181,1.115
21,65535,181,1.115
21,1,201,1.125
21,4001,201,1.135
21,8001,201,1.15
21,12001,201,1.12
21,16001,201,1.11
21,20001,201,1.07
21,24001,201,1.095
21,28001,201,1.07
21,32001,201,1.09
21,36001,201,1.09
21,40001,201,1.07
21,44001,201,1.14
21,48001,201,1.16
21,52001,201,1.135
21,56001,201,1.15
21,60001,201,1.145
21,64001,201,1.105
21,65535,201,1.095
21,1,221,1.105
21,4001,221,1.14
21,8001,221,1.13
21,12001,221,1.155
21,16001,221,1.125
21,20001,221,1.1
21,24001,221,1.08
21,28001,221,1.1
21,32001,221,1.12
21,36001,221,1.135
21,40001,221,1.16
21,44001,221,1.11
21,48001,221,1.115
21,52001,221,1.15
21,56001,221,1.145
21,60001,221,1.15
21,64001,221,1.13
21,65535,221,1.14
21,1,241,1.075
21,4001,241,1.06
21,8001,241,1.015
21,12001,241,1.04
21,16001,241,1.11
21,20001,241,1.105
21,24001,241,1.095
21,28001,241,1.02
21,32001,241,1.105
21,36001,241,1.115
21,40001,241,1.11
21,44001,241,1.06
21,48001,241,1.085
21,52001,241,1.065
21,56001,241,1.1
21,60001,241,1.09
21,64001,241,1.12
21,65535,241,1.085
21,1,254,1.07
21,4001,254,1.075
21,8001,254,1.045
21,12001,254,1.065
21,16001,254,1.045
21,20001,254,1.015
21,24001,254,1.025
21,28001,254,1.055
21,32001,254,1.055
21,36001,254,1.085
21,40001,254,1.075
21,44001,254,1.04
21,48001,254,1.08
21,52001,254,1.095
21,56001,254,1.065
21,60001,254,1.09
21,64001,254,1.08
21,65535,254,1.08
41,1,1,1.31
41,4001,1,1.33
41,8001,1,1.305
41,12001,1,1.305
41,16001,1,1.28
41,20001,1,1.265
41,24001,1,1.255
41,28001,1,1.275
41,32001,1,1.26
41,36001,1,1.26
41,40001,1,1.235
41,44001,1,1.28
41,48001,1,1.28
41,52001,1,1.275
41,56001,1,1.305
41,60001,1,1.29
41,64001,1,1.315
41,65535,1,1.3
41,1,21,1.385
41,4001,21,1.44
41,8001,21,1.425
41,12001,21,1.345
41,16001,21,1.295
41,20001,21,1.305
41,24001,21,1.25
41,28001,21,1.245
41,32001,21,1.25
41,36001,21,1.295
41,40001,21,1.295
41,44001,21,1.33
41,48001,21,1.335
41,52001,21,1.37
41,56001,21,1.46
41,60001,21,1.445
41,64001,21,1.425
41,65535,21,1.365
41,1,41,1.365
41,4001,41,1.36
41,8001,41,1.37
41,12001,41,1.375
41,16001,41,1.305
41,20001,41,1.28
41,24001,41,1.245
41,28001,41,1.265
41,32001,41,1.295
41,36001,41,1.3
41,40001,41,1.345
41,44001,41,1.34
41,48001,41,1.33
41,52001,41,1.37
41,56001,41,1.385
41,60001,41,1.405
41,64001,41,1.41
41,65535,41,1.38
41,1,61,1.315
41,4001,61,1.33
41,8001,61,1.33
41,12001,61,1.405
41,16001,61,1.315
41,20001,61,1.31
41,24001,61,1.32
41,28001,61,1.26
41,32001,61,1.305
41,36001,61,1.305
41,40001,61,1.34
41,44001,61,1.27
41,48001,61,1.245
41,52001,61,1.235
41,56001,61,1.29
41,60001,61,1.36
41,64001,61,1.37
41,65535,61,1.335
41,1,81,1.305
41,4001,81,1.285
41,8001,81,1.29
41,12001,81,1.335
41,16001,81,1.34
41,20001,81,1.325
41,24001,81,1.295
41,28001,81,1.3
41,32001,81,1.27
41,36001,81,1.3
41,40001,81,1.295
41,44001,81,1.25
41,48001,81,1.24
41,52001,81,1.265
41,56001,81,1.34
41,60001,81,1.35
41,64001,81,1.335
41,65535,81,1.275
41,1,101,1.285
41,4001,101,1.3
41,8001,101,1.275
41,12001,101,1.32
41,16001,101,1.325
41,20001,101,1.285
41,24001,101,1.29
41,28001,101,1.265
41,32001,101,1.29
