bri,mired,watt
1,111,3.126
1,121,2.876
1,131,2.444
1,141,2.12
1,151,2.088
1,161,2.056
1,171,2.094
1,181,2.102
1,191,2.082
1,201,2.05
1,211,2.058
1,221,2.078
1,231,2.046
1,241,2.06
1,251,2.06
1,261,2.112
1,271,2.088
1,281,2.04
1,291,1.94
1,301,2.02
1,311,2.012
1,321,2.052
1,331,2.068
1,341,2.098
1,351,2.074
1,361,2.102
1,371,2.07
1,381,2.07
1,391,2.078
1,401,2.086
1,411,2.088
1,421,2.064
1,431,2.086
1,441,2.126
1,451,2.11
1,461,2.06
1,471,2.036
1,481,2.106
1,491,2.122
1,501,2.114
1,511,2.092
1,521,2.1
1,531,2.124
1,541,2.108
1,551,2.084
1,561,2.108
1,571,2.084
1,581,2.132
1,591,2.148
1,601,2.124
1,611,2.074
1,621,2.114
1,631,2.124
1,641,2.1
1,651,2.124
1,661,2.11
1,666,2.094
6,111,2.046
6,121,2.04
6,131,2.032
6,141,2.088
6,151,2.086
6,161,2.118
6,171,2.126
6,181,2.102
6,191,2.07
6,201,2.084
6,211,2.076
6,221,2.098
6,231,2.114
6,241,2.122
6,251,2.104
6,261,2.08
6,271,2.044
6,281,2.06
6,291,1.946
6,301,1.986
6,311,2.018
6,321,2.04
6,331,2.072
6,341,2.104
6,351,2.104
6,361,2.12
6,371,2.076
6,381,2.052
6,391,2.05
6,401,2.082
6,411,2.026
6,421,2.068
6,431,2.036
6,441,2.058
6,451,2.026
6,461,2.052
6,471,2.052
6,481,2.076
6,491,2.098
6,501,2.082
6,511,2.094
6,521,2.054
6,531,2.086
6,541,2.064
6,551,2.088
6,561,2.044
6,571,2.052
6,581,2.066
6,591,2.122
6,601,2.122
6,611,2.12
6,621,2.064
6,631,2.064
6,641,2.088
6,651,2.112
6,661,2.126
6,666,2.11
11,111,2.09
11,121,2.13
11,131,2.118
11,141,2.102
11,151,2.146
11,161,2.106
11,171,2.112
11,181,2.096
11,191,2.12
11,201,2.102
11,211,2.086
11,221,2.118
11,231,2.102
11,241,2.142
11,251,2.042
11,261,2.034
11,271,2.08
11,281,2.088
11,291,2.08
11,301,2.032
11,311,2.072
11,321,2.152
11,331,2.104
11,341,2.148
11,351,2.132
11,361,2.16
11,371,2.152
11,381,2.208
11,391,2.15
11,401,2.182
11,411,2.128
11,421,2.128
11,431,2.12
11,441,2.156
11,451,2.18
11,461,2.158
11,471,2.102
11,481,2.102
11,491,2.126
11,501,2.126
11,511,2.146
11,521,2.178
11,531,2.13
11,541,2.128
11,551,2.096
11,561,2.094
11,571,2.118
11,581,2.142
11,591,2.134
11,601,2.078
11,611,2.12
11,621,2.128
11,631,2.13
11,641,2.082
11,651,2.146
11,661,2.152
11,666,2.152
16,111,2.182
16,121,2.176
16,131,2.16
16,141,2.12
16,151,2.13
16,161,2.154
16,171,2.194
16,181,2.202
16,191,2.146
16,201,2.142
