bri,mired,watt
1,142,0.34
1,152,0.34
1,162,0.33
1,172,0.23
1,182,0.32
1,192,0.29
1,202,0.27
1,212,0.31
1,222,0.32
1,232,0.31
1,242,0.3
1,252,0.37
1,262,0.33
1,272,0.45
1,282,0.36
1,292,0.33
1,302,0.33
1,312,0.34
1,322,0.36
1,332,0.43
1,342,0.36
1,352,0.31
1,362,0.33
1,372,0.31
1,382,0.4
1,392,0.31
1,402,0.34
1,412,0.32
1,422,0.36
1,432,0.39
1,442,0.29
1,452,0.32
1,455,0.3
6,142,0.39
6,152,0.41
6,162,0.4
6,172,0.4
6,182,0.42
6,192,0.43
6,202,0.37
6,212,0.38
6,222,0.41
6,232,0.4
6,242,0.42
6,252,0.41
6,262,0.4
6,272,0.44
6,282,0.46
6,292,0.44
6,302,0.47
6,312,0.44
6,322,0.45
6,332,0.42
6,342,0.43
6,352,0.36
6,362,0.47
6,372,0.47
6,382,0.43
6,392,0.38
6,402,0.4
6,412,0.39
6,422,0.43
6,432,0.46
6,442,0.37
6,452,0.39
6,455,0.4
11,142,0.49
11,152,0.65
11,162,0.49
11,172,0.51
11,182,0.46
11,192,0.56
11,202,0.51
11,212,0.49
11,222,0.55
11,232,0.44
11,242,0.56
11,252,0.51
11,262,0.46
11,272,0.54
11,282,0.6
11,292,0.48
11,302,0.51
11,312,0.51
11,322,0.49
11,332,0.51
11,342,0.52
11,352,0.53
11,362,0.59
11,372,0.52
11,382,0.53
11,392,0.55
11,402,0.49
11,412,0.49
11,422,0.53
11,432,0.53
11,442,0.55
11,452,0.54
11,455,0.52
16,142,0.56
16,152,0.59
16,162,0.67
16,172,0.6
16,182,0.7
16,192,0.57
16,202,0.66
16,212,0.67
16,222,0.66
16,232,0.57
16,242,0.68
16,252,0.58
16,262,0.67
16,272,0.66
16,282,0.63
16,292,0.61
16,302,0.69
16,312,0.63
16,322,0.6
16,332,0.6
16,342,0.57
16,352,0.55
16,362,0.71
16,372,0.65
16,382,0.6
16,392,0.64
16,402,0.59
16,412,0.64
16,422,0.62
16,432,0.61
