bri,mired,watt
1,142,0.36
1,152,0.29
1,162,0.24
1,172,0.26
1,182,0.22
1,192,0.27
1,202,0.21
1,212,0.28
1,222,0.28
1,232,0.3
1,242,0.34
1,252,0.32
1,262,0.33
1,272,0.25
1,282,0.29
1,292,0.3
1,302,0.29
1,312,0.34
1,322,0.28
1,332,0.26
1,342,0.32
1,352,0.25
1,362,0.32
1,372,0.27
1,382,0.29
1,392,0.32
1,402,0.26
1,412,0.31
1,422,0.28
1,432,0.35
1,442,0.28
1,452,0.28
1,455,0.3
6,142,0.46
6,152,0.47
6,162,0.46
6,172,0.53
6,182,0.46
6,192,0.49
6,202,0.5
6,212,0.44
6,222,0.46
6,232,0.45
6,242,0.45
6,252,0.48
6,262,0.42
6,272,0.47
6,282,0.56
6,292,0.49
6,302,0.49
6,312,0.4
6,322,0.48
6,332,0.45
6,342,0.46
6,352,0.4
6,362,0.52
6,372,0.54
6,382,0.46
6,392,0.45
6,402,0.44
6,412,0.45
6,422,0.48
6,432,0.46
6,442,0.36
6,452,0.44
6,455,0.47
11,142,0.71
11,152,0.61
11,162,0.62
11,172,0.63
11,182,0.63
11,192,0.58
11,202,0.64
11,212,0.63
11,222,0.61
11,232,0.61
11,242,0.66
11,252,0.63
11,262,0.6
11,272,0.63
11,282,0.62
11,292,0.58
11,302,0.61
11,312,0.62
11,322,0.63
11,332,0.61
11,342,0.59
11,352,0.64
11,362,0.66
11,372,0.61
11,382,0.64
11,392,0.66
11,402,0.62
11,412,0.66
11,422,0.64
11,432,0.66
11,442,0.61
11,452,0.66
11,455,0.62
16,142,0.76
16,152,0.84
16,162,0.81
16,172,0.89
16,182,0.77
16,192,0.83
16,202,0.78
16,212,0.79
16,222,0.8
16,232,0.8
16,242,0.76
16,252,0.77
16,262,0.79
16,272,0.88
16,282,0.82
16,292,0.79
16,302,0.76
16,312,0.8
16,322,0.81
16,332,0.83
16,342,0.79
16,352,0.77
16,362,0.78
16,372,0.83
16,382,0.74
16,392,0.82
16,402,0.82
16,412,0.84
16,422,0.76
16,432,0.81
16,442,0.83
16,452,0.85
16,455,0.82
21,142,0.95
21,152,0.96
21,162,0.92
21,172,0.98
21,182,0.98
21,192,0.99
21,202,0.96
21,212,0.97
21,222,1.0
21,232,0.97
21,242,0.95
21,252,0.98
21,262,0.97
21,272,0.99
21,282,0.99
21,292,0.95
21,302,0.93
21,312,0.97
21,322,0.98
21,332,1.01
21,342,0.99
21,352,0.95
21,362,1.01
21,372,0.94
21,382,0.99
21,392,0.99
21,402,0.97
21,412,0.96
21,422,1.04
21,432,0.93
21,442,0.92
21,452,0.94
21,455,0.98
26,142,1.15
26,152,1.12
26,162,1.1
26,172,1.18
26,182,1.13
26,192,1.13
26,202,1.17
26,212,1.1
26,222,1.15
26,232,1.11
26,242,1.12
26,252,1.15
26,262,1.15
26,272,1.1
26,282,1.14
26,292,1.15
26,302,1.12
26,312,1.21
26,322,1.13
26,332,1.23
26,342,1.11
26,352,1.1
26,362,1.13
26,372,1.07
26,382,1.15
26,392,1.14
26,402,1.08
26,412,1.12
26,422,1.13
