bri,mired,watt
1,153,1.66
1,163,1.56
1,173,1.52
1,183,1.51
1,193,1.41
1,203,1.42
1,213,1.26
1,223,1.21
1,233,1.21
1,243,1.01
1,253,0.96
1,263,0.91
1,273,1.0
1,283,0.85
1,293,0.81
1,303,0.77
1,313,0.81
1,323,0.66
1,333,0.56
1,343,0.65
1,353,0.66
1,363,0.45
1,370,0.4
6,153,1.71
6,163,1.51
6,173,1.51
6,183,1.61
6,193,1.46
6,203,1.41
6,213,1.4
6,223,1.21
6,233,1.16
6,243,1.16
6,253,1.11
6,263,0.95
6,273,1.1
6,283,1.0
6,293,0.95
6,303,0.76
6,313,0.95
6,323,0.81
6,333,0.51
6,343,0.55
6,353,0.55
6,363,0.44
6,370,0.4
11,153,1.89
11,163,1.84
11,173,1.79
11,183,1.54
11,193,1.55
11,203,1.75
11,213,1.5
11,223,1.5
11,233,1.4
11,243,1.15
11,253,1.24
11,263,1.2
11,273,1.05
11,283,1.0
11,293,1.03
11,303,0.94
11,313,0.99
11,323,0.83
11,333,0.74
11,343,0.69
11,353,0.64
11,363,0.55
11,370,0.45
16,153,1.95
16,163,2.0
16,173,1.74
16,183,1.75
16,193,1.7
16,203,1.61
16,213,1.7
16,223,1.55
16,233,1.4
16,243,1.39
16,253,1.39
16,263,1.14
16,273,1.34
16,283,1.14
16,293,1.09
16,303,0.99
16,313,0.84
16,323,0.88
16,333,0.74
16,343,0.59
16,353,0.59
16,363,0.59
16,370,0.49
21,153,2.29
21,163,2.29
21,173,1.94
21,183,1.94
21,193,1.79
21,203,1.74
21,213,1.78
21,223,1.58
21,233,1.53
21,243,1.43
21,253,1.28
21,263,1.38
21,273,1.18
21,283,1.18
21,293,0.98
21,303,1.04
21,313,0.94
21,323,0.79
21,333,0.79
21,343,0.68
21,353,0.53
21,363,0.49
21,370,0.49
26,153,2.38
26,163,2.24
26,173,2.13
26,183,2.13
26,193,1.98
26,203,1.93
26,213,1.78
26,223,1.79
26,233,1.59
26,243,1.69
26,253,1.44
26,263,1.49
26,273,1.49
26,283,1.28
26,293,1.28
26,303,0.97
26,313,0.88
26,323,0.78
26,333,0.78
26,343,0.54
26,353,0.53
26,363,0.43
26,370,0.38
31,153,2.48
31,163,2.29
31,173,2.38
31,183,2.13
31,193,2.18
31,203,1.93
31,213,1.98
31,223,1.68
31,233,1.78
31,243,1.5
31,253,1.59
31,263,1.34
31,273,1.34
31,283,1.19
31,293,1.34
31,303,1.05
31,313,0.89
31,323,0.9
31,333,0.75
31,343,0.69
31,353,0.64
31,363,0.44
31,370,0.34
36,153,2.64
36,163,2.59
36,173,2.6
36,183,2.29
36,193,2.18
36,203,2.14
36,213,2.03
36,223,2.04
36,233,1.84
36,243,1.74
36,253,1.59
36,263,1.59
36,273,1.38
36,283,1.38
36,293,1.18
36,303,1.08
36,313,1.03
36,323,0.93
36,333,0.78
36,343,0.78
36,353,0.62
36,363,0.57
36,370,0.38
41,153,2.83
41,163,2.78
41,173,2.53
41,183,2.53
41,193,2.48
41,203,2.26
41,213,2.27
41,223,2.08
41,233,2.08
41,243,1.88
41,253,1.84
41,263,1.68
41,273,1.48
41,283,1.43
41,293,1.24
41,303,1.19
41,313,1.04
41,323,1.03
41,333,0.83
41,343,0.73
41,353,0.58
41,363,0.54
41,370,0.39
46,153,2.98
46,163,2.94
46,173,2.73
46,183,2.63
46,193,2.48
46,203,2.28
46,213,2.33
46,223,2.03
46,233,2.03
46,243,1.93
46,253,1.73
46,263,1.68
46,273,1.48
46,283,1.38
46,293,1.33
46,303,1.18
46,313,1.13
46,323,0.98
46,333,0.78
46,343,0.82
46,353,0.58
46,363,0.53
46,370,0.43
51,153,3.13
51,163,2.93
51,173,2.93
51,183,2.68
51,193,2.63
51,203,2.48
51,213,2.28
51,223,2.18
51,233,2.08
51,243,1.98
51,253,1.93
51,263,1.77
51,273,1.57
51,283,1.57
51,293,1.33
51,303,1.22
51,313,1.18
51,323,0.98
51,333,0.98
51,343,0.83
51,353,0.58
51,363,0.63
51,370,0.44
56,153,3.39
56,163,3.18
56,173,3.08
56,183,2.97
56,193,2.78
56,203,2.74
56,213,2.54
56,223,2.29
56,233,2.23
56,243,2.13
56,253,1.88
56,263,1.78
56,273,1.73
56,283,1.53
56,293,1.33
56,303,1.28
56,313,1.13
56,323,1.04
56,333,0.88
56,343,0.79
56,353,0.69
56,363,0.69
56,370,0.34
61,153,3.54
61,163,3.43
61,173,3.28
61,183,3.27
61,193,2.92
61,203,2.77
61,213,2.67
61,223,2.52
61,233,2.32
61,243,2.22
61,253,2.06
61,263,1.97
61,273,1.78
61,283,1.68
