bri,mired,watt
1,153,0.6
1,163,0.33
1,173,0.43
1,183,0.3
1,193,0.53
1,203,0.4
1,213,0.5
1,223,0.43
1,233,0.4
1,243,0.43
1,253,0.3
1,263,0.4
1,273,0.43
1,283,0.37
1,293,0.4
1,303,0.53
1,313,0.5
1,323,0.4
1,333,0.3
1,343,0.4
1,353,0.43
1,363,0.3
1,373,0.5
1,383,0.66
1,393,0.63
1,403,0.63
1,413,0.7
1,423,0.73
1,433,0.73
1,443,0.73
1,453,0.83
1,463,0.83
1,473,0.8
1,483,0.8
1,493,0.93
1,503,0.9
1,513,0.9
1,523,0.97
1,533,1.0
1,543,1.03
1,553,0.9
1,555,0.93
11,153,0.73
11,163,0.76
11,173,0.73
11,183,0.83
11,193,0.83
11,203,0.8
11,213,0.73
11,223,0.8
11,233,0.7
11,243,0.8
11,253,0.8
11,263,0.7
11,273,0.8
11,283,0.73
11,293,0.8
11,303,0.73
11,313,0.73
11,323,0.83
11,333,0.7
11,343,0.83
11,353,0.86
11,363,0.83
11,373,0.86
11,383,0.96
11,393,0.96
11,403,0.86
11,413,0.89
11,423,0.86
11,433,1.06
11,443,1.03
11,453,0.98
11,463,1.09
11,473,1.19
11,483,0.96
11,493,1.03
11,503,1.03
11,513,1.0
11,523,1.03
11,533,1.2
11,543,1.1
11,553,1.1
11,555,1.07
21,153,0.77
21,163,0.84
21,173,0.87
21,183,0.77
21,193,0.77
21,203,0.84
21,213,0.77
21,223,0.84
21,233,0.94
21,243,0.84
21,253,0.82
21,263,0.84
21,273,0.84
21,283,0.74
21,293,0.77
21,303,0.77
21,313,0.77
21,323,1.07
21,333,0.74
21,343,0.74
21,353,0.87
21,363,0.84
21,373,1.04
21,383,1.04
21,393,0.77
21,403,0.94
21,413,0.92
21,423,0.94
21,433,0.97
21,443,0.97
21,453,0.97
21,463,0.9
21,473,1.0
21,483,1.0
21,493,1.1
21,503,1.1
21,513,1.07
21,523,1.1
21,533,1.1
21,543,1.1
21,553,1.03
21,555,1.0
31,153,0.9
31,163,0.9
31,173,0.9
31,183,1.07
31,193,0.87
31,203,0.87
31,213,0.96
31,223,0.96
31,233,1.06
31,243,0.93
31,253,0.89
31,263,1.06
31,273,0.96
31,283,0.99
31,293,0.86
31,303,0.96
31,313,0.99
31,323,1.07
31,333,0.9
31,343,1.0
31,353,0.9
31,363,0.8
31,373,1.0
31,383,1.17
31,393,1.07
31,403,0.97
31,413,0.92
31,423,0.92
31,433,0.92
31,443,1.12
31,453,0.92
31,463,0.99
31,473,1.02
31,483,1.02
31,493,1.02
31,503,1.12
31,513,1.09
31,523,1.09
31,533,1.12
31,543,1.09
31,553,1.12
31,555,1.12
41,153,0.94
41,163,0.94
41,173,0.94
41,183,0.92
41,193,1.02
41,203,1.02
41,213,0.94
41,223,1.12
41,233,1.04
41,243,1.02
41,253,1.04
41,263,0.92
41,273,1.12
41,283,1.02
41,293,0.99
41,303,1.12
41,313,0.99
41,323,0.99
41,333,0.94
41,343,0.82
41,353,1.04
41,363,1.02
41,373,1.17
41,383,1.17
41,393,0.97
41,403,1.07
41,413,0.94
41,423,0.97
41,433,0.84
41,443,1.07
41,453,1.02
41,463,1.02
41,473,1.02
41,483,1.02
41,493,1.12
41,503,1.14
41,513,1.12
41,523,1.02
41,533,1.12
41,543,1.07
41,553,1.07
41,555,1.24
51,153,1.04
51,163,1.04
51,173,1.04
51,183,1.14
51,193,1.04
51,203,1.17
51,213,1.17
51,223,1.1
51,233,1.07
51,243,1.14
51,253,1.14
51,263,1.14
51,273,1.12
51,283,1.13
51,293,1.13
51,303,1.13
51,313,1.1
51,323,1.1
51,333,1.2
51,343,1.33
51,353,1.23
51,363,1.03
51,373,1.2
51,383,1.23
51,393,1.06
51,403,1.0
51,413,1.04
51,423,0.94
51,433,1.04
51,443,1.12
51,453,1.02
51,463,1.04
51,473,1.04
51,483,1.04
51,493,1.12
51,503,1.12
51,513,1.12
51,523,1.12
51,533,1.12
51,543,1.14
51,553,1.24
51,555,1.24
61,153,1.24
61,163,1.22
61,173,1.32
61,183,1.24
61,193,1.34
61,203,1.12
61,213,1.22
61,223,1.14
61,233,1.22
61,243,1.19
61,253,1.19
61,263,1.32
61,273,1.27
61,283,1.27
61,293,1.27
61,303,1.27
61,313,1.37
61,323,1.24
61,333,1.27
61,343,1.34
61,353,1.24
61,363,1.32
61,373,1.42
61,383,1.32
61,393,1.27
61,403,1.07
61,413,1.07
61,423,1.1
61,433,1.14
61,443,1.14
61,453,1.04
61,463,1.1
61,473,1.0
61,483,1.1
61,493,1.13
61,503,1.13
