bri,mired,watt
1,153,1.35
1,163,1.4
1,173,1.35
1,183,1.41
1,193,1.36
1,203,1.26
1,213,1.34
1,223,1.4
1,233,1.41
1,243,1.34
1,253,1.33
1,263,1.32
1,273,1.47
1,283,1.3
1,293,1.3
1,303,1.35
1,313,1.29
1,323,1.31
1,333,1.36
1,343,1.38
1,353,1.36
1,363,1.35
1,370,1.34
6,153,1.44
6,163,1.39
6,173,1.44
6,183,1.45
6,193,1.35
6,203,1.46
6,213,1.41
6,223,1.43
6,233,1.49
6,243,1.47
6,253,1.45
6,263,1.4
6,273,1.46
6,283,1.42
6,293,1.43
6,303,1.42
6,313,1.54
6,323,1.32
6,333,1.43
6,343,1.48
6,353,1.44
6,363,1.48
6,370,1.44
11,153,1.49
11,163,1.54
11,173,1.59
11,183,1.53
11,193,1.49
11,203,1.46
11,213,1.49
11,223,1.54
11,233,1.47
11,243,1.47
11,253,1.47
11,263,1.53
11,273,1.51
11,283,1.55
11,293,1.43
11,303,1.49
11,313,1.55
11,323,1.49
11,333,1.5
11,343,1.56
11,353,1.45
11,363,1.45
11,370,1.43
16,153,1.58
16,163,1.54
16,173,1.54
16,183,1.59
16,193,1.55
16,203,1.56
16,213,1.56
16,223,1.56
16,233,1.58
16,243,1.5
16,253,1.55
16,263,1.55
16,273,1.57
16,283,1.62
16,293,1.51
16,303,1.56
16,313,1.6
16,323,1.56
16,333,1.56
16,343,1.55
16,353,1.48
16,363,1.53
16,370,1.57
21,153,1.63
21,163,1.59
21,173,1.72
21,183,1.64
21,193,1.53
21,203,1.64
21,213,1.64
21,223,1.64
21,233,1.58
21,243,1.63
21,253,1.58
21,263,1.64
21,273,1.65
21,283,1.59
21,293,1.7
21,303,1.7
21,313,1.61
21,323,1.6
21,333,1.58
21,343,1.63
21,353,1.65
21,363,1.65
21,370,1.75
26,153,1.75
26,163,1.75
26,173,1.74
26,183,1.75
26,193,1.76
26,203,1.75
26,213,1.7
26,223,1.65
26,233,1.75
26,243,1.71
26,253,1.76
26,263,1.75
26,273,1.75
26,283,1.7
26,293,1.76
26,303,1.77
26,313,1.77
26,323,1.75
26,333,1.7
26,343,1.75
26,353,1.74
26,363,1.75
26,370,1.76
31,153,1.82
31,163,1.82
31,173,1.82
31,183,1.78
31,193,1.83
31,203,1.83
31,213,1.83
31,223,1.86
31,233,1.8
31,243,1.76
31,253,1.81
31,263,1.76
31,273,1.77
31,283,1.81
31,293,1.81
31,303,1.76
31,313,1.77
31,323,1.75
31,333,1.85
31,343,1.84
31,353,1.75
31,363,1.75
31,370,1.75
36,153,1.91
36,163,1.9
36,173,1.85
36,183,1.85
36,193,1.9
36,203,1.86
36,213,1.85
36,223,1.89
36,233,1.82
36,243,1.83
36,253,1.89
36,263,1.82
36,273,1.89
36,283,1.84
36,293,1.89
36,303,1.89
36,313,1.84
36,323,1.88
36,333,1.89
36,343,1.79
36,353,1.88
36,363,1.82
36,370,1.83
41,153,1.93
41,163,1.98
41,173,1.93
41,183,1.93
41,193,1.93
41,203,1.88
41,213,1.92
41,223,1.95
41,233,1.97
41,243,1.92
41,253,1.96
41,263,1.89
41,273,1.93
41,283,1.93
41,293,1.95
41,303,1.95
41,313,1.94
41,323,1.88
41,333,1.84
41,343,1.94
41,353,1.95
41,363,1.96
41,370,1.89
46,153,2.02
46,163,2.02
46,173,1.99
46,183,2.03
46,193,1.98
46,203,2.03
46,213,1.99
46,223,1.95
46,233,2.05
46,243,1.93
46,253,2.03
46,263,1.98
46,273,2.03
46,283,2.05
46,293,2.1
46,303,2.05
46,313,2.01
46,323,2.09
46,333,2.01
46,343,2.0
46,353,1.97
46,363,1.97
46,370,2.03
51,153,2.09
51,163,2.09
51,173,2.1
51,183,2.08
51,193,2.08
51,203,2.08
51,213,2.09
51,223,2.13
51,233,2.01
51,243,2.06
51,253,2.03
51,263,2.05
51,273,2.11
51,283,2.09
51,293,2.08
51,303,2.08
51,313,2.04
51,323,2.04
51,333,2.07
51,343,2.06
51,353,2.11
51,363,2.1
51,370,2.16
56,153,2.3
56,163,2.33
56,173,2.28
56,183,2.27
56,193,2.27
56,203,2.29
56,213,2.15
56,223,2.2
56,233,2.25
56,243,2.23
56,253,2.15
56,263,2.2
56,273,2.2
56,283,2.21
56,293,2.15
56,303,2.13
56,313,2.14
56,323,2.14
56,333,2.19
56,343,2.15
56,353,2.15
56,363,2.14
56,370,2.14
61,153,2.24
61,163,2.2
61,173,2.25
61,183,2.19
61,193,2.18
61,203,2.24
61,213,2.25
61,223,2.25
61,233,2.2
61,243,2.3
61,253,2.2
61,263,2.21
61,273,2.27
61,283,2.22
61,293,2.25
61,303,2.3
61,313,2.15
61,323,2.26
61,333,2.25
61,343,2.3
61,353,2.29
61,363,2.19
61,370,2.19
66,153,2.34
66,163,2.34
66,173,2.33
66,183,2.29
66,193,2.29
66,203,2.29
66,213,2.34
66,223,2.4
66,233,2.29
66,243,2.35
66,253,2.31
66,263,2.3
66,273,2.35
66,283,2.33
66,293,2.32
66,303,2.28
66,313,2.29
66,323,2.33
66,333,2.29
66,343,2.35
66,353,2.25
66,363,2.3
66,370,2.31
71,153,2.4
71,163,2.46
71,173,2.41
71,183,2.36
71,193,2.41
