bri,mired,watt
1,153,1.45
1,163,1.45
1,173,1.62
1,183,1.62
1,193,1.55
1,203,1.56
1,213,1.56
1,223,1.55
1,233,1.5
1,243,1.49
1,253,1.53
1,263,1.49
1,273,1.52
1,283,1.48
1,293,1.67
1,303,1.47
1,313,1.52
1,323,1.56
1,333,1.76
1,343,1.56
1,353,1.57
1,363,1.52
1,370,1.53
6,153,1.66
6,163,1.48
6,173,1.72
6,183,1.63
6,193,1.63
6,203,1.63
6,213,1.68
6,223,1.71
6,233,1.68
6,243,1.59
6,253,1.7
6,263,1.61
6,273,1.66
6,283,1.68
6,293,1.74
6,303,1.65
6,313,1.71
6,323,1.69
6,333,1.64
6,343,1.75
6,353,1.65
6,363,1.59
6,370,1.62
11,153,1.71
11,163,1.77
11,173,1.76
11,183,1.7
11,193,1.65
11,203,1.67
11,213,1.61
11,223,1.66
11,233,1.86
11,243,1.7
11,253,1.71
11,263,1.66
11,273,1.74
11,283,1.76
11,293,1.68
11,303,1.6
11,313,1.71
11,323,1.66
11,333,1.68
11,343,1.68
11,353,1.73
11,363,1.71
11,370,1.66
16,153,1.8
16,163,1.82
16,173,1.77
16,183,1.72
16,193,1.76
16,203,1.82
16,213,1.88
16,223,1.84
16,233,1.83
16,243,1.94
16,253,1.79
16,263,1.78
16,273,1.74
16,283,1.83
16,293,1.73
16,303,1.78
16,313,1.84
16,323,1.84
16,333,1.77
16,343,1.81
16,353,1.82
16,363,1.72
16,370,1.86
21,153,1.84
21,163,1.85
21,173,1.8
21,183,1.79
21,193,1.69
21,203,1.8
21,213,1.85
21,223,1.86
21,233,1.85
21,243,1.91
21,253,1.8
21,263,2.04
21,273,1.84
21,283,1.84
21,293,1.8
21,303,1.81
21,313,1.93
21,323,1.93
21,333,1.85
21,343,1.78
21,353,2.03
21,363,1.79
21,370,1.84
26,153,1.94
26,163,1.85
26,173,1.9
26,183,1.93
26,193,1.93
26,203,1.98
26,213,1.93
26,223,1.98
26,233,2.08
26,243,2.03
26,253,1.98
26,263,1.97
26,273,1.93
26,283,2.04
26,293,1.95
26,303,1.91
26,313,1.89
26,323,1.98
26,333,2.02
26,343,1.92
26,353,1.96
26,363,2.02
26,370,1.91
31,153,2.07
31,163,2.02
31,173,2.03
31,183,2.08
31,193,2.04
31,203,2.09
31,213,2.04
31,223,2.0
31,233,2.05
31,243,2.0
31,253,2.05
31,263,2.17
31,273,2.19
31,283,2.09
31,293,2.29
31,303,2.02
31,313,2.06
31,323,2.11
31,333,2.06
31,343,2.11
31,353,2.05
31,363,2.06
31,370,2.16
36,153,2.22
36,163,2.16
36,173,2.2
36,183,2.1
36,193,2.17
36,203,2.09
36,213,2.1
36,223,2.25
36,233,2.19
36,243,1.98
36,253,1.94
36,263,2.06
36,273,2.01
36,283,2.08
36,293,1.97
36,303,2.07
36,313,1.97
36,323,2.02
36,333,2.03
36,343,1.98
36,353,2.07
36,363,2.03
36,370,1.99
41,153,2.06
41,163,2.09
41,173,2.14
41,183,2.06
41,193,2.25
41,203,2.08
41,213,2.08
41,223,2.19
41,233,2.14
41,243,2.03
41,253,2.18
41,263,2.15
41,273,2.14
41,283,2.1
41,293,2.19
41,303,2.08
41,313,2.07
41,323,2.12
41,333,2.08
41,343,2.09
41,353,2.04
41,363,2.08
41,370,2.14
46,153,2.25
46,163,2.25
46,173,2.24
46,183,2.05
46,193,2.25
46,203,2.15
