bri,mired,watt
1,153,0.3
1,163,0.3
1,173,0.3
1,183,0.3
1,193,0.3
1,203,0.3
1,213,0.3
1,223,0.3
1,233,0.3
1,243,0.3
1,253,0.3
1,263,0.3
1,273,0.3
1,283,0.3
1,293,0.3
1,303,0.3
1,313,0.4
1,323,0.4
1,333,0.4
1,343,0.4
1,353,0.4
1,363,0.4
1,370,0.4
6,153,0.4
6,163,0.4
6,173,0.4
6,183,0.4
6,193,0.7
6,203,0.4
6,213,0.6
6,223,0.4
6,233,0.6
6,243,0.4
6,253,0.4
6,263,0.4
6,273,0.4
6,283,0.4
6,293,0.6
6,303,0.3
6,313,0.5
6,323,0.4
6,333,0.6
6,343,0.5
6,353,0.3
6,363,0.5
6,370,0.5
11,153,0.5
11,163,0.7
11,173,0.5
11,183,0.5
11,193,0.5
11,203,0.5
11,213,0.6
11,223,0.6
11,233,0.6
11,243,0.5
11,253,0.5
11,263,0.5
11,273,0.5
11,283,0.7
11,293,0.5
11,303,0.7
11,313,0.5
11,323,0.5
11,333,0.5
11,343,0.5
11,353,0.7
11,363,0.5
11,370,0.5
16,153,0.6
16,163,0.8
16,173,0.6
16,183,0.6
16,193,0.8
16,203,0.6
16,213,0.7
16,223,0.7
16,233,0.7
16,243,0.6
16,253,0.7
16,263,0.7
16,273,0.7
16,283,0.7
16,293,0.7
16,303,0.7
16,313,0.7
16,323,1
16,333,0.8
16,343,0.8
16,353,0.8
16,363,0.8
16,370,0.7
21,153,0.7
21,163,0.9
21,173,0.9
21,183,0.9
21,193,0.9
21,203,0.9
21,213,0.9
21,223,0.9
21,233,1.1
21,243,0.9
21,253,1
21,263,0.8
21,273,0.8
21,283,0.8
21,293,0.8
21,303,0.8
21,313,0.8
21,323,0.8
21,333,0.8
21,343,1
21,353,0.8
21,363,0.8
21,370,1
26,153,1
26,163,1
26,173,1
26,183,1
26,193,0.9
26,203,0.9
26,213,0.9
26,223,1.3
26,233,0.9
26,243,0.9
26,253,0.9
26,263,0.9
26,273,0.9
26,283,0.9
26,293,1.1
26,303,1.1
26,313,0.9
26,323,1.1
26,333,0.9
26,343,0.9
26,353,0.9
26,363,1.2
26,370,0.9
31,153,1.4
31,163,1
31,173,1
31,183,1
31,193,1
31,203,1.3
31,213,1.1
31,223,1.1
31,233,1.1
31,243,1.3
31,253,1.3
31,263,1.1
31,273,1.3
31,283,1.3
31,293,1.4
31,303,1.1
31,313,1.1
31,323,1.3
31,333,1.1
31,343,1.1
31,353,1.3
31,363,1.1
31,370,1.1
36,153,1.3
36,163,1.3
36,173,1.3
36,183,1.3
36,193,1.3
36,203,1.3
36,213,1.3
36,223,1.4
36,233,1.2
36,243,1.4
36,253,1.4
36,263,1.2
36,273,1.4
36,283,1.2
36,293,1.2
36,303,1.2
36,313,1.4
36,323,1.2
36,333,1.4
36,343,1.4
36,353,1.4
36,363,1.4
36,370,1.4
41,153,1.4
41,163,1.4
41,173,1.4
41,183,1.4
41,193,1.4
41,203,1.6
41,213,1.4
41,223,1.6
41,233,1.4
41,243,1.4
41,253,1.6
41,263,1.4
41,273,1.6
41,283,1.4
41,293,1.4
41,303,1.6
41,313,1.7
41,323,1.4
41,333,1.6
41,343,1.4
41,353,1.4
41,363,1.4
41,370,1.4
46,153,1.6
46,163,1.4
46,173,1.6
46,183,1.4
46,193,1.4
46,203,1.6
46,213,1.6
46,223,1.7
46,233,1.5
46,243,1.5
46,253,1.6
46,263,1.6
46,273,1.5
46,283,1.7
46,293,1.5
46,303,1.5
46,313,1.7
46,323,1.5
46,333,1.5
46,343,1.5
46,353,1.7
46,363,1.5
46,370,1.5
51,153,1.7
51,163,1.6
51,173,1.6
51,183,1.6
51,193,1.6
51,203,1.8
51,213,1.6
51,223,1.6
51,233,1.7
51,243,1.9
51,253,1.7
51,263,1.7
51,273,1.7
51,283,1.7
51,293,1.7
51,303,1.7
51,313,2
51,323,1.7
51,333,1.7
51,343,1.7
51,353,1.9
51,363,1.7
51,370,1.7
56,153,2
56,163,2
56,173,1.8
56,183,2.1
56,193,1.9
56,203,1.9
56,213,1.7
56,223,1.9
56,233,1.9
56,243,1.9
56,253,1.9
56,263,1.9
56,273,2.1
56,283,1.9
56,293,1.9
56,303,2.1
56,313,1.9
56,323,1.9
56,333,2.1
56,343,2.1
56,353,1.9
56,363,2.1
56,370,1.9
61,153,2.2
61,163,2
61,173,2.2
61,183,2
61,193,2.1
61,203,2
61,213,2.1
61,223,2.4
61,233,2.2
61,243,2
61,253,2
61,263,2.2
61,273,2.3
61,283,2.1
61,293,2.1
61,303,2.3
61,313,2.1
61,323,2.4
61,333,2.3
61,343,2.1
61,353,2.1
61,363,2.4
61,370,2.1
66,153,2.2
66,163,2.2
66,173,2.1
66,183,2.3
66,193,2.1
66,203,2.1
66,213,2.4
66,223,2.1
66,233,2.3
66,243,2.1
66,253,2.4
66,263,2.2
