bri,mired,watt
1,153,1.03
1,163,0.93
1,173,0.93
1,183,0.93
1,193,0.93
1,203,0.88
1,213,0.93
1,223,0.95
1,233,0.93
1,243,0.83
1,253,0.95
1,263,0.91
1,273,0.91
1,283,0.96
1,293,0.95
1,303,0.95
1,313,0.93
1,323,0.88
1,333,0.98
1,343,0.93
1,353,0.93
1,363,0.96
1,373,0.96
1,383,1.0
1,393,0.93
1,403,0.96
1,413,0.91
1,423,0.91
1,433,0.91
1,443,0.96
1,453,0.96
1,463,0.98
1,473,0.91
1,483,0.89
1,493,0.96
1,500,0.93
6,153,1.04
6,163,1.04
6,173,1.04
6,183,0.99
6,193,1.02
6,203,1.02
6,213,0.99
6,223,1.02
6,233,1.0
6,243,1.03
6,253,0.96
6,263,1.01
6,273,1.03
6,283,0.96
6,293,1.01
6,303,1.01
6,313,1.05
6,323,1.01
6,333,0.96
6,343,1.01
6,353,1.03
6,363,1.0
6,373,1.03
6,383,0.98
6,393,1.03
6,403,1.03
6,413,1.01
6,423,1.05
6,433,1.0
6,443,1.03
6,453,0.98
6,463,1.03
6,473,1.05
6,483,1.01
6,493,1.0
6,500,1.05
11,153,1.11
11,163,1.16
11,173,1.12
11,183,1.12
11,193,1.17
11,203,1.12
11,213,1.15
11,223,1.12
11,233,1.12
11,243,1.16
11,253,1.16
11,263,1.11
11,273,1.13
11,283,1.14
11,293,1.12
11,303,1.14
11,313,1.12
11,323,1.07
11,333,1.14
11,343,1.12
11,353,1.15
11,363,1.15
11,373,1.15
11,383,1.15
11,393,1.12
11,403,1.22
11,413,1.16
11,423,1.14
11,433,1.11
11,443,1.11
11,453,1.16
11,463,1.13
11,473,1.16
11,483,1.16
11,493,1.13
11,500,1.15
16,153,1.24
16,163,1.26
16,173,1.3
16,183,1.27
16,193,1.25
16,203,1.23
16,213,1.23
16,223,1.23
16,233,1.21
16,243,1.25
16,253,1.28
16,263,1.21
16,273,1.21
16,283,1.26
16,293,1.26
16,303,1.21
16,313,1.21
16,323,1.26
16,333,1.26
16,343,1.2
16,353,1.23
16,363,1.23
16,373,1.28
16,383,1.25
16,393,1.27
16,403,1.2
16,413,1.23
16,423,1.28
16,433,1.23
16,443,1.21
16,453,1.26
16,463,1.23
16,473,1.23
16,483,1.23
16,493,1.28
16,500,1.23
21,153,1.37
21,163,1.37
21,173,1.34
21,183,1.37
21,193,1.37
21,203,1.37
21,213,1.37
21,223,1.37
21,233,1.35
21,243,1.33
21,253,1.31
21,263,1.38
21,273,1.38
21,283,1.35
21,293,1.35
21,303,1.35
21,313,1.33
21,323,1.33
21,333,1.38
21,343,1.38
21,353,1.38
21,363,1.3
21,373,1.35
21,383,1.35
21,393,1.35
21,403,1.37
21,413,1.38
21,423,1.35
21,433,1.32
21,443,1.37
21,453,1.36
21,463,1.38
21,473,1.36
21,483,1.38
21,493,1.38
21,500,1.38
26,153,1.48
26,163,1.48
26,173,1.52
26,183,1.53
26,193,1.48
26,203,1.46
26,213,1.5
26,223,1.48
26,233,1.51
26,243,1.51
26,253,1.46
26,263,1.46
26,273,1.46
26,283,1.48
26,293,1.48
26,303,1.46
26,313,1.46
26,323,1.46
26,333,1.48
26,343,1.53
26,353,1.5
26,363,1.48
26,373,1.48
26,383,1.46
26,393,1.48
26,403,1.48
26,413,1.55
26,423,1.55
26,433,1.5
26,443,1.5
26,453,1.5
26,463,1.52
26,473,1.5
26,483,1.5
26,493,1.5
26,500,1.52
31,153,1.57
31,163,1.62
31,173,1.62
31,183,1.63
31,193,1.63
31,203,1.63
31,213,1.57
31,223,1.62
31,233,1.58
31,243,1.58
31,253,1.58
31,263,1.58
31,273,1.58
31,283,1.58
31,293,1.58
31,303,1.6
31,313,1.58
31,323,1.63
31,333,1.63
31,343,1.63
31,353,1.63
31,363,1.58
31,373,1.57
31,383,1.58
31,393,1.65
31,403,1.62
31,413,1.63
31,423,1.62
31,433,1.68
31,443,1.63
31,453,1.58
31,463,1.6
31,473,1.65
31,483,1.63
31,493,1.63
31,500,1.6
36,153,1.75
36,163,1.73
36,173,1.73
36,183,1.7
36,193,1.73
36,203,1.75
36,213,1.68
36,223,1.73
36,233,1.73
36,243,1.73
36,253,1.75
36,263,1.72
36,273,1.79
36,283,1.77
36,293,1.74
36,303,1.72
36,313,1.7
36,323,1.72
36,333,1.75
36,343,1.77
36,353,1.72
36,363,1.77
36,373,1.77
36,383,1.74
36,393,1.77
36,403,1.74
36,413,1.74
36,423,1.79
36,433,1.74
36,443,1.74
36,453,1.76
36,463,1.76
36,473,1.75
36,483,1.78
36,493,1.75
36,500,1.73
41,153,1.86
41,163,1.84
41,173,1.86
41,183,1.84
41,193,1.82
41,203,1.85
41,213,1.89
41,223,1.87
41,233,1.9
41,243,1.87
41,253,1.9
41,263,1.84
41,273,1.89
41,283,1.87
41,293,1.87
41,303,1.87
41,313,1.87
41,323,1.87
41,333,1.87
41,343,1.87
41,353,1.87
41,363,1.92
41,373,1.87
41,383,1.87
41,393,1.87
41,403,1.86
41,413,1.84
41,423,1.88
41,433,1.9
41,443,1.9
41,453,1.82
41,463,1.87
41,473,1.87
41,483,1.9
41,493,1.89
41,500,1.94
46,153,1.92
46,163,1.99
46,173,1.97
46,183,1.97
46,193,2.04
46,203,2.0
46,213,1.97
46,223,1.99
46,233,1.96
46,243,2.01
46,253,2.01
46,263,2.01
46,273,1.94
46,283,2.0
46,293,2.02
46,303,2.02
46,313,1.99
46,323,2.02
46,333,1.98
46,343,2.03
46,353,2.01
46,363,2.01
46,373,2.03
46,383,2.01
46,393,2.01
46,403,2.0
46,413,2.03
46,423,2.04
46,433,1.97
46,443,2.02
46,453,2.02
46,463,1.97
46,473,2.03
46,483,1.98
46,493,2.01
46,500,1.98
51,153,2.05
51,163,2.15
51,173,2.08
51,183,2.08
51,193,2.11
51,203,2.08
51,213,2.15
51,223,2.13
51,233,2.13
51,243,2.09
51,253,2.12
51,263,2.1
51,273,2.14
51,283,2.14
51,293,2.09
51,303,2.1
51,313,2.09
51,323,2.12
51,333,2.17
51,343,2.12
51,353,2.08
51,363,2.08
51,373,2.08
51,383,2.08
51,393,2.08
51,403,2.1
51,413,2.09
51,423,2.12
51,433,2.09
51,443,2.09
51,453,2.14
51,463,2.09
51,473,2.1
51,483,2.13
51,493,2.12
51,500,2.1
56,153,2.16
56,163,2.14
56,173,2.19
56,183,2.12
56,193,2.15
56,203,2.13
56,213,2.2
56,223,2.22
56,233,2.19
56,243,2.14
56,253,2.21
56,263,2.17
56,273,2.24
56,283,2.17
56,293,2.12
56,303,2.17
56,313,2.19
56,323,2.22
56,333,2.23
56,343,2.23
56,353,2.18
56,363,2.2
56,373,2.2
56,383,2.2
56,393,2.2
56,403,2.21
56,413,2.21
56,423,2.19
56,433,2.26
56,443,2.21
56,453,2.19
56,463,2.2
56,473,2.17
56,483,2.17
56,493,2.2
56,500,2.23
61,153,2.25
61,163,2.23
61,173,2.3
61,183,2.27
61,193,2.27
61,203,2.33
61,213,2.25
61,223,2.27
61,233,2.32
61,243,2.32
61,253,2.3
61,263,2.28
