bri,hue,sat,watt
1,1,1,0.55
1,2732,1,0.6
1,5463,1,0.5
1,8194,1,0.55
1,10925,1,0.55
1,13656,1,0.57
1,16387,1,0.55
1,19118,1,0.55
1,21849,1,0.58
1,24580,1,0.58
1,27311,1,0.57
1,30042,1,0.55
1,32773,1,0.57
1,35504,1,0.52
1,38235,1,0.57
1,40966,1,0.59
1,43697,1,0.52
1,46428,1,0.52
1,49159,1,0.52
1,51890,1,0.55
1,54621,1,0.53
1,57352,1,0.63
1,60083,1,0.55
1,62814,1,0.57
1,65535,1,0.57
1,1,33,0.54
1,2732,33,0.54
1,5463,33,0.57
1,8194,33,0.52
1,10925,33,0.64
1,13656,33,0.55
1,16387,33,0.59
1,19118,33,0.57
1,21849,33,0.59
1,24580,33,0.61
1,27311,33,0.61
1,30042,33,0.56
1,32773,33,0.59
1,35504,33,0.59
1,38235,33,0.57
1,40966,33,0.56
1,43697,33,0.49
1,46428,33,0.54
1,49159,33,0.57
1,51890,33,0.54
1,54621,33,0.57
1,57352,33,0.55
1,60083,33,0.57
1,62814,33,0.57
1,65535,33,0.55
1,1,65,0.49
1,2732,65,0.54
1,5463,65,0.59
1,8194,65,0.57
1,10925,65,0.55
1,13656,65,0.55
1,16387,65,0.54
1,19118,65,0.59
1,21849,65,0.5
1,24580,65,0.55
1,27311,65,0.54
1,30042,65,0.54
1,32773,65,0.52
1,35504,65,0.52
1,38235,65,0.57
1,40966,65,0.5
1,43697,65,0.5
1,46428,65,0.5
1,49159,65,0.5
1,51890,65,0.55
1,54621,65,0.58
1,57352,65,0.51
1,60083,65,0.52
1,62814,65,0.52
1,65535,65,0.54
1,1,97,0.49
1,2732,97,0.52
1,5463,97,0.47
1,8194,97,0.49
1,10925,97,0.52
1,13656,97,0.5
1,16387,97,0.45
1,19118,97,0.5
1,21849,97,0.43
1,24580,97,0.5
1,27311,97,0.45
1,30042,97,0.45
1,32773,97,0.52
1,35504,97,0.5
1,38235,97,0.47
1,40966,97,0.51
1,43697,97,0.44
1,46428,97,0.51
1,49159,97,0.53
1,51890,97,0.51
1,54621,97,0.54
1,57352,97,0.54
1,60083,97,0.49
1,62814,97,0.49
1,65535,97,0.49
1,1,129,0.4
1,2732,129,0.48
1,5463,129,0.45
1,8194,129,0.5
1,10925,129,0.5
1,13656,129,0.45
1,16387,129,0.5
1,19118,129,0.52
1,21849,129,0.56
1,24580,129,0.46
1,27311,129,0.51
1,30042,129,0.49
1,32773,129,0.56
1,35504,129,0.53
1,38235,129,0.43
1,40966,129,0.5
1,43697,129,0.53
1,46428,129,0.46
1,49159,129,0.41
1,51890,129,0.53
1,54621,129,0.51
1,57352,129,0.49
1,60083,129,0.51
1,62814,129,0.46
1,65535,129,0.51
1,1,161,0.48
1,2732,161,0.46
1,5463,161,0.47
1,8194,161,0.52
1,10925,161,0.47
1,13656,161,0.49
1,16387,161,0.46
1,19118,161,0.48
1,21849,161,0.46
1,24580,161,0.46
1,27311,161,0.46
1,30042,161,0.46
1,32773,161,0.51
1,35504,161,0.48
1,38235,161,0.51
1,40966,161,0.46
1,43697,161,0.44
1,46428,161,0.44
1,49159,161,0.44
1,51890,161,0.49
1,54621,161,0.47
1,57352,161,0.45
1,60083,161,0.49
1,62814,161,0.46
1,65535,161,0.44
1,1,193,0.4
1,2732,193,0.45
1,5463,193,0.44
1,8194,193,0.49
1,10925,193,0.44
1,13656,193,0.44
1,16387,193,0.49
1,19118,193,0.42
1,21849,193,0.42
1,24580,193,0.42
1,27311,193,0.46
1,30042,193,0.49
1,32773,193,0.52
1,35504,193,0.52
1,38235,193,0.45
1,40966,193,0.47
1,43697,193,0.48
1,46428,193,0.46
1,49159,193,0.48
1,51890,193,0.48
1,54621,193,0.5
1,57352,193,0.5
1,60083,193,0.48
1,62814,193,0.46
1,65535,193,0.46
1,1,225,0.46
1,2732,225,0.44
1,5463,225,0.44
1,8194,225,0.46
1,10925,225,0.49
1,13656,225,0.47
1,16387,225,0.51
1,19118,225,0.41
1,21849,225,0.49
1,24580,225,0.44
1,27311,225,0.46
1,30042,225,0.46
1,32773,225,0.51
1,35504,225,0.5
1,38235,225,0.48
1,40966,225,0.48
1,43697,225,0.48
1,46428,225,0.43
1,49159,225,0.43
1,51890,225,0.43
1,54621,225,0.49
1,57352,225,0.46
1,60083,225,0.46
1,62814,225,0.48
1,65535,225,0.43
1,1,255,0.41
1,2732,255,0.45
1,5463,255,0.47
1,8194,255,0.47
1,10925,255,0.49
1,13656,255,0.45
1,16387,255,0.5
1,19118,255,0.48
1,21849,255,0.47
1,24580,255,0.48
1,27311,255,0.45
1,30042,255,0.48
1,32773,255,0.51
1,35504,255,0.5
1,38235,255,0.48
1,40966,255,0.46
1,43697,255,0.41
1,46428,255,0.54
1,49159,255,0.45
1,51890,255,0.5
1,54621,255,0.45
1,57352,255,0.5
1,60083,255,0.45
1,62814,255,0.45
1,65535,255,0.42
33,1,1,0.75
33,2732,1,0.82
33,5463,1,0.74
33,8194,1,0.79
33,10925,1,0.82
33,13656,1,0.72
33,16387,1,0.72
33,19118,1,0.79
33,21849,1,0.83
33,24580,1,0.74
33,27311,1,0.77
33,30042,1,0.82
33,32773,1,0.77
33,35504,1,0.77
33,38235,1,0.8
33,40966,1,0.82
33,43697,1,0.77
33,46428,1,0.77
33,49159,1,0.81
33,51890,1,0.74
33,54621,1,0.79
33,57352,1,0.79
33,60083,1,0.77
33,62814,1,0.8
33,65535,1,0.77
33,1,33,0.7
33,2732,33,0.69
33,5463,33,0.74
33,8194,33,0.75
33,10925,33,0.76
33,13656,33,0.74
33,16387,33,0.72
33,19118,33,0.74
33,21849,33,0.75
33,24580,33,0.75
33,27311,33,0.72
33,30042,33,0.74
33,32773,33,0.72
33,35504,33,0.76
33,38235,33,0.72
33,40966,33,0.72
33,43697,33,0.71
33,46428,33,0.71
33,49159,33,0.74
33,51890,33,0.71
33,54621,33,0.72
33,57352,33,0.76
33,60083,33,0.76
33,62814,33,0.73
33,65535,33,0.72
33,1,65,0.67
33,2732,65,0.69
33,5463,65,0.71
33,8194,65,0.71
33,10925,65,0.71
33,13656,65,0.64
33,16387,65,0.69
33,19118,65,0.64
33,21849,65,0.64
33,24580,65,0.62
33,27311,65,0.67
33,30042,65,0.75
33,32773,65,0.7
33,35504,65,0.71
33,38235,65,0.71
33,40966,65,0.71
33,43697,65,0.61
33,46428,65,0.69
33,49159,65,0.67
33,51890,65,0.67
33,54621,65,0.65
33,57352,65,0.72
33,60083,65,0.67
33,62814,65,0.69
33,65535,65,0.7
33,1,97,0.57
33,2732,97,0.67
33,5463,97,0.7
33,8194,97,0.73
33,10925,97,0.66
33,13656,97,0.69
33,16387,97,0.68
33,19118,97,0.64
33,21849,97,0.64
33,24580,97,0.67
33,27311,97,0.67
33,30042,97,0.69
33,32773,97,0.7
33,35504,97,0.69
33,38235,97,0.68
33,40966,97,0.68
33,43697,97,0.68
33,46428,97,0.64
33,49159,97,0.64
33,51890,97,0.64
33,54621,97,0.69
33,57352,97,0.68
33,60083,97,0.66
33,62814,97,0.62
33,65535,97,0.65
33,1,129,0.6
33,2732,129,0.61
33,5463,129,0.66
33,8194,129,0.67
33,10925,129,0.69
33,13656,129,0.65
33,16387,129,0.64
33,19118,129,0.59
33,21849,129,0.59
33,24580,129,0.57
33,27311,129,0.62
33,30042,129,0.7
33,32773,129,0.64
33,35504,129,0.64
33,38235,129,0.62
33,40966,129,0.62
33,43697,129,0.57
33,46428,129,0.57
33,49159,129,0.64
33,51890,129,0.6
33,54621,129,0.62
33,57352,129,0.66
33,60083,129,0.72
33,62814,129,0.67
33,65535,129,0.62
33,1,161,0.53
33,2732,161,0.58
33,5463,161,0.59
33,8194,161,0.66
33,10925,161,0.64
33,13656,161,0.64
33,16387,161,0.61
33,19118,161,0.59
33,21849,161,0.59
33,24580,161,0.58
33,27311,161,0.59
33,30042,161,0.64
33,32773,161,0.66
33,35504,161,0.7
33,38235,161,0.63
33,40966,161,0.63
33,43697,161,0.61
33,46428,161,0.58
33,49159,161,0.63
33,51890,161,0.58
33,54621,161,0.64
33,57352,161,0.71
33,60083,161,0.61
33,62814,161,0.62
33,65535,161,0.54
33,1,193,0.52
33,2732,193,0.61
33,5463,193,0.61
33,8194,193,0.56
33,10925,193,0.69
33,13656,193,0.61
33,16387,193,0.59
33,19118,193,0.57
33,21849,193,0.57
33,24580,193,0.55
33,27311,193,0.55
33,30042,193,0.59
33,32773,193,0.69
33,35504,193,0.66
33,38235,193,0.59
33,40966,193,0.54
33,43697,193,0.5
33,46428,193,0.54
33,49159,193,0.59
33,51890,193,0.61
33,54621,193,0.63
33,57352,193,0.63
33,60083,193,0.59
33,62814,193,0.59
33,65535,193,0.54
33,1,225,0.52
33,2732,225,0.57
33,5463,225,0.54
33,8194,225,0.62
33,10925,225,0.67
33,13656,225,0.55
33,16387,225,0.6
33,19118,225,0.54
33,21849,225,0.54
33,24580,225,0.55
33,27311,225,0.55
33,30042,225,0.6
33,32773,225,0.65
33,35504,225,0.6
33,38235,225,0.49
33,40966,225,0.55
33,43697,225,0.55
33,46428,225,0.5
33,49159,225,0.55
33,51890,225,0.57
33,54621,225,0.62
33,57352,225,0.6
33,60083,225,0.6
33,62814,225,0.57
33,65535,225,0.54
33,1,255,0.52
33,2732,255,0.52
33,5463,255,0.59
33,8194,255,0.57
33,10925,255,0.62
33,13656,255,0.69
33,16387,255,0.57
33,19118,255,0.55
33,21849,255,0.55
33,24580,255,0.5
33,27311,255,0.5
33,30042,255,0.55
33,32773,255,0.64
33,35504,255,0.69
33,38235,255,0.59
33,40966,255,0.52
33,43697,255,0.5
33,46428,255,0.54
33,49159,255,0.52
33,51890,255,0.55
33,54621,255,0.65
33,57352,255,0.59
33,60083,255,0.54
33,62814,255,0.47
33,65535,255,0.47
65,1,1,0.89
65,2732,1,0.95
65,5463,1,0.95
65,8194,1,1.0
65,10925,1,0.94
65,13656,1,0.94
65,16387,1,0.94
65,19118,1,0.95
65,21849,1,0.94
65,24580,1,0.94
65,27311,1,0.95
65,30042,1,0.99
65,32773,1,0.92
65,35504,1,0.95
65,38235,1,0.97
65,40966,1,0.95
65,43697,1,0.97
65,46428,1,0.92
65,49159,1,0.92
65,51890,1,0.94
65,54621,1,0.92
65,57352,1,0.94
65,60083,1,0.97
65,62814,1,0.97
65,65535,1,0.92
65,1,33,0.84
65,2732,33,0.92
65,5463,33,0.89
65,8194,33,0.9
65,10925,33,0.9
65,13656,33,0.94
65,16387,33,0.89
65,19118,33,0.9
65,21849,33,0.87
65,24580,33,0.87
65,27311,33,0.9
65,30042,33,0.9
65,32773,33,0.85
65,35504,33,0.92
65,38235,33,0.87
65,40966,33,0.82
65,43697,33,0.87
65,46428,33,0.89
65,49159,33,0.84
65,51890,33,0.87
65,54621,33,0.92
65,57352,33,0.9
65,60083,33,0.87
65,62814,33,0.87
65,65535,33,0.87
65,1,65,0.79
65,2732,65,0.8
65,5463,65,0.89
65,8194,65,0.86
65,10925,65,0.89
65,13656,65,0.82
65,16387,65,0.8
65,19118,65,0.79
65,21849,65,0.79
65,24580,65,0.79
65,27311,65,0.79
65,30042,65,0.86
65,32773,65,0.88
65,35504,65,0.88
65,38235,65,0.83
65,40966,65,0.83
65,43697,65,0.83
65,46428,65,0.8
65,49159,65,0.83
65,51890,65,0.83
65,54621,65,0.88
65,57352,65,0.93
65,60083,65,0.88
65,62814,65,0.88
65,65535,65,0.83
65,1,97,0.73
65,2732,97,0.78
65,5463,97,0.78
65,8194,97,0.85
65,10925,97,0.85
65,13656,97,0.85
65,16387,97,0.85
65,19118,97,0.77
65,21849,97,0.78
65,24580,97,0.78
65,27311,97,0.75
65,30042,97,0.85
65,32773,97,0.82
65,35504,97,0.9
65,38235,97,0.85
65,40966,97,0.8
65,43697,97,0.74
65,46428,97,0.73
65,49159,97,0.78
65,51890,97,0.78
65,54621,97,0.83
65,57352,97,0.86
65,60083,97,0.86
65,62814,97,0.85
65,65535,97,0.78
65,1,129,0.71
65,2732,129,0.71
65,5463,129,0.8
65,8194,129,0.8
65,10925,129,0.87
65,13656,129,0.8
65,16387,129,0.73
65,19118,129,0.75
65,21849,129,0.72
65,24580,129,0.7
65,27311,129,0.75
65,30042,129,0.78
65,32773,129,0.78
65,35504,129,0.78
65,38235,129,0.73
65,40966,129,0.75
65,43697,129,0.65
65,46428,129,0.7
65,49159,129,0.7
65,51890,129,0.75
65,54621,129,0.8
65,57352,129,0.84
65,60083,129,0.82
65,62814,129,0.77
65,65535,129,0.68
65,1,161,0.67
65,2732,161,0.65
65,5463,161,0.73
65,8194,161,0.81
65,10925,161,0.81
65,13656,161,0.8
65,16387,161,0.75
65,19118,161,0.7
65,21849,161,0.67
65,24580,161,0.66
65,27311,161,0.72
65,30042,161,0.73
65,32773,161,0.83
65,35504,161,0.78
65,38235,161,0.75
65,40966,161,0.7
65,43697,161,0.68
65,46428,161,0.66
65,49159,161,0.75
65,51890,161,0.75
65,54621,161,0.75
65,57352,161,0.75
65,60083,161,0.76
65,62814,161,0.73
65,65535,161,0.66
65,1,193,0.65
65,2732,193,0.63
65,5463,193,0.68
65,8194,193,0.75
65,10925,193,0.8
65,13656,193,0.75
65,16387,193,0.7
65,19118,193,0.68
65,21849,193,0.63
65,24580,193,0.63
65,27311,193,0.72
65,30042,193,0.75
65,32773,193,0.72
65,35504,193,0.81
65,38235,193,0.71
65,40966,193,0.68
65,43697,193,0.65
65,46428,193,0.58
65,49159,193,0.7
65,51890,193,0.68
65,54621,193,0.74
65,57352,193,0.79
65,60083,193,0.74
65,62814,193,0.68
65,65535,193,0.63
65,1,225,0.61
65,2732,225,0.63
65,5463,225,0.63
65,8194,225,0.66
65,10925,225,0.79
65,13656,225,0.77
65,16387,225,0.62
65,19118,225,0.59
65,21849,225,0.59
65,24580,225,0.64
65,27311,225,0.64
65,30042,225,0.67
65,32773,225,0.79
65,35504,225,0.78
65,38235,225,0.61
65,40966,225,0.66
65,43697,225,0.54
65,46428,225,0.62
65,49159,225,0.65
65,51890,225,0.65
65,54621,225,0.79
65,57352,225,0.69
65,60083,225,0.67
65,62814,225,0.57
65,65535,225,0.54
65,1,255,0.56
65,2732,255,0.59
65,5463,255,0.6
65,8194,255,0.72
65,10925,255,0.72
65,13656,255,0.74
65,16387,255,0.71
65,19118,255,0.64
65,21849,255,0.62
65,24580,255,0.62
65,27311,255,0.64
65,30042,255,0.73
65,32773,255,0.71
65,35504,255,0.73
65,38235,255,0.61
65,40966,255,0.64
65,43697,255,0.64
65,46428,255,0.64
65,49159,255,0.63
65,51890,255,0.63
65,54621,255,0.71
65,57352,255,0.69
65,60083,255,0.67
65,62814,255,0.66
65,65535,255,0.61
97,1,1,1.11
97,2732,1,1.12
97,5463,1,1.12
97,8194,1,1.14
97,10925,1,1.15
97,13656,1,1.12
97,16387,1,1.12
97,19118,1,1.14
97,21849,1,1.15
97,24580,1,1.14
97,27311,1,1.09
97,30042,1,1.16
97,32773,1,1.12
97,35504,1,1.14
97,38235,1,1.12
97,40966,1,1.17
97,43697,1,1.14
97,46428,1,1.15
97,49159,1,1.15
97,51890,1,1.12
97,54621,1,1.09
97,57352,1,1.14
97,60083,1,1.12
97,62814,1,1.1
97,65535,1,1.09
97,1,33,1.03
97,2732,33,1.09
97,5463,33,1.09
97,8194,33,1.1
97,10925,33,1.1
